"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"(Shro) Thirumalapuram","","","","","1","1","219","219","0","100.00"
"Abbedoddi","","","","","1","1","455","455","0","100.00"
"Adadakulapalle","","","","","1","3","485","484","1","99.79"
"Adivigollapalle","","","","","1","1","262","262","0","100.00"
"Agali","","","","","1","6","1746","1746","0","100.00"
"Agraharam","","","","","1","5","1035","1035","0","100.00"
"Agraharampalle","","","","","1","2","73","73","0","100.00"
"Akkagaladevarahalli","","","","","1","1","28","28","0","100.00"
"Akkajampalle","","","","","1","1","63","63","0","100.00"
"Akuledu","","","","","1","4","891","891","0","100.00"
"Alampur","","","","","1","1","64","64","0","100.00"
"Alamuru","","","","","1","3","998","998","0","100.00"
"Allapalle","","","","","1","13","1582","1582","0","100.00"
"Allugundu","","","","","1","4","654","654","0","100.00"
"Alur","","","","","1","2","490","490","0","100.00"
"Amadagur","","","","","1","17","2063","2063","0","100.00"
"Amagondapalem","","","","","1","2","897","897","0","100.00"
"Amalladinne","","","","","1","3","879","879","0","100.00"
"Amarapuram","","","","","1","5","2861","2861","0","100.00"
"Ameenpalle","","","","","1","1","177","177","0","100.00"
"Amidala","","","","","1","2","1632","1632","0","100.00"
"Amidalagondi","","","","","1","8","1527","1527","0","100.00"
"Anandaraopeta","","","","","1","1","287","287","0","100.00"
"Aniganidoddi","","","","","1","1","206","206","0","100.00"
"Ankampalle","","","","","1","2","1000","1000","0","100.00"
"Ankampeta","","","","","1","1","67","67","0","100.00"
"Anumpalle","","","","","1","3","707","707","0","100.00"
"Appajipeta","","","","","1","1","182","182","0","100.00"
"Apparacheruvu","","","","","1","2","675","675","0","100.00"
"Appecherla","","","","","1","5","1306","1306","0","100.00"
"Appilepalle","","","","","1","3","1170","1170","0","100.00"
"Arakativemula","","","","","1","2","618","617","1","99.84"
"Aravedu","","","","","1","1","76","76","0","100.00"
"Arkabhavipalle","","","","","1","1","47","47","0","100.00"
"Athiralladinne","","","","","1","1","134","134","0","100.00"
"Atmakur","","","","","1","5","2993","2993","0","100.00"
"Avuladatla","","","","","1","1","417","417","0","100.00"
"Avulampalle","","","","","1","1","134","134","0","100.00"
"Avulenna","","","","","1","1","429","429","0","100.00"
"Ayyagarlapalle","","","","","1","1","522","522","0","100.00"
"Ayyavaripalle","","","","","1","1","284","284","0","100.00"
"B.Pappuru","","","","","1","2","898","898","0","100.00"
"Bachchupalle","","","","","1","2","761","761","0","100.00"
"Baginayakana Halli","","","","","1","3","746","746","0","100.00"
"Balasamudram","","","","","1","5","896","896","0","100.00"
"Bandameedapalle","","","","","1","3","1044","1044","0","100.00"
"Bandarlapalle","","","","","1","2","22","22","0","100.00"
"Bandlapalle","","","","","1","7","1186","1186","0","100.00"
"Bandlapalle","","","","","1","11","568","568","0","100.00"
"Bandlapalle","","","","","1","1","748","748","0","100.00"
"Bandur","","","","","1","2","753","753","0","100.00"
"Basapuram","","","","","1","6","1523","1523","0","100.00"
"Basavanahalli","","","","","1","9","1610","1610","0","100.00"
"Basinepalle","","","","","1","2","720","720","0","100.00"
"Bathalapalle","","","","","1","4","3605","3605","0","100.00"
"Bathalapalle","","","","","1","5","280","280","0","100.00"
"Bayanakuntapalle","","","","","1","1","56","56","0","100.00"
"Bedrahalli","","","","","1","3","719","719","0","100.00"
"Beechiganipalle","","","","","1","4","928","928","0","100.00"
"Beedupalle","","","","","1","1","719","719","0","100.00"
"Belodu","","","","","1","3","615","615","0","100.00"
"Beluguppa","","","","","1","3","1810","1810","0","100.00"
"Bennikal","","","","","1","2","652","652","0","100.00"
"Bestharapalle","","","","","1","3","1838","1838","0","100.00"
"Bethapalle","","","","","1","2","1011","1011","0","100.00"
"Bevina Halli","","","","","1","3","587","587","0","100.00"
"Bhairasamudram","","","","","1","2","889","889","0","100.00"
"Bhogasamudram","","","","","1","5","1081","1081","0","100.00"
"Bhupasamudram","","","","","1","6","1121","1121","0","100.00"
"Bhyravanithippa","","","","","1","3","926","926","0","100.00"
"Bidurukontham","","","","","1","2","279","279","0","100.00"
"Bodaipalle","","","","","1","1","341","341","0","100.00"
"Bodiganidoddi","","","","","1","2","582","582","0","100.00"
"Bojjireddipalle","","","","","1","1","15","15","0","100.00"
"Bokkasampalle","","","","","1","1","234","234","0","100.00"
"Bollanaguddam","","","","","1","2","1034","1034","0","100.00"
"Bommagundanahalli","","","","","1","14","1908","1908","0","100.00"
"Bommanahal","","","","","1","1","1068","1068","0","100.00"
"Bommaparthy","","","","","1","2","416","416","0","100.00"
"Bondaladinne","","","","","1","1","298","298","0","100.00"
"Bondalawada","","","","","1","1","641","641","0","100.00"
"Bondankal","","","","","1","2","552","552","0","100.00"
"Bonthalapalle","","","","","1","10","864","864","0","100.00"
"Boppepalle","","","","","1","3","940","940","0","100.00"
"Boyalapalle","","","","","1","1","54","54","0","100.00"
"Brahmadevaramarri","","","","","1","2","357","357","0","100.00"
"Brahmana Yaleru","","","","","1","2","766","766","0","100.00"
"Brahmanapalle","","","","","1","2","250","250","0","100.00"
"Brahmanapalle","","","","","1","4","859","859","0","100.00"
"Brahmanapalle","","","","","1","1","277","277","0","100.00"
"Brahmanapalle","","","","","1","1","105","105","0","100.00"
"Brahmanapalle","","","","","1","2","722","722","0","100.00"
"Brahmasamudram","","","","","1","2","517","517","0","100.00"
"Brahmasamudram","","","","","1","2","763","763","0","100.00"
"Brahmasamudram","","","","","1","1","648","648","0","100.00"
"Bramhanapalle","","","","","1","1","127","127","0","100.00"
"Bucharla","","","","","1","2","459","459","0","100.00"
"Budagavi","","","","","1","4","1161","1161","0","100.00"
