"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"29 -A. Chinta -Makulapalle","","","","","1","6","605","605","0","100.00"
"A.Kothakota","","","","","1","5","395","395","0","100.00"
"Achamma Agraharam","","","","","1","3","333","333","0","100.00"
"Adaram","","","","","1","8","926","926","0","100.00"
"Adavaram","","","","","1","5","704","704","0","100.00"
"Adavi Budugur","","","","","1","16","2141","2141","0","100.00"
"Adavikothuru","","","","","1","6","1031","1031","0","100.00"
"Adavimulakapalle","","","","","1","1","115","115","0","100.00"
"Adenapalle","","","","","1","10","2599","2599","0","100.00"
"Adilakshmamba Puram","","","","","1","3","69","69","0","100.00"
"Adusupalem","","","","","1","1","86","86","0","100.00"
"Agarala","","","","","1","5","261","261","0","100.00"
"Agaram","","","","","1","5","267","267","0","100.00"
"Agaram","","","","","1","7","387","387","0","100.00"
"Agaram","","","","","1","15","2020","2020","0","100.00"
"Agaramangalam","","","","","1","7","319","319","0","100.00"
"Aggichenupalle","","","","","1","5","61","61","0","100.00"
"Agraharam","","","","","1","7","225","225","0","100.00"
"Agraharam","","","","","1","17","1473","1473","0","100.00"
"Akanambattu","","","","","1","5","235","235","0","100.00"
"Akkarampalle (CT)","","","","","1","6","364","364","0","100.00"
"Akkurthy","","","","","1","3","502","502","0","100.00"
"Alapakam","","","","","1","10","643","643","0","100.00"
"Alapalle","","","","","1","5","417","417","0","100.00"
"Alathur","","","","","1","12","131","131","0","100.00"
"Alathur","","","","","1","5","387","387","0","100.00"
"Alimelu Manga Puram","","","","","1","8","591","591","0","100.00"
"Allamadugu","","","","","1","15","315","315","0","100.00"
"Allipoolagunta","","","","","1","1","21","21","0","100.00"
"Alugumanipalle","","","","","1","2","138","138","0","100.00"
"Alukurupalle","","","","","1","2","76","76","0","100.00"
"Amallabandakota","","","","","1","1","84","84","0","100.00"
"Ambakam","","","","","1","3","1121","1121","0","100.00"
"Ambodharapalle","","","","","1","8","165","165","0","100.00"
"Ambur","","","","","1","1","62","62","0","100.00"
"Amilepalle","","","","","1","3","185","185","0","100.00"
"Ammacheruvu","","","","","1","1","60","60","0","100.00"
"Ammagaripalle","","","","","1","10","826","826","0","100.00"
"Ammagaripalle","","","","","1","3","113","113","0","100.00"
"Ammapalem","","","","","1","3","238","238","0","100.00"
"Ammavaripatteda","","","","","1","1","80","80","0","100.00"
"Ammavaripeta","","","","","1","2","105","105","0","100.00"
"Amudala","","","","","1","9","345","345","0","100.00"
"Amudalaputhur","","","","","1","1","73","73","0","100.00"
"Anagallu","","","","","1","4","222","222","0","100.00"
"Anagarlapalle","","","","","1","1","39","39","0","100.00"
"Anagunta","","","","","1","1","417","417","0","100.00"
"Ananthapadmanabha Puram","","","","","1","1","21","21","0","100.00"
"Ananthapuram","","","","","1","1","78","78","0","100.00"
"Ananthapuram","","","","","1","4","181","181","0","100.00"
"Anchinayanikuppam","","","","","1","1","46","46","0","100.00"
"Angallu","","","","","1","30","2183","2183","0","100.00"
"Anganamalakothuru","","","","","1","1","35","35","0","100.00"
"Angeri Cheruvu","","","","","1","1","54","54","0","100.00"
"Anikera","","","","","1","1","88","88","0","100.00"
"Anjuru","","","","","1","6","715","715","0","100.00"
"Ankamvaripalle","","","","","1","1","31","31","0","100.00"
"Ankireddipalle","","","","","1","1","280","280","0","100.00"
"Ankisettipalle (OG)","","","","","1","4","540","540","0","100.00"
"Annasamipalle","","","","","1","3","591","591","0","100.00"
"Annur","","","","","1","11","643","643","0","100.00"
"Annurkasabagayat","","","","","1","1","45","45","0","100.00"
"Anupalle","","","","","1","5","351","351","0","100.00"
"Anupalle","","","","","1","13","324","324","0","100.00"
"Anupalle (Part)","","","","","1","7","356","356","0","100.00"
"Appaiahpalem","","","","","1","1","435","435","0","100.00"
"Appalayagunta","","","","","1","1","20","20","0","100.00"
