"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A. Kothapalle","","","","","1","2","3003","3003","0","100.00"
"A. Mallavaram","","","","","1","1","292","292","0","100.00"
"A. Veeravaram","","","","","1","3","339","339","0","100.00"
"A. Vemavaram","","","","","1","8","2517","2517","0","100.00"
"A.V.Nagaram","","","","","1","1","3903","3903","0","100.00"
"Abicherla","","","","","1","1","154","154","0","100.00"
"Achuthapuram","","","","","1","2","59","59","0","100.00"
"Addampalle","","","","","1","2","1608","1608","0","100.00"
"Addarivalasa","","","","","1","1","41","41","0","100.00"
"Addateegala","","","","","1","1","1351","1351","0","100.00"
"Adupulametta","","","","","1","1","21","21","0","100.00"
"Adurru","","","","","1","9","5383","5383","0","100.00"
"Agraharam (R)","","","","","1","2","1104","1104","0","100.00"
"Agraharapu Koderu","","","","","1","1","157","157","0","100.00"
"Ahmmadalipeta","","","","","1","1","12","12","0","100.00"
"Ainapuram","","","","","1","1","1629","1629","0","100.00"
"Ainavilli","","","","","1","8","3829","3829","0","100.00"
"Akumamidikota","","","","","1","1","60","60","0","100.00"
"Akuru","","","","","1","1","46","46","0","100.00"
"Alamuru","","","","","1","1","20922","20922","0","100.00"
"Allavaram","","","","","1","15","4049","4049","0","100.00"
"Alligudem","","","","","1","1","103","103","0","100.00"
"Allipudi","","","","","1","1","343","343","0","100.00"
"Allurigedda","","","","","1","1","42","42","0","100.00"
"Amalapuram (R)","","","","","1","12","4326","4326","0","100.00"
"Amaravalli","","","","","1","1","201","201","0","100.00"
"Ambikapalle Agraharam","","","","","1","1","205","205","0","100.00"
"Aminabada","","","","","1","4","580","580","0","100.00"
"Aminabada","","","","","1","1","158","158","0","100.00"
"Amjuru","","","","","1","1","2617","2617","0","100.00"
"Ammapeta","","","","","1","1","33","33","0","100.00"
"Ammirekala","","","","","1","2","132","132","0","100.00"
"Amudalabanda","","","","","1","1","144","144","0","100.00"
"Ananthagiri","","","","","1","2","159","159","0","100.00"
"Ananthavaram","","","","","1","1","1734","1734","0","100.00"
"Anaparthy","","","","","1","5","26666","26666","0","100.00"
"Andrangi","","","","","1","2","1387","1387","0","100.00"
"Angara","","","","","1","2","2710","2710","0","100.00"
"Anguluru","","","","","1","1","152","152","0","100.00"
"Anigeru","","","","","1","1","121","121","0","100.00"
"Ankampalem","","","","","1","2","1878","1878","0","100.00"
"Ankampalem","","","","","1","1","80","80","0","100.00"
"Annampalem","","","","","1","1","33","33","0","100.00"
"Annampalem","","","","","1","1","12","12","0","100.00"
"Annampalle","","","","","1","3","128","128","0","100.00"
"Annavaram","","","","","1","2","4123","4123","0","100.00"
"Annavaram","","","","","1","1","161","161","0","100.00"
"Antarvedi","","","","","1","13","7893","7893","0","100.00"
"Antarvedipalem","","","","","1","36","8233","8233","0","100.00"
"Antilova","","","","","1","1","23","23","0","100.00"
"Anukulapalem","","","","","1","1","105","105","0","100.00"
"Anumarthi","","","","","1","1","27","27","0","100.00"
"Anuru","","","","","1","4","1772","1772","0","100.00"
"Anuru","","","","","1","1","550","550","0","100.00"
"Appanapalle","","","","","1","9","6831","6831","0","100.00"
"Appanaramuni Lanka","","","","","1","8","1591","1591","0","100.00"
"Appannapalem","","","","","1","1","40","40","0","100.00"
"Aratlakatta","","","","","1","2","1547","1547","0","100.00"
"Arikarevula","","","","","1","1","645","645","0","100.00"
"Arilla Dhara","","","","","1","1","10","10","0","100.00"
"Arjunalova","","","","","1","1","5","5","0","100.00"
"Arthamuru","","","","","1","1","1878","1878","0","100.00"
