"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"113 Thalluru","","","","","1","1","799","799","0","100.00"
"75-Tyallur","","","","","1","3","1290","1290","0","100.00"
"Abbanagudavalli","","","","","1","2","754","753","1","99.87"
"Abbarajupalem","","","","","1","1","804","804","0","100.00"
"Abburu","","","","","1","2","783","783","0","100.00"
"Adavuladeevi","","","","","1","16","3577","3577","0","100.00"
"Addepalli","","","","","1","3","896","896","0","100.00"
"Adigoppula","","","","","1","1","616","616","0","100.00"
"Adivi","","","","","1","11","8474","8474","0","100.00"
"Agatha Varappadu","","","","","1","1","1395","1395","0","100.00"
"Agnigundala","","","","","1","2","611","611","0","100.00"
"Ainavolu","","","","","1","1","828","828","0","100.00"
"Akurajupalle","","","","","1","3","1719","1719","0","100.00"
"Alapadu","","","","","1","1","751","751","0","100.00"
"Alavala","","","","","1","3","945","945","0","100.00"
"Allaparru","","","","","1","15","2028","2028","0","100.00"
"Allur","","","","","1","5","1792","1792","0","100.00"
"Alugumallipadu","","","","","1","1","377","377","0","100.00"
"Amani Jammala Madaka","","","","","1","1","454","454","0","100.00"
"Amaravathi","","","","","1","1","760","760","0","100.00"
"Ambadipudi","","","","","1","1","290","290","0","100.00"
"Aminabada","","","","","1","4","1783","1783","0","100.00"
"Amruthalur","","","","","1","1","751","751","0","100.00"
"Amudalapalli","","","","","1","6","1124","1124","0","100.00"
"Ananthavaram","","","","","1","1","466","466","0","100.00"
"Ananthavaram","","","","","1","2","933","933","0","100.00"
"Ananthavaram","","","","","1","1","687","687","0","100.00"
"Ananthavarappadu","","","","","1","1","732","732","0","100.00"
"Andugulapadu","","","","","1","1","289","289","0","100.00"
"Andukuru","","","","","1","2","846","846","0","100.00"
"Angalakuduru","","","","","1","3","1821","1821","0","100.00"
"Angalur","","","","","1","3","833","833","0","100.00"
"Ankireddipalem (R)","","","","","1","9","10258","10258","0","100.00"
"Annaparru","","","","","1","1","678","678","0","100.00"
"Annavaram","","","","","1","5","1763","1763","0","100.00"
"Annavaram","","","","","1","4","2398","2398","0","100.00"
"Annavaram","","","","","1","1","707","707","0","100.00"
"Annavarappadu","","","","","1","2","460","460","0","100.00"
"Anumarlapudi","","","","","1","1","1984","1984","0","100.00"
"Appapuram","","","","","1","5","1170","1170","0","100.00"
"Appikatla","","","","","1","2","1025","1025","0","100.00"
"Aravapalle","","","","","1","6","1156","1156","0","100.00"
"Aremanda","","","","","1","4","1834","1834","0","100.00"
"Arepalle","","","","","1","14","4331","4331","0","100.00"
"Arepalli Agraharam","","","","","1","2","505","505","0","100.00"
"Arumbaka","","","","","1","12","3267","3267","0","100.00"
"Athota","","","","","1","3","1629","1629","0","100.00"
"Atmakur","","","","","1","3","1169","1169","0","100.00"
"Atmakur (OG)","","","","","1","2","2210","2210","0","100.00"
"Attalur","","","","","1","3","1472","1472","0","100.00"
"Ayyannapalem","","","","","1","5","845","845","0","100.00"
"Balemarru","","","","","1","1","601","601","0","100.00"
"Balijepalle","","","","","1","1","742","742","0","100.00"
"Balijepalle","","","","","1","4","2030","2030","0","100.00"
"Balusulapalem","","","","","1","7","2375","2375","0","100.00"
"Balusupadu","","","","","1","2","675","675","0","100.00"
"Bandarupalle","","","","","1","3","2058","2058","0","100.00"
"Bapatla East (R)","","","","","1","5","3588","3588","0","100.00"
"Bapatla West (R)","","","","","1","6","4754","4754","0","100.00"
"Bayyavaram","","","","","1","1","585","585","0","100.00"
"Bejatpuram","","","","","1","2","2137","2137","0","100.00"
"Bellamkonda","","","","","1","5","1408","1408","0","100.00"
"Bethapudi","","","","","1","5","758","758","0","100.00"
"Bethapudi","","","","","1","2","1558","1558","0","100.00"
"Bhallukanudupalem","","","","","1","1","427","427","0","100.00"
"Bharthipudi","","","","","1","2","1048","1048","0","100.00"
"Bhatlur","","","","","1","2","1336","1336","0","100.00"
"Bhatrupalem","","","","","1","4","1592","1592","0","100.00"
"Bhattiprolu","","","","","1","3","450","450","0","100.00"
"Bhimavaram","","","","","1","3","1187","1187","0","100.00"
"Bhrugubanda","","","","","1","3","1094","1094","0","100.00"
"Bodanam","","","","","1","3","819","819","0","100.00"
"Bodapadu","","","","","1","2","1400","1400","0","100.00"
"Boddulurupadu","","","","","1","1","500","500","0","100.00"
"Bodipalem","","","","","1","2","1130","1130","0","100.00"
"Bollapalle","","","","","1","10","1018","1018","0","100.00"
"Bollavaram","","","","","1","3","744","744","0","100.00"
"Bommarajupalle","","","","","1","4","952","952","0","100.00"
"Bommuvaripalem","","","","","1","2","1164","1164","0","100.00"
"Boppudi","","","","","1","1","553","553","0","100.00"
"Borupalem","","","","","1","1","825","825","0","100.00"
"Brahmanakodur","","","","","1","1","535","535","0","100.00"
"Brahmanapalle (Part)","","","","","1","8","1111","1111","0","100.00"
"Budampadu","","","","","1","1","1533","1533","0","100.00"
"Buddam","","","","","1","2","288","288","0","100.00"
"Burripalem","","","","","1","1","844","844","0","100.00"
"Chadalawada","","","","","1","3","1520","1520","0","100.00"
"Chagallu","","","","","1","2","1729","1729","0","100.00"
"Challagariga","","","","","1","3","346","346","0","100.00"
"Challagundla","","","","","1","3","1657","1657","0","100.00"
"Chamallamudi","","","","","1","1","772","772","0","100.00"
"Chamarru","","","","","1","5","1273","1273","0","100.00"
"Chandavaram","","","","","1","2","1758","1758","0","100.00"
"Chandole","","","","","1","5","2128","2128","0","100.00"
"Chandrajupalem","","","","","1","2","658","658","0","100.00"
"Chatragadda","","","","","1","5","1086","1086","0","100.00"
"Chavali","","","","","1","1","737","737","0","100.00"
"Chebrolu","","","","","1","2","1848","1848","0","100.00"
"Cheemalamarri","","","","","1","1","753","753","0","100.00"
"Chejerla","","","","","1","1","769","769","0","100.00"
"Chemudupadu","","","","","1","2","1064","1064","0","100.00"
"Chennayapalem","","","","","1","2","696","696","0","100.00"
"Cherlagudi Padu","","","","","1","3","1956","1956","0","100.00"
"Cheruvu","","","","","1","1","1075","1075","0","100.00"
"Chigurupadu","","","","","1","2","813","813","0","100.00"
"Chilumuru","","","","","1","2","967","967","0","100.00"
"Chiluvuru","","","","","1","2","801","801","0","100.00"
"China Agraharam","","","","","1","1","658","658","0","100.00"
"China Kodamagundla","","","","","1","2","1225","1225","0","100.00"
"China Palakaluru","","","","","1","7","5647","5647","0","100.00"
"China Ravuru (R)","","","","","1","1","895","895","0","100.00"
"Chinagarlapadu","","","","","1","1","939","939","0","100.00"
"Chinakakani","","","","","1","1","2098","2098","0","100.00"
"Chinamakkena","","","","","1","1","667","667","0","100.00"
"Chinapalem","","","","","1","2","1394","1394","0","100.00"
"Chinaparimi","","","","","1","1","649","649","0","100.00"
"Chinapulivarru","","","","","1","1","483","483","0","100.00"
"Chinavadlapudi","","","","","1","1","1957","1957","0","100.00"
"Chinna Pasumarru","","","","","1","1","567","567","0","100.00"
"Chintala Cheruvu","","","","","1","5","771","771","0","100.00"
"Chintalapudi","","","","","1","1","801","801","0","100.00"
"Chintalapudi","","","","","1","4","1668","1668","0","100.00"
"Chintapalle","","","","","1","2","761","761","0","100.00"
"Chintapalle","","","","","1","5","2397","2397","0","100.00"
"Chirravuru","","","","","1","1","2466","2466","0","100.00"
"Chirumamilla","","","","","1","1","890","890","0","100.00"
"Chittapuram","","","","","1","3","920","920","0","100.00"
"Chityala","","","","","1","2","723","723","0","100.00"
"Chivalur","","","","","1","1","499","499","0","100.00"
"Chodayapalem","","","","","1","6","1290","1290","0","100.00"
"Chowdavaram","","","","","1","8","7662","7662","0","100.00"
"Chowtapalem","","","","","1","2","565","565","0","100.00"
"Chowtapapayapalem","","","","","1","1","571","571","0","100.00"
"Dachepalle","","","","","1","1","516","516","0","100.00"
"Daida","","","","","1","1","619","619","0","100.00"
"Damarapadu","","","","","1","1","826","826","0","100.00"
"Damarapalle","","","","","1","2","1972","1972","0","100.00"
"Dammalapadu","","","","","1","3","1253","1253","0","100.00"
"Dandamudi","","","","","1","2","1072","1072","0","100.00"
"Danthalur","","","","","1","3","490","490","0","100.00"
"Darivemula","","","","","1","2","1053","1053","0","100.00"
"Dasaripalem","","","","","1","6","1424","1424","0","100.00"
"Dasullapalle","","","","","1","1","328","328","0","100.00"
"Davuluru","","","","","1","5","2494","2494","0","100.00"
"Dechavarappadu","","","","","1","1","580","580","0","100.00"
"Devarapalle Agraharam","","","","","1","1","677","677","0","100.00"
"Devarapalle Seri","","","","","1","2","954","954","0","100.00"
"Devarayabhotlapalem","","","","","1","2","1606","1606","0","100.00"
"Dharanikota","","","","","1","3","1450","1450","0","100.00"
"Dharmavaram","","","","","1","1","483","483","0","100.00"
"Dhulipalla","","","","","1","1","737","737","0","100.00"
"Dhulipudi","","","","","1","23","3134","3134","0","100.00"
"Didugu","","","","","1","1","652","652","0","100.00"
"Dindi","","","","","1","16","3311","3311","0","100.00"
"Dodleru","","","","","1","5","2272","2272","0","100.00"
"Dokiparru","","","","","1","4","2651","2651","0","100.00"
"Dondapadu","","","","","1","1","989","989","0","100.00"
"Dondapadu","","","","","1","3","856","856","0","100.00"
"Dondapadu Agraharam","","","","","1","1","561","561","0","100.00"
"Donepudi","","","","","1","2","1034","1034","0","100.00"
"Doppalapudi","","","","","1","1","498","498","0","100.00"
"Duggirala","","","","","1","2","1438","1438","0","100.00"
"Durgi","","","","","1","3","1164","1164","0","100.00"
"Edavalli","","","","","1","2","952","952","0","100.00"
"Edlapadu","","","","","1","2","792","792","0","100.00"
"Edlapalle","","","","","1","2","1475","1475","0","100.00"
"Edulapalem","","","","","1","1","555","555","0","100.00"
"Edupalle","","","","","1","6","910","910","0","100.00"
"Eletipalem","","","","","1","12","1366","1366","0","100.00"
"Ellamanda","","","","","1","8","3506","3506","0","100.00"
"Emani","","","","","1","2","1393","1393","0","100.00"
"Emmajigudem","","","","","1","1","345","345","0","100.00"
"Enamadala","","","","","1","6","2754","2754","0","100.00"
"Endroyi","","","","","1","2","1574","1574","0","100.00"
"Enugupalem","","","","","1","6","671","671","0","100.00"
"Erraguntlapadu","","","","","1","1","761","761","0","100.00"
"Etheru","","","","","1","4","822","822","0","100.00"
"Etukur","","","","","1","6","3768","3768","0","100.00"
"Gajullanka","","","","","1","3","1433","1433","0","100.00"
"Gamalapadu","","","","","1","4","1273","1273","0","100.00"
"Ganapavaram","","","","","1","2","934","934","0","100.00"
"Ganapavaram","","","","","1","19","2371","2371","0","100.00"
"Ganapavaram","","","","","1","4","1122","1122","0","100.00"
