"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Channamambapuram","","","","","1","2","110","110","0","100.00"
"A.Kothapalle","","","","","1","1","141","141","0","100.00"
"A.Ramachandrapuram","","","","","1","1","30","30","0","100.00"
"Abbavaram","","","","","1","5","672","672","0","100.00"
"Abbusahebpeta","","","","","1","1","53","53","0","100.00"
"Adapur","","","","","1","9","123","123","0","100.00"
"Addalamarri","","","","","1","3","215","215","0","100.00"
"Agadur","","","","","1","3","717","717","0","100.00"
"Agraharam","","","","","1","1","189","189","0","100.00"
"Akepadu","","","","","1","1","28","28","0","100.00"
"Akkalreddipalle","","","","","1","6","1121","1121","0","100.00"
"Akkampalle","","","","","1","2","135","135","0","100.00"
"Akkampet","","","","","1","1","58","58","0","100.00"
"Akkemgundla","","","","","1","1","17","17","0","100.00"
"Alavalapadu","","","","","1","2","420","420","0","100.00"
"Alidena","","","","","1","3","510","510","0","100.00"
"Alireddipalle","","","","","1","3","252","252","0","100.00"
"Alladupalle","","","","","1","6","1286","1286","0","100.00"
"Amaniviswanathapuram","","","","","1","1","23","23","0","100.00"
"Ambakapalle","","","","","1","1","364","364","0","100.00"
"Ambavaram","","","","","1","6","530","530","0","100.00"
"Ambavaram","","","","","1","3","955","955","0","100.00"
"Anantaiahgaripalle","","","","","1","13","891","891","0","100.00"
"Anantapuram","","","","","1","1","99","99","0","100.00"
"Ananthapuram","","","","","1","9","1273","1273","0","100.00"
"Ananthapuram","","","","","1","9","138","138","0","100.00"
"Anantharajupeta","","","","","1","36","1157","1157","0","100.00"
"Anantharajupuram","","","","","1","9","1110","1110","0","100.00"
"Anantharajupuram","","","","","1","1","12","12","0","100.00"
"Ananthasamudram","","","","","1","18","1073","1073","0","100.00"
"Animela","","","","","1","4","448","448","0","100.00"
"Anjaneyapuram","","","","","1","1","108","108","0","100.00"
"Ankalammagudur","","","","","1","1","536","536","0","100.00"
"Ankanagodu Gunuru","","","","","1","1","39","39","0","100.00"
"Ankayapalle","","","","","1","1","34","34","0","100.00"
"Ankireddipalle","","","","","1","1","132","132","0","100.00"
"Annalur","","","","","1","8","1281","1281","0","100.00"
"Annapusastrula Palle","","","","","1","1","361","361","0","100.00"
"Appajipeta","","","","","1","1","94","94","0","100.00"
"Apparajupalle","","","","","1","3","1095","1095","0","100.00"
"Apparajupeta","","","","","1","3","215","215","0","100.00"
"Apparaopalle","","","","","1","1","261","261","0","100.00"
"Arakatavemula","","","","","1","2","1037","1037","0","100.00"
"Araveedu","","","","","1","28","1487","1487","0","100.00"
"Aravetipalle","","","","","1","2","496","496","0","100.00"
"Atchavalle","","","","","1","3","338","338","0","100.00"
"Atlur","","","","","1","12","387","387","0","100.00"
"Audireddipalle","","","","","1","3","384","384","0","100.00"
"Ayyavari Kambala Dinne","","","","","1","1","283","283","0","100.00"
"Ayyavaripalle","","","","","1","1","28","28","0","100.00"
"Ayyavaripalle","","","","","1","1","595","595","0","100.00"
"B.Venkatapuram","","","","","1","1","286","286","0","100.00"
"Bahirajapalle","","","","","1","2","47","47","0","100.00"
"Balapana Gudur","","","","","1","1","204","204","0","100.00"
"Balapanur","","","","","1","5","1409","1409","0","100.00"
"Balayapalle","","","","","1","1","250","250","0","100.00"
"Ballakkivaripalle","","","","","1","1","95","95","0","100.00"
"Balupalle","","","","","1","1","270","270","0","100.00"
"Bandlapalle","","","","","1","18","603","603","0","100.00"
"Bayanapalle","","","","","1","2","160","160","0","100.00"
"Bayanapalle","","","","","1","1","187","187","0","100.00"
"Bedaduru","","","","","1","4","448","448","0","100.00"
"Bestavemula","","","","","1","2","635","635","0","100.00"
"Bestavemula Venkatapuram","","","","","1","1","136","136","0","100.00"
"Bhadrampalle","","","","","1","2","279","279","0","100.00"
"Bhadripalle","","","","","1","4","272","272","0","100.00"
"Bhagampalle","","","","","1","3","412","412","0","100.00"
"Bhakrapuram","","","","","1","3","115","115","0","100.00"
"Bheemagundam","","","","","1","1","172","172","0","100.00"
"Bhumayapalle","","","","","1","13","1417","1417","0","100.00"
"Bhutamapuram","","","","","1","1","135","135","0","100.00"
"Bidinamcherla","","","","","1","2","807","807","0","100.00"
"Binduraopalle","","","","","1","3","68","68","0","100.00"
"Boddecherla","","","","","1","4","321","321","0","100.00"
"Boditippanapadu","","","","","1","1","466","466","0","100.00"
"Bodugundupalle","","","","","1","1","45","45","0","100.00"
"Boggalapalle (Part)","","","","","1","6","1590","1590","0","100.00"
"Bollavaram (R ) (OG)","","","","","1","1","279","279","0","100.00"
"Bommavaram","","","","","1","20","1401","1401","0","100.00"
"Bonala","","","","","1","2","566","566","0","100.00"
"Bonamala","","","","","1","8","344","344","0","100.00"
"Bondalakunta","","","","","1","3","586","586","0","100.00"
"Boodavada","","","","","1","2","66","66","0","100.00"
"Boppapuram","","","","","1","1","88","88","0","100.00"
"Botimeedapalle","","","","","1","9","404","404","0","100.00"
"Botlacheruvu","","","","","1","9","235","235","0","100.00"
"Brahmana Yerragudi","","","","","1","26","1580","1580","0","100.00"
"Brahmanapalle","","","","","1","5","369","369","0","100.00"
"Brahmanapalle","","","","","1","4","95","95","0","100.00"
"Brahmanapalle","","","","","1","1","46","46","0","100.00"
"Brahmanapalle","","","","","1","1","145","145","0","100.00"
"Buchampalle","","","","","1","1","129","129","0","100.00"
"Buchupalle","","","","","1","2","432","432","0","100.00"
"Buddayapalem","","","","","1","1","69","69","0","100.00"
"Budidapadu","","","","","1","1","53","53","0","100.00"
"Buggaletipalle","","","","","1","1","614","614","0","100.00"
"Bukkapatnam","","","","","1","2","199","199","0","100.00"
"Burujupalli","","","","","1","1","198","198","0","100.00"
"C.Gopalapuram","","","","","1","1","161","161","0","100.00"
"C.Kothapalle","","","","","1","1","57","57","0","100.00"
"Chabali","","","","","1","1","69","69","0","100.00"
"Chagaleru","","","","","1","3","681","681","0","100.00"
"Chakrayapet","","","","","1","11","1145","1145","0","100.00"
"Challagirigella","","","","","1","1","123","123","0","100.00"
"Chamaluru","","","","","1","1","265","265","0","100.00"
"Channakesapuram","","","","","1","1","33","33","0","100.00"
"Chapad","","","","","1","4","1644","1644","0","100.00"
"Chavvaripalle","","","","","1","1","146","146","0","100.00"
"Cheemalapenta","","","","","1","6","682","682","0","100.00"
"Chemullapalle","","","","","1","11","1795","1795","0","100.00"
"Chenduvoy","","","","","1","1","24","24","0","100.00"
"Chennakrishnapuram","","","","","1","1","108","108","0","100.00"
"Chennamanenipalle","","","","","1","1","306","306","0","100.00"
"Chennamraju Palle","","","","","1","2","175","175","0","100.00"
"Chennamukkapalle","","","","","1","6","979","979","0","100.00"
"Chennamukkapalle (CT)","","","","","1","1","180","180","0","100.00"
"Chennareddipeta","","","","","1","1","209","209","0","100.00"
"Chennupalle","","","","","1","1","178","178","0","100.00"
"Chennur","","","","","1","3","8404","8404","0","100.00"
"Cherlopalle","","","","","1","10","269","269","0","100.00"
"Cherlopalle","","","","","1","5","233","233","0","100.00"
"Cherlopalle","","","","","1","1","288","288","0","100.00"
"Cherlopalle","","","","","1","13","1934","1934","0","100.00"
"Chidipiralladinne","","","","","1","1","132","132","0","100.00"
"Chilamkur","","","","","1","5","1610","1610","0","100.00"
"Chilekampalle","","","","","1","14","1182","1182","0","100.00"
"Chinamudium","","","","","1","1","143","143","0","100.00"
"Chinayerasala","","","","","1","6","870","870","0","100.00"
"Chinna Dasaripalle","","","","","1","1","153","153","0","100.00"
"Chinna Jonnavaram","","","","","1","1","176","176","0","100.00"
"Chinna Komerla","","","","","1","6","1279","1279","0","100.00"
"Chinna Orampadu","","","","","1","12","1391","1391","0","100.00"
"Chinna Singanapalle","","","","","1","1","86","86","0","100.00"
"Chinna Venthurla","","","","","1","1","253","253","0","100.00"
"Chinnachepalle","","","","","1","7","716","716","0","100.00"
"Chinnadandluru","","","","","1","3","543","543","0","100.00"
"Chinnadudyala","","","","","1","1","174","174","0","100.00"
"Chinnagurvalur","","","","","1","3","531","531","0","100.00"
"Chinnaiahgaripalle","","","","","1","1","55","55","0","100.00"
"Chinnakampalle","","","","","1","5","1218","1218","0","100.00"
"Chinnakudala","","","","","1","1","226","226","0","100.00"
"Chinnamandem","","","","","1","15","4505","4505","0","100.00"
"Chinnapasupula","","","","","1","1","620","620","0","100.00"
"Chinnaputha","","","","","1","1","66","66","0","100.00"
"Chinnasettipalle","","","","","1","2","301","301","0","100.00"
"Chinnayapalle","","","","","1","1","169","169","0","100.00"
"Chintakunta","","","","","1","1","188","188","0","100.00"
"Chintakunta","","","","","1","5","1435","1435","0","100.00"
"Chintala Chelika","","","","","1","3","115","115","0","100.00"
"Chintalacheruvu","","","","","1","4","347","347","0","100.00"
"Chintalajutur","","","","","1","1","350","350","0","100.00"
"Chintalakunta","","","","","1","3","75","75","0","100.00"
"Chintarajupalle","","","","","1","11","994","994","0","100.00"
"Chinthakommadinne (Part)","","","","","1","10","5338","5338","0","100.00"
"Chitlur","","","","","1","14","997","997","0","100.00"
"Chitvel","","","","","1","12","1407","1407","0","100.00"
"Chiyyapadu","","","","","1","5","333","333","0","100.00"
"Chiyyavaram","","","","","1","16","336","336","0","100.00"
"Chowdur","","","","","1","2","383","383","0","100.00"
"Chowtapalli","","","","","1","3","457","457","0","100.00"
"D.Lingampalle","","","","","1","2","153","153","0","100.00"
"D.Narasimhapuram","","","","","1","1","132","132","0","100.00"
"Dadireddipalle","","","","","1","1","62","62","0","100.00"
"Dalavaipalle","","","","","1","5","270","270","0","100.00"
"Damancherla","","","","","1","2","254","254","0","100.00"
"Dammanapalle","","","","","1","5","804","804","0","100.00"
"Danavulapadu","","","","","1","1","80","80","0","100.00"
"Dandlopalle","","","","","1","5","304","304","0","100.00"
"Dappepalle","","","","","1","18","1279","1279","0","100.00"
"Darbhavariagraharam","","","","","1","1","136","136","0","100.00"
"Darjipalle","","","","","1","2","1081","1081","0","100.00"
"Dasaripalle","","","","","1","1","188","188","0","100.00"
"Denepalle","","","","","1","1","134","134","0","100.00"
"Devagudi","","","","","1","5","1138","1138","0","100.00"
"Devagudipalle","","","","","1","6","497","497","0","100.00"
