"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Konduru","","","","","1","4","1665","1665","0","100.00"
"Achavaram","","","","","1","2","658","658","0","100.00"
"Addada","","","","","1","2","407","407","0","100.00"
"Adivinekkalam","","","","","1","6","3214","3214","0","100.00"
"Adiviravulapadu","","","","","1","4","507","507","0","100.00"
"Aginiparru","","","","","1","5","414","414","0","100.00"
"Agiripalle","","","","","1","7","3363","3363","0","100.00"
"Ainampudi","","","","","1","2","240","240","0","100.00"
"Ajjampudi","","","","","1","1","338","338","0","100.00"
"Akkapalem","","","","","1","2","136","136","0","100.00"
"Akkireddigudem","","","","","1","2","662","662","0","100.00"
"Akulamannadu","","","","","1","9","2342","2342","0","100.00"
"Akumarru","","","","","1","1","1004","1004","0","100.00"
"Akunuru","","","","","1","2","846","846","0","100.00"
"Alapadu","","","","","1","1","525","525","0","100.00"
"Allapuram","","","","","1","1","604","604","0","100.00"
"Allidoddi","","","","","1","1","40","40","0","100.00"
"Alluru","","","","","1","1","398","398","0","100.00"
"Alluru","","","","","1","4","1460","1460","0","100.00"
"Allurupadu","","","","","1","1","284","284","0","100.00"
"Amaravathi","","","","","1","2","402","402","0","100.00"
"Ambapuram (OG)","","","","","1","2","1181","1181","0","100.00"
"Ambarupeta","","","","","1","5","1752","1752","0","100.00"
"Ameenapuram","","","","","1","3","245","245","0","100.00"
"Ampapuram","","","","","1","1","412","412","0","100.00"
"Amudalapalle","","","","","1","1","253","253","0","100.00"
"Amudalapalle","","","","","1","1","197","197","0","100.00"
"Anamanapudi","","","","","1","3","347","347","0","100.00"
"Ananthasagaram","","","","","1","1","171","171","0","100.00"
"Angaluru","","","","","1","4","1509","1509","0","100.00"
"Anigandlapadu","","","","","1","3","2144","2144","0","100.00"
"Anjaneyapuram","","","","","1","2","214","214","0","100.00"
"Annavaram","","","","","1","1","255","255","0","100.00"
"Annavaram","","","","","1","4","1808","1808","0","100.00"
"Annavaram","","","","","1","2","1748","1748","0","100.00"
"Anneraopeta","","","","","1","4","902","902","0","100.00"
"Anumanchipalle","","","","","1","1","289","289","0","100.00"
"Anumollanka","","","","","1","1","420","420","0","100.00"
"Appapuram","","","","","1","1","136","136","0","100.00"
"Appikatla","","","","","1","2","674","674","0","100.00"
"Aripirala","","","","","1","3","346","346","0","100.00"
"Arisepalle","","","","","1","4","685","685","0","100.00"
"Arlapadu","","","","","1","3","735","735","0","100.00"
"Arthamuru","","","","","1","3","990","990","0","100.00"
"Arugolanu","","","","","1","3","937","937","0","100.00"
"Arugolanupeta","","","","","1","2","900","900","0","100.00"
"Aswaraopalem","","","","","1","1","507","507","0","100.00"
"Atapaka","","","","","1","2","1582","1582","0","100.00"
"Atkuru","","","","","1","2","1530","1530","0","100.00"
"Atlapragada","","","","","1","1","515","515","0","100.00"
"Atukuru","","","","","1","1","621","621","0","100.00"
"Avakuru","","","","","1","2","304","304","0","100.00"
"Avanigadda","","","","","1","9","6524","6524","0","100.00"
"Avurupudi","","","","","1","1","702","702","0","100.00"
"Ayodhya","","","","","1","1","22","22","0","100.00"
"Ayyanki","","","","","1","3","1092","1092","0","100.00"
"Ayyavari Rudravaram","","","","","1","3","667","667","0","100.00"
"Bahubalendrunigudem","","","","","1","1","551","551","0","100.00"
"Bahussainpalem","","","","","1","1","45","45","0","100.00"
"Balive","","","","","1","3","553","553","0","100.00"
"Balliparru","","","","","1","1","478","478","0","100.00"
"Balliparru","","","","","1","1","219","219","0","100.00"
"Balliparru","","","","","1","1","211","211","0","100.00"
"Balusupadu","","","","","1","5","2768","2768","0","100.00"
"Bandarugudem","","","","","1","2","640","640","0","100.00"
"Bandipalem","","","","","1","6","2601","2601","0","100.00"
"Bantumilli","","","","","1","1","2586","2586","0","100.00"
"Bapulapadu","","","","","1","6","5286","5286","0","100.00"
"Barlapudi","","","","","1","1","459","459","0","100.00"
"Barripadu","","","","","1","1","216","216","0","100.00"
"Bathinapadu","","","","","1","4","432","432","0","100.00"
"Bathulavarigudem","","","","","1","3","738","738","0","100.00"
"Bethavolu  (R)","","","","","1","1","31","31","0","100.00"
"Bhatla Penumarru","","","","","1","3","1721","1721","0","100.00"
"Bhavadevarapalle","","","","","1","1","684","684","0","100.00"
"Bhimavaram","","","","","1","6","1014","1014","0","100.00"
"Bhimavarappadu","","","","","1","3","687","687","0","100.00"
"Bhogireddipalle","","","","","1","3","625","625","0","100.00"
"Bhujabalapatnam","","","","","1","4","1808","1808","0","100.00"
"Bhushanagulla (R)","","","","","1","3","628","628","0","100.00"
"Bhyravapatnam","","","","","1","2","584","584","0","100.00"
"Billanapalle","","","","","1","1","435","435","0","100.00"
"Billapadu (R)","","","","","1","2","1024","1024","0","100.00"
"Birudugadda","","","","","1","1","35","35","0","100.00"
"Bobbarlanka","","","","","1","2","233","233","0","100.00"
"Bobbellapadu","","","","","1","3","378","378","0","100.00"
"Bodavada","","","","","1","4","330","330","0","100.00"
"Boddanapalle","","","","","1","3","99","99","0","100.00"
"Boddapadu","","","","","1","2","485","485","0","100.00"
"Bokinala","","","","","1","1","128","128","0","100.00"
"Bollapadu","","","","","1","2","491","491","0","100.00"
"Bollapadu","","","","","1","1","65","65","0","100.00"
"Bomminampadu","","","","","1","7","867","867","0","100.00"
"Bommuluru","","","","","1","2","680","680","0","100.00"
"Bommuluru","","","","","1","1","658","658","0","100.00"
"Bommuluru Khandrika","","","","","1","1","51","51","0","100.00"
"Boravancha","","","","","1","5","1325","1325","0","100.00"
"Borrapothupalem","","","","","1","2","391","391","0","100.00"
"Brahmabotlapalem","","","","","1","1","182","182","0","100.00"
"Buchavaram","","","","","1","1","155","155","0","100.00"
"Budawada","","","","","1","3","1642","1642","0","100.00"
"Buddalapalem","","","","","1","2","476","476","0","100.00"
"Buddavaram","","","","","1","3","3970","3970","0","100.00"
"Burugugudem","","","","","1","1","200","200","0","100.00"
"Buthumillipadu","","","","","1","1","99","99","0","100.00"
"Chagantipadu","","","","","1","5","947","947","0","100.00"
"Chagantipadu","","","","","1","1","315","315","0","100.00"
"Chakkapalle","","","","","1","3","872","872","0","100.00"
"Chalivendrapalem","","","","","1","2","510","510","0","100.00"
"Challapalle","","","","","1","3","4594","4594","0","100.00"
"Chandala","","","","","1","2","265","265","0","100.00"
"Chandapuram","","","","","1","3","560","560","0","100.00"
"Chandarlapadu","","","","","1","5","2591","2591","0","100.00"
"Chandragudem","","","","","1","1","1016","1016","0","100.00"
"Chandrala","","","","","1","3","426","426","0","100.00"
"Chandrala","","","","","1","1","786","786","0","100.00"
"Chandrupatla","","","","","1","5","345","345","0","100.00"
"Chanubanda","","","","","1","3","172","172","0","100.00"
"Chatrai","","","","","1","3","1550","1550","0","100.00"
"Chattannavaram","","","","","1","2","278","278","0","100.00"
"Chavalipadu","","","","","1","1","404","404","0","100.00"
"Chavatapalle","","","","","1","3","540","540","0","100.00"
"Chedurthipadu","","","","","1","1","103","103","0","100.00"
"Cheedepudi","","","","","1","1","10","10","0","100.00"
"Cheemalapadu","","","","","1","3","568","568","0","100.00"
"Chegireddipadu","","","","","1","1","327","327","0","100.00"
"Chennaraopalem","","","","","1","3","324","324","0","100.00"
"Chennavaram","","","","","1","1","39","39","0","100.00"
"Chennuru","","","","","1","3","970","970","0","100.00"
"Chennuruvaripalem","","","","","1","1","15","15","0","100.00"
"Cherkumilli","","","","","1","2","364","364","0","100.00"
"Cheruvu Madhavaram","","","","","1","1","903","903","0","100.00"
"Cheruvupalle","","","","","1","1","19","19","0","100.00"
"Chevendra","","","","","1","4","632","632","0","100.00"
"Chevitikallu","","","","","1","3","792","792","0","100.00"
"Chevuru","","","","","1","5","1065","1065","0","100.00"
"Chevuturu","","","","","1","1","881","881","0","100.00"
"Chigurukota","","","","","1","4","967","967","0","100.00"
"Chikinala","","","","","1","2","105","105","0","100.00"
"Chikkavaram","","","","","1","2","438","438","0","100.00"
"Chilakalapudi","","","","","1","3","205","205","0","100.00"
"Chilakalapudi (R)","","","","","1","1","761","761","0","100.00"
"Chilakamudi","","","","","1","1","58","58","0","100.00"
"Chillaboyinapalle","","","","","1","2","441","441","0","100.00"
"Chillakallu","","","","","1","5","2892","2892","0","100.00"
"Chilukuru","","","","","1","3","1083","1083","0","100.00"
"China Avutapalle","","","","","1","1","598","598","0","100.00"
"China Kallepalle","","","","","1","1","96","96","0","100.00"
"China Kamanapudi","","","","","1","1","180","180","0","100.00"
"China Modugapalle","","","","","1","3","300","300","0","100.00"
"China Ogirala","","","","","1","1","938","938","0","100.00"
"China Pandraka","","","","","1","5","1124","1124","0","100.00"
"China Yerukapadu","","","","","1","1","288","288","0","100.00"
"Chinagollapalem","","","","","1","5","1719","1719","0","100.00"
"Chinagonnuru","","","","","1","3","103","103","0","100.00"
"Chinalingala","","","","","1","1","137","137","0","100.00"
"Chinamuttevi","","","","","1","1","981","981","0","100.00"
"Chinapalaparru","","","","","1","5","409","409","0","100.00"
"Chinaparupudi","","","","","1","2","1065","1065","0","100.00"
"Chinapulipaka","","","","","1","2","312","312","0","100.00"
"Chinatummidi","","","","","1","1","211","211","0","100.00"
"Chinnampet","","","","","1","2","303","303","0","100.00"
"Chinnapuram","","","","","1","3","2220","2220","0","100.00"
"Chintalapadu","","","","","1","3","1019","1019","0","100.00"
"Chintalapadu","","","","","1","3","509","509","0","100.00"
"Chintalapudi","","","","","1","1","64","64","0","100.00"
"Chintalavalli","","","","","1","3","1426","1426","0","100.00"
"Chintapadu","","","","","1","2","534","534","0","100.00"
"Chirichintala","","","","","1","1","321","321","0","100.00"
"Chirivada","","","","","1","1","426","426","0","100.00"
"Chiruvolu","","","","","1","4","721","721","0","100.00"
"Chiruvolu Lanka","","","","","1","5","378","378","0","100.00"
"Chitram","","","","","1","2","159","159","0","100.00"
"Chittapur","","","","","1","4","615","615","0","100.00"
"Chittela","","","","","1","1","96","96","0","100.00"
"Chittela","","","","","1","3","345","345","0","100.00"
"Chittiguduru","","","","","1","1","285","285","0","100.00"
"Chitturpu","","","","","1","2","223","223","0","100.00"
"Chitturu","","","","","1","1","450","450","0","100.00"
"Chodavaram","","","","","1","3","1676","1676","0","100.00"
"Chodavaram","","","","","1","1","255","255","0","100.00"
"Chodavaram","","","","","1","2","291","291","0","100.00"
"Chopparametla","","","","","1","4","775","775","0","100.00"
"Choragudi","","","","","1","4","1105","1105","0","100.00"
"Chorampudi","","","","","1","8","1277","1277","0","100.00"
"Chowtapalle","","","","","1","3","628","628","0","100.00"
"Dabbakupalle","","","","","1","3","865","865","0","100.00"
"Dachavaram","","","","","1","2","188","188","0","100.00"
"Dakaram","","","","","1","2","173","173","0","100.00"
"Daliparru","","","","","1","1","352","352","0","100.00"
"Damuluru","","","","","1","6","657","657","0","100.00"
"Damuluru","","","","","1","5","858","858","0","100.00"
"Dandiganapudi","","","","","1","2","375","375","0","100.00"
"Dantaguntla","","","","","1","1","210","210","0","100.00"
"Dasullapalem","","","","","1","1","1016","1016","0","100.00"
"Davuluru","","","","","1","2","599","599","0","100.00"
"Dayyampadu","","","","","1","3","406","406","0","100.00"
"Dechupalem","","","","","1","4","270","270","0","100.00"
"Devapudi","","","","","1","1","11","11","0","100.00"
"Devaragunta","","","","","1","2","2111","2111","0","100.00"
"Devarakota","","","","","1","1","320","320","0","100.00"
"Devaram","","","","","1","1","97","97","0","100.00"
"Devarapalle","","","","","1","1","137","137","0","100.00"
"Devarapalle","","","","","1","4","625","625","0","100.00"
"Dibbanapudi","","","","","1","1","11","11","0","100.00"
"Digavalli","","","","","1","7","2069","2069","0","100.00"
"Dirisavalli","","","","","1","1","107","107","0","100.00"
"Dodda Devarapadu","","","","","1","3","531","531","0","100.00"
"Doddipatla","","","","","1","1","378","378","0","100.00"
"Dokiparru","","","","","1","10","1037","1037","0","100.00"
"Dondapadu","","","","","1","2","998","998","0","100.00"
"Done Atkuru (OG)","","","","","1","1","254","254","0","100.00"
"Duggiralapadu","","","","","1","2","327","327","0","100.00"
"Dundiralapadu","","","","","1","4","333","333","0","100.00"
"Edara","","","","","1","3","1518","1518","0","100.00"
"Edepalle","","","","","1","1","120","120","0","100.00"
"Edlanka","","","","","1","3","216","216","0","100.00"
"Edulagudem","","","","","1","1","798","798","0","100.00"
"Edulamaddali","","","","","1","1","451","451","0","100.00"
