"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Gokulapadu","","","","","1","2","784","784","0","100.00"
"A.Gonehal","","","","","1","1","68","68","0","100.00"
"Abdullapuram","","","","","1","1","746","746","0","100.00"
"Abdullapuram","","","","","1","1","721","721","0","100.00"
"Agasaladinne","","","","","1","1","219","219","0","100.00"
"Agasanur","","","","","1","1","262","262","0","100.00"
"Agaveli","","","","","1","1","256","256","0","100.00"
"Ahobilam","","","","","1","2","1352","1352","0","100.00"
"Akumalla","","","","","1","1","664","664","0","100.00"
"Alaganur","","","","","1","1","350","350","0","100.00"
"Alamkonda","","","","","1","3","530","530","0","100.00"
"Alamur","","","","","1","5","1719","1719","0","100.00"
"Alamur","","","","","1","2","1059","1059","0","100.00"
"Allagadda","","","","","1","1","11630","11630","0","100.00"
"Allur","","","","","1","1","720","720","0","100.00"
"Allur","","","","","1","1","725","725","0","100.00"
"Alur","","","","","1","1","3614","3614","0","100.00"
"Alvakonda","","","","","1","2","910","910","0","100.00"
"Alwala","","","","","1","3","463","463","0","100.00"
"Amadaguntla","","","","","1","1","739","739","0","100.00"
"Amadala","","","","","1","1","586","586","0","100.00"
"Amakathadu","","","","","1","4","1117","1117","0","100.00"
"Ambapuram","","","","","1","1","389","389","0","100.00"
"Amruthapuram","","","","","1","1","114","114","0","100.00"
"Angaskal","","","","","1","1","146","146","0","100.00"
"Annavaram","","","","","1","1","141","141","0","100.00"
"Anugonda","","","","","1","1","653","653","0","100.00"
"Anupur","","","","","1","2","203","203","0","100.00"
"Appalapuram","","","","","1","1","299","299","0","100.00"
"Arekal","","","","","1","1","427","427","0","100.00"
"Arikera","","","","","1","2","775","775","0","100.00"
"Arjunapuram","","","","","1","1","325","325","0","100.00"
"Arlabanda","","","","","1","1","388","388","0","100.00"
"Aspari","","","","","1","1","1439","1439","0","100.00"
"Atmakur","","","","","1","3","2192","2192","0","100.00"
"Ayyalur (Part)","","","","","1","3","2081","2081","0","100.00"
"Ayyavari Kodur","","","","","1","1","912","912","0","100.00"
"B. Thandrapadu (OG)","","","","","1","1","2803","2803","0","100.00"
"Bachepalle","","","","","1","3","1072","1072","0","100.00"
"Badinehal","","","","","1","1","786","786","0","100.00"
"Bairlutygudem","","","","","1","1","166","166","0","100.00"
"Baladur","","","","","1","1","84","84","0","100.00"
"Balapanur","","","","","1","2","857","857","0","100.00"
"Ballekallu","","","","","1","1","589","589","0","100.00"
"Ballur","","","","","1","1","141","141","0","100.00"
"Banaganapalle (CT)","","","","","1","1","10312","10312","0","100.00"
"Banavanur","","","","","1","1","355","355","0","100.00"
"Banavasi","","","","","1","3","962","962","0","100.00"
"Bandameedi Agraharam","","","","","1","1","364","364","0","100.00"
"Bandi Atmakur","","","","","1","2","2844","2844","0","100.00"
"Bannur","","","","","1","3","2464","2464","0","100.00"
"Bannur","","","","","1","1","290","290","0","100.00"
"Bantakunta","","","","","1","1","197","197","0","100.00"
"Bantanahal","","","","","1","1","393","393","0","100.00"
"Banumukkala (CT)","","","","","1","1","168","168","0","100.00"
"Bapaladoddi","","","","","1","1","137","137","0","100.00"
"Bapuram","","","","","1","1","299","299","0","100.00"
"Bapuram","","","","","1","1","303","303","0","100.00"
"Basaladoddi","","","","","1","1","472","472","0","100.00"
"Basapuram","","","","","1","1","298","298","0","100.00"
"Basapuram (OG)","","","","","1","1","598","598","0","100.00"
"Basarakodu","","","","","1","2","435","435","0","100.00"
"Basavapuram","","","","","1","2","365","365","0","100.00"
"Basavapuram","","","","","1","3","140","140","0","100.00"
"Bastipadu","","","","","1","2","852","852","0","100.00"
"Bathalur","","","","","1","5","954","954","0","100.00"
"Bathulurupadu","","","","","1","1","163","163","0","100.00"
"Batra Bommalapuram","","","","","1","1","52","52","0","100.00"
"Battuvaripalle","","","","","1","1","64","64","0","100.00"
"Bayyapu Kodur","","","","","1","2","1193","1193","0","100.00"
"Beeravolu","","","","","1","1","725","725","0","100.00"
"Beeravolu","","","","","1","2","1280","1280","0","100.00"
"Beeravolu","","","","","1","1","70","70","0","100.00"
"Belagallu","","","","","1","3","748","748","0","100.00"
"Beldona","","","","","1","1","558","558","0","100.00"
"Bellavaram","","","","","1","1","528","528","0","100.00"
"Belum","","","","","1","1","1120","1120","0","100.00"
"Belumsingavaram","","","","","1","1","397","397","0","100.00"
"Benigeri","","","","","1","1","437","437","0","100.00"
"Bethamcherla (CT)","","","","","1","1","9662","9662","0","100.00"
"Bevinhal","","","","","1","1","148","148","0","100.00"
"Bhanumukkala","","","","","1","4","1073","1073","0","100.00"
"Bheemavaram","","","","","1","1","531","531","0","100.00"
"Bheemunipadu","","","","","1","1","628","628","0","100.00"
"Bhogolu","","","","","1","2","698","698","0","100.00"
"Bhojanam","","","","","1","1","279","279","0","100.00"
"Bhupanapadu","","","","","1","1","525","525","0","100.00"
"Bijinavemula","","","","","1","1","518","518","0","100.00"
"Bijinavemula","","","","","1","1","641","641","0","100.00"
"Bilakala Gudur","","","","","1","2","1430","1430","0","100.00"
"Bilehal","","","","","1","1","334","334","0","100.00"
"Billalapuram","","","","","1","1","456","456","0","100.00"
"Billekallu","","","","","1","3","725","725","0","100.00"
"Bodduvanipalle","","","","","1","1","12","12","0","100.00"
"Bodemmanur","","","","","1","2","556","556","0","100.00"
"Bollavaram","","","","","1","2","1254","1254","0","100.00"
"Bollavaram","","","","","1","1","666","666","0","100.00"
"Bollavaram","","","","","1","1","15","15","0","100.00"
"Bolugota","","","","","1","1","106","106","0","100.00"
"Bompalle","","","","","1","2","618","618","0","100.00"
"Bondaladinne","","","","","1","1","226","226","0","100.00"
"Bondimadugula","","","","","1","3","623","623","0","100.00"
"Boyala Tadipatri","","","","","1","1","285","285","0","100.00"
"Boyala Uppalur","","","","","1","2","608","608","0","100.00"
"Boyalakuntla","","","","","1","1","778","778","0","100.00"
"Boyarevula","","","","","1","2","839","839","0","100.00"
"Brahmanadoddi","","","","","1","2","728","728","0","100.00"
"Brahmanakotkur","","","","","1","1","1632","1632","0","100.00"
"Brahmanapalle","","","","","1","2","387","387","0","100.00"
"Brahmanapalle","","","","","1","1","114","114","0","100.00"
"Brahmanapalle","","","","","1","1","270","270","0","100.00"
"Budidapadu","","","","","1","1","648","648","0","100.00"
"Budur","","","","","1","1","356","356","0","100.00"
"Bugganipalle","","","","","1","1","125","125","0","100.00"
"Bujanur","","","","","1","2","771","771","0","100.00"
"Bukkapuram","","","","","1","4","1580","1580","0","100.00"
"Bukkapuram","","","","","1","2","429","429","0","100.00"
"Burandoddi","","","","","1","4","1166","1166","0","100.00"
"Burrareddipalle","","","","","1","1","185","185","0","100.00"
"Burugula","","","","","1","4","1355","1355","0","100.00"
"Burujula","","","","","1","1","533","533","0","100.00"
"Bychigeri","","","","","1","2","656","656","0","100.00"
"Byluppala","","","","","1","1","340","340","0","100.00"
"Byrapuram","","","","","1","1","229","229","0","100.00"
"C.Belagal","","","","","1","2","2560","2560","0","100.00"
"Chabolu","","","","","1","2","1477","1477","0","100.00"
"Chagalamarri","","","","","1","2","5731","5731","0","100.00"
"Chagi","","","","","1","1","73","73","0","100.00"
"Chakarajuvemula","","","","","1","2","1421","1421","0","100.00"
"Chakibanda","","","","","1","1","192","192","0","100.00"
"Chakkaralla","","","","","1","3","589","589","0","100.00"
"Chamalaguduru","","","","","1","1","820","820","0","100.00"
"Chandalur","","","","","1","1","220","220","0","100.00"
"Chandrapalle","","","","","1","3","842","842","0","100.00"
"Chanugondla","","","","","1","2","643","643","0","100.00"
"Chanugondla","","","","","1","2","498","498","0","100.00"
"Chanugondla","","","","","1","2","1311","1311","0","100.00"
"Chapirevula","","","","","1","3","1775","1775","0","100.00"
"Chelimella","","","","","1","3","791","791","0","100.00"
"Chellelichelimala","","","","","1","4","653","653","0","100.00"
"Chennakkapalle","","","","","1","3","408","408","0","100.00"
"Chennampalle","","","","","1","7","1350","1350","0","100.00"
"Chennampalle","","","","","1","1","355","355","0","100.00"
"Chennur","","","","","1","3","1069","1069","0","100.00"
"Cherakucherla","","","","","1","1","550","550","0","100.00"
"Cherlapalle","","","","","1","2","2212","2212","0","100.00"
"Cherlokothuru","","","","","1","1","228","228","0","100.00"
"Cherukulapadu","","","","","1","2","1102","1102","0","100.00"
"Cherupalle","","","","","1","1","546","546","0","100.00"
"Chetla Mallapuram","","","","","1","1","295","295","0","100.00"
"Chetnihalli","","","","","1","1","624","624","0","100.00"
"Chigeli","","","","","1","1","608","608","0","100.00"
"Chilakala","","","","","1","1","511","511","0","100.00"
"Chilakaladona","","","","","1","1","608","608","0","100.00"
"Chilakaloor","","","","","1","2","355","355","0","100.00"
"Chindukuru","","","","","1","2","971","971","0","100.00"
"Chinna Bodhanam","","","","","1","2","720","720","0","100.00"
"Chinna Gonehal","","","","","1","1","147","147","0","100.00"
"Chinna Harivanam","","","","","1","1","375","375","0","100.00"
"Chinna Hulthi","","","","","1","1","431","431","0","100.00"
"Chinna Kadubur","","","","","1","1","334","334","0","100.00"
"Chinna Kambaloor","","","","","1","2","1086","1086","0","100.00"
"Chinna Kopperla","","","","","1","2","651","651","0","100.00"
"Chinna Tekur","","","","","1","1","1075","1075","0","100.00"
"Chinna Vangali","","","","","1","1","470","470","0","100.00"
"Chinnahothur","","","","","1","1","490","490","0","100.00"
"Chinnahyta","","","","","1","2","337","337","0","100.00"
"Chinnakothiliki","","","","","1","1","141","141","0","100.00"
"Chinnapendekal","","","","","1","2","587","587","0","100.00"
"Chinnatumbalam","","","","","1","4","800","800","0","100.00"
"Chinta Kommadinne","","","","","1","1","410","410","0","100.00"
"Chintakunta","","","","","1","1","343","343","0","100.00"
"Chintakunta","","","","","1","1","1574","1574","0","100.00"
"Chintala Cheruvu","","","","","1","3","300","300","0","100.00"
"Chintalapalle","","","","","1","2","693","693","0","100.00"
"Chintalayapalle","","","","","1","3","1812","1812","0","100.00"
"Chinthakunta","","","","","1","1","960","960","0","100.00"
"Chippagiri","","","","","1","1","1073","1073","0","100.00"
"Chiramandoddi","","","","","1","1","323","323","0","100.00"
"Chirtapalle","","","","","1","1","286","286","0","100.00"
"Chirthanakal","","","","","1","1","167","167","0","100.00"
"Chityala","","","","","1","2","1067","1067","0","100.00"
"Chokkanahalli","","","","","1","1","50","50","0","100.00"
"Chowtakur","","","","","1","2","660","660","0","100.00"
"Chudi","","","","","1","2","412","412","0","100.00"
"Chunchu Yerragudi","","","","","1","3","574","574","0","100.00"
"Damagatla","","","","","1","1","742","742","0","100.00"
"Dantalavanipenta","","","","","1","4","616","616","0","100.00"
"Dattapuram","","","","","1","1","80","80","0","100.00"
"Dayyalaguddam","","","","","1","1","56","56","0","100.00"
"Deebaguntla","","","","","1","2","378","378","0","100.00"
"Degalahal","","","","","1","1","413","413","0","100.00"
"Devamada","","","","","1","1","248","248","0","100.00"
"Devanabanda","","","","","1","1","487","487","0","100.00"
"Devanakonda","","","","","1","2","2145","2145","0","100.00"
"Devanur","","","","","1","2","410","410","0","100.00"
"Devarabanda","","","","","1","3","1041","1041","0","100.00"
"Devarabetta","","","","","1","1","262","262","0","100.00"
"Devarayapuram","","","","","1","1","402","402","0","100.00"
"Devibetta","","","","","1","1","268","268","0","100.00"
"Dhanapuram (OG)","","","","","1","1","522","522","0","100.00"
"Dharmapuram","","","","","1","1","71","71","0","100.00"
"Dhone (R) @ Dronachalam","","","","","1","5","3124","3124","0","100.00"
"Dibbanadoddi","","","","","1","1","125","125","0","100.00"
"Dibbanakal","","","","","1","1","444","444","0","100.00"
"Diguvapadu","","","","","1","1","410","410","0","100.00"
"Dinnadevarapadu (OG)","","","","","1","2","2138","2138","0","100.00"
"Divamdinne","","","","","1","1","748","748","0","100.00"
"Doddanakeri","","","","","1","1","476","476","0","100.00"
"Dommaladinne","","","","","1","1","119","119","0","100.00"
"Dornipadu","","","","","1","2","2141","2141","0","100.00"
"Doulathapuram","","","","","1","1","329","329","0","100.00"
"Dudadudi Kotakonda","","","","","1","3","369","369","0","100.00"
"Duddi","","","","","1","2","531","531","0","100.00"
"Dudekonda","","","","","1","4","1221","1221","0","100.00"
"Dudyala","","","","","1","2","1140","1140","0","100.00"
"Dupadu","","","","","1","2","426","426","0","100.00"
"Durvesi","","","","","1","1","1097","1097","0","100.00"
"E.Thandrapadu","","","","","1","1","1664","1664","0","100.00"
"Echalahal","","","","","1","1","123","123","0","100.00"
"Edavali","","","","","1","1","261","261","0","100.00"
"Edduladoddi","","","","","1","2","571","571","0","100.00"
"Eddupenta","","","","","1","5","1021","1021","0","100.00"
"Edurupadu","","","","","1","2","428","428","0","100.00"
"Edurur","","","","","1","1","258","258","0","100.00"
"Eggoni","","","","","1","2","204","204","0","100.00"
"Ellavathula","","","","","1","1","406","406","0","100.00"
"Emboy","","","","","1","5","1248","1248","0","100.00"
"Enakandla","","","","","1","1","821","821","0","100.00"
"Enigabala","","","","","1","1","240","240","0","100.00"
"Ernapadu","","","","","1","3","1393","1393","0","100.00"
"Errabadu","","","","","1","2","575","575","0","100.00"
"Erragudi","","","","","1","1","219","219","0","100.00"
"Erragudidinne","","","","","1","1","120","120","0","100.00"
"Erramatam","","","","","1","1","462","462","0","100.00"
"G.Hosalli","","","","","1","1","374","374","0","100.00"
"G.Jambuladinne","","","","","1","3","916","916","0","100.00"
"G.Singavaram","","","","","1","2","620","620","0","100.00"
"Gadigarevula","","","","","1","1","2784","2784","0","100.00"
"Gadivemula","","","","","1","1","663","663","0","100.00"
