"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbaya Palem","","","","","1","1","92","92","0","100.00"
"Addanki (North) (U)","","","","","1","4","14054","14054","0","100.00"
"Addanki (South) (U)","","","","","1","4","1023","1023","0","100.00"
"Adusumalle","","","","","1","1","619","619","0","100.00"
"Akaveedu","","","","","1","3","1144","1144","0","100.00"
"Akka Cheruvu","","","","","1","1","313","313","0","100.00"
"Akkacheruvu","","","","","1","1","15","15","0","100.00"
"Akkamamba Puram","","","","","1","1","28","28","0","100.00"
"Alavalapadu","","","","","1","2","682","682","0","100.00"
"Alavalapadu","","","","","1","1","836","836","0","100.00"
"Allatam","","","","","1","1","9","9","0","100.00"
"Alli Palem","","","","","1","1","8","8","0","100.00"
"Allinagaram","","","","","1","6","578","578","0","100.00"
"Allur","","","","","1","9","2798","2798","0","100.00"
"Alluru Kotha Patnam","","","","","1","1","4597","4597","0","100.00"
"Ambapuram","","","","","1","1","122","122","0","100.00"
"Ambapuram","","","","","1","1","130","130","0","100.00"
"Ambavaram","","","","","1","2","387","387","0","100.00"
"Ambavaram","","","","","1","5","1048","1048","0","100.00"
"Ammana Brolu","","","","","1","2","2198","2198","0","100.00"
"Ammani Gudi Padu","","","","","1","3","525","525","0","100.00"
"Ammavari Palem","","","","","1","2","883","883","0","100.00"
"Amudala Palle","","","","","1","1","158","158","0","100.00"
"Anakarlapudi","","","","","1","2","1047","1047","0","100.00"
"Anamanamur","","","","","1","1","258","258","0","100.00"
"Anandapuram","","","","","1","1","23","23","0","100.00"
"Anantha Palle","","","","","1","1","50","50","0","100.00"
"Anantha Sagaram","","","","","1","1","234","234","0","100.00"
"Ananthavaram","","","","","1","1","186","186","0","100.00"
"Ananthavaram","","","","","1","1","679","679","0","100.00"
"Ananthavaram","","","","","1","4","489","489","0","100.00"
"Anikalla Palle","","","","","1","3","289","289","0","100.00"
"Ankepalle","","","","","1","1","281","281","0","100.00"
"Anna Varam","","","","","1","1","227","227","0","100.00"
"Anna Varam","","","","","1","1","154","154","0","100.00"
"Annada Puram","","","","","1","1","33","33","0","100.00"
"Annangi","","","","","1","2","918","918","0","100.00"
"Annasamudram","","","","","1","4","577","577","0","100.00"
"Anneboinapalle","","","","","1","2","380","380","0","100.00"
"Anumalakonda","","","","","1","1","28","28","0","100.00"
"Anumula Palle","","","","","1","3","736","736","0","100.00"
"Aravallipadu","","","","","1","1","417","417","0","100.00"
"Ardhaveedu","","","","","1","3","1538","1538","0","100.00"
"Arivemula","","","","","1","1","305","305","0","100.00"
"Aswarayuni Palem","","","","","1","1","28","28","0","100.00"
"Atmakur","","","","","1","4","579","579","0","100.00"
"Audi Pudi","","","","","1","3","1347","1347","0","100.00"
"Auranga Bad","","","","","1","1","101","101","0","100.00"
"Avisanavaripalem","","","","","1","1","33","33","0","100.00"
"Avulamanda","","","","","1","6","2110","2110","0","100.00"
"Ayinamukkala","","","","","1","4","996","996","0","100.00"
"Ayyagari Palle","","","","","1","2","452","452","0","100.00"
"Ayyanapalem","","","","","1","1","45","45","0","100.00"
"Ayyannakota","","","","","1","2","263","263","0","100.00"
"Ayyaparaju Palem","","","","","1","3","360","360","0","100.00"
"Ayyavari Palle","","","","","1","1","80","80","0","100.00"
"Ayyavaripalle","","","","","1","6","844","844","0","100.00"
"Ayyavaripalle","","","","","1","2","249","249","0","100.00"
"Bada Puram","","","","","1","1","28","28","0","100.00"
"Baddepudi","","","","","1","1","379","379","0","100.00"
"Badekhanpeta","","","","","1","1","48","48","0","100.00"
"Badineni Palle","","","","","1","1","161","161","0","100.00"
"Baduguleru","","","","","1","3","957","957","0","100.00"
"Badveedu","","","","","1","3","687","687","0","100.00"
"Bai Penta","","","","","1","1","6","6","0","100.00"
"Bala Puram","","","","","1","1","28","28","0","100.00"
"Balavenkata Puram","","","","","1","1","80","80","0","100.00"
"Balijapalem","","","","","1","1","254","254","0","100.00"
"Ballavaram","","","","","1","1","117","117","0","100.00"
"Balli Palle","","","","","1","4","803","803","0","100.00"
"Ballikurava","","","","","1","2","758","758","0","100.00"
"Bandellapaya","","","","","1","1","20","20","0","100.00"
"Bandiveligandla","","","","","1","3","765","765","0","100.00"
"Bandlamudi","","","","","1","2","582","582","0","100.00"
"Basava Puram","","","","","1","1","90","90","0","100.00"
"Basava Puram","","","","","1","1","313","313","0","100.00"
"Basine Palle","","","","","1","5","858","858","0","100.00"
"Basireddy Palem","","","","","1","3","1076","1076","0","100.00"
"Batchalakurapadu","","","","","1","3","320","320","0","100.00"
"Battepadu","","","","","1","1","117","117","0","100.00"
"Battupalle","","","","","1","2","255","255","0","100.00"
"Bayya Varam","","","","","1","1","267","267","0","100.00"
"Bedusu Palle","","","","","1","1","87","87","0","100.00"
"Bellamkondavari Palem","","","","","1","1","239","239","0","100.00"
"Bestawaripeta","","","","","1","1","75","75","0","100.00"
"Bhatla Machavaram","","","","","1","2","960","960","0","100.00"
"Bhatla Palle","","","","","1","2","396","396","0","100.00"
"Bheemavaram","","","","","1","1","38","38","0","100.00"
"Bheemavaram","","","","","1","2","872","872","0","100.00"
"Bhimavaram","","","","","1","1","542","542","0","100.00"
"Bhumanapalle","","","","","1","1","305","305","0","100.00"
"Bhupana Guntla","","","","","1","1","50","50","0","100.00"
"Bhupathi Palle","","","","","1","3","1068","1068","0","100.00"
"Bhusura Palle","","","","","1","1","203","203","0","100.00"
"Billagondi Penta","","","","","1","1","8","8","0","100.00"
"Bingini Palle","","","","","1","4","858","858","0","100.00"
"Bobbe Palle","","","","","1","2","1485","1485","0","100.00"
"Boda Padu","","","","","1","1","193","193","0","100.00"
"Bodanampadu","","","","","1","1","621","621","0","100.00"
"Bodavada","","","","","1","1","30","30","0","100.00"
"Bodavula Dinne","","","","","1","1","124","124","0","100.00"
"Bodawadamandagunta","","","","","1","1","544","544","0","100.00"
"Boddikura Padu","","","","","1","5","2058","2058","0","100.00"
"Bodduvani Palem","","","","","1","5","5174","5174","0","100.00"
"Bogada","","","","","1","1","237","237","0","100.00"
"Boganampadu","","","","","1","3","889","889","0","100.00"
"Bogolu","","","","","1","2","687","687","0","100.00"
"Bolla Palle","","","","","1","2","1204","1204","0","100.00"
"Bollu Palle","","","","","1","2","380","380","0","100.00"
"Bommanampadu","","","","","1","2","676","676","0","100.00"
"Bommireddi Palle","","","","","1","7","1630","1630","0","100.00"
"Bondala Padu","","","","","1","1","178","178","0","100.00"
"Bontha Vari Palle","","","","","1","1","60","60","0","100.00"
"Bonthagunta Palle","","","","","1","1","33","33","0","100.00"
"Botla Gudur","","","","","1","7","1917","1917","0","100.00"
"Boyada Gumpula","","","","","1","1","11","11","0","100.00"
"Boyala Palle","","","","","1","3","498","498","0","100.00"
"Boyala Palle (S.H.O)","","","","","1","1","25","25","0","100.00"
"Boyamadugula","","","","","1","2","213","213","0","100.00"
"Brahmana Palle","","","","","1","2","84","84","0","100.00"
"Brundavanam","","","","","1","2","300","300","0","100.00"
"Budamkayala Padu","","","","","1","1","64","64","0","100.00"
"Budavada","","","","","1","2","1015","1015","0","100.00"
"Budavada","","","","","1","3","1035","1035","0","100.00"
"Bukka Puram","","","","","1","1","28","28","0","100.00"
"Bukkapuram","","","","","1","2","320","320","0","100.00"
"Burada Palem","","","","","1","1","70","70","0","100.00"
"Buru Gundala","","","","","1","1","50","50","0","100.00"
"Bytamanjulur","","","","","1","1","371","371","0","100.00"
"C G Anantha Bhotla Vari Khandrika","","","","","1","1","110","110","0","100.00"
"C G Chamarthivarikhandrika","","","","","1","1","153","153","0","100.00"
"C G Mamidalavarikhandrika","","","","","1","1","247","247","0","100.00"
"Chadalawada","","","","","1","2","857","857","0","100.00"
"Chagallu","","","","","1","2","307","307","0","100.00"
"Chaki Cherla","","","","","1","12","1520","1520","0","100.00"
"Chakirala","","","","","1","6","1165","1165","0","100.00"
"Chakraya Palem","","","","","1","2","367","367","0","100.00"
"Chalivendra","","","","","1","1","180","180","0","100.00"
"Challagirigala","","","","","1","6","1242","1242","0","100.00"
"Chandalur","","","","","1","2","1239","1239","0","100.00"
"Chandaluru","","","","","1","6","1643","1643","0","100.00"
"Chandavaram","","","","","1","2","819","819","0","100.00"
"Chandra Sekhara Puram","","","","","1","1","1145","1145","0","100.00"
"Chandrapadu","","","","","1","2","634","634","0","100.00"
"Chapala Madugu","","","","","1","7","941","941","0","100.00"
"Chatla Mitta","","","","","1","5","960","960","0","100.00"
"Chatti Reddy Palle","","","","","1","1","412","412","0","100.00"
"Chatukupadu","","","","","1","1","511","511","0","100.00"
"Cheemalapenta","","","","","1","1","134","134","0","100.00"
"Cheervanuppala Padu","","","","","1","3","943","943","0","100.00"
"Chejerla","","","","","1","2","321","321","0","100.00"
"Chekura Padu","","","","","1","1","446","446","0","100.00"
"Chenna Reddi Palle","","","","","1","1","395","395","0","100.00"
"Chennakesavapuram","","","","","1","1","45","45","0","100.00"
"Chennapalem","","","","","1","1","45","45","0","100.00"
"Chennapanayuni Palle","","","","","1","2","262","262","0","100.00"
"Chennipadu","","","","","1","4","567","567","0","100.00"
"Chennubhotla Palem","","","","","1","2","198","198","0","100.00"
"Chennupalle","","","","","1","1","530","530","0","100.00"
"Cherukuru","","","","","1","3","1972","1972","0","100.00"
"Cherukuru","","","","","1","9","1464","1464","0","100.00"
"Cheruvu Komma Palem","","","","","1","1","250","250","0","100.00"
"Cheruvu Kommu Palem","","","","","1","1","919","919","0","100.00"
"Chevuru","","","","","1","3","1837","1837","0","100.00"
"Chilaka Cherla Gudem","","","","","1","1","76","76","0","100.00"
"Chilakapadu","","","","","1","1","681","681","0","100.00"
"Chilakapadu","","","","","1","1","34","34","0","100.00"
"Chilamkur","","","","","1","3","195","195","0","100.00"
"Chilamkuru","","","","","1","2","499","499","0","100.00"
"Chimakurthi","","","","","1","2","9983","9983","0","100.00"
"Chimata","","","","","1","5","968","968","0","100.00"
"China Arutla","","","","","1","1","50","50","0","100.00"
"China Cumbum","","","","","1","4","692","692","0","100.00"
"China Dornala","","","","","1","2","713","713","0","100.00"
"China Irlapadu","","","","","1","1","428","428","0","100.00"
"China Manthanala","","","","","1","1","30","30","0","100.00"
"China Obeneni Palle","","","","","1","1","150","150","0","100.00"
"China Ravipadu","","","","","1","1","283","283","0","100.00"
"China Uyyalawada","","","","","1","1","100","100","0","100.00"
"China Venkana Palem","","","","","1","1","342","342","0","100.00"
"Chinaalavala Padu","","","","","1","4","901","901","0","100.00"
