"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abaka","","","","","1","3","194","194","0","100.00"
"Acharlaparlapalle","","","","","1","1","88","88","0","100.00"
"Achukatla","","","","","1","2","157","157","0","100.00"
"Adapamudi","","","","","1","1","54","54","0","100.00"
"Addepalle","","","","","1","1","60","60","0","100.00"
"Addepudi","","","","","1","1","119","119","0","100.00"
"Adhvanna Punarayanakattubadi","","","","","1","1","42","42","0","100.00"
"Adurupalle","","","","","1","1","163","163","0","100.00"
"Akbarabad","","","","","1","2","162","162","0","100.00"
"Akbarnivasa Khandrika","","","","","1","1","62","62","0","100.00"
"Akilavalasa","","","","","1","2","435","435","0","100.00"
"Akkacheruvupadu","","","","","1","1","120","120","0","100.00"
"Akkamambapuram","","","","","1","1","6","6","0","100.00"
"Akkampeta","","","","","1","3","155","155","0","100.00"
"Akkampeta","","","","","1","2","396","396","0","100.00"
"Akkarapaka","","","","","1","9","652","652","0","100.00"
"Akkasamudram","","","","","1","3","266","266","0","100.00"
"Alaganipadu","","","","","1","2","595","595","0","100.00"
"Alimili","","","","","1","4","455","455","0","100.00"
"Alivelu Mangapuram","","","","","1","1","11","11","0","100.00"
"Alivelumangapuram","","","","","1","1","88","88","0","100.00"
"Allampadu","","","","","1","5","556","556","0","100.00"
"Allampadu","","","","","1","1","159","159","0","100.00"
"Allimadugu","","","","","1","6","969","969","0","100.00"
"Allur","","","","","1","13","4191","4191","0","100.00"
"Allurupeta","","","","","1","9","3229","3229","0","100.00"
"Althurthi","","","","","1","3","462","462","0","100.00"
"Althurupadu","","","","","1","3","507","507","0","100.00"
"Alurupadu","","","","","1","4","432","432","0","100.00"
"Amancherla","","","","","1","5","1548","1548","0","100.00"
"Amanichiruvella","","","","","1","4","260","260","0","100.00"
"Ambalapudi","","","","","1","4","313","313","0","100.00"
"Ambapuram","","","","","1","2","260","260","0","100.00"
"Ammapalem","","","","","1","1","223","223","0","100.00"
"Amudalapadu","","","","","1","1","300","300","0","100.00"
"Amulur (South)","","","","","1","2","645","645","0","100.00"
"Anakavolu","","","","","1","2","280","280","0","100.00"
"Ananthamadugu","","","","","1","4","807","807","0","100.00"
"Ananthapuram","","","","","1","1","38","38","0","100.00"
"Ananthapuram","","","","","1","6","1304","1304","0","100.00"
"Ananthasagaram","","","","","1","5","1508","1508","0","100.00"
"Ananthavaram","","","","","1","3","392","392","0","100.00"
"Andagundala","","","","","1","5","734","734","0","100.00"
"Andalamala","","","","","1","1","152","152","0","100.00"
"Anegottam","","","","","1","2","95","95","0","100.00"
"Anemadugu","","","","","1","8","1221","1221","0","100.00"
"Anepudi (Nadimi Khandrika)","","","","","1","1","45","45","0","100.00"
"Anikepalle","","","","","1","4","2135","2135","0","100.00"
"Ankulapaturu","","","","","1","1","178","178","0","100.00"
"Ankupalle","","","","","1","1","100","100","0","100.00"
"Annambaka","","","","","1","1","245","245","0","100.00"
"Annamedu","","","","","1","5","857","857","0","100.00"
"Annareddipalem","","","","","1","3","1347","1347","0","100.00"
"Annavaram","","","","","1","3","1182","1182","0","100.00"
"Anumasamudram","","","","","1","3","346","346","0","100.00"
"Anumasamudrampeta","","","","","1","2","735","735","0","100.00"
"Anupallipadu","","","","","1","1","112","112","0","100.00"
