"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abothulapeta","","","","","1","1","167","167","0","100.00"
"Adali","","","","","1","2","109","109","0","100.00"
"Adapaka","","","","","1","3","1194","1194","0","100.00"
"Adaru","","","","","1","1","235","235","0","100.00"
"Adavaram","","","","","1","2","255","255","0","100.00"
"Addakulaguda","","","","","1","3","70","70","0","100.00"
"Addangi","","","","","1","11","1334","1334","0","100.00"
"Addukonda","","","","","1","1","36","36","0","100.00"
"Adduripeta","","","","","1","1","109","109","0","100.00"
"Adinarayanapeta","","","","","1","1","25","25","0","100.00"
"Agadala","","","","","1","1","53","53","0","100.00"
"Agarlagokarla Palle","","","","","1","1","41","41","0","100.00"
"Aguru","","","","","1","2","443","443","0","100.00"
"Ahobalacharyula Peta","","","","","1","1","168","168","0","100.00"
"Ajjaram","","","","","1","4","648","648","0","100.00"
"Akasalakkavaram","","","","","1","3","442","442","0","100.00"
"Akkanna Agraharam","","","","","1","2","179","179","0","100.00"
"Akkarapalle","","","","","1","1","310","310","0","100.00"
"Akkavaram","","","","","1","2","477","477","0","100.00"
"Akkayapalem","","","","","1","1","153","153","0","100.00"
"Akkayyavalasa","","","","","1","1","354","354","0","100.00"
"Akkivalasa","","","","","1","1","214","214","0","100.00"
"Akkivaram","","","","","1","1","194","194","0","100.00"
"Akkulapeta","","","","","1","1","441","441","0","100.00"
"Akkupalle","","","","","1","1","955","955","0","100.00"
"Akkurada","","","","","1","3","455","455","0","100.00"
"Akularaghunadha Puram","","","","","1","3","192","192","0","100.00"
"Akulatampara","","","","","1","1","326","326","0","100.00"
"Alamajipeta","","","","","1","1","226","226","0","100.00"
"Alikam","","","","","1","4","806","806","0","100.00"
"Allada","","","","","1","2","804","804","0","100.00"
"Alladapeta","","","","","1","1","219","219","0","100.00"
"Allena","","","","","1","1","346","346","0","100.00"
"Allimeraka","","","","","1","2","321","321","0","100.00"
"Allukhola","","","","","1","2","492","492","0","100.00"
"Althi","","","","","1","13","344","344","0","100.00"
"Amadalavalasa","","","","","1","2","662","662","0","100.00"
"Amalakudia","","","","","1","1","174","174","0","100.00"
"Amalapadu","","","","","1","7","1865","1865","0","100.00"
"Amaram","","","","","1","1","226","226","0","100.00"
"Amaravati","","","","","1","1","55","55","0","100.00"
"Ambada","","","","","1","1","277","277","0","100.00"
"Ambakhandi","","","","","1","1","890","890","0","100.00"
"Ambalavalasa","","","","","1","2","258","258","0","100.00"
"Ambavalli","","","","","1","1","268","268","0","100.00"
"Ambeerupeta","","","","","1","2","251","251","0","100.00"
"Ambugam","","","","","1","4","874","874","0","100.00"
"Ambugambit","","","","","1","1","30","30","0","100.00"
"Ammavariputtuga","","","","","1","1","55","55","0","100.00"
"Ampalam","","","","","1","1","61","61","0","100.00"
"Ampalam","","","","","1","2","280","280","0","100.00"
"Ampili","","","","","1","1","393","393","0","100.00"
"Ampolu","","","","","1","10","2968","2968","0","100.00"
"Ampuram","","","","","1","2","120","120","0","100.00"
"Ampuram","","","","","1","2","300","300","0","100.00"
"Amrutalinga Nagaram","","","","","1","1","133","133","0","100.00"
"Anandapuram","","","","","1","1","31","31","0","100.00"
"Anandapuram","","","","","1","1","594","594","0","100.00"
"Anandapuram","","","","","1","2","182","182","0","100.00"
"Anandapuram","","","","","1","1","142","142","0","100.00"
"Ananthagiri","","","","","1","2","492","492","0","100.00"
"Ananthapuram","","","","","1","1","180","180","0","100.00"
"Andhavaram","","","","","1","5","760","760","0","100.00"
"Angarasingi","","","","","1","1","6","6","0","100.00"
"Anguru","","","","","1","4","590","590","0","100.00"
"Anguru","","","","","1","1","65","65","0","100.00"
"Anjaneyapuram","","","","","1","2","57","57","0","100.00"
"Annampeta","","","","","1","1","210","210","0","100.00"
"Annapuram","","","","","1","2","125","125","0","100.00"
"Annavaram","","","","","1","1","299","299","0","100.00"
"Annupuram","","","","","1","1","78","78","0","100.00"
"Annupuram","","","","","1","1","181","181","0","100.00"
"Anthakapalle","","","","","1","2","395","395","0","100.00"
"Anthakapalli","","","","","1","2","1077","1077","0","100.00"
"Antharaba","","","","","1","2","375","375","0","100.00"
"Anthili","","","","","1","9","1471","1471","0","100.00"
"Antikonda","","","","","1","4","203","203","0","100.00"
"Antlavaram","","","","","1","2","390","390","0","100.00"
"Appalaagraharam","","","","","1","1","283","283","0","100.00"
"Appalapatnayakuni Peta","","","","","1","2","259","259","0","100.00"
"Appapuram","","","","","1","2","413","413","0","100.00"
"Appapuram","","","","","1","1","391","391","0","100.00"
"Aradala","","","","","1","1","263","263","0","100.00"
"Arakabhadra","","","","","1","1","281","281","0","100.00"
"Arasada","","","","","1","1","849","849","0","100.00"
"Arasavilli (R) (OG)","","","","","1","2","154","154","0","100.00"
"Aravasariapalle","","","","","1","1","138","138","0","100.00"
"Archanapuram","","","","","1","2","92","92","0","100.00"
"Arikivalasa","","","","","1","2","176","176","0","100.00"
"Arinam Akkivalasa","","","","","1","4","631","631","0","100.00"
"Arjunavalasa","","","","","1","1","252","252","0","100.00"
"Atchaba","","","","","1","1","39","39","0","100.00"
"Atchipolavalasa","","","","","1","1","192","192","0","100.00"
"Atchutapuram","","","","","1","1","146","146","0","100.00"
"Atchutapuram","","","","","1","1","355","355","0","100.00"
"Atisurikaviti","","","","","1","1","205","205","0","100.00"
"Attali","","","","","1","1","232","232","0","100.00"
"Avalangi","","","","","1","1","245","245","0","100.00"
"Avalangi","","","","","1","2","833","833","0","100.00"
"Avatarabad","","","","","1","1","103","103","0","100.00"
"Ayodhyapuram","","","","","1","2","167","167","0","100.00"
"Badabanda","","","","","1","1","65","65","0","100.00"
"Badagam","","","","","1","4","290","290","0","100.00"
"Badam","","","","","1","2","151","151","0","100.00"
"Bagada","","","","","1","1","41","41","0","100.00"
"Bahadapalle","","","","","1","4","701","701","0","100.00"
"Baidalapuram","","","","","1","1","92","92","0","100.00"
"Bairisarangapuram","","","","","1","1","668","668","0","100.00"
"Balada","","","","","1","2","624","624","0","100.00"
"Balaga (CT)","","","","","1","4","698","698","0","100.00"
"Balajipuram","","","","","1","1","94","94","0","100.00"
"Balakavi Valasa","","","","","1","1","235","235","0","100.00"
"Balakrishnapuram","","","","","1","1","223","223","0","100.00"
"Balaseema","","","","","1","1","147","147","0","100.00"
"Baligam","","","","","1","2","595","595","0","100.00"
"Balivada","","","","","1","1","206","206","0","100.00"
"Baliyaputtuga","","","","","1","4","595","595","0","100.00"
"Balliputtuga","","","","","1","5","872","872","0","100.00"
"Bammidi","","","","","1","2","515","515","0","100.00"
"Banam","","","","","1","3","522","522","0","100.00"
"Bandapalle","","","","","1","2","209","209","0","100.00"
"Bangaruvalasa","","","","","1","1","171","171","0","100.00"
"Banjarukesupuram","","","","","1","5","422","422","0","100.00"
"Banjaruyuvaraja Puram","","","","","1","1","150","150","0","100.00"
"Banjeerupeta","","","","","1","1","64","64","0","100.00"
"Bantukotturu","","","","","1","1","194","194","0","100.00"
"Bantupalle","","","","","1","3","677","677","0","100.00"
"Baratam","","","","","1","1","47","47","0","100.00"
"Barna","","","","","1","2","83","83","0","100.00"
"Baruva","","","","","1","2","3147","3147","0","100.00"
"Baruvapeta","","","","","1","3","338","338","0","100.00"
"Basivada","","","","","1","1","267","267","0","100.00"
"Basivalasa","","","","","1","1","162","162","0","100.00"
"Bathupuram","","","","","1","3","820","820","0","100.00"
"Bathuva","","","","","1","1","905","905","0","100.00"
"Batteru","","","","","1","2","134","134","0","100.00"
"Battili","","","","","1","2","1983","1983","0","100.00"
"Battupadu","","","","","1","1","524","524","0","100.00"
