"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Anantapur","","","","","952","3448","803705","803695","10","100.00"
"Chittoor","","","","","1509","10861","878643","878639","4","100.00"
"East Godavari","","","","","1637","3478","1820005","1820005","0","100.00"
"Guntur","","","","","716","2163","956722","956716","6","100.00"
"Kadapa","","","","","925","4610","505136","505136","0","100.00"
"Krishna","","","","","990","2656","946238","946238","0","100.00"
"Kurnool","","","","","916","1545","719775","719775","0","100.00"
"Prakasam","","","","","1086","2411","773880","773880","0","100.00"
"Sri Potti Sriramulu Nellore","","","","","1178","3258","629923","629923","0","100.00"
"Srikakulam","","","","","1810","4146","775564","775564","0","100.00"
"Visakhapatnam","","","","","3248","6322","729292","729293","-1","100.00"
"Vizianagaram","","","","","1494","2939","566351","566351","0","100.00"
"West Godavari","","","","","924","2387","1098972","1098972","0","100.00"
"Total","0","0","0","0","17,385","50,224","1,12,04,206","1,12,04,187","19",""
