"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"14 Mile Stone","","","","","1","1","54","54","0","100.00"
"A.Bandaveedhi","","","","","1","1","12","12","0","100.00"
"A.Kotturu","","","","","1","1","24","24","0","100.00"
"A.Kummariputtu","","","","","1","1","57","57","0","100.00"
"Adagarapalle","","","","","1","1","55","55","0","100.00"
"Adakula","","","","","1","10","877","877","0","100.00"
"Adalaputtu","","","","","1","1","45","45","0","100.00"
"Adarladi @ Mukki Puttu","","","","","1","1","20","20","0","100.00"
"Adaru","","","","","1","1","64","64","0","100.00"
"Addam","","","","","1","1","548","548","0","100.00"
"Addasaram","","","","","1","7","337","337","0","100.00"
"Addategela","","","","","1","1","58","58","0","100.00"
"Addulu","","","","","1","1","36","36","0","100.00"
"Addumanda","","","","","1","1","17","17","0","100.00"
"Addumanda","","","","","1","4","626","626","0","100.00"
"Adduru","","","","","1","1","570","570","0","100.00"
"Adivikamayya Agraharam","","","","","1","1","15","15","0","100.00"
"Adugulaputtu","","","","","1","5","210","210","0","100.00"
"Advi Agraharam","","","","","1","1","257","257","0","100.00"
"Agampadu","","","","","1","1","94","94","0","100.00"
"Agaruveedhi","","","","","1","1","28","28","0","100.00"
"Agency Laxmipuram","","","","","1","1","818","818","0","100.00"
"Agraharam","","","","","1","2","78","78","0","100.00"
"Agraharam","","","","","1","1","2","2","0","100.00"
"Agraharam","","","","","1","1","106","106","0","100.00"
"Aithampudi","","","","","1","1","271","271","0","100.00"
"Akuthota","","","","","1","1","18","18","0","100.00"
"Alabeeru","","","","","1","1","37","37","0","100.00"
"Alagam","","","","","1","1","44","44","0","100.00"
"Alamagundam","","","","","1","1","52","52","0","100.00"
"Alamanda","","","","","1","1","769","769","0","100.00"
"Alamanda Bheemavaram","","","","","1","1","312","312","0","100.00"
"Alamandakoduru","","","","","1","3","1011","1011","0","100.00"
"Alamandakothapalle","","","","","1","5","648","648","0","100.00"
"Allamputtu","","","","","1","3","161","161","0","100.00"
"Allamputtu","","","","","1","4","306","306","0","100.00"
"Allangipada","","","","","1","1","35","35","0","100.00"
"Allangiputtu","","","","","1","1","49","49","0","100.00"
"Allangiputtu","","","","","1","1","278","278","0","100.00"
"Allikhanudupalem","","","","","1","1","529","529","0","100.00"
"Allivara","","","","","1","1","81","81","0","100.00"
"Aluguru","","","","","1","2","92","92","0","100.00"
"Amalaguda","","","","","1","1","18","18","0","100.00"
"Amalaguda","","","","","1","1","39","39","0","100.00"
"Amalapuram","","","","","1","8","708","708","0","100.00"
"Amanam","","","","","1","4","1255","1255","0","100.00"
"Ambalamamidi","","","","","1","1","21","21","0","100.00"
"Ambapada","","","","","1","3","85","85","0","100.00"
"Ambapada","","","","","1","1","14","14","0","100.00"
"Ambeerupadu","","","","","1","2","42","42","0","100.00"
"Amberupuram","","","","","1","1","1008","1008","0","100.00"
"Ambili Mamidi","","","","","1","1","19","19","0","100.00"
"Amedelu","","","","","1","1","30","30","0","100.00"
"Ammapeta","","","","","1","1","148","148","0","100.00"
"Ammavaridharakonda","","","","","1","1","31","31","0","100.00"
"Ammeensahabpeta","","","","","1","1","445","445","0","100.00"
"Ampuru","","","","","1","1","30","30","0","100.00"
"Amrutapuram","","","","","1","3","1573","1573","0","100.00"
"Amuru","","","","","1","2","73","73","0","100.00"
"Anandapuram","","","","","1","8","1998","1998","0","100.00"
"Anantha Padmanabhapuram","","","","","1","4","455","455","0","100.00"
"Ananthagiri","","","","","1","2","479","479","0","100.00"
"Ananthavaram","","","","","1","2","958","958","0","100.00"
"Anarbha","","","","","1","4","161","161","0","100.00"
"Andalapalle","","","","","1","1","104","104","0","100.00"
"Andanapalle","","","","","1","1","8","8","0","100.00"
"Andangisingi","","","","","1","1","130","130","0","100.00"
"Andiba","","","","","1","5","324","324","0","100.00"
"Andravara","","","","","1","1","42","42","0","100.00"
"Anjalam","","","","","1","8","227","227","0","100.00"
"Anjoda","","","","","1","5","213","213","0","100.00"
"Ankupalem","","","","","1","5","1728","1728","0","100.00"
"Annavaram","","","","","1","5","302","302","0","100.00"
"Annavaram","","","","","1","2","126","126","0","100.00"
"Annavaram","","","","","1","1","1101","1101","0","100.00"
"Annavaram","","","","","1","3","105","105","0","100.00"
"Annavaram","","","","","1","5","850","850","0","100.00"
"Annavaram","","","","","1","1","590","590","0","100.00"
"Annavaram","","","","","1","1","45","45","0","100.00"
"Antabongu","","","","","1","1","31","31","0","100.00"
"Antakapalle","","","","","1","3","1128","1128","0","100.00"
"Anthada","","","","","1","5","213","213","0","100.00"
"Antharla","","","","","1","2","183","183","0","100.00"
"Antilova","","","","","1","1","30","30","0","100.00"
"Antiparthi","","","","","1","1","28","28","0","100.00"
"Antlavada","","","","","1","1","16","16","0","100.00"
"Antriguda","","","","","1","1","51","51","0","100.00"
"Anukuru","","","","","1","2","53","53","0","100.00"
"Appalarajupuram","","","","","1","1","535","535","0","100.00"
"Appampalem","","","","","1","1","45","45","0","100.00"
"Appandorapalem","","","","","1","1","155","155","0","100.00"
"Arabeeru","","","","","1","1","49","49","0","100.00"
"Arabupalem","","","","","1","1","610","610","0","100.00"
"Arada Kota","","","","","1","4","242","242","0","100.00"
"Aradagudem","","","","","1","2","80","80","0","100.00"
"Aragadapalle","","","","","1","2","84","84","0","100.00"
"Araku","","","","","1","3","689","689","0","100.00"
"Arama","","","","","1","8","350","350","0","100.00"
"Aratla Kota","","","","","1","1","837","837","0","100.00"
"Arimera","","","","","1","1","42","42","0","100.00"
"Aripaka","","","","","1","3","876","876","0","100.00"
"Arjapuram","","","","","1","3","135","135","0","100.00"
"Arjunagiri Agraharam","","","","","1","1","531","531","0","100.00"
"Arla","","","","","1","2","87","87","0","100.00"
"Arlabu","","","","","1","2","70","70","0","100.00"
"Arlada","","","","","1","1","30","30","0","100.00"
"Arlada","","","","","1","4","146","146","0","100.00"
"Arle","","","","","1","3","228","228","0","100.00"
"Arloiputtu","","","","","1","1","43","43","0","100.00"
"Asakapalle","","","","","1","3","1116","1116","0","100.00"
"Asirada","","","","","1","1","79","79","0","100.00"
"Asurada","","","","","1","1","23","23","0","100.00"
"Asurodda","","","","","1","1","68","68","0","100.00"
"Atcherla","","","","","1","6","558","558","0","100.00"
"Attikalu","","","","","1","2","62","62","0","100.00"
"Avuruvada","","","","","1","2","112","112","0","100.00"
"Ayinada","","","","","1","3","889","889","0","100.00"
"Ayinada","","","","","1","2","39","39","0","100.00"
"Ayyannapalem","","","","","1","3","158","158","0","100.00"
"Babusala","","","","","1","4","205","205","0","100.00"
"Badama","","","","","1","1","47","47","0","100.00"
"Badambeeru","","","","","1","1","36","36","0","100.00"
"Badanapadu","","","","","1","1","40","40","0","100.00"
"Badasallu","","","","","1","1","55","55","0","100.00"
"Baddigummi","","","","","1","1","46","46","0","100.00"
"Baddimetta","","","","","1","2","71","71","0","100.00"
"Badimela","","","","","1","4","327","327","0","100.00"
"Badiputtu","","","","","1","1","13","13","0","100.00"
"Badiyapadu","","","","","1","1","13","13","0","100.00"
"Bagarugudi","","","","","1","1","3","3","0","100.00"
"Bairaguda","","","","","1","1","6","6","0","100.00"
"Bairodivalasa @ Uppa","","","","","1","8","468","468","0","100.00"
"Bairuguda","","","","","1","1","12","12","0","100.00"
"Baithinilanka","","","","","1","2","36","36","0","100.00"
"Bakubeda","","","","","1","1","16","16","0","100.00"
"Bakuru","","","","","1","7","1209","1209","0","100.00"
"Bakurupalem","","","","","1","1","108","108","0","100.00"
"Balabadram","","","","","1","2","63","63","0","100.00"
"Balabadrapadu","","","","","1","2","288","288","0","100.00"
"Balada","","","","","1","3","115","115","0","100.00"
"Balajipeta","","","","","1","1","23","23","0","100.00"
"Balajulla","","","","","1","1","21","21","0","100.00"
"Balamalu","","","","","1","1","17","17","0","100.00"
"Balamanusanka","","","","","1","1","30","30","0","100.00"
"Balapam","","","","","1","11","325","325","0","100.00"
"Balaram","","","","","1","3","114","114","0","100.00"
"Balarevulu","","","","","1","3","89","89","0","100.00"
"Baliaguda  @  Cheedivalasa","","","","","1","2","98","98","0","100.00"
"Balighattam","","","","","1","10","5651","5651","0","100.00"
"Balijipeta","","","","","1","1","123","123","0","100.00"
"Baliyaguda","","","","","1","1","29","29","0","100.00"
"Baliyaguda","","","","","1","1","22","22","0","100.00"
"Baliyaguda","","","","","1","1","20","20","0","100.00"
"Baliyaguda","","","","","1","1","40","40","0","100.00"
"Ballagaruvu","","","","","1","1","50","50","0","100.00"
"Ballamamidi","","","","","1","1","40","40","0","100.00"
"Ballapurai","","","","","1","1","26","26","0","100.00"
"Baluroda","","","","","1","6","200","200","0","100.00"
"Balusukura Pakalu","","","","","1","1","40","40","0","100.00"
"Bamsuguda","","","","","1","1","35","35","0","100.00"
"Bandabayalu","","","","","1","3","152","152","0","100.00"
"Bandakonda","","","","","1","1","26","26","0","100.00"
"Bandalu","","","","","1","1","22","22","0","100.00"
"Bandamamidi","","","","","1","2","59","59","0","100.00"
"Bandapanuvalasa","","","","","1","1","10","10","0","100.00"
"Bandapolam","","","","","1","1","34","34","0","100.00"
"Bandavalasa","","","","","1","1","71","71","0","100.00"
"Bandaveedhi","","","","","1","3","163","163","0","100.00"
"Bandivalasa","","","","","1","1","51","51","0","100.00"
"Bangarammapalem","","","","","1","3","485","485","0","100.00"
"Bangarammapeta","","","","","1","1","135","135","0","100.00"
"Bangarampeta","","","","","1","1","38","38","0","100.00"
"Bangarayyapadu","","","","","1","1","36","36","0","100.00"
"Bangaru Puttu","","","","","1","1","25","25","0","100.00"
"Bangarubuddi","","","","","1","1","27","27","0","100.00"
"Bangarudoddi","","","","","1","1","8","8","0","100.00"
"Bangarugaruvu","","","","","1","3","83","83","0","100.00"
"Bangarugummi","","","","","1","1","63","63","0","100.00"
"Bangarumamidi","","","","","1","1","8","8","0","100.00"
"Bangarumamidi","","","","","1","2","77","77","0","100.00"
"Bangarumetta","","","","","1","2","72","72","0","100.00"
"Bangarumetta","","","","","1","1","34","34","0","100.00"
"Bangarumetta","","","","","1","3","255","255","0","100.00"
"Bangarumetta","","","","","1","4","90","90","0","100.00"
"Bangarupalem","","","","","1","1","27","27","0","100.00"
"Bangaruputtu","","","","","1","1","26","26","0","100.00"
"Bangurupalle","","","","","1","1","20","20","0","100.00"
"Banjoda","","","","","1","2","79","79","0","100.00"
"Bantrothuputtu","","","","","1","1","50","50","0","100.00"
"Bapanaputtu","","","","","1","1","46","46","0","100.00"
"Bapiraju Kothapalle","","","","","1","4","1071","1071","0","100.00"
"Bapirajutallavalasa","","","","","1","5","1375","1375","0","100.00"
"Barada","","","","","1","3","116","116","0","100.00"
"Baram","","","","","1","1","65","65","0","100.00"
"Barapalle","","","","","1","2","278","278","0","100.00"
"Baridiputtu","","","","","1","2","85","85","0","100.00"
"Barikadorapakalu  @  Rajupakalu","","","","","1","1","39","39","0","100.00"
"Barisingi","","","","","1","3","35","35","0","100.00"
"Barisingi","","","","","1","1","63","63","0","100.00"
"Barlada","","","","","1","1","16","16","0","100.00"
"Barluputtu","","","","","1","1","15","15","0","100.00"
"Barrangibanda","","","","","1","1","30","30","0","100.00"
"Barsingimetta","","","","","1","3","107","107","0","100.00"
"Basangi Kothuru","","","","","1","1","59","59","0","100.00"
"Baski","","","","","1","8","389","389","0","100.00"
"Basula","","","","","1","1","19","19","0","100.00"
"Batajangalapalem","","","","","1","2","374","374","0","100.00"
"Bathunuru","","","","","1","1","42","42","0","100.00"
"Battapanukulu","","","","","1","2","34","34","0","100.00"
"Battivalasa","","","","","1","1","69","69","0","100.00"
"Battumetta","","","","","1","1","36","36","0","100.00"
"Bayalukinchangi","","","","","1","8","775","775","0","100.00"
"Bayapadu","","","","","1","1","31","31","0","100.00"
"Bayyavaram","","","","","1","4","516","516","0","100.00"
"Bayyavaram","","","","","1","2","511","511","0","100.00"
"Bayyavaram","","","","","1","6","2997","2997","0","100.00"
"Beddaguda","","","","","1","2","46","46","0","100.00"
"Beddaguda","","","","","1","1","19","19","0","100.00"
"Bediliguda","","","","","1","1","56","56","0","100.00"
"Beeduchampa","","","","","1","1","13","13","0","100.00"
"Beeram","","","","","1","2","258","258","0","100.00"
"Beeram","","","","","1","7","233","233","0","100.00"
"Beeta","","","","","1","1","20","20","0","100.00"
"Bembi","","","","","1","1","40","40","0","100.00"
"Bemudichatru","","","","","1","1","31","31","0","100.00"
"Benna Bhupala Patnam","","","","","1","1","301","301","0","100.00"
"Bennavaram","","","","","1","1","20","20","0","100.00"
"Bennavaram","","","","","1","3","339","339","0","100.00"
"Bennavaram","","","","","1","4","229","229","0","100.00"
"Bennavolu","","","","","1","1","356","356","0","100.00"
"Besaiputtu","","","","","1","3","200","200","0","100.00"
"Bethapudi","","","","","1","1","93","93","0","100.00"
"Bhagamarivalasa","","","","","1","1","37","37","0","100.00"
"Bhagavathula Agraharam","","","","","1","1","12","12","0","100.00"
"Bhalluguda","","","","","1","1","22","22","0","100.00"
"Bhalluguda","","","","","1","1","34","34","0","100.00"
"Bhandevupuram","","","","","1","2","646","646","0","100.00"
"Bharinikam","","","","","1","3","516","516","0","100.00"
"Bhatlapudi","","","","","1","3","509","509","0","100.00"
"Bheemaboina Palem","","","","","1","3","538","538","0","100.00"
"Bheemaloya","","","","","1","1","15","15","0","100.00"
"Bheemanapalle","","","","","1","1","25","25","0","100.00"
"Bheemannadorapalem","","","","","1","4","241","241","0","100.00"
"Bheemanupalle","","","","","1","1","56","56","0","100.00"
"Bheemasingi","","","","","1","1","59","59","0","100.00"
"Bheemavaram","","","","","1","4","385","385","0","100.00"
"Bheemavaram","","","","","1","1","315","315","0","100.00"
"Bheemavaram","","","","","1","1","70","70","0","100.00"
"Bheemavaram","","","","","1","1","84","84","0","100.00"
"Bheesupuram","","","","","1","2","130","130","0","100.00"
"Bhimidi","","","","","1","1","42","42","0","100.00"
"Bhogapuram","","","","","1","1","282","282","0","100.00"
"Bhogapuram","","","","","1","1","483","483","0","100.00"
"Bidarigaruvu","","","","","1","1","15","15","0","100.00"
"Bijjapalle","","","","","1","1","86","86","0","100.00"
"Bilaiputtu","","","","","1","1","51","51","0","100.00"
"Billakamba","","","","","1","1","18","18","0","100.00"
"Billakota","","","","","1","2","68","68","0","100.00"
"Billaputtu","","","","","1","4","121","121","0","100.00"
"Billaputtu","","","","","1","1","48","48","0","100.00"
"Birimisala","","","","","1","2","85","85","0","100.00"
"Birisingi","","","","","1","1","24","24","0","100.00"
"Birriguda","","","","","1","2","109","109","0","100.00"
"Bishnuguda","","","","","1","2","118","118","0","100.00"
"Bitragonda","","","","","1","7","321","321","0","100.00"
"Bobbampadu","","","","","1","2","85","85","0","100.00"
"Bodaguda","","","","","1","1","70","70","0","100.00"
"Bodametlapalem","","","","","1","3","301","301","0","100.00"
"Bodapalem","","","","","1","4","899","899","0","100.00"
"Boddagondi","","","","","1","1","21","21","0","100.00"
"Boddagondi","","","","","1","2","69","69","0","100.00"
"Boddagondi","","","","","1","1","21","21","0","100.00"
"Boddagondi","","","","","1","2","64","64","0","100.00"
"Boddajuvvi","","","","","1","1","34","34","0","100.00"
"Boddalalagondi","","","","","1","1","52","52","0","100.00"
"Boddamamidi","","","","","1","1","67","67","0","100.00"
"Boddamanupakalu","","","","","1","2","127","127","0","100.00"
"Boddamanupakalu","","","","","1","1","41","41","0","100.00"
"Boddangipadu","","","","","1","2","83","83","0","100.00"
"Boddapadu","","","","","1","1","27","27","0","100.00"
"Boddapadu","","","","","1","1","4","4","0","100.00"
"Boddaputtu","","","","","1","1","27","27","0","100.00"
"Boddaputtu","","","","","1","1","20","20","0","100.00"
"Boddaputtu","","","","","1","1","74","74","0","100.00"
"Boddaputtu","","","","","1","1","46","46","0","100.00"
"Boddaputtu","","","","","1","3","59","59","0","100.00"
"Boddaputtu","","","","","1","2","166","166","0","100.00"
"Boddaputtu","","","","","1","3","73","73","0","100.00"
"Boddaputtu","","","","","1","1","38","38","0","100.00"
"Boddaputtu","","","","","1","1","22","22","0","100.00"
"Boddaputtu","","","","","1","1","18","18","0","100.00"
"Boddaputtu","","","","","1","3","83","83","0","100.00"
"Boddaputtu","","","","","1","1","35","35","0","100.00"
"Boddaputtu","","","","","1","1","110","110","0","100.00"
"Boddimamidi","","","","","1","1","20","20","0","100.00"
"Boddumamidi","","","","","1","1","80","80","0","100.00"
"Bodichettu","","","","","1","1","8","8","0","100.00"
"Bodiliguda","","","","","1","1","21","21","0","100.00"
"Bodimela","","","","","1","2","76","76","0","100.00"
"Bodiputtu","","","","","1","3","85","85","0","100.00"
"Bodugallam","","","","","1","3","310","310","0","100.00"
"Boduguda","","","","","1","1","30","30","0","100.00"
"Boduvalasa","","","","","1","3","452","452","0","100.00"
"Boilakintada","","","","","1","2","522","522","0","100.00"
"Bointi","","","","","1","1","8","8","0","100.00"
"Boithela @ Bonkatili","","","","","1","7","284","284","0","100.00"
"Bokkellu","","","","","1","1","43","43","0","100.00"
"Bokkellu","","","","","1","1","114","114","0","100.00"
"Bokkeraputtu","","","","","1","1","13","13","0","100.00"
"Bonampalle","","","","","1","1","72","72","0","100.00"
"Bonangiputtu","","","","","1","1","12","12","0","100.00"
"Bondaguda","","","","","1","1","55","55","0","100.00"
"Bondam","","","","","1","2","105","105","0","100.00"
"Bondapalle","","","","","1","1","52","52","0","100.00"
