"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abiri","","","","","1","4","199","199","0","100.00"
"Adaripadu","","","","","1","2","33","33","0","100.00"
"Adaru","","","","","1","3","184","184","0","100.00"
"Addangijangidi Bhadra","","","","","1","1","26","26","0","100.00"
"Addapuseela","","","","","1","3","832","832","0","100.00"
"Addateega","","","","","1","1","246","246","0","100.00"
"Adduruvalasa","","","","","1","1","207","207","0","100.00"
"Aguru","","","","","1","4","470","470","0","100.00"
"Ajjada","","","","","1","1","658","658","0","100.00"
"Ajuru","","","","","1","3","992","992","0","100.00"
"Akkandoravalasa","","","","","1","1","48","48","0","100.00"
"Akkivaram","","","","","1","5","986","986","0","100.00"
"Akulakatta","","","","","1","1","200","200","0","100.00"
"Alagaruvu","","","","","1","1","79","79","0","100.00"
"Alajangi","","","","","1","2","470","470","0","100.00"
"Alajangi","","","","","1","2","1578","1578","0","100.00"
"Alamanda","","","","","1","3","1768","1768","0","100.00"
"Alamanda","","","","","1","4","345","345","0","100.00"
"Alaparthi","","","","","1","1","7","7","0","100.00"
"Alavadda","","","","","1","1","106","106","0","100.00"
"Alladapalem","","","","","1","1","344","344","0","100.00"
"Alluwada","","","","","1","1","71","71","0","100.00"
"Alugolu","","","","","1","4","1239","1239","0","100.00"
"Alugubilli","","","","","1","2","473","473","0","100.00"
"Aluru","","","","","1","1","34","34","0","100.00"
"Amakam","","","","","1","3","228","228","0","100.00"
"Amarayavalasa","","","","","1","1","151","151","0","100.00"
"Amatam Ravivalasa","","","","","1","10","501","501","0","100.00"
"Ambativalasa","","","","","1","1","72","72","0","100.00"
"Amiti","","","","","1","2","273","273","0","100.00"
"Amity","","","","","1","1","631","631","0","100.00"
"Ampavilli","","","","","1","1","638","638","0","100.00"
"Anandapuram","","","","","1","1","496","496","0","100.00"
"Anasabhadra","","","","","1","3","376","376","0","100.00"
"Anavaram","","","","","1","1","361","361","0","100.00"
"Andra","","","","","1","4","679","679","0","100.00"
"Anjaneyapuram","","","","","1","1","269","269","0","100.00"
"Ankajosyulapalem","","","","","1","1","58","58","0","100.00"
"Ankavaram","","","","","1","1","210","210","0","100.00"
"Ankullavalasa","","","","","1","1","40","40","0","100.00"
"Annamrajupeta","","","","","1","5","1669","1669","0","100.00"
"Annamrajuvalasa","","","","","1","1","53","53","0","100.00"
"Antijola","","","","","1","2","128","128","0","100.00"
"Antipeta","","","","","1","1","361","361","0","100.00"
"Antivalasa","","","","","1","2","249","249","0","100.00"
"Antivalasa","","","","","1","3","158","158","0","100.00"
"Antlavara","","","","","1","1","150","150","0","100.00"
"Appalammapeta","","","","","1","1","180","180","0","100.00"
"Appalarajupeta","","","","","1","1","183","183","0","100.00"
"Appandoravalasa","","","","","1","1","503","503","0","100.00"
"Appannavalasa","","","","","1","1","73","73","0","100.00"
"Arasabalaga","","","","","1","3","540","540","0","100.00"
"Arasada","","","","","1","1","829","829","0","100.00"
"Ardhannapalem","","","","","1","6","1079","1079","0","100.00"
"Aridivalasa","","","","","1","1","77","77","0","100.00"
"Arigipalem","","","","","1","1","288","288","0","100.00"
"Arikakoridi","","","","","1","1","42","42","0","100.00"
"Arikatota","","","","","1","2","1670","1670","0","100.00"
"Arnada","","","","","1","4","358","358","0","100.00"
"Artham","","","","","1","3","272","272","0","100.00"
"Arthamuru","","","","","1","1","548","548","0","100.00"
"Atchaba","","","","","1","1","80","80","0","100.00"
"Athava","","","","","1","1","368","368","0","100.00"
"Atmaramuni Agraharam","","","","","1","1","318","318","0","100.00"
"Attada","","","","","1","1","431","431","0","100.00"
"Avagudem","","","","","1","1","86","86","0","100.00"
"Ayyanna Agraharam","","","","","1","1","33","33","0","100.00"
"Babbidi","","","","","1","1","153","153","0","100.00"
"Badam","","","","","1","1","180","180","0","100.00"
"Badangi","","","","","1","1","951","951","0","100.00"
"Baddidi","","","","","1","1","32","32","0","100.00"
"Badevalasa","","","","","1","1","67","67","0","100.00"
"Badevalasa","","","","","1","1","359","359","0","100.00"
"Baggamdhoravalasa","","","","","1","1","265","265","0","100.00"
"Baguvalasa","","","","","1","1","286","286","0","100.00"
"Baguvalasa","","","","","1","2","459","459","0","100.00"
"Bakkupeta","","","","","1","1","243","243","0","100.00"
"Balabhadra Rajapuram","","","","","1","1","70","70","0","100.00"
"Balagudaba","","","","","1","1","926","926","0","100.00"
"Balakrishna -Rajapuram","","","","","1","1","341","341","0","100.00"
"Balesu","","","","","1","2","195","195","0","100.00"
"Balighattam","","","","","1","4","589","589","0","100.00"
"Ballakrishnapuram","","","","","1","1","280","280","0","100.00"
"Ballanki","","","","","1","1","529","529","0","100.00"
"Ballanki Tuni K.P.Rajapuram","","","","","1","1","50","50","0","100.00"
"Balleru","","","","","1","2","78","78","0","100.00"
"Banadi","","","","","1","1","581","581","0","100.00"
"Bandaluppi","","","","","1","3","851","851","0","100.00"
"Bandapai","","","","","1","1","28","28","0","100.00"
"Bangarammapeta","","","","","1","1","264","264","0","100.00"
"Bangarrajupeta","","","","","1","1","194","194","0","100.00"
"Bangaruvalasa","","","","","1","1","204","204","0","100.00"
"Banjukuppa","","","","","1","2","113","113","0","100.00"
"Bankuruvalasa","","","","","1","1","115","115","0","100.00"
"Bantumakkuva","","","","","1","3","81","81","0","100.00"
"Bantupalle","","","","","1","2","413","413","0","100.00"
"Barli","","","","","1","1","665","665","0","100.00"
"Barnaguda","","","","","1","1","3","3","0","100.00"
"Barthangi","","","","","1","1","24","24","0","100.00"
"Basangi","","","","","1","2","341","341","0","100.00"
"Basavapalem","","","","","1","3","437","437","0","100.00"
"Batlabhadra","","","","","1","2","164","164","0","100.00"
"Battivalasa","","","","","1","1","53","53","0","100.00"
"Batugudaba","","","","","1","1","116","116","0","100.00"
"Bayyada","","","","","1","1","153","153","0","100.00"
"Bedda","","","","","1","1","32","32","0","100.00"
"Beerupadu","","","","","1","1","246","246","0","100.00"
"Bellam","","","","","1","3","173","173","0","100.00"
"Bhagiradhapuram","","","","","1","1","1","1","0","100.00"
"Bhagirathipuram Agraharam","","","","","1","1","126","126","0","100.00"
"Bhairipuram","","","","","1","1","132","132","0","100.00"
"Bhallukota","","","","","1","1","44","44","0","100.00"
"Bharanikam","","","","","1","1","153","153","0","100.00"
"Bhavanipuram","","","","","1","1","44","44","0","100.00"
"Bheemali","","","","","1","1","613","613","0","100.00"
"Bheemasingi","","","","","1","7","1309","1309","0","100.00"
"Bheemavaram","","","","","1","2","470","470","0","100.00"
"Bheemavaram","","","","","1","1","48","48","0","100.00"
"Bheemavaram","","","","","1","1","380","380","0","100.00"
"Bheempuram","","","","","1","1","30","30","0","100.00"
"Bhogapuram","","","","","1","10","2686","2686","0","100.00"
"Bhojarajapuram","","","","","1","1","97","97","0","100.00"
"Bhojarajupuram","","","","","1","1","80","80","0","100.00"
"Bhoolokapathivarakattu","","","","","1","6","272","272","0","100.00"
"Bhudevipeta","","","","","1","1","149","149","0","100.00"
"Bhupalarajapuram","","","","","1","1","152","152","0","100.00"
"Bhyripuram","","","","","1","1","889","889","0","100.00"
"Billalavalasa","","","","","1","1","281","281","0","100.00"
"Billalavalasa","","","","","1","1","101","101","0","100.00"
"Binnidi","","","","","1","1","102","102","0","100.00"
"Biramasi","","","","","1","1","10","10","0","100.00"
"Bitrapadu","","","","","1","1","288","288","0","100.00"
"Biyyalavalasa","","","","","1","2","109","109","0","100.00"
"Bobbilivalasa","","","","","1","1","71","71","0","100.00"
"Boddam","","","","","1","2","1060","1060","0","100.00"
"Boddavalasa","","","","","1","5","491","491","0","100.00"
"Boddidi","","","","","1","1","68","68","0","100.00"
"Boddidi","","","","","1","1","269","269","0","100.00"
"Bommika","","","","","1","1","269","269","0","100.00"
"Bommika Jagannadhapuram","","","","","1","2","314","314","0","100.00"
"Bonangi","","","","","1","1","1060","1060","0","100.00"
"Bondapalle","","","","","1","4","438","438","0","100.00"
"Bondapalle","","","","","1","3","617","617","0","100.00"
"Boppadam","","","","","1","2","670","670","0","100.00"
"Borabanda","","","","","1","3","625","625","0","100.00"
"Bore","","","","","1","1","20","20","0","100.00"
"Borramamidi","","","","","1","3","121","121","0","100.00"
"Borravanipalem","","","","","1","1","86","86","0","100.00"
"Bothili","","","","","1","3","54","54","0","100.00"
"Budarayavalasa","","","","","1","1","712","712","0","100.00"
"Budatanapalle","","","","","1","1","1044","1044","0","100.00"
"Budatanapalle Rajeru","","","","","1","2","123","123","0","100.00"
"Buddipeta","","","","","1","1","195","195","0","100.00"
"Buduruvada","","","","","1","5","236","236","0","100.00"
"Burada Venkatapuram","","","","","1","1","438","438","0","100.00"
"Buradapadu","","","","","1","1","224","224","0","100.00"
"Buradapeta","","","","","1","2","660","660","0","100.00"
"Burja","","","","","1","2","977","977","0","100.00"
"Burjavalasa (Near)  Amity","","","","","1","1","160","160","0","100.00"
"Burjavalasa (Near)  Mettavalasa","","","","","1","1","320","320","0","100.00"
"Burravarigollala Palem","","","","","1","1","192","192","0","100.00"
"Busayavalasa","","","","","1","1","699","699","0","100.00"
"Butalakarrivalasa","","","","","1","1","22","22","0","100.00"
"Butchirajupeta","","","","","1","1","90","90","0","100.00"
"Chakarapalle","","","","","1","1","282","282","0","100.00"
"Chakirevuvalasa","","","","","1","1","43","43","0","100.00"
"Chakivalasa","","","","","1","1","269","269","0","100.00"
"Chalamvalasa","","","","","1","1","99","99","0","100.00"
"Challapeta","","","","","1","1","470","470","0","100.00"
"Chamaladivia Graharam","","","","","1","1","89","89","0","100.00"
"Chamalapalle","","","","","1","3","303","303","0","100.00"
"Chamalapalle","","","","","1","3","228","228","0","100.00"
"Chamalavalasa","","","","","1","1","24","24","0","100.00"
"Chandalangi","","","","","1","1","200","200","0","100.00"
"Chandanakota","","","","","1","1","5","5","0","100.00"
"Chandapuram","","","","","1","3","182","182","0","100.00"
"Chandapuram","","","","","1","1","47","47","0","100.00"
"Chandrampeta","","","","","1","1","290","290","0","100.00"
"Chandrappavalasa","","","","","1","1","120","120","0","100.00"
"Chandrasekharajapuram","","","","","1","1","76","76","0","100.00"
"Chanduluru","","","","","1","4","985","985","0","100.00"
"Chaparayi Jangidibhadra","","","","","1","1","45","45","0","100.00"
"Chaparayibinnidi","","","","","1","2","227","227","0","100.00"
"Chappabutcham Peta","","","","","1","3","166","166","0","100.00"
"Chappagottili","","","","","1","1","90","90","0","100.00"
"Chappaguda","","","","","1","1","85","85","0","100.00"
"Cheedipalem","","","","","1","2","71","71","0","100.00"
"Cheedipalle","","","","","1","1","62","62","0","100.00"
"Cheedivalasa","","","","","1","1","281","281","0","100.00"
"Cheepurupalle (CT)","","","","","1","4","5620","5620","0","100.00"
"Cheepuruvalasa","","","","","1","4","991","991","0","100.00"
"Chekkavalasa","","","","","1","2","84","84","0","100.00"
"Chellapuram","","","","","1","1","150","150","0","100.00"
"Chellimpeta","","","","","1","1","111","111","0","100.00"
"Cheluvuru","","","","","1","3","821","821","0","100.00"
"Chemidipatipolam","","","","","1","1","105","105","0","100.00"
"Chemudu","","","","","1","4","556","556","0","100.00"
"Chemuduguda","","","","","1","2","153","153","0","100.00"
"Cherakupalle","","","","","1","2","399","399","0","100.00"
"Cherakupalle","","","","","1","1","42","42","0","100.00"
"Cherukupalle","","","","","1","2","119","119","0","100.00"
"Chilakam","","","","","1","3","554","554","0","100.00"
"Chilkalapalle","","","","","1","1","870","870","0","100.00"
"China Chamalapalle","","","","","1","1","237","237","0","100.00"
"Chinabantupalle","","","","","1","2","399","399","0","100.00"
"Chinabattivalasa","","","","","1","1","152","152","0","100.00"
"Chinabhogila","","","","","1","1","815","815","0","100.00"
"Chinabondapalle","","","","","1","1","747","747","0","100.00"
"Chinabuddidi","","","","","1","1","244","244","0","100.00"
"Chinadodija","","","","","1","1","98","98","0","100.00"
"Chinageesada","","","","","1","1","91","91","0","100.00"
"Chinagudaba","","","","","1","2","507","507","0","100.00"
"Chinagudipala","","","","","1","2","424","424","0","100.00"
"Chinakada","","","","","1","1","386","386","0","100.00"
"Chinakhandepalle","","","","","1","1","69","69","0","100.00"
"Chinakherjala","","","","","1","2","182","182","0","100.00"
"Chinamanapuram","","","","","1","1","243","243","0","100.00"
"Chinamantikona","","","","","1","1","1","1","0","100.00"
"Chinamedapalle","","","","","1","1","63","63","0","100.00"
"Chinamerangi","","","","","1","1","1141","1141","0","100.00"
"Chinanadipalle","","","","","1","1","201","201","0","100.00"
"Chinankalam","","","","","1","1","131","131","0","100.00"
"Chinapalavalasa","","","","","1","1","130","130","0","100.00"
"Chinapanukuvalasa","","","","","1","1","1","1","0","100.00"
"Chinaraopalle","","","","","1","2","231","231","0","100.00"
"Chinaravikona","","","","","1","1","114","114","0","100.00"
"Chinaravyam","","","","","1","1","143","143","0","100.00"
"Chinarayudupeta  @  Dabbaliguda","","","","","1","1","7","7","0","100.00"
"Chinasekha","","","","","1","1","20","20","0","100.00"
"Chinavanija","","","","","1","1","6","6","0","100.00"
"Chinavankadhara","","","","","1","1","271","271","0","100.00"
"Chinavootagedda","","","","","1","3","172","172","0","100.00"
"Chinnarayudupeta","","","","","1","1","89","89","0","100.00"
"Chinnayyapeta","","","","","1","1","187","187","0","100.00"
"Chinnipalem","","","","","1","3","161","161","0","100.00"
"Chintada","","","","","1","4","1206","1206","0","100.00"
"Chintada","","","","","1","1","347","347","0","100.00"
"Chintalabelagam","","","","","1","1","180","180","0","100.00"
"Chintalapadu","","","","","1","4","371","371","0","100.00"
"Chintalapalem","","","","","1","7","2606","2606","0","100.00"
"Chintalavalasa","","","","","1","1","88","88","0","100.00"
"Chintalavalasa","","","","","1","1","145","145","0","100.00"
"Chintalavalasa (CT)","","","","","1","1","949","949","0","100.00"
"Chintamala","","","","","1","2","132","132","0","100.00"
"Chintamarapalle","","","","","1","2","84","84","0","100.00"
"Chintapalle","","","","","1","6","1436","1436","0","100.00"
"Chinthalakoridi","","","","","1","3","44","44","0","100.00"
"Chinthalapeta","","","","","1","2","642","642","0","100.00"
"Chinthapallipeta","","","","","1","1","245","245","0","100.00"
"Chitrakota Boddavalasa","","","","","1","2","376","376","0","100.00"
"Chittayyavalasa","","","","","1","1","115","115","0","100.00"
"Chittelaba","","","","","1","12","279","279","0","100.00"
"Chittigunkalam","","","","","1","2","216","216","0","100.00"
"Chittipuram","","","","","1","1","36","36","0","100.00"
"Chodamma Agraharam","","","","","1","1","565","565","0","100.00"
"Chodavaram","","","","","1","4","495","495","0","100.00"
"Chollangipeta","","","","","1","3","352","352","0","100.00"
"Chollapadam","","","","","1","2","221","221","0","100.00"
"Chora","","","","","1","1","70","70","0","100.00"
"Chorupalle","","","","","1","3","243","243","0","100.00"
"Chowdantivalasa","","","","","1","1","420","420","0","100.00"
"Chowduvada","","","","","1","3","83","83","0","100.00"
"Chukkavalasa","","","","","1","1","399","399","0","100.00"
"Chukkavalasa","","","","","1","1","292","292","0","100.00"
"D. Nelivada","","","","","1","1","74","74","0","100.00"
"D.Tallavalasa","","","","","1","2","365","365","0","100.00"
