"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Gokavaram","","","","","1","4","1165","1165","0","100.00"
"A.I.Bheemavaram","","","","","1","3","1256","1256","0","100.00"
"Achanta","","","","","1","15","8332","8332","0","100.00"
"Achanta Vemavaram","","","","","1","17","3925","3925","0","100.00"
"Adavikolanu","","","","","1","1","1628","1628","0","100.00"
"Agadallanka","","","","","1","3","2487","2487","0","100.00"
"Agarru","","","","","1","6","2435","2435","0","100.00"
"Agraharagopavaram","","","","","1","1","98","98","0","100.00"
"Ajjamuru","","","","","1","2","434","434","0","100.00"
"Ajjaram","","","","","1","1","821","821","0","100.00"
"Akividu","","","","","1","1","5955","5955","0","100.00"
"Akkampeta","","","","","1","1","42","42","0","100.00"
"Akkireddigudem","","","","","1","1","220","220","0","100.00"
"Akuteegapadu","","","","","1","2","684","684","0","100.00"
"Alampuram","","","","","1","1","1748","1748","0","100.00"
"Alamuru","","","","","1","2","1148","1148","0","100.00"
"Aliveru","","","","","1","11","2264","2264","0","100.00"
"Allamcherlarajupalem","","","","","1","2","1400","1400","0","100.00"
"Allipalle","","","","","1","1","310","310","0","100.00"
"Alliveedu","","","","","1","1","39","39","0","100.00"
"Amaravaram","","","","","1","4","613","613","0","100.00"
"Amberpeta","","","","","1","4","2609","2609","0","100.00"
"Ammapalem","","","","","1","1","33","33","0","100.00"
"Ammapalem","","","","","1","2","567","567","0","100.00"
"Amrutalingampeta","","","","","1","1","911","911","0","100.00"
"Amudalachalaka","","","","","1","1","300","300","0","100.00"
"Amudalapalle","","","","","1","1","1009","1009","0","100.00"
"Anakoderu","","","","","1","6","2207","2207","0","100.00"
"Ananthapalle","","","","","1","4","5048","5048","0","100.00"
"Andaluru","","","","","1","2","43","43","0","100.00"
"Ankalampadu","","","","","1","2","1375","1375","0","100.00"
"Ankampalem","","","","","1","1","421","421","0","100.00"
"Ankanna Gudem","","","","","1","4","335","335","0","100.00"
"Annadevarapeta","","","","","1","2","2220","2220","0","100.00"
"Annavaram","","","","","1","2","442","442","0","100.00"
"Antarvedigudem","","","","","1","8","1633","1633","0","100.00"
"Anumunilanka","","","","","1","3","947","947","0","100.00"
"Appalarajugudem","","","","","1","2","965","965","0","100.00"
"Apparaopeta","","","","","1","5","2119","2119","0","100.00"
"Aratlakatla","","","","","1","2","1417","1417","0","100.00"
"Aravalli","","","","","1","2","1420","1420","0","100.00"
"Ardhavaram","","","","","1","2","1034","1034","0","100.00"
"Aredu","","","","","1","1","347","347","0","100.00"
"Arikirevula","","","","","1","1","887","887","0","100.00"
"Arthamuru","","","","","1","2","543","543","0","100.00"
"Arugolanu","","","","","1","4","2318","2318","0","100.00"
"Arulla","","","","","1","1","289","289","0","100.00"
"Arvaipalle","","","","","1","7","750","750","0","100.00"
"Asannagudem","","","","","1","1","419","419","0","100.00"
"Atchiahpalem","","","","","1","1","418","418","0","100.00"
"Atlapadu","","","","","1","1","537","537","0","100.00"
"Attili","","","","","1","3","7446","7446","0","100.00"
"Avapadu","","","","","1","3","1535","1535","0","100.00"
"Ayyaparajugudem","","","","","1","3","1059","1059","0","100.00"
"Ayyavaripolavaram","","","","","1","2","736","736","0","100.00"
"B.Kondepadu","","","","","1","1","789","789","0","100.00"
"Badampudi","","","","","1","2","1892","1892","0","100.00"
"Badarala","","","","","1","1","202","202","0","100.00"
"Ballipadu","","","","","1","2","930","930","0","100.00"
"Ballipadu","","","","","1","1","384","384","0","100.00"
"Ballipadu","","","","","1","1","1052","1052","0","100.00"
"Bandamcherla","","","","","1","1","900","900","0","100.00"
"Bandapuram","","","","","1","2","1208","1208","0","100.00"
"Bandarlagudem","","","","","1","1","47","47","0","100.00"
"Bandivarigudem","","","","","1","12","3315","3315","0","100.00"
"Bapirajugudem","","","","","1","2","1535","1535","0","100.00"
"Barrinkalapadu","","","","","1","1","69","69","0","100.00"
"Bathevaram","","","","","1","1","63","63","0","100.00"
"Bavayapalem","","","","","1","1","701","701","0","100.00"
"Bayyanagudem","","","","","1","3","3073","3073","0","100.00"
"Bayyavaram","","","","","1","1","150","150","0","100.00"
"Bethapudi","","","","","1","6","1794","1794","0","100.00"
"Bhatlamagutur","","","","","1","2","467","467","0","100.00"
"Bhimadole","","","","","1","7","4649","4649","0","100.00"
"Bhimalapuram","","","","","1","5","2736","2736","0","100.00"
"Bhimolu","","","","","1","2","964","964","0","100.00"
"Bhogapuram","","","","","1","2","861","861","0","100.00"
"Bhogole","","","","","1","5","2018","2018","0","100.00"
"Bobbanapalle","","","","","1","1","31","31","0","100.00"
"Bodapadu","","","","","1","1","300","300","0","100.00"
"Bommidi","","","","","1","1","651","651","0","100.00"
"Bondada","","","","","1","6","2635","2635","0","100.00"
"Borrampalem","","","","","1","2","2595","2595","0","100.00"
"Bothappa Gudem","","","","","1","1","13","13","0","100.00"
"Bothappagudem","","","","","1","4","280","280","0","100.00"
"Brahmanagudem","","","","","1","1","1611","1611","0","100.00"
"Burugagudem","","","","","1","1","97","97","0","100.00"
"Burugupalle","","","","","1","2","628","628","0","100.00"
"Busarajupalle","","","","","1","3","1135","1135","0","100.00"
"Buttayagudem","","","","","1","27","10857","10857","0","100.00"
"Buvvanapalle","","","","","1","1","2066","2066","0","100.00"
"Bynepalle","","","","","1","1","201","201","0","100.00"
"Chagallu","","","","","1","2","5854","5854","0","100.00"
"Chakradevarapalle","","","","","1","1","564","564","0","100.00"
"Chakrayagudem","","","","","1","2","362","362","0","100.00"
"Challachintalapudi","","","","","1","3","1204","1204","0","100.00"
"Challapalle","","","","","1","1","139","139","0","100.00"
"Chamanapalle","","","","","1","1","15","15","0","100.00"
"Chanamilli","","","","","1","1","1014","1014","0","100.00"
"Chandaparru","","","","","1","3","354","354","0","100.00"
"Chandrannapalem","","","","","1","2","686","686","0","100.00"
"Chataparru","","","","","1","5","2704","2704","0","100.00"
"Chebrole Khandrika","","","","","1","1","234","234","0","100.00"
"Chebrolu","","","","","1","3","4081","4081","0","100.00"
"Cheeduru","","","","","1","1","90","90","0","100.00"
"Cheemalavarigudem","","","","","1","1","26","26","0","100.00"
"Cheepurugudem","","","","","1","2","762","762","0","100.00"
"Cheeravalli","","","","","1","4","440","440","0","100.00"
"Chegondapalle","","","","","1","4","671","671","0","100.00"
"Chelikanivanipothepalle","","","","","1","2","597","597","0","100.00"
"Cherukuganuma Agraharam","","","","","1","1","520","520","0","100.00"
"Cherukumilli","","","","","1","1","355","355","0","100.00"
"Cherukumilli","","","","","1","3","1063","1063","0","100.00"
"Cherukuwada","","","","","1","1","1560","1560","0","100.00"
"Cherukuwada","","","","","1","2","2079","2079","0","100.00"
"Chettunnapadu","","","","","1","1","733","733","0","100.00"
"Chidipi","","","","","1","1","410","410","0","100.00"
"Chigurumamidi","","","","","1","3","367","367","0","100.00"
"Chikkala","","","","","1","2","1797","1797","0","100.00"
"Chilakaluru","","","","","1","1","68","68","0","100.00"
"Chilakapadu","","","","","1","1","478","478","0","100.00"
"Chilukuru","","","","","1","1","674","674","0","100.00"
"Chinakapavaram","","","","","1","6","893","893","0","100.00"
"Chinamallam","","","","","1","6","1524","1524","0","100.00"
"Chinamamidipalle (R)","","","","","1","1","270","270","0","100.00"
