"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Anjaw","35","12","0","23","271","271","4526","4155","371","91.80"
"Changlang","33","17","0","16","349","398","25740","14528","11212","56.44"
"Dibang Valley","29","3","0","26","121","149","1395","774","621","55.48"
"East Kameng District","122","17","0","105","350","441","13503","8148","5355","60.34"
"East Siang","4","0","0","4","144","242","17626","10934","6692","62.03"
"Kurung Kumey","359","20","0","339","660","704","14785","7789","6996","52.68"
"Lohit","27","2","0","25","280","354","23398","12427","10971","53.11"
"Lower Dibang Valley","116","11","0","105","279","374","10448","3128","7320","29.94"
"Lower Subansiri","324","119","0","205","464","619","16859","13573","3286","80.51"
"Papum Pare","177","53","0","124","465","689","24129","10116","14013","41.92"
"Tawang District","48","29","0","19","193","364","7421","5209","2212","70.19"
"Tirap","7","2","0","5","187","294","16077","14901","1176","92.69"
"Upper Siang","15","0","0","15","96","133","8087","6711","1376","82.99"
"Upper Subansiri","207","59","0","148","526","562","12008","9970","2038","83.03"
"West Kameng District","12","6","0","6","249","505","19436","15666","3770","80.60"
"West Siang","63","17","0","46","433","550","16713","12922","3791","77.32"
"Total","1,578","367","0","1,211","5,067","6,649","2,32,151","1,50,951","81,200",""
