"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Metengliang","","","","","1","1","52","52","0","100.00"
"12th K.M. Camp","","","","","1","1","21","21","0","100.00"
"48th K.M. Camp","","","","","1","1","8","8","0","100.00"
"7th K.M. Camp","","","","","1","1","14","14","0","100.00"
"9th K.M. Camp","1","1","0","0","1","1","10","0","10","0.00"
"Abohagam","","","","","1","1","10","10","0","100.00"
"Adomla","1","0","0","1","1","1","9","0","9","0.00"
"Air Field Ziro Point","","","","","1","1","65","65","0","100.00"
"Amliang","","","","","1","1","53","53","0","100.00"
"Aphumna","","","","","1","1","22","22","0","100.00"
"Baligam","","","","","1","1","4","4","0","100.00"
"Barafu","","","","","1","1","14","14","0","100.00"
"Bhaw","","","","","1","1","15","15","0","100.00"
"Blom","","","","","1","1","4","4","0","100.00"
"Blong","","","","","1","1","25","25","0","100.00"
"Bomna","","","","","1","1","11","11","0","100.00"
"Brailiang","","","","","1","1","19","19","0","100.00"
"Braptong","","","","","1","1","7","7","0","100.00"
"Bringkong","","","","","1","1","10","10","0","100.00"
"Britgong","","","","","1","1","17","17","0","100.00"
"Chaglagam H.Q.","","","","","1","1","29","29","0","100.00"
"Chakka","","","","","1","1","25","25","0","100.00"
"Challang","","","","","1","1","10","10","0","100.00"
"Chambab Khamukh","","","","","1","1","18","18","0","100.00"
"Chameliang","","","","","1","1","28","28","0","100.00"
"Chamemla","","","","","1","1","13","13","0","100.00"
"Champhai","","","","","1","1","4","4","0","100.00"
"Chamukh","","","","","1","1","8","8","0","100.00"
"Charnai","","","","","1","1","31","31","0","100.00"
"Chendun","","","","","1","1","10","10","0","100.00"
"Chenguinty","","","","","1","1","7","7","0","100.00"
"Chengung","","","","","1","1","26","26","0","100.00"
"Cheretong","","","","","1","1","7","7","0","100.00"
"Chigri","","","","","1","1","7","7","0","100.00"
"Chikruliang","","","","","1","1","9","9","0","100.00"
"Chiliang","","","","","1","1","15","15","0","100.00"
"Chillang","","","","","1","1","4","4","0","100.00"
"Chingraliang","","","","","1","1","6","6","0","100.00"
"Chiphugam","","","","","1","1","8","8","0","100.00"
"Chipra","","","","","1","1","5","5","0","100.00"
"Chiprogam","","","","","1","1","6","6","0","100.00"
"Chipru","","","","","1","1","29","29","0","100.00"
"Chipuiliang","1","0","0","1","1","1","7","0","7","0.00"
"Chirang","1","0","0","1","1","1","10","0","10","0.00"
"Chirang","1","0","0","1","1","1","25","25","0","100.00"
"Chowagong","1","0","0","1","1","1","5","0","5","0.00"
"Chowailing","1","0","0","1","1","1","8","0","8","0.00"
"Chunga","","","","","1","1","3","3","0","100.00"
"Chunyu","","","","","1","1","19","19","0","100.00"
"Chutong","1","0","0","1","1","1","5","0","5","0.00"
"Dalai Bridge Camp","","","","","1","1","9","9","0","100.00"
"Danglat","","","","","1","1","6","6","0","100.00"
"Dav Bridge Point","","","","","1","1","29","29","0","100.00"
"Dhanbari","","","","","1","1","5","5","0","100.00"
"Dhanbari","","","","","1","1","5","5","0","100.00"
"Dillang","","","","","1","1","10","10","0","100.00"
"Dingliang","","","","","1","1","6","6","0","100.00"
"Doiliang","","","","","1","1","13","13","0","100.00"
"Dong","1","0","0","1","1","1","10","0","10","0.00"
"Doringko","1","0","0","1","1","1","8","0","8","0.00"
"Ekailiang","1","0","0","1","1","1","14","0","14","0.00"
"Eliang","1","0","0","1","1","1","3","0","3","0.00"
"Flu Lang","1","1","0","0","1","1","15","0","15","0.00"
"Gab","","","","","1","1","32","32","0","100.00"
"Gai","","","","","1","1","8","0","8","0.00"
"Gamliang","","","","","1","1","8","8","0","100.00"
"Glotong","1","0","0","1","1","1","7","0","7","0.00"
"Goiliang H.Q.","","","","","1","1","27","27","0","100.00"
"Gomin","1","0","0","1","1","1","14","0","14","0.00"
"Gorompani L/Camp","1","1","0","0","1","1","15","12","3","80.00"
"Grantong","","","","","1","1","4","4","0","100.00"
