"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"(5 K.M. dairy Mill Tinkengsung)","","","","","1","1","5","2","3","40.00"
"(Maithong II/(Namphai II)","","","","","1","1","33","23","10","69.70"
"12 K.M. Tea Garden (Thingdan - II)","","","","","1","1","33","0","33","0.00"
"14 K.M. PWD Camp Thingdang-1","1","0","0","1","1","1","12","0","12","0.00"
"17 Mile M.V. Road (Sher) (17 Mile Village)","1","0","0","1","1","1","15","0","15","0.00"
"24 K.M. PWD Camp","1","1","0","0","1","1","1","1","0","100.00"
"3 K.M. Forest Camp (Namdang-II)","","","","","1","1","17","7","10","41.18"
"3 K.M. PWD Camp (Jungmong)","1","1","0","0","1","1","25","20","5","80.00"
"4 K.M. PWD Camp Jungmungsung","1","1","0","0","1","1","20","20","0","100.00"
"6 Km. Rang Frah Vidyaniketan","","","","","1","1","25","0","25","0.00"
"7 K.M. Tea garden (Jungpak)","","","","","1","1","20","9","11","45.00"
"7 K.M. Yungchik PWD (Yungchik)","1","1","0","0","1","1","2","2","0","100.00"
"8 K.M. Govt. Agri. Farm (Thamsung)","","","","","1","1","8","3","5","37.50"
"8 K.M. Tea Garden (Ngalang Kyuk)","","","","","1","1","23","6","17","26.09"
"9 K.M. PWD Camp (Jongkey)","1","0","0","1","1","1","29","29","0","100.00"
"Amchung","","","","","1","1","4","4","0","100.00"
"Anandpur Bl.I & II","","","","","1","2","102","42","60","41.18"
"Avoipur Bl. I - II","","","","","1","2","324","156","168","48.15"
"Balinong","","","","","1","1","232","200","32","86.21"
"Balupather","","","","","1","1","34","34","0","100.00"
"Bijoypur-I Bl.I -III","","","","","1","1","26","18","8","69.23"
"Bijoypur-II Bl.I - II","","","","","1","1","23","17","6","73.91"
"Bijoypur-III Bl.I & II","","","","","1","1","23","16","7","69.57"
"Bordumsa H.Q.Bl.I&II","","","","","1","2","631","564","67","89.38"
"Bordumsa Vill.Bl.I&II","","","","","1","1","395","371","24","93.92"
"Borkhet","","","","","1","1","202","176","26","87.13"
"Borsatum","","","","","1","1","27","27","0","100.00"
"Brajapur","","","","","1","1","43","16","27","37.21"
"Bubang - I","","","","","1","1","17","9","8","52.94"
"Bubang - II","1","1","0","0","1","1","78","78","0","100.00"
"Bubang - III","","","","","1","1","9","9","0","100.00"
"Buddhamandir","","","","","1","1","22","0","22","0.00"
"Budhisatta","","","","","1","1","68","22","46","32.35"
"Chaimu Bl.I & II","","","","","1","1","203","164","39","80.79"
"Chamro","","","","","1","1","137","27","110","19.71"
"Changlai","","","","","1","2","74","10","64","13.51"
"Changra","","","","","1","1","12","7","5","58.33"
"Chidudi","1","0","0","1","1","1","32","0","32","0.00"
"Chimsu","","","","","1","1","12","6","6","50.00"
"Chingsa","","","","","1","1","20","9","11","45.00"
"Chokdok - I","","","","","1","1","10","2","8","20.00"
"Chokdok - II","","","","","1","1","38","10","28","26.32"
"Chumpon","","","","","1","1","26","14","12","53.85"
"CO Hqtrs","1","1","0","0","1","1","37","37","0","100.00"
"Coffee Plantation (Old Yumchum)","","","","","1","2","73","20","53","27.40"
"Dapkhu","","","","","1","1","100","76","24","76.00"
"Daragaon","","","","","1","1","47","0","47","0.00"
"Datkan","","","","","1","1","17","0","17","0.00"
"Dawodi","","","","","1","1","37","0","37","0.00"
"Deban forest camp (Deban)","","","","","1","1","56","12","44","21.43"
"Devapuri","","","","","1","1","74","32","42","43.24"
"Dharmapur Bl. I - V","1","0","0","1","1","3","2150","0","2150","0.00"
"Dirak Pothar","","","","","1","1","144","126","18","87.50"
"Diyun H.Q. Bl.I&II","","","","","1","1","921","812","109","88.17"
"Donyi-Polo","","","","","1","1","25","20","5","80.00"
"Dumba Mossang","","","","","1","1","29","18","11","62.07"
"Dumba Singpho","","","","","1","1","42","23","19","54.76"
"Dumpani Bl.I - III","","","","","1","1","412","212","200","51.46"
"Dumpather Bl.I - III","","","","","1","2","313","208","105","66.45"
"Forest Camp Namgoi (Namgoi - V)","1","1","0","0","1","1","22","22","0","100.00"
"Gaherigaon","","","","","1","1","27","0","27","0.00"
"Galenja Ponthai","","","","","1","1","56","43","13","76.79"
"Galenja Singpho","","","","","1","1","75","54","21","72.00"
"Garaline","","","","","1","1","102","30","72","29.41"
"Gautompur Bl.I - III","","","","","1","2","269","182","87","67.66"
"Gidding","","","","","1","1","89","67","22","75.28"
