"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"132 K.M. Point","","","","","1","1","8","8","0","100.00"
"173 K.M. Point","","","","","1","2","50","30","20","60.00"
"Achali","","","","","1","1","2","2","0","100.00"
"Achengo","1","0","0","1","1","1","2","0","2","0.00"
"Acheso","","","","","1","2","10","7","3","70.00"
"Adali","1","0","0","1","1","1","4","0","4","0.00"
"Adane","","","","","1","1","4","4","0","100.00"
"Agagu","1","0","0","1","1","1","14","0","14","0.00"
"Aguli","","","","","1","1","8","8","0","100.00"
"Ahungo","1","0","0","1","1","1","6","0","6","0.00"
"Aiso","","","","","1","1","2","2","0","100.00"
"Ajupu","","","","","1","1","2","2","0","100.00"
"Akaya","1","0","0","1","1","1","5","0","5","0.00"
"Akhuli","1","0","0","1","1","1","5","0","5","0.00"
"Akobe","","","","","1","2","11","9","2","81.82"
"Akuli","","","","","1","1","4","4","0","100.00"
"Akunli","","","","","1","1","5","5","0","100.00"
"Aliney","","","","","1","1","16","16","0","100.00"
"Alinye","","","","","1","4","48","14","34","29.17"
"Alney (Aloney )","1","0","0","1","1","1","3","0","3","0.00"
"Alombro","","","","","1","1","5","5","0","100.00"
"Ambolin","1","0","0","1","1","1","6","0","6","0.00"
"Amili","","","","","1","1","6","0","6","0.00"
"Amuchi","","","","","1","1","3","3","0","100.00"
"Amuli","","","","","1","2","51","10","41","19.61"
"Anelih H.Q.","","","","","1","3","53","18","35","33.96"
"Angolin","","","","","1","2","23","20","3","86.96"
"Angrim Valley","","","","","1","1","31","31","0","100.00"
"Angulin","","","","","1","1","16","16","0","100.00"
"Aningo","1","0","0","1","1","1","2","0","2","0.00"
"Anose","","","","","1","1","6","0","6","0.00"
"Aoli","1","0","0","1","1","1","16","0","16","0.00"
"Aoli","1","0","0","1","1","1","2","2","0","100.00"
"Apanli","","","","","1","1","4","4","0","100.00"
"Aprunli","","","","","1","1","5","5","0","100.00"
"Apunli","1","0","0","1","1","1","5","0","5","0.00"
"Aranli","","","","","1","1","5","0","5","0.00"
"Aropo","","","","","1","2","21","17","4","80.95"
"Aruko","","","","","1","1","3","0","3","0.00"
"Aruli","","","","","1","1","11","11","0","100.00"
"Arunli","","","","","1","1","2","2","0","100.00"
"Arzoo","","","","","1","1","74","74","0","100.00"
"Asunli","","","","","1","1","3","0","3","0.00"
"Atali","1","0","0","1","1","1","10","0","10","0.00"
"Atalin","","","","","1","1","4","4","0","100.00"
"Athunli","","","","","1","1","10","10","0","100.00"
"Atiyi","","","","","1","1","3","0","3","0.00"
"Atoto","","","","","1","1","4","0","4","0.00"
"Aunli","","","","","1","2","7","5","2","71.43"
"Awali","","","","","1","1","7","0","7","0.00"
"Awango","","","","","1","1","12","0","12","0.00"
"Awoka","1","0","0","1","1","1","7","0","7","0.00"
"Ayongo","","","","","1","1","9","0","9","0.00"
"Baro","","","","","1","1","7","7","0","100.00"
"Beruto Model village","","","","","1","1","5","0","5","0.00"
"Beyanli","","","","","1","1","6","6","0","100.00"
"Brango","","","","","1","1","17","17","0","100.00"
"Chanli","1","0","0","1","1","1","3","0","3","0.00"
"Char - Kilo (Tapo)","","","","","1","1","2","2","0","100.00"
"Cheppe","1","0","0","1","1","1","9","0","9","0.00"
"Cheya","","","","","1","1","4","4","0","100.00"
"Chipuli","","","","","1","1","4","4","0","100.00"
"Ebamee","1","0","0","1","1","1","8","0","8","0.00"
"Echito","","","","","1","1","7","0","7","0.00"
"Ediya","1","0","0","1","1","1","3","0","3","0.00"
"Emuli","","","","","1","2","13","13","0","100.00"
"Emuli","","","","","1","2","15","13","2","86.67"
"Endalin","","","","","1","1","2","0","2","0.00"
"Endolin","","","","","1","1","2","0","2","0.00"
"Engolin","","","","","1","1","3","3","0","100.00"
"Engolin","","","","","1","1","4","4","0","100.00"
"Eriyan","1","1","0","0","1","1","15","0","15","0.00"
"Etabe","","","","","1","2","20","12","8","60.00"
"Etalin Bridge Point","","","","","1","4","41","21","20","51.22"
"Etalin H.Q.","","","","","1","1","64","64","0","100.00"
"Ethore","1","0","0","1","1","1","6","0","6","0.00"
"Eyongo","1","0","0","1","1","1","6","0","6","0.00"
"Gipulin","","","","","1","2","27","6","21","22.22"
"Granli","","","","","1","1","2","2","0","100.00"
"Gunglo","","","","","1","1","5","5","0","100.00"
"Ichigo","","","","","1","1","5","5","0","100.00"
"Ichindo","","","","","1","1","52","0","52","0.00"
"Idipo","1","0","0","1","1","1","6","0","6","0.00"
"Immuli","","","","","1","1","6","6","0","100.00"
"Ipingo","","","","","1","1","4","4","0","100.00"
"Ithun Camp","1","0","0","1","1","1","3","0","3","0.00"
"Jingupu","1","0","0","1","1","1","6","0","6","0.00"
"Kadeli","","","","","1","2","12","10","2","83.33"
"Kamuyi","1","0","0","1","1","1","5","0","5","0.00"
"Kano","","","","","1","1","10","10","0","100.00"
"Karo","","","","","1","1","3","3","0","100.00"
"Karu","","","","","1","6","15","3","12","20.00"
"Koronli(H.Q.Arzoo)","","","","","1","1","5","0","5","0.00"
"Larango","","","","","1","1","8","8","0","100.00"
"Makuni","","","","","1","1","9","9","0","100.00"
"Maley","1","0","0","1","1","1","2","0","2","0.00"
"Maliney","","","","","1","1","27","27","0","100.00"
"Maro","","","","","1","1","3","3","0","100.00"
"Maronli","","","","","1","1","18","18","0","100.00"
