"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Byale Sullung","1","0","0","1","1","1","25","0","25","0.00"
"Chayangtajo H.Q.","","","","","1","1","281","281","0","100.00"
"Dache Sullung","","","","","1","1","6","6","0","100.00"
"Dao","1","0","0","1","1","1","15","0","15","0.00"
"Dara Yangfo","1","0","0","1","1","1","50","0","50","0.00"
"Doripu Bagang","","","","","1","1","23","23","0","100.00"
"Kamke","","","","","1","1","22","6","16","27.27"
"Killo","","","","","1","1","31","25","6","80.65"
"Krema Pao","","","","","1","1","102","52","50","50.98"
"Laching Bagang","","","","","1","1","87","59","28","67.82"
"Lamrah","","","","","1","1","13","13","0","100.00"
"Loto Yangfo","1","0","0","1","1","1","30","0","30","0.00"
"Mechar","1","0","0","1","1","1","10","0","10","0.00"
"Mechi","1","0","0","1","1","1","30","0","30","0.00"
"Paje Tassar","","","","","1","1","7","7","0","100.00"
"Rayak Sullung","","","","","1","1","5","5","0","100.00"
"Rebe","","","","","1","1","45","25","20","55.56"
"12th Mile Camp","","","","","1","1","11","11","0","100.00"
"18th Mile Camp","","","","","1","1","27","27","0","100.00"
"40 K.M. Camp","","","","","1","1","44","44","0","100.00"
"A - 1  Block","1","0","0","1","1","1","30","0","30","0.00"
"A - 2  Block","","","","","1","1","16","0","16","0.00"
"A - 3  Block","","","","","1","1","4","0","4","0.00"
"Afaksung","1","0","0","1","1","1","19","0","19","0.00"
"Along Topte","","","","","1","1","12","12","0","100.00"
"Anuk Sollung","1","0","0","1","1","1","4","0","4","0.00"
"Arundaya Model Village","1","1","0","0","1","2","50","35","15","70.00"
"Attarang","","","","","1","1","63","3","60","4.76"
"Babey Camp","1","0","0","1","1","2","90","0","90","0.00"
"Bali Basti","","","","","1","1","45","20","25","44.44"
"Balipota","1","0","0","1","1","1","40","0","40","0.00"
"Baliso","","","","","1","1","41","41","0","100.00"
"Bameng H.Q.","","","","","1","1","204","204","0","100.00"
"Bana Camp","","","","","1","2","62","62","0","100.00"
"Bana Village","1","1","0","0","1","1","32","27","5","84.38"
"Basu Camp","","","","","1","1","9","9","0","100.00"
"Bengde","","","","","1","1","57","57","0","100.00"
"Beyong","","","","","1","1","60","60","0","100.00"
"Bisai","1","0","0","1","1","1","15","0","15","0.00"
"Bodhi","","","","","1","1","24","24","0","100.00"
"Bodo","","","","","1","1","28","28","0","100.00"
"Bokar","1","0","0","1","1","5","163","0","163","0.00"
"Chaling","1","0","0","1","1","1","25","0","25","0.00"
"Chamduk Leyak","","","","","1","1","31","31","0","100.00"
"Champing","","","","","1","1","26","26","0","100.00"
"Chankiu Yangfo","","","","","1","1","33","20","13","60.61"
"Chege","","","","","1","1","36","36","0","100.00"
"Chijang","","","","","1","1","23","23","0","100.00"
"Chumgong (New)","","","","","1","1","16","16","0","100.00"
"Dabiwa Cheda","1","0","0","1","1","1","71","0","71","0.00"
"Dafri","","","","","1","1","41","41","0","100.00"
"Dambua Tajo","","","","","1","1","6","6","0","100.00"
"Darlong","","","","","1","1","82","50","32","60.98"
"Debiwa Sollung","1","0","0","1","1","1","15","0","15","0.00"
"Devegolo","","","","","1","1","25","25","0","100.00"
"Diderso","","","","","1","1","11","11","0","100.00"
"Dikalmukh","","","","","1","1","17","17","0","100.00"
"Dipik","","","","","1","1","41","41","0","100.00"
"Dipu Lamgu","","","","","1","1","28","15","13","53.57"
"Dirring","1","0","0","1","1","1","4","0","4","0.00"
"Dissing Passo HQ","1","1","0","0","1","2","139","67","72","48.20"
"Diya Sullung","1","0","0","1","1","2","8","0","8","0.00"
"Doik","","","","","1","1","9","9","0","100.00"
"Doka","1","0","0","1","1","5","170","0","170","0.00"
"Dokre Gyadi","1","0","0","1","1","1","35","0","35","0.00"
"Domdila Tajo","","","","","1","1","39","39","0","100.00"
"Dongkha","1","0","0","1","1","2","18","0","18","0.00"
"Donigaon","","","","","1","1","42","42","0","100.00"
"Dowla","","","","","1","1","18","18","0","100.00"
"Drakshi","1","0","0","1","1","3","50","0","50","0.00"
"Effa","1","0","0","1","1","4","45","0","45","0.00"
"Emboriang","1","0","0","1","1","1","40","0","40","0.00"
"Enchuyar Taku","","","","","1","1","23","23","0","100.00"
"Fachang","","","","","1","1","26","26","0","100.00"
"Fengche","","","","","1","1","35","35","0","100.00"
"Fengche Jayanti","","","","","1","1","24","24","0","100.00"
"Flago","1","0","0","1","1","4","130","0","130","0.00"
"Gidi Sullung","1","0","0","1","1","1","20","0","20","0.00"
"Gikung","1","0","0","1","1","1","15","0","15","0.00"
"Goloso(Forest) Camp","","","","","1","1","46","0","46","0.00"
"Granjang","1","0","0","1","1","1","20","0","20","0.00"
"Gumte","","","","","1","2","71","30","41","42.25"
"Gumtung","","","","","1","1","35","35","0","100.00"
"Gyawe Purang Hq.","1","0","0","1","1","3","70","0","70","0.00"
"Hamba – Pinda","","","","","1","1","64","0","64","0.00"
"Hamkia Camp","","","","","1","1","19","19","0","100.00"
"Hara Yangfo","","","","","1","1","15","15","0","100.00"
"Hari Nablam","","","","","1","1","19","19","0","100.00"
"Hisa Plangta","1","0","0","1","1","1","13","0","13","0.00"
"Hojopu","1","1","0","0","1","1","35","35","0","100.00"
"Horungwa","","","","","1","1","11","11","0","100.00"
"Hote Veo","","","","","1","1","11","11","0","100.00"
"I.A.Y Village","","","","","1","1","11","11","0","100.00"
"Japu","1","0","0","1","1","1","24","0","24","0.00"
"Jarkam","1","0","0","1","1","1","5","0","5","0.00"
"Jattom Sullung","","","","","1","1","36","36","0","100.00"
"Jawa Camp","","","","","1","1","40","40","0","100.00"
"Jayang Bagang","","","","","1","1","105","105","0","100.00"
"Jejudada","","","","","1","1","41","41","0","100.00"
"Jokhia","","","","","1","1","43","43","0","100.00"
"Jollang","","","","","1","1","27","27","0","100.00"
"Jolly","","","","","1","1","53","25","28","47.17"
"Jomoh","","","","","1","1","51","51","0","100.00"
"Jotte Cheda","","","","","1","1","41","41","0","100.00"
"Kadeya Kitchang","1","1","0","0","1","1","40","40","0","100.00"
"Kafla","","","","","1","2","29","29","0","100.00"
"Kajung","1","1","0","0","1","1","18","10","8","55.56"
"Kakukao","","","","","1","2","73","73","0","100.00"
"Kampa  -  N.V.","1","0","0","1","1","1","22","0","22","0.00"
"Kampu","1","1","0","0","1","2","17","7","10","41.18"
"Kampu Seba","1","0","0","1","1","1","20","0","20","0.00"
"Kamrung(Neping)","","","","","1","1","43","43","0","100.00"
"Kamsa","","","","","1","1","19","19","0","100.00"
"Kapa","1","0","0","1","1","1","15","0","15","0.00"
"Kapik Sullung","","","","","1","1","12","5","7","41.67"
"Kapu  Dada","","","","","1","1","34","1","33","2.94"
"Kawa Dada","","","","","1","1","9","2","7","22.22"
"Kawarang","1","0","0","1","1","3","32","0","32","0.00"
"Keko","","","","","1","2","45","45","0","100.00"
"Kesse Bagang","","","","","1","1","34","34","0","100.00"
"Keyong","","","","","1","1","22","22","0","100.00"
"Khari","","","","","1","1","5","5","0","100.00"
"Khenewa H.Q.","","","","","1","1","75","75","0","100.00"
"Khodaso","","","","","1","1","35","35","0","100.00"
"Khora","","","","","1","1","20","20","0","100.00"
"Kitchang","","","","","1","1","10","10","0","100.00"
"Kojo","1","0","0","1","1","1","35","0","35","0.00"
"Kotte Camp","","","","","1","1","22","5","17","22.73"
