"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"10th Mile Oyan","","","","","1","1","20","0","20","0.00"
"12th Mile","","","","","1","1","36","36","0","100.00"
"26th Mile","","","","","1","1","15","15","0","100.00"
"3rd Mile","","","","","1","2","169","20","149","11.83"
"7th Mile Camp","","","","","1","2","119","23","96","19.33"
"Aditako","","","","","1","1","10","10","0","100.00"
"Aohali","","","","","1","1","26","20","6","76.92"
"Ayeng","","","","","1","1","205","195","10","95.12"
"Babuk","","","","","1","1","17","17","0","100.00"
"Balek","","","","","1","2","68","4","64","5.88"
"Bamin","","","","","1","2","184","184","0","100.00"
"Begging","","","","","1","1","39","26","13","66.67"
"Berung","","","","","1","2","226","32","194","14.16"
"Bilat H.Q.","","","","","1","6","460","87","373","18.91"
"Bodak","","","","","1","1","34","21","13","61.76"
"Borguli","","","","","1","2","160","140","20","87.50"
"Boying","","","","","1","2","132","90","42","68.18"
"Dapi","","","","","1","2","344","130","214","37.79"
"Debing","","","","","1","3","218","130","88","59.63"
"Depi","","","","","1","1","137","134","3","97.81"
"Depi Moli","","","","","1","1","60","57","3","95.00"
"Detak Vill.","","","","","1","1","56","54","2","96.43"
"Diking","","","","","1","2","280","50","230","17.86"
"Dite Dime","","","","","1","1","55","55","0","100.00"
"Donyi Polo T.E.","","","","","1","3","187","75","112","40.11"
"Dosing","","","","","1","1","35","20","15","57.14"
"Gadum","","","","","1","1","60","30","30","50.00"
"Gunne","","","","","1","1","19","14","5","73.68"
"Jate","1","0","0","1","1","1","14","0","14","0.00"
"Jorsing","","","","","1","1","33","22","11","66.67"
"Kakki Village","","","","","1","1","25","22","3","88.00"
"Kallek","","","","","1","1","13","13","0","100.00"
"Kebang-Denki","","","","","1","2","383","383","0","100.00"
"Kelek","","","","","1","2","65","22","43","33.85"
"Kemi Check Gate","","","","","1","3","90","15","75","16.67"
"Kiyit","","","","","1","2","216","190","26","87.96"
"Komsing(Karo)","","","","","1","1","54","27","27","50.00"
"Komsing(Kumku)","","","","","1","1","53","32","21","60.38"
"Kongkul","","","","","1","3","90","20","70","22.22"
"Korang","","","","","1","2","67","41","26","61.19"
"Koreng","","","","","1","1","44","38","6","86.36"
"Koyu","","","","","1","1","53","51","2","96.23"
"Ledum","","","","","1","2","136","136","0","100.00"
"Lesing T.E.","","","","","1","1","18","18","0","100.00"
"Lileng","","","","","1","1","38","19","19","50.00"
"Lingka","","","","","1","2","63","20","43","31.75"
"Lipin","","","","","1","1","20","18","2","90.00"
"Lissing","1","0","0","1","1","1","52","0","52","0.00"
"Loglu Village","","","","","1","2","87","85","2","97.70"
"Lokpeng","","","","","1","1","48","30","18","62.50"
"Lumpo","","","","","1","1","132","129","3","97.73"
"Mane","","","","","1","1","30","28","2","93.33"
"Mangnang","","","","","1","1","431","431","0","100.00"
"Mebo H.Q.","","","","","1","2","395","360","35","91.14"
"Mebo Village","","","","","1","1","280","265","15","94.64"
"Mer","","","","","1","1","120","70","50","58.33"
"Messing","1","0","0","1","1","1","30","0","30","0.00"
"Miglung","","","","","1","1","53","53","0","100.00"
"Mikung","","","","","1","1","116","116","0","100.00"
"Mirbuk","","","","","1","3","477","42","435","8.81"
"Mirem","","","","","1","8","387","273","114","70.54"
"Mirku","","","","","1","2","304","154","150","50.66"
"Mirsam","","","","","1","2","166","136","30","81.93"
"Mongku","","","","","1","2","102","62","40","60.78"
"Mopit","","","","","1","1","53","36","17","67.92"
