"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"6 Mile Camp","","","","","1","1","30","30","0","100.00"
"Aeyer","","","","","1","1","3","3","0","100.00"
"Amji","","","","","1","1","26","26","0","100.00"
"Amprakpak","1","0","0","1","1","1","9","0","9","0.00"
"Ania Koyer","1","0","0","1","1","1","26","0","26","0.00"
"Anung","","","","","1","1","6","6","0","100.00"
"Arr  Guha","","","","","1","1","21","21","0","100.00"
"Asupinja","","","","","1","1","13","13","0","100.00"
"Baggam (Baojam)","1","0","0","1","1","1","39","0","39","0.00"
"Bala","1","0","0","1","1","1","3","0","3","0.00"
"Ballo I","1","1","0","0","1","1","10","10","0","100.00"
"Ballo II","1","1","0","0","1","1","20","18","2","90.00"
"Bamo","","","","","1","1","7","7","0","100.00"
"Bampung Hema","1","0","0","1","1","1","20","0","20","0.00"
"Banchi","","","","","1","1","19","19","0","100.00"
"Banga Kotho","1","0","0","1","1","1","4","0","4","0.00"
"Bangte","","","","","1","1","49","49","0","100.00"
"Barbia","1","0","0","1","1","1","17","0","17","0.00"
"Baribayang","","","","","1","1","5","5","0","100.00"
"Barta Camp","1","0","0","1","1","1","16","0","16","0.00"
"Begang","","","","","1","1","12","12","0","100.00"
"Bigo","1","0","0","1","1","1","10","0","10","0.00"
"Bik","1","0","0","1","1","2","47","0","47","0.00"
"Bindo","1","0","0","1","1","1","15","0","15","0.00"
"Biya","1","0","0","1","1","3","34","0","34","0.00"
"Biyar","1","0","0","1","1","1","16","0","16","0.00"
"Boa","","","","","1","1","12","12","0","100.00"
"Boa","","","","","1","1","10","10","0","100.00"
"Boa II","1","0","0","1","1","1","12","0","12","0.00"
"Bogu","","","","","1","1","42","42","0","100.00"
"Boje","1","0","0","1","1","1","15","0","15","0.00"
"Bokam","","","","","1","1","19","19","0","100.00"
"Boksa","","","","","1","1","25","25","0","100.00"
"Bomahapa","","","","","1","1","7","7","0","100.00"
"Bongkung","1","0","0","1","1","1","9","0","9","0.00"
"Boring","1","0","0","1","1","1","10","0","10","0.00"
"Boruk","1","0","0","1","1","1","6","0","6","0.00"
"Bridge Point","","","","","1","1","20","20","0","100.00"
"Bugdu","1","0","0","1","1","1","20","0","20","0.00"
"Buhan","1","0","0","1","1","1","2","0","2","0.00"
"Bump-Hapa","1","0","0","1","1","1","20","0","20","0.00"
"Bumpey","1","0","0","1","1","1","10","0","10","0.00"
"Bungkung","1","0","0","1","1","1","10","0","10","0.00"
"Buyang-II","1","1","0","0","1","1","2","0","2","0.00"
"Byasi","","","","","1","1","6","6","0","100.00"
"Chaba (Pokpu)","","","","","1","2","28","0","28","0.00"
"Chaching","","","","","1","1","6","6","0","100.00"
"Chakbang","","","","","1","1","13","13","0","100.00"
"Chambang","","","","","1","1","95","95","0","100.00"
"Changkung","1","0","0","1","1","1","10","0","10","0.00"
"Charbia","1","0","0","1","1","1","18","0","18","0.00"
"Chate","","","","","1","1","12","12","0","100.00"
"Chate","","","","","1","1","8","8","0","100.00"
"Cheba","1","0","0","1","1","1","23","0","23","0.00"
"Chebang","","","","","1","1","26","26","0","100.00"
"Chedam","1","0","0","1","1","1","5","0","5","0.00"
"Cheki","","","","","1","1","15","15","0","100.00"
"Chello","","","","","1","1","14","14","0","100.00"
"Chera","1","0","0","1","1","1","9","0","9","0.00"
"Cheya","","","","","1","1","25","25","0","100.00"
"Chimpigi","1","0","0","1","1","1","20","0","20","0.00"
"Chimpu","1","0","0","1","1","1","5","0","5","0.00"
"Chingliang","","","","","1","1","20","20","0","100.00"
"Chinkongne Village","1","0","0","1","1","1","6","0","6","0.00"
"Choba (Jamin)","","","","","1","1","14","0","14","0.00"
"Cholo","1","0","0","1","1","1","40","0","40","0.00"
"Cholo","1","0","0","1","1","1","11","11","0","100.00"
"Chome","1","0","0","1","1","1","21","0","21","0.00"
"Chomi","","","","","1","1","11","11","0","100.00"
"Chote","","","","","1","1","3","3","0","100.00"
"Chote","","","","","1","1","17","17","0","100.00"
"Chulla","","","","","1","1","18","18","0","100.00"
"Chulu","","","","","1","1","15","15","0","100.00"
"Cvuth","1","0","0","1","1","1","15","0","15","0.00"
"Dabo","","","","","1","1","38","38","0","100.00"
"Dado","","","","","1","2","31","19","12","61.29"
"Dalang","","","","","1","1","25","25","0","100.00"
"Damin H.Q.","","","","","1","1","99","99","0","100.00"
"Damin Village","","","","","1","1","11","11","0","100.00"
"Dangdung","","","","","1","1","17","17","0","100.00"
"Dangu","1","0","0","1","1","1","32","0","32","0.00"
"Dania","1","0","0","1","1","1","3","0","3","0.00"
"Dape","","","","","1","1","18","18","0","100.00"
"Dare","","","","","1","1","8","8","0","100.00"
"Dari","","","","","1","2","56","45","11","80.36"
"Debe","","","","","1","1","9","9","0","100.00"
"Degging I","","","","","1","1","11","11","0","100.00"
"Degging II","1","0","0","1","1","1","7","0","7","0.00"
"Delinge","1","0","0","1","1","1","20","0","20","0.00"
"Delung","","","","","1","1","16","16","0","100.00"
"Demepup","1","0","0","1","1","1","13","0","13","0.00"
"Dengba","","","","","1","1","21","21","0","100.00"
"Dengdeng","","","","","1","1","19","19","0","100.00"
"Dera","1","0","0","1","1","1","23","0","23","0.00"
"Deyang","1","0","0","1","1","1","8","0","8","0.00"
"Diba Koyar","1","0","0","1","1","1","16","0","16","0.00"
"Digok","","","","","1","1","7","7","0","100.00"
"Dilanggang","1","0","0","1","1","1","39","0","39","0.00"
"Dillang New","","","","","1","1","3","3","0","100.00"
"Dogwa","1","0","0","1","1","1","3","0","3","0.00"
"Dokio Pep","1","0","0","1","1","1","15","0","15","0.00"
"Dokum Coloney","1","1","0","0","1","1","33","33","0","100.00"
"Dokur","","","","","1","1","41","41","0","100.00"
"Dolo","","","","","1","1","13","13","0","100.00"
"Dome","","","","","1","1","4","4","0","100.00"
"Dorduk (T-Tab )","1","0","0","1","1","1","20","0","20","0.00"
"Dotte","","","","","1","1","22","22","0","100.00"
"Dubupa","","","","","1","1","44","44","0","100.00"
"Duguk","","","","","1","1","9","9","0","100.00"
"Dui","","","","","1","2","48","37","11","77.08"
"Dumbu","1","0","0","1","1","1","16","0","16","0.00"
"Durpai","","","","","1","1","14","14","0","100.00"
"Fua","","","","","1","1","13","13","0","100.00"
"Fuba","","","","","1","1","58","58","0","100.00"
"Furek","1","0","0","1","1","1","6","0","6","0.00"
"Furung","","","","","1","1","12","12","0","100.00"
"Gachi","1","0","0","1","1","1","10","0","10","0.00"
"Gad","1","0","0","1","1","1","5","0","5","0.00"
"Gaga","","","","","1","1","19","19","0","100.00"
"Gai - I","","","","","1","1","11","11","0","100.00"
"Gai IV","1","0","0","1","1","1","15","0","15","0.00"
"Gai-II","","","","","1","1","8","8","0","100.00"
"Gai-III","","","","","1","1","13","13","0","100.00"
"Galan","1","0","0","1","1","1","6","0","6","0.00"
"Galang","","","","","1","1","8","8","0","100.00"
"Galang","","","","","1","1","18","18","0","100.00"
"Galangputong","","","","","1","1","12","12","0","100.00"
