"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Duraliang","","","","","1","2","55","30","25","54.55"
"10th Nallah L/Camp","","","","","1","1","6","4","2","66.67"
"20th Mile (Chailiang)","","","","","1","2","139","110","29","79.14"
"27th Mile","","","","","1","1","18","18","0","100.00"
"2nd Mile","","","","","1","2","147","0","147","0.00"
"34th Mile","","","","","1","1","35","0","35","0.00"
"43rd Mile","","","","","1","1","60","12","48","20.00"
"6th Mile Camp","","","","","1","1","41","41","0","100.00"
"Adi Ningroo","","","","","1","1","106","40","66","37.74"
"Adivasi Chuk","","","","","1","1","156","52","104","33.33"
"Alubari","","","","","1","2","234","154","80","65.81"
"Alubari Ghat","","","","","1","1","182","182","0","100.00"
"Alubari Main Wood Area","","","","","1","1","302","0","302","0.00"
"Babruliang","","","","","1","1","68","0","68","0.00"
"Bedagam","1","0","0","1","1","1","30","0","30","0.00"
"Bhekuliang","","","","","1","2","88","88","0","100.00"
"Bhogamur","","","","","1","2","152","25","127","16.45"
"Boka Beel","","","","","1","1","56","4","52","7.14"
"BRC Bhekuliang Tiniali","1","0","0","1","1","1","130","0","130","0.00"
"Chakma -I","","","","","1","1","381","37","344","9.71"
"Chakma -II","1","0","0","1","1","1","364","0","364","0.00"
"Chakma-III","1","0","0","1","1","1","368","0","368","0.00"
"Changliang","","","","","1","2","140","121","19","86.43"
"Chereng","","","","","1","1","18","18","0","100.00"
"Chesing Wingko","","","","","1","1","131","40","91","30.53"
"Chetangum","","","","","1","1","18","0","18","0.00"
"Chikdom Greef camp","","","","","1","1","34","28","6","82.35"
"Chikroglat","1","0","0","1","1","1","37","0","37","0.00"
"Chongkham H.Q.","","","","","1","1","292","252","40","86.30"
"Chowkham - I","","","","","1","1","55","45","10","81.82"
"Chowkham - III","","","","","1","1","183","183","0","100.00"
"Chowkham - IV","","","","","1","1","110","110","0","100.00"
"Chowkham -II","","","","","1","1","127","120","7","94.49"
"Chowkham/Tengapani Area(Mantow mill area)","","","","","1","1","30","12","18","40.00"
"Cibi","","","","","1","1","30","30","0","100.00"
"Dabangam","1","0","0","1","1","1","6","0","6","0.00"
"Dadum Jona(Denam Jona)","","","","","1","1","33","20","13","60.61"
"Dangku","1","0","0","1","1","1","160","0","160","0.00"
"Danglat","","","","","1","5","158","122","36","77.22"
"Daninliang","","","","","1","1","37","0","37","0.00"
"Demwe","","","","","1","1","129","99","30","76.74"
"Deobeel","","","","","1","6","354","100","254","28.25"
"Dharampur","","","","","1","1","111","56","55","50.45"
"Dhonekhona","","","","","1","1","120","40","80","33.33"
"Digaru","1","0","0","1","1","1","100","0","100","0.00"
"Dirak Miri","","","","","1","1","72","38","34","52.78"
"Dumsi","","","","","1","1","103","68","35","66.02"
"Duranallah","","","","","1","1","19","17","2","89.47"
"Ekorani","","","","","1","1","30","14","16","46.67"
"Embong","","","","","1","1","15","15","0","100.00"
"Emphum","","","","","1","2","164","164","0","100.00"
"Empong (M'Pong)","","","","","1","1","61","0","61","0.00"
"Enten","","","","","1","1","53","10","43","18.87"
"Enthem","","","","","1","1","24","15","9","62.50"
"Eraloni","","","","","1","1","145","67","78","46.21"
"Gohain Gaon(28th Mile)","","","","","1","1","225","144","81","64.00"
"Guna Nagar  - II(West)","","","","","1","2","684","303","381","44.30"
"Guna Nagar - I","","","","","1","1","33","0","33","0.00"
"Gundri","","","","","1","1","34","8","26","23.53"
"Hallao","","","","","1","1","29","0","29","0.00"
"Hamatong","1","0","0","1","1","1","70","0","70","0.00"
"Hati Duba","","","","","1","2","102","64","38","62.75"
"Hati Mara Beel","","","","","1","1","29","3","26","10.34"
"Hawa Camp","","","","","1","1","34","34","0","100.00"
"Hucheliang","","","","","1","1","147","134","13","91.16"
"Huking","","","","","1","1","59","59","0","100.00"
"Injo","","","","","1","1","13","13","0","100.00"
"Insa","","","","","1","2","17","17","0","100.00"
"ITBP Camp","","","","","1","1","46","46","0","100.00"
"Jaipur","","","","","1","2","108","30","78","27.78"
"Jeinko","","","","","1","1","16","16","0","100.00"
"Jeko","","","","","1","1","112","80","32","71.43"
"Jenglai","","","","","1","1","88","35","53","39.77"
"Jengthu Camp","","","","","1","2","36","31","5","86.11"
"Jengthu Camp/Kinghom Jona","","","","","1","1","49","0","49","0.00"
"Jhalukbari","","","","","1","1","45","32","13","71.11"
"Jona - I","","","","","1","1","155","60","95","38.71"
"Jona - II","","","","","1","1","39","10","29","25.64"
"Jona - III","","","","","1","1","123","40","83","32.52"
"Jona - IV","","","","","1","1","100","40","60","40.00"
"Jona Kachari Kuli","","","","","1","1","64","40","24","62.50"
"Kaba Village","","","","","1","2","125","73","52","58.40"
"Kabruliang","1","0","0","1","1","1","130","0","130","0.00"
"Kaisu","","","","","1","1","39","19","20","48.72"
"Kakani","","","","","1","1","19","12","7","63.16"
"Kamban","","","","","1","1","20","20","0","100.00"
"Kamja","","","","","1","1","22","22","0","100.00"
"Kamlang Nagar","","","","","1","1","50","25","25","50.00"
"Kandey","","","","","1","1","20","0","20","0.00"
"Kanjang","","","","","1","2","41","37","4","90.24"
"Karhe","","","","","1","1","35","27","8","77.14"
"Kasik","","","","","1","1","79","25","54","31.65"
"Kathalguri","","","","","1","1","107","47","60","43.93"
"Kathan","","","","","1","1","17","17","0","100.00"
"Kathan(New)","","","","","1","1","9","9","0","100.00"
"Kaupatani","","","","","1","1","216","102","114","47.22"
"Kharira Chuk","","","","","1","1","121","40","81","33.06"
"Khasangkung","","","","","1","1","12","12","0","100.00"
"Kherem(upto 7 Kilo)","","","","","1","2","129","88","41","68.22"
"Khorabah","","","","","1","1","19","0","19","0.00"
"Khoraliang","","","","","1","6","135","100","35","74.07"
"Khowji","","","","","1","1","172","102","70","59.30"
"Krishnapur","","","","","1","1","75","40","35","53.33"
"Krishnapursatghariya","","","","","1","1","30","6","24","20.00"
"Krowaliang","","","","","1","1","17","15","2","88.24"
"Kumari Adivasi","","","","","1","1","86","65","21","75.58"
"Kumari Kachari","","","","","1","1","120","102","18","85.00"
"Kumari Khamti","","","","","1","1","185","63","122","34.05"
"Kunginju Tea Estate ( -)","","","","","1","1","14","0","14","0.00"
"Kungseng","","","","","1","1","27","0","27","0.00"
"Kungsung","","","","","1","1","56","0","56","0.00"
"Kungyao","","","","","1","1","17","17","0","100.00"
"Labeliang","1","0","0","1","1","1","8","0","8","0.00"
"Lalpani Rd. side L/Camp","","","","","1","1","15","12","3","80.00"
"Lamliang","","","","","1","3","32","32","0","100.00"
"Lapsing Camp","1","0","0","1","1","1","90","0","90","0.00"
"Lathao","","","","","1","1","24","10","14","41.67"
"Lathoo","","","","","1","3","94","0","94","0.00"
"Lekang Gohain Gaon","","","","","1","1","60","30","30","50.00"
