"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Boongo (65 K.M).","1","0","0","1","1","1","7","0","7","0.00"
"Chepahu (52 K.M. Point)","1","1","0","0","1","1","6","6","0","100.00"
"Gimbo (28 K.M. Point)","1","0","0","1","1","1","21","0","21","0.00"
"Ithungo (17 K.M. Point)","","","","","1","2","11","0","11","0.00"
"2 K.M. Camp","","","","","1","2","7","0","7","0.00"
"5 K.M. Point","","","","","1","1","2","0","2","0.00"
"Abali","","","","","1","3","72","26","46","36.11"
"Abali II","","","","","1","1","54","15","39","27.78"
"Abongo(Abango)","","","","","1","1","126","30","96","23.81"
"Abrango","","","","","1","2","9","9","0","100.00"
"Adapowa","","","","","1","1","2","2","0","100.00"
"Agam","1","0","0","1","1","1","27","0","27","0.00"
"Agamgite - I","","","","","1","1","33","10","23","30.30"
"Agamgite - II","","","","","1","1","29","20","9","68.97"
"Ahrmboli(Ichili)","1","0","0","1","1","1","8","0","8","0.00"
"Ajiwuya","1","0","0","1","1","1","48","0","48","0.00"
"Akanda","1","0","0","1","1","1","5","0","5","0.00"
"Akela","1","0","0","1","1","1","2","0","2","0.00"
"Akoko","","","","","1","1","6","0","6","0.00"
"Akuli","1","0","0","1","1","1","5","0","5","0.00"
"Akungo","1","0","0","1","1","1","3","0","3","0.00"
"Ali Ledo","","","","","1","1","3","3","0","100.00"
"Aloni","","","","","1","2","6","6","0","100.00"
"Alumo","1","0","0","1","1","1","93","0","93","0.00"
"Ambali","1","0","0","1","1","1","37","0","37","0.00"
"Amonggo","1","0","0","1","1","1","4","0","4","0.00"
"Androni (73 K.M.)","1","0","0","1","1","1","5","0","5","0.00"
"Angali","1","0","0","1","1","1","54","0","54","0.00"
"Angali","1","0","0","1","1","1","25","0","25","0.00"
"Anggo","","","","","1","1","22","0","22","0.00"
"Anpum","","","","","1","2","83","40","43","48.19"
"Anpum II","","","","","1","1","121","20","101","16.53"
"Anpum III","","","","","1","1","64","20","44","31.25"
"Anuboli","1","0","0","1","1","1","56","0","56","0.00"
"Apanli","","","","","1","2","7","7","0","100.00"
"Aranli","1","0","0","1","1","1","6","0","6","0.00"
"Arini","1","0","0","1","1","1","4","0","4","0.00"
"Arsang","1","0","0","1","1","1","10","0","10","0.00"
"Arsang","1","0","0","1","1","1","23","0","23","0.00"
"Arungo","","","","","1","1","34","12","22","35.29"
"Asali","","","","","1","1","47","20","27","42.55"
"Asami","","","","","1","1","12","0","12","0.00"
"Asenga","1","1","0","0","1","1","15","11","4","73.33"
"Ashini","1","0","0","1","1","1","3","0","3","0.00"
"Atanu","1","0","0","1","1","1","2","0","2","0.00"
"Atimeh","1","0","0","1","1","1","43","0","43","0.00"
"Atingo","","","","","1","1","8","0","8","0.00"
"Baksek","","","","","1","1","4","4","0","100.00"
"Bakshek(Doleswar)","1","0","0","1","1","2","50","0","50","0.00"
"Balek II","","","","","1","1","18","0","18","0.00"
"Balek(Hydel Model)","","","","","1","2","60","30","30","50.00"
"Balini","","","","","1","1","13","13","0","100.00"
"Balngo","1","0","0","1","1","1","15","0","15","0.00"
"Banggo","","","","","1","2","61","31","30","50.82"
"Bangkong","","","","","1","1","26","0","26","0.00"
"Bhismaknagar","","","","","1","3","42","12","30","28.57"
"Bititi","1","0","0","1","1","1","5","0","5","0.00"
"Bizari I","","","","","1","3","85","37","48","43.53"
"Bizari II","","","","","1","2","49","35","14","71.43"
"Bizari III","","","","","1","1","61","18","43","29.51"
"Bogong","","","","","1","1","19","0","19","0.00"
"Bolik","","","","","1","4","21","15","6","71.43"
"Bolung I","","","","","1","4","23","19","4","82.61"
"Bolung II","","","","","1","1","20","5","15","25.00"
"Bolung III","","","","","1","1","145","120","25","82.76"
"Bomi","","","","","1","1","38","0","38","0.00"
"Bomjir","","","","","1","3","89","51","38","57.30"
"Brinli","","","","","1","2","18","18","0","100.00"
"Bukku","","","","","1","1","47","0","47","0.00"
