"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abulyangi","1","1","0","0","1","1","20","20","0","100.00"
"Ajo Phab","1","0","0","1","1","2","10","0","10","0.00"
"Akang Dukru","1","0","0","1","1","1","20","20","0","100.00"
"Akhoebyo","1","1","0","0","1","1","6","6","0","100.00"
"Ambam","","","","","1","3","22","22","0","100.00"
"Amgi","","","","","1","1","10","10","0","100.00"
"Ampar Rakhe","1","1","0","0","1","2","21","15","6","71.43"
"Amperi","1","0","0","1","1","1","4","0","4","0.00"
"Amung","1","0","0","1","1","1","1","0","1","0.00"
"Aribu","","","","","1","1","13","13","0","100.00"
"Aye","","","","","1","1","18","18","0","100.00"
"Ayi Poot Rejo","1","0","0","1","1","1","20","0","20","0.00"
"Bakhani","1","0","0","1","1","1","20","0","20","0.00"
"Baktap","","","","","1","1","6","6","0","100.00"
"Balam","","","","","1","2","18","18","0","100.00"
"Bam","1","1","0","0","1","1","20","20","0","100.00"
"Bamin","","","","","1","4","168","168","0","100.00"
"Bamin Michi Dukru","1","1","0","0","1","1","30","30","0","100.00"
"Bamin Michi Tawtibe","1","1","0","0","1","1","1","1","0","100.00"
"Bamin Michitarin","1","1","0","0","1","2","20","10","10","50.00"
"Begra","","","","","1","1","17","4","13","23.53"
"Bello","","","","","1","4","48","48","0","100.00"
"Belo","","","","","1","1","4","4","0","100.00"
"Belongbo","1","0","0","1","1","1","2","0","2","0.00"
"Bentam","","","","","1","1","13","13","0","100.00"
"Beram","","","","","1","1","10","0","10","0.00"
"Biiree (Hong)","1","1","0","0","1","2","25","15","10","60.00"
"Bikh","","","","","1","1","16","0","16","0.00"
"Biku","1","0","0","1","1","1","14","0","14","0.00"
"Bilo","","","","","1","1","29","29","0","100.00"
"Bini","1","0","0","1","1","1","30","0","30","0.00"
"Boa","","","","","1","1","8","8","0","100.00"
"Boa Model","1","0","0","1","1","1","10","0","10","0.00"
"Boa-Simla","","","","","1","4","196","88","108","44.90"
"Bokbarijop (Kina)","1","0","0","1","1","1","20","0","20","0.00"
"Bolya","1","1","0","0","1","1","20","20","0","100.00"
"Bomri Hapa","1","0","0","1","1","1","12","0","12","0.00"
"Bomte","","","","","1","1","13","13","0","100.00"
"Bomtee","1","1","0","0","1","2","20","20","0","100.00"
"Bree","","","","","1","2","86","86","0","100.00"
"Bugi","1","1","0","0","1","1","14","14","0","100.00"
"Bus Camp","","","","","1","1","16","16","0","100.00"
"Byabia","1","0","0","1","1","1","7","0","7","0.00"
"Byachi","1","1","0","0","1","1","4","2","2","50.00"
"Byapin","","","","","1","1","26","26","0","100.00"
"Byara","","","","","1","1","49","49","0","100.00"
"Byoni","1","1","0","0","1","1","70","70","0","100.00"
"Chabo","1","1","0","0","1","1","12","2","10","16.67"
"Chimir","","","","","1","1","5","5","0","100.00"
