"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Kharsingsa RWD Colony","","","","","1","1","30","20","10","66.67"
"Lower Dobum","1","1","0","0","1","5","143","60","83","41.96"
"Lower Karoi - II","1","0","0","1","1","1","37","0","37","0.00"
"Upper Geram","","","","","1","2","28","17","11","60.71"
"Upper Karoi - I","","","","","1","1","43","23","20","53.49"
"10 Mile Camp","1","1","0","0","1","1","5","5","0","100.00"
"19th Mile","","","","","1","1","3","3","0","100.00"
"47 K.M. Camp","1","0","0","1","1","1","18","0","18","0.00"
"49th K.M. Camp(Laptap)","1","1","0","0","1","1","86","30","56","34.88"
"5 Mile Village","1","1","0","0","1","1","5","5","0","100.00"
"52nd K.M. Camp","1","1","0","0","1","1","48","20","28","41.67"
"58 K.M. Camp","1","0","0","1","1","1","38","0","38","0.00"
"59th K.M. Toru","1","0","0","1","1","1","26","0","26","0.00"
"Achi Hapa","1","0","0","1","1","1","28","0","28","0.00"
"Aibee","1","0","0","1","1","1","32","0","32","0.00"
"Alw Tuda","1","0","0","1","1","1","16","0","16","0.00"
"Amba","","","","","1","1","37","29","8","78.38"
"Ania","","","","","1","1","34","34","0","100.00"
"Ania Hapa","1","0","0","1","1","2","21","0","21","0.00"
"Apop -I","","","","","1","1","22","22","0","100.00"
"Apop -II","1","0","0","1","1","1","21","0","21","0.00"
"Apop-Sango","","","","","1","1","20","8","12","40.00"
"Arung","","","","","1","1","32","10","22","31.25"
"Balapu -I","","","","","1","2","49","23","26","46.94"
"Balapu -II","1","0","0","1","1","2","28","0","28","0.00"
"Balijan H.Q.","","","","","1","2","215","205","10","95.35"
"Balijan Karbi","","","","","1","2","45","30","15","66.67"
"Balijan Nishi","","","","","1","2","86","77","9","89.53"
"Bam","","","","","1","4","56","10","46","17.86"
"Banderdewa","","","","","1","14","375","50","325","13.33"
"Banderdewa  5/1","","","","","1","1","20","0","20","0.00"
"Banderdewa  Aniya","1","1","0","0","1","1","126","28","98","22.22"
"Banderdewa  Tani-I","","","","","1","2","52","10","42","19.23"
"Banderdewa  Tani-II","1","1","0","0","1","1","24","18","6","75.00"
"Banderdewa Dapo","1","1","0","0","1","4","81","46","35","56.79"
"Banderdewa Market Line","1","1","0","0","1","1","150","35","115","23.33"
"Banderdewa Nyokom","","","","","1","2","77","25","52","32.47"
"Basar Nalo","","","","","1","1","11","11","0","100.00"
"Basar Nalo Camp","","","","","1","1","18","18","0","100.00"
"Bat","","","","","1","2","50","37","13","74.00"
"Bedhi Bdhak","1","1","0","0","1","4","68","18","50","26.47"
"Bee","1","0","0","1","1","1","24","0","24","0.00"
"Belo - I","","","","","1","2","36","20","16","55.56"
