"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aghuripather","","","","","1","1","23","23","0","100.00"
"Banfera","","","","","1","3","160","160","0","100.00"
"Bera","","","","","1","4","84","84","0","100.00"
"Boakfoam I","","","","","1","1","21","21","0","100.00"
"Boakfoam II","","","","","1","1","18","8","10","44.44"
"Bogapani","","","","","1","1","20","20","0","100.00"
"Bonia","","","","","1","2","153","153","0","100.00"
"Borak","","","","","1","1","18","18","0","100.00"
"Borduria","","","","","1","4","348","348","0","100.00"
"Borduria Range (APFC)","","","","","1","1","11","11","0","100.00"
"Changkhao","","","","","1","1","105","105","0","100.00"
"Chanu","","","","","1","2","197","189","8","95.94"
"Charju Project","","","","","1","1","16","16","0","100.00"
"Chasa","","","","","1","2","186","144","42","77.42"
"Chatting","","","","","1","2","146","125","21","85.62"
"Chattong","","","","","1","2","68","59","9","86.76"
"Chop","","","","","1","2","61","40","21","65.57"
"Chopnu","","","","","1","2","119","119","0","100.00"
"Chopsa","","","","","1","1","57","57","0","100.00"
"Chumuithung","","","","","1","1","17","17","0","100.00"
"Coffee Plantation","","","","","1","1","26","14","12","53.85"
"Dadam","","","","","1","4","239","239","0","100.00"
"Dasatong","","","","","1","1","80","80","0","100.00"
"Dirok Mukh","","","","","1","1","5","5","0","100.00"
"Dongrong","","","","","1","2","46","46","0","100.00"
"GREF Camp","","","","","1","1","3","3","0","100.00"
"Hasse Rusa","","","","","1","2","136","93","43","68.38"
"Holam","","","","","1","1","17","17","0","100.00"
"Hukan","","","","","1","2","78","72","6","92.31"
"Hukanjuri","","","","","1","1","16","16","0","100.00"
"Jadthung","","","","","1","1","18","18","0","100.00"
"Jagan","","","","","1","1","110","110","0","100.00"
"Jumdang","","","","","1","1","29","15","14","51.72"
"Kaiho","1","0","0","1","1","1","40","0","40","0.00"
"Kaimai","","","","","1","1","165","165","0","100.00"
"Kaimoi","","","","","1","2","127","102","25","80.31"
"Kamhua Noksa","","","","","1","2","128","128","0","100.00"
"Kamhua Nonku","","","","","1","1","137","137","0","100.00"
"kamkah","","","","","1","1","68","20","48","29.41"
"Kamku Rusa","","","","","1","1","55","55","0","100.00"
"Kamnu","","","","","1","1","32","32","0","100.00"
"Kampong","","","","","1","1","13","13","0","100.00"
"Kanubari H.Q.","","","","","1","1","266","266","0","100.00"
"Kapu","","","","","1","2","98","98","0","100.00"
"Kenon","","","","","1","1","59","59","0","100.00"
"Khanu","","","","","1","1","243","243","0","100.00"
"Khasa","","","","","1","2","206","206","0","100.00"
"Khela","","","","","1","2","87","87","0","100.00"
"Kheti","","","","","1","4","167","148","19","88.62"
"Khogla","","","","","1","1","111","111","0","100.00"
"Khonsa","","","","","1","1","103","103","0","100.00"
"Khowathong","","","","","1","1","25","25","0","100.00"
"Komhua Nonku II","1","0","0","1","1","3","150","0","150","0.00"
"Konnu","","","","","1","3","189","189","0","100.00"
"Konsa","","","","","1","1","119","119","0","100.00"
"Laho","","","","","1","3","207","207","0","100.00"
"Laju","","","","","1","1","327","327","0","100.00"
"Laju H.Q.","","","","","1","1","105","105","0","100.00"
"Lamlo","","","","","1","2","38","38","0","100.00"
"Lamsa","","","","","1","3","74","74","0","100.00"
"Langmai","1","0","0","1","1","1","13","0","13","0.00"
"Lapnan","","","","","1","2","149","149","0","100.00"
"Laptang","","","","","1","1","52","52","0","100.00"
"Lawnu","","","","","1","2","46","36","10","78.26"
"Liangchen","","","","","1","1","28","13","15","46.43"
"Lingdonthong","","","","","1","1","10","3","7","30.00"
"Linglam-Russa","1","0","0","1","1","1","25","0","25","0.00"
"Longbo","","","","","1","2","48","48","0","100.00"
"Longhua","","","","","1","2","105","105","0","100.00"
"Longkai","","","","","1","2","142","131","11","92.25"
"Longkhaw","","","","","1","2","246","246","0","100.00"
"Longkhojan","","","","","1","2","29","29","0","100.00"
"Longkhong","","","","","1","3","38","38","0","100.00"
"Longliang","","","","","1","4","139","139","0","100.00"
"Longnakshie","","","","","1","1","34","34","0","100.00"
"Longo","","","","","1","2","82","82","0","100.00"
"Longphong","","","","","1","2","179","161","18","89.94"
"Longsom","","","","","1","2","159","159","0","100.00"
"Lonyen","","","","","1","1","58","58","0","100.00"
"Lowangchu T.E.","","","","","1","1","10","10","0","100.00"
"Lowangdong T.E.","","","","","1","1","23","23","0","100.00"
"Lower Chinhan","","","","","1","2","145","120","25","82.76"
"Lower Chinkui","","","","","1","1","34","34","0","100.00"
"Lower Kolam","","","","","1","1","82","82","0","100.00"
"Lower Nginu","","","","","1","1","234","234","0","100.00"
"Lower Pangchao","","","","","1","2","155","116","39","74.84"
"Lower Sinnu","","","","","1","1","82","82","0","100.00"
"Luaksim","","","","","1","2","104","84","20","80.77"
"Luthong","","","","","1","1","48","48","0","100.00"
"Maihua","","","","","1","2","62","54","8","87.10"
"Makat","","","","","1","1","35","35","0","100.00"
"Mintong","","","","","1","2","201","201","0","100.00"
"Moktowa - I","","","","","1","2","105","105","0","100.00"
"Moktowa- II","","","","","1","1","102","102","0","100.00"
"Mopakhat/Mope T.E.","","","","","1","2","135","135","0","100.00"
"Mopaya","","","","","1","1","60","60","0","100.00"
"Naitong","","","","","1","1","64","64","0","100.00"
"Namsang","","","","","1","3","82","82","0","100.00"
"Namsang H.Q.","","","","","1","2","16","16","0","100.00"
"Namsangmukh","","","","","1","4","164","94","70","57.32"
"Narottam Nagar","","","","","1","2","135","118","17","87.41"
"Natun Kheti","","","","","1","2","77","77","0","100.00"
"New Bunting","","","","","1","1","31","31","0","100.00"
"New Chanyak (Ngoithong)","","","","","1","1","35","35","0","100.00"
"New Doidam","","","","","1","1","51","51","0","100.00"
"New Katang","","","","","1","2","32","32","0","100.00"
"New Kothin","","","","","1","1","88","88","0","100.00"
"New Kothung","","","","","1","2","101","79","22","78.22"
"New Lainwang","","","","","1","1","32","32","0","100.00"
"New Laptang","","","","","1","1","41","41","0","100.00"
"New Paniduria","","","","","1","1","18","18","0","100.00"
"New Phinthing","","","","","1","2","29","29","0","100.00"
"New Subang","","","","","1","1","23","15","8","65.22"
"New Tupi","","","","","1","1","64","64","0","100.00"
"Ngamding","","","","","1","1","15","15","0","100.00"
"Nginu","","","","","1","3","151","132","19","87.42"
"Ngissa","","","","","1","2","134","104","30","77.61"
"Nianu","","","","","1","2","227","227","0","100.00"
"Niausa","","","","","1","3","272","239","33","87.87"
"Noglo","","","","","1","1","128","128","0","100.00"
"Nogna","","","","","1","1","76","76","0","100.00"
"Nokfan","","","","","1","1","52","52","0","100.00"
"Noksa","","","","","1","2","103","83","20","80.58"
"Old Bunting","","","","","1","1","31","31","0","100.00"
"Old Chanyak (Kolagaon)","","","","","1","2","107","107","0","100.00"
"Old Doidam","","","","","1","1","73","73","0","100.00"
"Old Katang","","","","","1","1","63","63","0","100.00"
"Old Kothin","","","","","1","1","17","17","0","100.00"
"Old Kothung","","","","","1","1","82","82","0","100.00"
"Old Lainwang","","","","","1","1","44","44","0","100.00"
"Old Paniduria","","","","","1","1","102","102","0","100.00"
"Old Phinthing","","","","","1","1","30","30","0","100.00"
"Old Tupi","","","","","1","2","112","88","24","78.57"
"Olingtong","","","","","1","1","143","143","0","100.00"
"Orok","1","0","0","1","1","1","46","0","46","0.00"
"Otongkhua","","","","","1","2","102","75","27","73.53"
"Ozakho","","","","","1","1","98","98","0","100.00"
"Pangchao","","","","","1","1","149","149","0","100.00"
"Pangchao H.Q.","","","","","1","2","230","168","62","73.04"
"Pansumthong","","","","","1","3","43","43","0","100.00"
"Pokham Tea Estate","","","","","1","1","26","26","0","100.00"
"Pokkom Complex","","","","","1","1","29","29","0","100.00"
"Pongkong","","","","","1","2","79","79","0","100.00"
"Pullong Camp","","","","","1","1","2","2","0","100.00"
"Pullong Vill.","","","","","1","2","72","72","0","100.00"
"Pumao","","","","","1","2","112","112","0","100.00"
"Pumao H.Q.","","","","","1","2","139","139","0","100.00"
"Raho","","","","","1","1","70","70","0","100.00"
"Ranglua Rusa","","","","","1","4","39","18","21","46.15"
"Ranlamri","","","","","1","1","21","0","21","0.00"
"Ringpong","","","","","1","1","3","3","0","100.00"
"Rusa","","","","","1","1","70","70","0","100.00"
"RWD Complex","","","","","1","2","44","44","0","100.00"
"Sangliam","","","","","1","1","32","32","0","100.00"
"Sangsatham","","","","","1","1","32","32","0","100.00"
"Sangtheng","","","","","1","1","22","22","0","100.00"
"Senua","","","","","1","3","246","200","46","81.30"
"Senua Noksa","","","","","1","3","36","36","0","100.00"
"Senua S.C.T.C Camp","","","","","1","1","25","25","0","100.00"
"Sikho","","","","","1","1","10","10","0","100.00"
"Sipini Pather","","","","","1","2","58","58","0","100.00"
"Soha","","","","","1","3","159","159","0","100.00"
"Soha Camp","","","","","1","1","30","30","0","100.00"
"Subang","","","","","1","2","19","19","0","100.00"
"Sumsipathar","","","","","1","1","35","35","0","100.00"
"Tanglan Rusa","1","1","0","0","1","1","25","25","0","100.00"
"Tewai","","","","","1","1","8","8","0","100.00"
"Thalot","","","","","1","1","21","21","0","100.00"
"Thinsa","","","","","1","1","123","123","0","100.00"
"Thungjang","","","","","1","1","47","47","0","100.00"
"Tirthju","","","","","1","1","22","22","0","100.00"
"Tiru-Russa","1","1","0","0","1","1","53","46","7","86.79"
"Tissa Camp","","","","","1","1","143","143","0","100.00"
"Tupi Tea garden","","","","","1","1","3","3","0","100.00"
"Turet","","","","","1","2","88","88","0","100.00"
"Tutnyu","","","","","1","1","108","108","0","100.00"
"Upper Chinhan","","","","","1","1","24","24","0","100.00"
"Upper Chinkui","","","","","1","1","53","53","0","100.00"
"Upper Kolam","","","","","1","1","131","131","0","100.00"
"Vivek","","","","","1","1","23","23","0","100.00"
"Votnu","","","","","1","1","104","104","0","100.00"
"Wakka","","","","","1","4","314","270","44","85.99"
"Wakka H.Q.","","","","","1","1","88","88","0","100.00"
"Wanu","","","","","1","2","175","175","0","100.00"
"Wasathong","","","","","1","1","58","58","0","100.00"
"Wathin","","","","","1","2","37","37","0","100.00"
"Zedua","","","","","1","2","137","137","0","100.00"
"Total","7","2","0","5","187","294","16,077","14,901","1,176",""
