"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"8 K.M. Labour Camp","","","","","1","1","8","8","0","100.00"
"Audung","","","","","1","3","48","33","15","68.75"
"Bardung","1","0","0","1","1","1","8","8","0","100.00"
"Bathung","1","1","0","0","1","1","15","15","0","100.00"
"Beghar","1","1","0","0","1","1","12","12","0","100.00"
"Bemathang Gonpa","1","0","0","1","1","1","10","0","10","0.00"
"Bigha","","","","","1","2","22","7","15","31.82"
"Blaiteng","","","","","1","2","75","55","20","73.33"
"Blemleng","","","","","1","6","40","40","0","100.00"
"Boimkang","","","","","1","1","12","5","7","41.67"
"Boksar","","","","","1","1","16","16","0","100.00"
"Bomba","","","","","1","1","20","20","0","100.00"
"Bomdir Basti","","","","","1","1","25","25","0","100.00"
"Bomja","","","","","1","3","50","39","11","78.00"
"Bompa","1","1","0","0","1","1","17","17","0","100.00"
"Bongbong/Chaksam","","","","","1","1","24","8","16","33.33"
"Bongleng","","","","","1","5","79","12","67","15.19"
"Bonglingmet","1","1","0","0","1","1","13","13","0","100.00"
"Bragyap","1","1","0","0","1","1","30","30","0","100.00"
"Brakhar Gompa","1","1","0","0","1","1","2","2","0","100.00"
"Bramadungchung","","","","","1","1","18","10","8","55.56"
"Brokenthang","","","","","1","1","21","11","10","52.38"
"Brukpaleng","","","","","1","1","5","5","0","100.00"
"Bukiong","","","","","1","4","47","29","18","61.70"
"Bumteng","1","1","0","0","1","1","17","17","0","100.00"
"Buri","","","","","1","3","51","41","10","80.39"
"Chala Gonpa","1","0","0","1","1","1","1","0","1","0.00"
"Changprong","","","","","1","4","128","49","79","38.28"
"Changteng","1","1","0","0","1","1","18","14","4","77.78"
"Damgyen","","","","","1","3","50","45","5","90.00"
"Darmaleng","","","","","1","2","35","35","0","100.00"
"Dharmakang","","","","","1","2","31","31","0","100.00"
"Dongmereng","","","","","1","3","36","27","9","75.00"
"Doomre","1","1","0","0","1","1","15","15","0","100.00"
"Dorkarong","1","0","0","1","1","1","38","0","38","0.00"
"Dugumba","","","","","1","1","15","15","0","100.00"
"Dumgree","1","1","0","0","1","1","6","6","0","100.00"
"Dungkhar","","","","","1","1","3","3","0","100.00"
"Dungse","","","","","1","4","107","86","21","80.37"
"Dungser","","","","","1","2","28","8","20","28.57"
"Dungshingmang","","","","","1","1","7","7","0","100.00"
"Famla","","","","","1","1","5","5","0","100.00"
"Gangkardung","","","","","1","1","12","0","12","0.00"
"Gemreteng","","","","","1","2","17","0","17","0.00"
"Gispu","","","","","1","4","81","26","55","32.10"
"Gomkang","","","","","1","1","12","12","0","100.00"
"Gomkelleng","","","","","1","1","24","24","0","100.00"
"Gompa Village(Basti)","1","1","0","0","1","1","27","27","0","100.00"
"Gongkhar","","","","","1","2","86","86","0","100.00"
"Gorman Gompa","1","1","0","0","1","1","4","4","0","100.00"
"Gormang","","","","","1","1","40","30","10","75.00"
"Gorze Gonpa","1","0","0","1","1","1","2","0","2","0.00"
"Grakhang","1","1","0","0","1","1","24","24","0","100.00"
"Grelleng","","","","","1","1","25","25","0","100.00"
"Grenghar","1","1","0","0","1","1","15","15","0","100.00"
"Gridar Gonpa","","","","","1","1","6","6","0","100.00"
"Guntse","","","","","1","2","36","24","12","66.67"
"Gyada","","","","","1","1","16","16","0","100.00"
"Gyandong","","","","","1","3","103","83","20","80.58"
"Gyanggit","1","1","0","0","1","1","5","5","0","100.00"
"Gyangkhar","","","","","1","5","18","18","0","100.00"
"Gyangong Ani Gompa","","","","","1","1","25","0","25","0.00"
"Hanggang","1","1","0","0","1","1","5","5","0","100.00"
"Hoongla","","","","","1","1","48","48","0","100.00"
"Jamkhar (Shemghar)","","","","","1","1","15","0","15","0.00"
"Jamyang Choikorling Gonpa","","","","","1","1","16","9","7","56.25"
"Jangda","","","","","1","3","118","48","70","40.68"
"Jobrang","","","","","1","1","12","12","0","100.00"
"Jyarmang Ani Gonpa","","","","","1","1","10","10","0","100.00"
"Kangteng","","","","","1","2","35","15","20","42.86"
"Kegorbteng","","","","","1","1","16","16","0","100.00"
"Khalengche","","","","","1","1","5","4","1","80.00"
"Khamba","","","","","1","3","41","32","9","78.05"
"Khardung","","","","","1","1","30","30","0","100.00"
"Kharsa(New)","","","","","1","4","124","94","30","75.81"
"Kharsa(Old)","","","","","1","3","48","28","20","58.33"
"Kharteng","","","","","1","2","98","79","19","80.61"
"Khartoth","","","","","1","1","11","8","3","72.73"
"Kharung","","","","","1","6","113","61","52","53.98"
"Kharungdong","1","1","0","0","1","1","27","27","0","100.00"
"Kharungmet","1","1","0","0","1","1","14","14","0","100.00"
"Khebleteng","1","0","0","1","1","1","12","0","12","0.00"
"Kheleteng","1","1","0","0","1","1","35","16","19","45.71"
"Khet","","","","","1","3","174","152","22","87.36"
