"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"11 K.M. L/Camp","","","","","1","1","4","4","0","100.00"
"Adipasi-Bine","","","","","1","1","39","39","0","100.00"
"Adipasi-Sibuk","","","","","1","3","120","120","0","100.00"
"Adipasi-Sikko","","","","","1","1","3","0","3","0.00"
"Amging","1","0","0","1","1","1","5","0","5","0.00"
"Angachi","","","","","1","1","3","3","0","100.00"
"Bishing","","","","","1","1","26","26","0","100.00"
"Bomdo","","","","","1","1","83","70","13","84.34"
"Bomi","","","","","1","1","75","75","0","100.00"
"Boom","","","","","1","1","27","27","0","100.00"
"Dalbing Bellang","","","","","1","1","89","89","0","100.00"
"Dalbing Gidum","","","","","1","2","101","101","0","100.00"
"Damro-Boga-Lasing","","","","","1","1","125","125","0","100.00"
"Damro-Gidum","","","","","1","1","78","78","0","100.00"
"Damro-Gingkong","","","","","1","2","82","61","21","74.39"
"Damro-Kumku","","","","","1","1","111","111","0","100.00"
"Delek","","","","","1","2","16","16","0","100.00"
"Deokota","","","","","1","1","3","3","0","100.00"
"Geku H.Q.","","","","","1","6","404","329","75","81.44"
"Gelling H.Q.","","","","","1","1","31","31","0","100.00"
"Gette","","","","","1","1","75","70","5","93.33"
"Gobuk","","","","","1","1","117","80","37","68.38"
"Gome","1","0","0","1","1","1","7","0","7","0.00"
"Gossang","","","","","1","1","58","58","0","100.00"
"Halleng","","","","","1","1","19","10","9","52.63"
"Janbo","","","","","1","1","59","59","0","100.00"
"Jeging Camp","","","","","1","1","47","47","0","100.00"
"Jengging H.Q.","","","","","1","4","324","253","71","78.09"
"Jeru","","","","","1","1","62","62","0","100.00"
"Jido","","","","","1","2","37","37","0","100.00"
"Jommo-Kupak","","","","","1","1","4","4","0","100.00"
"Karko","","","","","1","2","48","40","8","83.33"
"Katan H.Q.","","","","","1","1","104","104","0","100.00"
"Kinekibo","","","","","1","1","32","0","32","0.00"
"Kolung","","","","","1","1","18","18","0","100.00"
"Komkar (Buksang)","","","","","1","2","188","160","28","85.11"
"Komkar(Rasing)","","","","","1","1","84","84","0","100.00"
"Komkar(Sizer)","","","","","1","1","32","32","0","100.00"
"Kopu","","","","","1","1","47","47","0","100.00"
"Kuging","","","","","1","1","32","32","0","100.00"
"Kumku","","","","","1","1","79","79","0","100.00"
"Lali","","","","","1","1","3","0","3","0.00"
"Likor","","","","","1","1","76","61","15","80.26"
"Mankota","","","","","1","3","26","26","0","100.00"
"Mariyang H.Q.","","","","","1","4","323","300","23","92.88"
"Mayum","","","","","1","1","17","0","17","0.00"
"Migging H.Q.","1","0","0","1","1","1","138","50","88","36.23"
"Migging II","","","","","1","1","2","0","2","0.00"
"Milang Karket","","","","","1","1","33","33","0","100.00"
"Millang Langdum-Langko(Silang)","","","","","1","1","16","16","0","100.00"
"Millang Lonpong","","","","","1","1","84","84","0","100.00"
"Monge","1","0","0","1","1","1","12","0","12","0.00"
"Monge","1","0","0","1","1","1","14","0","14","0.00"
"Mossing","1","0","0","1","1","1","53","0","53","0.00"
"Moying","","","","","1","1","40","28","12","70.00"
"New Millang","","","","","1","2","104","74","30","71.15"
"Ngaming","","","","","1","1","74","74","0","100.00"
"Ningging","1","0","0","1","1","1","58","0","58","0.00"
"Norbudling","","","","","1","1","4","4","0","100.00"
"Nyering","","","","","1","1","18","18","0","100.00"
"Nyokong","","","","","1","1","17","17","0","100.00"
"Padu Abong","","","","","1","1","29","29","0","100.00"
"Padu Tangkum","","","","","1","2","98","98","0","100.00"
"Palling H.Q.","1","0","0","1","1","1","76","0","76","0.00"
"Pango","1","0","0","1","1","1","58","0","58","0.00"
"Payendum","","","","","1","1","22","22","0","100.00"
"Pekong","","","","","1","1","5","0","5","0.00"
"Peram","","","","","1","1","9","3","6","33.33"
"Pittung","","","","","1","1","16","0","16","0.00"
"Pokbir","","","","","1","1","4","0","4","0.00"
"Pongging","1","0","0","1","1","1","100","0","100","0.00"
"Pugging","","","","","1","1","96","80","16","83.33"
"Ramku","","","","","1","1","34","34","0","100.00"
"Ramsing","","","","","1","1","67","67","0","100.00"
"Rishing","","","","","1","1","3","0","3","0.00"
"Sibum","","","","","1","11","167","132","35","79.04"
"Sikadine","","","","","1","1","32","32","0","100.00"
"Silage","","","","","1","1","2","1","1","50.00"
"Silipu","","","","","1","1","7","7","0","100.00"
"Silli","","","","","1","2","57","55","2","96.49"
"Silli Hydel Camp","","","","","1","1","3","3","0","100.00"
"Simong","","","","","1","2","2286","2060","226","90.11"
"Simuge","","","","","1","1","7","7","0","100.00"
"Simuling","","","","","1","1","6","6","0","100.00"
"Singa H.Q.","","","","","1","2","37","34","3","91.89"
"Singa Old","","","","","1","1","10","10","0","100.00"
"Singing","1","0","0","1","1","1","21","0","21","0.00"
"Siyat Camp","","","","","1","1","10","10","0","100.00"
"Sumsing","","","","","1","1","74","74","0","100.00"
"Tageng","","","","","1","1","15","0","15","0.00"
"Tashi Gaon","","","","","1","1","16","16","0","100.00"
"Tenemoka","","","","","1","1","5","5","0","100.00"
"Tenggo","1","0","0","1","1","1","18","0","18","0.00"
"Tuting H.Q.","","","","","1","1","643","514","129","79.94"
"Tuting Village","","","","","1","1","26","26","0","100.00"
"Yorteng","","","","","1","2","18","17","1","94.44"
"Total","12","0","0","12","96","133","8,087","6,711","1,376",""
