"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abiajobe","1","0","0","1","1","1","2","0","2","0.00"
"Achingmuri","","","","","1","1","26","26","0","100.00"
"Ade","1","1","0","0","1","1","12","12","0","100.00"
"Aigi Nirin","","","","","1","1","4","4","0","100.00"
"Aki","1","0","0","1","1","1","8","0","8","0.00"
"Akki Nirin","","","","","1","1","14","14","0","100.00"
"Angolomdak","","","","","1","1","7","7","0","100.00"
"Aranalo","","","","","1","1","14","14","0","100.00"
"Arma","","","","","1","1","24","24","0","100.00"
"Atte","","","","","1","1","44","44","0","100.00"
"Aya Marde","","","","","1","1","44","44","0","100.00"
"Aya Nirin","","","","","1","1","11","11","0","100.00"
"Ayingmuri","","","","","1","1","10","10","0","100.00"
"Ayingrigia","1","0","0","1","1","1","11","0","11","0.00"
"Babla","","","","","1","1","7","7","0","100.00"
"Badampuring","","","","","1","1","11","11","0","100.00"
"Bagbi","","","","","1","1","9","9","0","100.00"
"Baja","","","","","1","1","11","11","0","100.00"
"Bajor Repe","1","0","0","1","1","1","6","6","0","100.00"
"Balekmuri","","","","","1","1","13","13","0","100.00"
"Bami","1","0","0","1","1","1","15","0","15","0.00"
"Baring","","","","","1","1","42","42","0","100.00"
"Baririjo H.Q.","","","","","1","3","67","42","25","62.69"
"Bate","1","0","0","1","1","1","13","0","13","0.00"
"Batok","1","0","0","1","1","1","12","0","12","0.00"
"Bator","","","","","1","1","20","20","0","100.00"
"Batum","","","","","1","1","24","24","0","100.00"
"Bayor","","","","","1","1","12","12","0","100.00"
"Beak Rijo","1","1","0","0","1","1","5","5","0","100.00"
"Bedarba","1","0","0","1","1","1","10","0","10","0.00"
"Belirijo","","","","","1","1","3","3","0","100.00"
"Belo","","","","","1","1","40","40","0","100.00"
"Belu","","","","","1","1","24","24","0","100.00"
"Betcha Rupok","1","1","0","0","1","1","23","23","0","100.00"
"Biggi Haji","1","1","0","0","1","1","8","8","0","100.00"
"Bimpak","","","","","1","1","25","25","0","100.00"
"Bodak","1","1","0","0","1","1","7","7","0","100.00"
"Bodok","1","0","0","1","1","1","7","0","7","0.00"
"Bogia Siyum","1","0","0","1","1","1","13","0","13","0.00"
"Boging","","","","","1","1","14","14","0","100.00"
"Bogne","","","","","1","1","28","28","0","100.00"
"Bogun","","","","","1","1","21","21","0","100.00"
