"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"14 BRTF Labour Camp","","","","","1","1","89","89","0","100.00"
"1700 Chain PWD Camp","","","","","1","1","24","24","0","100.00"
"5 Mile Village","","","","","1","1","2","2","0","100.00"
"6 Mile Village","","","","","1","1","4","4","0","100.00"
"64 Mile Camp (Jahek)_","","","","","1","1","63","63","0","100.00"
"Abi-Nujamsa","","","","","1","1","5","5","0","100.00"
"Aktam -Thungre","","","","","1","2","40","15","25","37.50"
"Ankalin PWD/RWD Labour Camp","","","","","1","1","104","104","0","100.00"
"Ankalin Village","","","","","1","1","65","65","0","100.00"
"Attapai Village","","","","","1","1","6","6","0","100.00"
"Baichula","","","","","1","1","6","6","0","100.00"
"Baisakhi","","","","","1","2","12","12","0","100.00"
"Balemu H.Q.","","","","","1","1","132","132","0","100.00"
"Balemu Village","","","","","1","2","61","14","47","22.95"
"Baliphoo","","","","","1","1","14","14","0","100.00"
"Bamrok Village","","","","","1","2","37","37","0","100.00"
"Barchipam","","","","","1","3","79","72","7","91.14"
"Barsher","","","","","1","1","3","3","0","100.00"
"Betchilling","","","","","1","1","42","42","0","100.00"
"Bichom","","","","","1","3","354","290","64","81.92"
"Bishum Village","","","","","1","1","10","10","0","100.00"
"Boha","","","","","1","2","162","132","30","81.48"
"Boock","","","","","1","1","7","7","0","100.00"
"Brokpalangchen","","","","","1","3","107","107","0","100.00"
"Brokpublang","","","","","1","2","20","20","0","100.00"
"Broksarthang","","","","","1","1","22","22","0","100.00"
"Brongshingpam","","","","","1","1","2","2","0","100.00"
"Buchupam","","","","","1","1","4","4","0","100.00"
"Bulu","","","","","1","1","10","10","0","100.00"
"Buragaon","","","","","1","3","90","55","35","61.11"
"Chaksem Village","","","","","1","2","18","18","0","100.00"
"Challan","","","","","1","1","10","0","10","0.00"
"Chandar","","","","","1","2","21","21","0","100.00"
"Changpa Village","","","","","1","3","60","57","3","95.00"
"Cher Village","","","","","1","1","6","6","0","100.00"
"Cherrong","","","","","1","3","19","19","0","100.00"
"Chhikrimu ( Amar Basti )","","","","","1","1","27","27","0","100.00"
"Chillang","","","","","1","1","6","6","0","100.00"
"Chillipam","","","","","1","6","236","187","49","79.24"
"Chindit Top (Ruchum Pam)","","","","","1","2","128","113","15","88.28"
"Chittu","","","","","1","1","4","4","0","100.00"
"Chug","","","","","1","2","60","60","0","100.00"
"Dahung","","","","","1","1","25","25","0","100.00"
"Dahung River Side-I","","","","","1","1","44","44","0","100.00"
"Dahung River Side-II","","","","","1","2","101","101","0","100.00"
"Dahung River Side-II (Hemoibung)","","","","","1","2","69","69","0","100.00"
"Dakahng (Dangshang )","","","","","1","1","10","10","0","100.00"
"Dangsing Village","","","","","1","2","44","32","12","72.73"
"Darbu","","","","","1","4","106","88","18","83.02"
"Daspam","","","","","1","1","2","0","2","0.00"
"Dedza","","","","","1","1","34","34","0","100.00"
"Dengzi(including lower Dengzi)","","","","","1","3","137","137","0","100.00"
"Dibbin","","","","","1","2","66","12","54","18.18"
"Dibirick","","","","","1","1","36","36","0","100.00"
"Dikhiyang","","","","","1","5","81","81","0","100.00"
"Dikhiyung","","","","","1","3","45","45","0","100.00"
"Dikshipam","","","","","1","1","35","35","0","100.00"
"Dillung","","","","","1","1","12","12","0","100.00"
"Dingchang","","","","","1","1","27","0","27","0.00"
"Dirang Village","","","","","1","10","570","378","192","66.32"
"Diripam","","","","","1","1","5","5","0","100.00"
"Dirme","","","","","1","1","19","19","0","100.00"
"Dishing","","","","","1","1","8","8","0","100.00"
"Ditchik","","","","","1","5","185","185","0","100.00"
"Ditting","","","","","1","1","3","0","3","0.00"
"Dizangania","","","","","1","1","8","8","0","100.00"
"Doimara","","","","","1","1","25","25","0","100.00"
"Dowangba","","","","","1","1","21","0","21","0.00"
"Dringshingpam","","","","","1","1","10","10","0","100.00"
"Dukumpani","","","","","1","5","140","81","59","57.86"
"Dumpang","","","","","1","1","14","14","0","100.00"
"Dundri","","","","","1","1","5","5","0","100.00"
"Dungmanbaha","1","1","0","0","1","1","22","22","0","100.00"
"Durga-Mandir","1","1","0","0","1","1","26","0","26","0.00"
"Duthang(Kira Farm)","1","1","0","0","1","1","28","27","1","96.43"
"Elephant Flat","","","","","1","2","35","25","10","71.43"
"Gachambow","","","","","1","1","23","23","0","100.00"
"Garbow","","","","","1","1","32","32","0","100.00"
"Giziri","","","","","1","1","20","20","0","100.00"
"Gohainthan","","","","","1","1","62","55","7","88.71"
"Gonthung","","","","","1","4","20","20","0","100.00"
"Humethu (Humethu under Jamiri)","","","","","1","1","13","13","0","100.00"
"Husago","","","","","1","1","26","26","0","100.00"
"Hussigaon","","","","","1","3","29","29","0","100.00"
"Ita village","","","","","1","3","132","117","15","88.64"
"Jamiri H.Q.","","","","","1","1","44","44","0","100.00"
"Jamiri Point","","","","","1","3","63","63","0","100.00"
"Jamiri Village","","","","","1","1","27","27","0","100.00"
"Janaching","","","","","1","1","25","0","25","0.00"
"Jangdong","","","","","1","1","29","29","0","100.00"
"Jerigaon","","","","","1","4","175","149","26","85.14"
"Jigaon","","","","","1","1","144","144","0","100.00"
"Jungpam","","","","","1","1","69","69","0","100.00"
"Kaborang","","","","","1","1","8","8","0","100.00"
"Kalaktang H.Q.","","","","","1","1","518","518","0","100.00"
"Kalaktang Village","","","","","1","1","53","53","0","100.00"
"Kamallangchen","","","","","1","1","40","40","0","100.00"
"Kamengbari","","","","","1","1","56","56","0","100.00"
"Kamsiri","","","","","1","1","4","4","0","100.00"
"Karangania","","","","","1","3","45","33","12","73.33"
"Kararamu","","","","","1","1","42","42","0","100.00"
"Kaya Valley Village","","","","","1","3","63","47","16","74.60"
"Khagoksa Village","","","","","1","4","17","12","5","70.59"
"Khalibok","","","","","1","2","51","43","8","84.31"
"Khangpam ( Chota Birpur )","","","","","1","1","19","19","0","100.00"
"Kharumali","","","","","1","1","10","10","0","100.00"
"Khassow Village","","","","","1","1","63","63","0","100.00"
"Khazalang","","","","","1","2","49","32","17","65.31"
"Khellong","","","","","1","4","38","32","6","84.21"
"Khellong","","","","","1","3","206","86","120","41.75"
"Khellong","","","","","1","1","32","32","0","100.00"
"Khendahrong Vill.","","","","","1","2","75","57","18","76.00"
"Khoina (Ding Changpam)","","","","","1","3","48","23","25","47.92"
"Khoitam","","","","","1","2","29","9","20","31.03"
"Khorung Village","","","","","1","3","29","29","0","100.00"
"Khupi Forest Office Complex","","","","","1","2","36","12","24","33.33"
"Khupi Model Village","","","","","1","2","134","113","21","84.33"
"Kimi Village","","","","","1","8","436","198","238","45.41"
"Lachang","","","","","1","1","16","16","0","100.00"
"Lachong","","","","","1","2","8","8","0","100.00"
"Lagam","","","","","1","1","14","14","0","100.00"
"Lama Gompa","","","","","1","1","4","4","0","100.00"
"Laphiak Village","","","","","1","1","8","8","0","100.00"
"Lapusa","","","","","1","1","10","0","10","0.00"
"Lazala Gompa","","","","","1","1","2","2","0","100.00"
"Lichini","","","","","1","1","12","0","12","0.00"
"Liphakpu (including lower Liphakpu)","","","","","1","1","49","49","0","100.00"
"Lish Gompache Vill.","","","","","1","4","99","51","48","51.52"
"Lish Gompalok","","","","","1","1","22","22","0","100.00"
"Lish Village","","","","","1","4","224","212","12","94.64"
"Longtin","","","","","1","2","202","52","150","25.74"
"Lower Bhalukpong","","","","","1","7","618","451","167","72.98"
"Lubrang","","","","","1","1","27","27","0","100.00"
"Lumbaktang","","","","","1","2","62","34","28","54.84"
"Lungdur","","","","","1","1","52","52","0","100.00"
"Lungrom","","","","","1","1","37","37","0","100.00"
"Mago Pam","","","","","1","2","36","36","0","100.00"
"Maithang","","","","","1","1","7","7","0","100.00"
"Mandalaphudung","","","","","1","6","323","274","49","84.83"
"Maraka","","","","","1","3","116","89","27","76.72"
"Mathow","","","","","1","2","54","54","0","100.00"
"Melongkang Vill.","","","","","1","4","102","74","28","72.55"
"Membachur","","","","","1","2","57","33","24","57.89"
"Merakmu","","","","","1","1","11","11","0","100.00"
"Mohan camp","","","","","1","1","41","41","0","100.00"
"Moising Village","","","","","1","2","14","14","0","100.00"
"Morshing","","","","","1","3","174","147","27","84.48"
"Mukuthing","","","","","1","1","30","30","0","100.00"
"Munna Camp","","","","","1","7","74","70","4","94.59"
"Mushaksing","","","","","1","2","35","35","0","100.00"
"Nabdi Village","","","","","1","4","34","9","25","26.47"
"Nachibon","","","","","1","1","52","52","0","100.00"
"Nachilang","","","","","1","1","10","10","0","100.00"
"Nafra H.Q.","","","","","1","2","568","294","274","51.76"
"Nag Mandir","","","","","1","1","34","34","0","100.00"
"Najang","","","","","1","1","24","24","0","100.00"
"Najangpong","","","","","1","1","10","10","0","100.00"
"Nakhu","","","","","1","1","55","55","0","100.00"
"Namfri","","","","","1","1","16","16","0","100.00"
"Namsalo Village","","","","","1","1","6","6","0","100.00"
"Namsu","","","","","1","1","124","124","0","100.00"
"Namthung","","","","","1","1","38","38","0","100.00"
"Nechiphu","","","","","1","2","33","33","0","100.00"
"New Kaspi","","","","","1","1","39","39","0","100.00"
"Ngairibaksa","","","","","1","4","21","18","3","85.71"
"Nijung","","","","","1","1","22","0","22","0.00"
"Nishithang","","","","","1","1","4","4","0","100.00"
"Nungshingpam","","","","","1","1","4","4","0","100.00"
"Nyukmadung","","","","","1","4","140","114","26","81.43"
"Painaktang","","","","","1","1","46","46","0","100.00"
"Palatari","","","","","1","2","53","42","11","79.25"
"Palizi","","","","","1","4","140","118","22","84.29"
"Panchavati","","","","","1","1","28","28","0","100.00"
"Pangma","","","","","1","2","16","16","0","100.00"
"Pedung (New Bomdila)","","","","","1","3","100","0","100","0.00"
"Phadam Village","","","","","1","3","32","32","0","100.00"
"Pharizin","","","","","1","2","40","29","11","72.50"
"Phudung Village","","","","","1","2","20","17","3","85.00"
"Rahung","","","","","1","8","156","131","25","83.97"
"Rama Camp","","","","","1","4","134","115","19","85.82"
"Ramalingpam","","","","","1","3","115","115","0","100.00"
"Ramdagania","","","","","1","2","44","29","15","65.91"
"Ramu","","","","","1","1","15","15","0","100.00"
"Ranangsher","","","","","1","1","7","7","0","100.00"
"Rangshing Village","","","","","1","1","12","12","0","100.00"
"Richilu","","","","","1","1","2","2","0","100.00"
"Rolamjor","","","","","1","1","9","9","0","100.00"
"Rongthangjurpam","","","","","1","1","69","69","0","100.00"
"Rowta","","","","","1","1","5","5","0","100.00"
"Runchungpam","","","","","1","3","85","38","47","44.71"
"Rungja Village","","","","","1","2","52","48","4","92.31"
"Rungjapan Village","","","","","1","1","16","16","0","100.00"
"Rupa (CT)","","","","","1","11","1372","1300","72","94.75"
"Rurang","","","","","1","2","47","11","36","23.40"
"Sabang","1","0","0","1","1","1","3","0","3","0.00"
"Sachida","","","","","1","3","32","32","0","100.00"
"Sagar Village","","","","","1","2","19","19","0","100.00"
"Saidle","","","","","1","1","38","0","38","0.00"
"Sakrin","","","","","1","3","75","33","42","44.00"
"Salari","","","","","1","2","148","148","0","100.00"
"Samphung","","","","","1","1","36","36","0","100.00"
"Samteng","","","","","1","1","19","19","0","100.00"
"Samtu Village","","","","","1","4","28","24","4","85.71"
"Sanchipam","","","","","1","1","25","25","0","100.00"
"Sanglan Village","","","","","1","2","23","23","0","100.00"
"Sanglem","","","","","1","2","55","26","29","47.27"
"Sangti","","","","","1","5","211","155","56","73.46"
"Sappercamp Vill.","","","","","1","3","87","87","0","100.00"
"Semnak","","","","","1","3","24","24","0","100.00"
"Senge","","","","","1","6","203","156","47","76.85"
"Sera Village","","","","","1","5","220","40","180","18.18"
"Sessa","","","","","1","3","76","49","27","64.47"
"Shergaon","","","","","1","1","336","336","0","100.00"
"Showda Village","","","","","1","2","14","14","0","100.00"
"Silimathung","1","1","0","0","1","1","22","22","0","100.00"
"Singchung Vill.(HQ)","","","","","1","2","198","188","10","94.95"
"Singkhartung","","","","","1","1","3","0","3","0.00"
"Sube","","","","","1","2","60","45","15","75.00"
"Sumdrung","","","","","1","1","27","27","0","100.00"
"Tania","","","","","1","1","15","15","0","100.00"
"Tenga Ledge","","","","","1","1","3","3","0","100.00"
"Tenga Market","","","","","1","3","255","242","13","94.90"
"Tenga Valley","","","","","1","1","911","650","261","71.35"
"Tenga Village","","","","","1","2","195","171","24","87.69"
"Tenzingaon","","","","","1","2","230","209","21","90.87"
"Teringpam","","","","","1","1","31","31","0","100.00"
"Thembang H.Q.","","","","","1","1","309","309","0","100.00"
"Thessa","","","","","1","1","46","46","0","100.00"
"Thrizino H.Q.","","","","","1","2","279","239","40","85.66"
"Thungri","","","","","1","4","135","116","19","85.93"
"Tippi","","","","","1","4","272","191","81","70.22"
"Tsokphuisa Village","","","","","1","1","10","10","0","100.00"
"Tuluhi","","","","","1","1","19","19","0","100.00"
"Upper Bhalukpong HQ","","","","","1","3","481","406","75","84.41"
"Upper Dzang","","","","","1","2","30","10","20","33.33"
"Wanghoo","","","","","1","4","99","99","0","100.00"
"Warjung","","","","","1","1","40","40","0","100.00"
"Weizer","","","","","1","2","44","17","27","38.64"
"West Sachung","","","","","1","1","19","0","19","0.00"
"Wothung","","","","","1","1","8","8","0","100.00"
"Yangdarko Village","","","","","1","1","15","15","0","100.00"
"Yayung","","","","","1","4","45","21","24","46.67"
"Yewang","","","","","1","12","187","113","74","60.43"
"Yewang(Jyoti Nagar)","1","1","0","0","1","2","54","54","0","100.00"
"Yokmupam","","","","","1","1","20","20","0","100.00"
"Yollongripam","","","","","1","1","15","15","0","100.00"
"Zekmasu Thekan","","","","","1","1","41","41","0","100.00"
"Zimthung Village","","","","","1","3","50","50","0","100.00"
"Zomoje","1","0","0","1","1","1","4","0","4","0.00"
"Total","7","5","0","2","249","505","19,436","15,666","3,770",""
