"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Akker yomgam","","","","","1","1","20","20","0","100.00"
"Ampir","","","","","1","1","15","15","0","100.00"
"Angu","","","","","1","1","14","14","0","100.00"
"Angu","","","","","1","1","139","139","0","100.00"
"Badak","","","","","1","1","31","31","0","100.00"
"Bagra Higi","","","","","1","4","109","65","44","59.63"
"Bagra Jeyi","","","","","1","1","24","24","0","100.00"
"Bagra Lipu","","","","","1","2","83","83","0","100.00"
"Bagra Pigi Mango","","","","","1","2","22","12","10","54.55"
"Bagra Takpu","","","","","1","1","49","49","0","100.00"
"Balek Goli","","","","","1","1","20","0","20","0.00"
"Bali","","","","","1","2","53","38","15","71.70"
"Bali Sori","","","","","1","1","13","13","0","100.00"
"Barangang","","","","","1","1","15","15","0","100.00"
"Barbo","","","","","1","2","28","11","17","39.29"
"Beging","","","","","1","1","35","21","14","60.00"
"Belo","","","","","1","1","7","7","0","100.00"
"Bene","","","","","1","2","112","96","16","85.71"
"Besang (Karo IV)","","","","","1","1","19","0","19","0.00"
"Beye","","","","","1","1","47","47","0","100.00"
"Bigi","","","","","1","1","12","12","0","100.00"
"Bingung","","","","","1","1","41","30","11","73.17"
"Biru","","","","","1","1","16","16","0","100.00"
"Biru (including Reyi Camp)","","","","","1","2","45","38","7","84.44"
"Biru Doke","","","","","1","1","23","0","23","0.00"
"Bogdo","","","","","1","1","75","75","0","100.00"
"Bogne","1","1","0","0","1","1","40","40","0","100.00"
"Bogo","","","","","1","1","11","11","0","100.00"
"Bogu","","","","","1","1","18","18","0","100.00"
"Boje Kigi","","","","","1","1","10","8","2","80.00"
"Boje Lite","","","","","1","1","12","12","0","100.00"
"Boje Pare","","","","","1","1","8","8","0","100.00"
"Bole","","","","","1","1","43","43","0","100.00"
"Bomjipanga","","","","","1","1","22","22","0","100.00"
"Bomte","","","","","1","2","35","27","8","77.14"
"Bopu","","","","","1","1","26","26","0","100.00"
"Bopu Gadi","","","","","1","1","7","7","0","100.00"
"Boru Raksap","","","","","1","1","11","11","0","100.00"
"Botak - Kayi","1","0","0","1","1","1","18","0","18","0.00"
"Bumpek","","","","","1","3","29","29","0","100.00"
"Bumpek","","","","","1","1","16","16","0","100.00"
"Champak - chojo","","","","","1","1","14","14","0","100.00"
"Chekor Lombi","","","","","1","1","57","29","28","50.88"
"Chengrong","","","","","1","1","3","3","0","100.00"
"Chingo","1","0","0","1","1","1","10","0","10","0.00"
"Chirne","","","","","1","2","70","54","16","77.14"
"Chisi","","","","","1","1","31","19","12","61.29"
"Chorling","","","","","1","1","6","6","0","100.00"
"Daba Gamlin","","","","","1","1","10","10","0","100.00"
"Dali","","","","","1","1","29","20","9","68.97"
"Dali Camp (including Dali Hydel)","","","","","1","1","25","25","0","100.00"
"Damda Debuk","1","0","0","1","1","1","40","0","40","0.00"
"Damda Deku","","","","","1","2","43","36","7","83.72"
"Darak HQ","","","","","1","1","117","117","0","100.00"
"Darka","","","","","1","3","195","178","17","91.28"
"Dasi","","","","","1","1","24","24","0","100.00"
"Dechengtung East","","","","","1","1","23","23","0","100.00"
"Dechengtung West","","","","","1","1","36","36","0","100.00"
"Dedu Doke","","","","","1","1","19","19","0","100.00"
"Degi Potom","","","","","1","1","16","16","0","100.00"
"Dego","","","","","1","1","66","66","0","100.00"
"Dego Kamki","","","","","1","1","125","102","23","81.60"
"Degom","","","","","1","1","20","12","8","60.00"
"Deke","","","","","1","2","37","37","0","100.00"
"Denemisa","","","","","1","1","18","0","18","0.00"
"Dibe","1","0","0","1","1","1","5","0","5","0.00"
"Dipa","","","","","1","3","115","74","41","64.35"
"Dipu","","","","","1","1","12","12","0","100.00"
"Disi","","","","","1","1","46","46","0","100.00"
"Ditten","","","","","1","1","21","21","0","100.00"
"Doji Jeku","","","","","1","3","96","74","22","77.08"
"Doji Jelly","","","","","1","1","42","42","0","100.00"
"Doko Putu","","","","","1","1","15","15","0","100.00"
"Dordi","","","","","1","1","14","14","0","100.00"
"Dorjeeling","","","","","1","4","94","44","50","46.81"
"Doyor","","","","","1","1","12","0","12","0.00"
"DPG College Kamki Diet N.E. Farm Kamki","","","","","1","1","102","102","0","100.00"
"Dumde Kayi","","","","","1","1","23","23","0","100.00"
"Dupu(including Cheying Camp)","","","","","1","1","27","27","0","100.00"
"Durpai","","","","","1","3","48","9","39","18.75"
"Echi Chiku","","","","","1","1","46","35","11","76.09"
"Echi Siku/Edijog","","","","","1","1","19","0","19","0.00"
"Ego - Yamin","","","","","1","2","53","34","19","64.15"
"Ego Camp","","","","","1","1","24","24","0","100.00"
"Eshi Yami(Eshi Igo)","","","","","1","1","14","14","0","100.00"
"Esse Kerte","","","","","1","1","8","8","0","100.00"
"Esse Lipu","","","","","1","1","11","11","0","100.00"
"Esse Taloh","","","","","1","1","6","6","0","100.00"
"Esse Tamen","","","","","1","1","7","7","0","100.00"
"Esse-Abe","","","","","1","1","6","6","0","100.00"
"Essi Bege","","","","","1","1","14","14","0","100.00"
"Essi Lite","","","","","1","1","9","9","0","100.00"
"Essi Riche","","","","","1","1","13","13","0","100.00"
"Essi Rite","","","","","1","2","27","27","0","100.00"
"Essi Yegri","","","","","1","1","39","39","0","100.00"
"Essi Yordo","","","","","1","2","10","10","0","100.00"
"Eyi","","","","","1","1","65","65","0","100.00"
"Gahglong","","","","","1","1","19","19","0","100.00"
"Gai","1","0","0","1","1","1","5","0","5","0.00"
"Gako - Dapo","","","","","1","2","29","14","15","48.28"
"Galling","","","","","1","1","10","10","0","100.00"
"Galu","","","","","1","1","25","15","10","60.00"
"Gaming","1","1","0","0","1","1","45","45","0","100.00"
"Gamkak","","","","","1","1","18","18","0","100.00"
"Gapo","","","","","1","1","22","22","0","100.00"
"Gapur","","","","","1","1","20","20","0","100.00"
"Garu","","","","","1","1","24","24","0","100.00"
"Garu Camp","","","","","1","1","12","12","0","100.00"
"Gasheng","1","1","0","0","1","1","78","50","28","64.10"
"Gate","1","0","0","1","1","1","49","0","49","0.00"
"Gauche","","","","","1","1","3","3","0","100.00"
"Gebo","","","","","1","1","25","25","0","100.00"
"Geching","1","1","0","0","1","1","10","10","0","100.00"
"Gekar","1","0","0","1","1","1","7","0","7","0.00"
"Gemo Kamku","1","1","0","0","1","1","37","37","0","100.00"
"Gengi","","","","","1","1","14","14","0","100.00"
"Gensi","","","","","1","1","66","51","15","77.27"
"Gensi H.Q.","","","","","1","4","105","81","24","77.14"
"Germe","","","","","1","1","25","25","0","100.00"
"Gite","","","","","1","1","2","2","0","100.00"
"Gogar","","","","","1","1","23","23","0","100.00"
"Gori","","","","","1","2","53","31","22","58.49"
"Gune Bane(including Popn Camp)","","","","","1","1","31","31","0","100.00"
"Hemi","1","0","0","1","1","1","13","0","13","0.00"
"Hijum Rime","","","","","1","1","7","7","0","100.00"
"Hime","","","","","1","1","21","21","0","100.00"
"Hiri","","","","","1","1","9","9","0","100.00"
"Hirong","","","","","1","1","22","22","0","100.00"
"Hissam","","","","","1","1","67","67","0","100.00"
"Hone","1","0","0","1","1","1","23","0","23","0.00"
"Hu Moli(Eshi Moli)","","","","","1","1","33","33","0","100.00"
"Igo Kato","","","","","1","2","37","0","37","0.00"
"Irgo","","","","","1","2","41","20","21","48.78"
"Jereling","","","","","1","2","47","32","15","68.09"
"Jimar","","","","","1","1","20","0","20","0.00"
"Jime","","","","","1","1","19","0","19","0.00"
"Jipu","","","","","1","2","30","9","21","30.00"
"Jirdin","","","","","1","2","116","112","4","96.55"
"Jirigi(New Takom)","","","","","1","1","14","14","0","100.00"
"Jomlo Bari","","","","","1","1","58","58","0","100.00"
"Jomlo Mobuk","","","","","1","1","30","21","9","70.00"
"Jomlo Mongku","","","","","1","1","64","55","9","85.94"
"Jomo","","","","","1","2","106","79","27","74.53"
"Jorong","","","","","1","1","13","13","0","100.00"
"Kabu","","","","","1","2","134","110","24","82.09"
"Kadai","","","","","1","1","10","10","0","100.00"
"Kadasila","","","","","1","1","3","3","0","100.00"
"Kadi","","","","","1","2","64","40","24","62.50"
"Kagi","","","","","1","1","30","30","0","100.00"
"Kamba H.Q.","","","","","1","2","194","140","54","72.16"
"Kambe Dom (Pullom-II)","1","1","0","0","1","1","11","11","0","100.00"
"Kambu","","","","","1","1","36","26","10","72.22"
"Kambu Moli","","","","","1","1","22","0","22","0.00"
"Kamcham","","","","","1","1","35","35","0","100.00"
"Kamdak","","","","","1","1","10","10","0","100.00"
"Kamdi","","","","","1","1","29","29","0","100.00"
"Kamen","1","1","0","0","1","1","8","8","0","100.00"
"Kamging","1","1","0","0","1","1","5","4","1","80.00"
"Kamki","","","","","1","1","50","50","0","100.00"
"Kammo","1","1","0","0","1","1","30","30","0","100.00"
"Kamte","1","0","0","1","1","1","5","0","5","0.00"
"Kane","","","","","1","1","6","0","6","0.00"
"Kangku","","","","","1","1","27","27","0","100.00"
"Kanu","1","1","0","0","1","1","6","6","0","100.00"
"Kapen","","","","","1","1","14","14","0","100.00"
"Karbak Boyor","","","","","1","1","9","9","0","100.00"
"Karbak Dabi","","","","","1","1","17","17","0","100.00"
"Karbak Geyi","","","","","1","1","47","47","0","100.00"
"Karbak Hipin(Karbak)","","","","","1","1","11","11","0","100.00"
"Kardo","","","","","1","1","31","31","0","100.00"
"Karga","","","","","1","1","35","35","0","100.00"
"Karle","","","","","1","4","76","35","41","46.05"
"Karo","","","","","1","1","14","14","0","100.00"
"Karte","","","","","1","1","7","7","0","100.00"
"Kato Moku","","","","","1","2","48","32","16","66.67"
"Kato Namsi","","","","","1","1","16","16","0","100.00"
"Kaying H.Q.","","","","","1","2","331","313","18","94.56"
"Kaying Village","","","","","1","1","143","143","0","100.00"
"Keak","","","","","1","1","22","10","12","45.45"
"Kerang I","1","1","0","0","1","1","63","63","0","100.00"
"Kesi Tali(Balek)","","","","","1","1","7","7","0","100.00"
"Khela Ronya","","","","","1","1","7","7","0","100.00"
"Kombo Papak","","","","","1","2","66","51","15","77.27"
"Kombo Pomte(Kombo Monku)","","","","","1","2","117","117","0","100.00"
"Kombo Raglam","","","","","1","1","23","23","0","100.00"
"Kombo Tarsu Mobuk","","","","","1","2","191","162","29","84.82"
