"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Block  ""C""","","","","","1","7","309","105","204","33.98"
"No.2 Banguri","","","","","1","4","374","223","151","59.63"
"Agchia","","","","","1","4","164","71","93","43.29"
"Ahiabari","","","","","1","2","189","82","107","43.39"
"Ahopa","","","","","1","8","612","296","316","48.37"
"Aikhari Bilar Pathar","","","","","1","2","42","25","17","59.52"
"Alagjhar","","","","","1","7","487","250","237","51.33"
"Alengamari","","","","","1","3","100","61","39","61.00"
"Allia","","","","","1","4","149","69","80","46.31"
"Amarawati","","","","","1","6","239","96","143","40.17"
"Amayapur","","","","","1","3","150","150","0","100.00"
"Ambari","","","","","1","1","2","2","0","100.00"
"Ambari","","","","","1","2","137","49","88","35.77"
"Ambari","","","","","1","9","587","242","345","41.23"
"Ambari Sarubhera","","","","","1","1","163","91","72","55.83"
"Amingaon","","","","","1","8","230","108","122","46.96"
"Anandapur","","","","","1","4","250","161","89","64.40"
"Anchali","","","","","1","7","396","276","120","69.70"
"Angardhua","","","","","1","11","429","248","181","57.81"
"Angulia","","","","","1","7","431","277","154","64.27"
"Aouhata","","","","","1","5","238","106","132","44.54"
"Arangajuli","","","","","1","4","643","566","77","88.02"
"Arkara","","","","","1","4","173","116","57","67.05"
"Arnibil","","","","","1","3","131","72","59","54.96"
"Athiabari","","","","","1","1","23","23","0","100.00"
"Auguri","","","","","1","6","281","129","152","45.91"
"Auguri","","","","","1","1","34","30","4","88.24"
"Badulipara","","","","","1","6","243","87","156","35.80"
"Baganpara","","","","","1","12","505","251","254","49.70"
"Bagariguri","","","","","1","1","2","2","0","100.00"
"Bagaritari","","","","","1","1","103","103","0","100.00"
"Baghajan","","","","","1","2","69","38","31","55.07"
"Baghdoba","","","","","1","6","203","99","104","48.77"
"Baghmara","","","","","1","1","2","2","0","100.00"
"Bagribari","","","","","1","5","129","79","50","61.24"
"Bahbari","","","","","1","2","69","34","35","49.28"
"Bahbari","","","","","1","4","692","692","0","100.00"
"BajeGaon","","","","","1","2","67","67","0","100.00"
"Bajegaon Pathar","","","","","1","1","17","17","0","100.00"
"Bakua","","","","","1","6","274","188","86","68.61"
"Bakulguri","","","","","1","8","293","129","164","44.03"
"Balabari","","","","","1","3","187","132","55","70.59"
"Balabari","","","","","1","5","231","129","102","55.84"
"Balahati","","","","","1","2","146","146","0","100.00"
"Balahati","","","","","1","3","308","231","77","75.00"
"Balipur","","","","","1","1","2","2","0","100.00"
"Baltipar","","","","","1","15","849","587","262","69.14"
"Bamunjhar","","","","","1","9","487","193","294","39.63"
"Bamunkatabil","","","","","1","3","63","35","28","55.56"
"Banahopa","","","","","1","2","43","32","11","74.42"
"Banbari","","","","","1","6","215","44","171","20.47"
"Bangalipara","","","","","1","9","603","190","413","31.51"
"Bangalipara","","","","","1","4","225","125","100","55.56"
"Bangaon","","","","","1","3","196","91","105","46.43"
"Bangnabari","","","","","1","3","116","53","63","45.69"
"Baniakuchi Gaon","","","","","1","3","144","144","0","100.00"
"Bar Belbari","","","","","1","8","744","387","357","52.02"
"Bar Chakadal","","","","","1","5","219","155","64","70.78"
"Baraliapar","","","","","1","1","2","2","0","100.00"
"Baraliapar (Defeli )","","","","","1","4","274","194","80","70.80"
"Barama","","","","","1","8","413","211","202","51.09"
"Baramchari","","","","","1","6","212","95","117","44.81"
"Barangabari","","","","","1","6","687","181","506","26.35"
"Barangabari","","","","","1","2","42","42","0","100.00"
"Barapeta Gaon","","","","","1","24","794","83","711","10.45"
"Barbalisiha","","","","","1","5","255","102","153","40.00"
"Barbari","","","","","1","3","112","67","45","59.82"
"Barbari","","","","","1","3","80","43","37","53.75"
"Barbhera","","","","","1","4","252","139","113","55.16"
"Barbila","","","","","1","5","651","306","345","47.00"
"Bareigaon","","","","","1","10","809","413","396","51.05"
"Barfena Pathar","","","","","1","6","332","285","47","85.84"
"Bargaon","","","","","1","2","47","25","22","53.19"
"Bargaon","","","","","1","3","147","97","50","65.99"
"Bargaon NC","1","1","0","0","1","1","35","32","3","91.43"
"Barghagra","","","","","1","6","311","184","127","59.16"
"Barghopa Bilar Pathar","","","","","1","2","33","17","16","51.52"
"Barghuli","","","","","1","8","436","222","214","50.92"
"Bari Angarkata","","","","","1","2","58","58","0","100.00"
"Barigaon","","","","","1","6","225","99","126","44.00"
"Barikadanga","","","","","1","14","477","193","284","40.46"
"Barimakha","","","","","1","4","202","123","79","60.89"
"Barimakha","","","","","1","6","204","97","107","47.55"
"Barimakha","","","","","1","4","127","127","0","100.00"
"Barkachuajar","","","","","1","3","202","77","125","38.12"
"Barkachula","","","","","1","3","113","112","1","99.12"
"Barkajuli","","","","","1","2","176","124","52","70.45"
"Barkhata","","","","","1","5","300","235","65","78.33"
"Barkhopa","","","","","1","7","581","517","64","88.98"
"Barnadipar (Bamadipar)","","","","","1","4","227","78","149","34.36"
"Baropara","","","","","1","4","236","236","0","100.00"
"Barpathar","","","","","1","7","205","92","113","44.88"
"Barphukan Khat","","","","","1","3","154","72","82","46.75"
"Barphulchaki","","","","","1","4","178","88","90","49.44"
"Barsimlaguri","","","","","1","6","284","147","137","51.76"
"Bartari","","","","","1","5","394","394","0","100.00"
"Batabari","","","","","1","6","237","198","39","83.54"
"Batabari","","","","","1","2","75","75","0","100.00"
"Batabari RF","","","","","1","2","211","96","115","45.50"
"Batachara","","","","","1","4","225","97","128","43.11"
"Batiamari","","","","","1","4","225","133","92","59.11"
"Bebejiapara","","","","","1","6","497","139","358","27.97"
"Belguri","","","","","1","2","71","71","0","100.00"
"Belguripathar","","","","","1","13","578","218","360","37.72"
"Belkhuti","","","","","1","2","63","63","0","100.00"
"Benchimari","","","","","1","6","176","93","83","52.84"
"Bennabari","","","","","1","6","256","98","158","38.28"
"Bennibari","","","","","1","1","28","28","0","100.00"
"Betagaon","","","","","1","9","610","257","353","42.13"
"Betbari","","","","","1","6","140","115","25","82.14"
"Betna","","","","","1","6","312","127","185","40.71"
"Bhabasing Pathar","","","","","1","2","35","35","0","100.00"
"Bhakatpara","","","","","1","5","445","201","244","45.17"
"Bhakuamari","","","","","1","4","157","109","48","69.43"
"Bhala Pukhuri","","","","","1","3","71","41","30","57.75"
"Bhalaguri Gaon","","","","","1","2","54","54","0","100.00"
"Bhalmanuhorbhita","","","","","1","5","377","303","74","80.37"
"Bhalukamuri","","","","","1","12","272","185","87","68.01"
"Bhalukdonga","","","","","1","6","363","193","170","53.17"
"Bhalukjhar","","","","","1","3","275","93","182","33.82"
"Bhalukmari","","","","","1","3","146","146","0","100.00"
"Bhangbari","","","","","1","3","193","193","0","100.00"
"Bhawraguri","","","","","1","8","577","577","0","100.00"
"Bhebari","","","","","1","3","163","75","88","46.01"
"Bhebla","","","","","1","3","130","130","0","100.00"
"Bher Bheri","","","","","1","8","401","190","211","47.38"
"Bherakhat","","","","","1","3","309","215","94","69.58"
"Bhogpara","","","","","1","6","577","270","307","46.79"
"Bhogpur","","","","","1","5","521","318","203","61.04"
"Bhogpur","","","","","1","6","376","210","166","55.85"
"Bhulajhar","","","","","1","4","183","83","100","45.36"
"Bhulubatabari","","","","","1","3","69","55","14","79.71"
"Bhumkirpar","","","","","1","4","140","108","32","77.14"
"Bhutan Khuti","","","","","1","7","485","113","372","23.30"
"Bhutiapara NC","1","1","0","0","1","2","92","45","47","48.91"
"Bhuyapara","","","","","1","6","238","145","93","60.92"
"Bihangapur","","","","","1","7","883","229","654","25.93"
"Bihapara","","","","","1","8","356","122","234","34.27"
"Bilpar","","","","","1","5","322","95","227","29.50"
"Bimala Nagar","","","","","1","3","255","161","94","63.14"
"Bishnupur","","","","","1","15","1975","400","1575","20.25"
"Bishnupur","","","","","1","5","121","61","60","50.41"
"Bispani","","","","","1","1","24","24","0","100.00"
"Block  ""B""","","","","","1","10","986","496","490","50.30"
"Bogajuli","","","","","1","1","2","2","0","100.00"
"Boglamari","","","","","1","11","552","262","290","47.46"
"Boglamari NC","","","","","1","6","150","47","103","31.33"
"Bongaon","","","","","1","5","222","107","115","48.20"
"Bongshibari Pathar","","","","","1","1","17","17","0","100.00"
"Bongshibarigaon","","","","","1","4","127","69","58","54.33"
"Bunbari","","","","","1","3","52","42","10","80.77"
"Bunmaja Gaon","","","","","1","2","99","99","0","100.00"
"Bunmaja Pathar","","","","","1","4","182","77","105","42.31"
"Bunmajhar Pam","","","","","1","2","70","70","0","100.00"
"Chahuguri","","","","","1","5","103","77","26","74.76"
"Chaibari","","","","","1","5","235","141","94","60.00"
"Chamthaibari","","","","","1","2","35","20","15","57.14"
"Chamthiapara","","","","","1","5","229","116","113","50.66"
"Chamua Gati","","","","","1","8","479","408","71","85.18"
"Chanbarikhuti","","","","","1","8","332","84","248","25.30"
"Chandanpur","","","","","1","3","472","102","370","21.61"
"Chandra Nagar","","","","","1","3","280","27","253","9.64"
"Chanpaira","","","","","1","2","49","28","21","57.14"
"Chantapara","","","","","1","2","142","65","77","45.77"
"Chapara","","","","","1","3","279","131","148","46.95"
"Chapatal","","","","","1","5","674","129","545","19.14"
"Charaimari","","","","","1","4","296","139","157","46.96"
"Charan Jungle","","","","","1","4","284","53","231","18.66"
"Charangbari","","","","","1","3","310","93","217","30.00"
"Charibhella","","","","","1","5","326","129","197","39.57"
"Chaulkara","","","","","1","1","2","2","0","100.00"
"Chaulkara NC","","","","","1","1","2","2","0","100.00"
"Chechapani","","","","","1","2","324","181","143","55.86"
"Chenigaon","","","","","1","9","268","130","138","48.51"
