"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"2 No.Chachara","","","","","1","4","599","150","449","25.04"
"3No.Alupati N.C.","","","","","1","7","1664","208","1456","12.50"
"Aditpur","","","","","1","5","583","320","263","54.89"
"Aduripara N.C.","","","","","1","5","542","194","348","35.79"
"Agdia","","","","","1","2","170","143","27","84.12"
"Agdia Pathar","","","","","1","3","448","321","127","71.65"
"Agmandia","","","","","1","5","844","186","658","22.04"
"Ahom Pathar","","","","","1","3","306","195","111","63.73"
"Aichara Para","","","","","1","4","176","71","105","40.34"
"Akaya","","","","","1","10","635","534","101","84.09"
"Ali Gaon","","","","","1","2","4","4","0","100.00"
"Ali Gaon N.C.","","","","","1","1","2","2","0","100.00"
"Ali Gaon Pam","","","","","1","1","2","2","0","100.00"
"Ali Gaon Pathar","","","","","1","1","2","2","0","100.00"
"Ali Pur","","","","","1","3","444","202","242","45.50"
"Ambari","","","","","1","4","240","126","114","52.50"
"Amda Gaon","","","","","1","3","535","243","292","45.42"
"Amda Pathar","","","","","1","2","65","27","38","41.54"
"Amguri","","","","","1","4","699","350","349","50.07"
"Amuguri","","","","","1","3","150","91","59","60.67"
"Ananda Pur","","","","","1","5","822","530","292","64.48"
"Arimara N.C.","","","","","1","1","2","2","0","100.00"
"Ata","","","","","1","4","774","517","257","66.80"
"Atiya","","","","","1","2","143","117","26","81.82"
"Bagaijan Para","","","","","1","5","536","363","173","67.72"
"Bagana","","","","","1","5","249","53","196","21.29"
"Bagapara","","","","","1","3","164","62","102","37.80"
"Bagari Tari","","","","","1","3","332","75","257","22.59"
"Baghbar Gaon","","","","","1","2","479","196","283","40.92"
"Baghbar Pathar","1","1","0","0","1","1","280","250","30","89.29"
"Baghmara","","","","","1","3","186","186","0","100.00"
"Bagimari","","","","","1","3","129","76","53","58.91"
"Bagudi (Bagadi)","","","","","1","4","455","181","274","39.78"
"Bagula Mari","","","","","1","3","296","226","70","76.35"
"Bagula Para","","","","","1","1","50","50","0","100.00"
"Bagulamari","","","","","1","3","518","332","186","64.09"
"Bahbari","","","","","1","1","39","39","0","100.00"
"Bahmura","","","","","1","5","500","260","240","52.00"
"Bairapur","","","","","1","3","90","56","34","62.22"
"Bakala","","","","","1","2","172","92","80","53.49"
"Baksha Badha","","","","","1","2","4","4","0","100.00"
"Bala Bhitha","","","","","1","3","833","535","298","64.23"
"Bala Gaon","","","","","1","2","73","20","53","27.40"
"Bala Pet","","","","","1","3","617","353","264","57.21"
"Balagaon","","","","","1","6","477","343","134","71.91"
"Balai Pathar","","","","","1","6","1130","821","309","72.65"
"Balajan","","","","","1","2","225","116","109","51.56"
"Balapara","1","1","0","0","1","1","90","85","5","94.44"
"Balapara","1","1","0","0","1","1","2","2","0","100.00"
"Balapara","1","1","0","0","1","10","616","144","472","23.38"
"Balapathar","","","","","1","6","928","564","364","60.78"
"Balar Bari","","","","","1","1","55","46","9","83.64"
"Balarbhitha","","","","","1","3","167","68","99","40.72"
"Balartari","","","","","1","4","405","254","151","62.72"
"Balidhari","","","","","1","1","2","2","0","100.00"
"Balikuri","","","","","1","3","355","92","263","25.92"
"Balikuri Gaon","","","","","1","3","280","101","179","36.07"
"Balikuri N.C.","","","","","1","8","2517","439","2078","17.44"
"Balikuri Pam (Barikuri Pam)","","","","","1","1","2","2","0","100.00"
"Balikuri Pathar","","","","","1","3","6","6","0","100.00"
"Balipara","","","","","1","6","207","207","0","100.00"
"Balipara Pam","","","","","1","2","392","329","63","83.93"
"Balipara Pather","","","","","1","1","76","64","12","84.21"
"Bampara","","","","","1","1","300","252","48","84.00"
"Bamun Baradi","","","","","1","2","90","22","68","24.44"
"Bamun Bari","","","","","1","3","258","258","0","100.00"
"Bamun Dongra","","","","","1","4","451","87","364","19.29"
"Bamun Kuchi","1","1","0","0","1","1","80","65","15","81.25"
"Bamun Paka (Bamen Paka)","","","","","1","2","172","172","0","100.00"
"Bamuna","","","","","1","4","260","141","119","54.23"
"Bamundi","","","","","1","3","173","83","90","47.98"
"Bamunkuchi","","","","","1","8","381","381","0","100.00"
"Bamunkutani","","","","","1","1","37","37","0","100.00"
"Bamunpara","","","","","1","3","95","57","38","60.00"
