"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abadi","","","","","1","3","238","132","106","55.46"
"Ambari","","","","","1","11","293","190","103","64.85"
"Amguri","","","","","1","3","58","56","2","96.55"
"Amguri","","","","","1","12","444","377","67","84.91"
"Amguri Pt I","","","","","1","5","217","169","48","77.88"
"Amguri Pt II","","","","","1","5","283","118","165","41.70"
"Amtola","","","","","1","5","306","211","95","68.95"
"Aoulaguri","","","","","1","4","233","221","12","94.85"
"Arimara","","","","","1","3","159","94","65","59.12"
"Athugaon","","","","","1","10","445","313","132","70.34"
"B.R.P.L. Township (CT)","","","","","1","1","1557","0","1557","0.00"
"Baghekhaiti","","","","","1","2","105","57","48","54.29"
"Bagulamari","","","","","1","7","195","139","56","71.28"
"Bahir-Chengmari","","","","","1","4","136","81","55","59.56"
"Bajitpara","","","","","1","5","265","207","58","78.11"
"Bakhalgaon Pt I","","","","","1","2","159","111","48","69.81"
"Bakhalgaon Pt II","","","","","1","5","294","197","97","67.01"
"Balajani Checha Pani","","","","","1","7","344","265","79","77.03"
"Balapara","","","","","1","5","316","290","26","91.77"
"Balarchar","","","","","1","8","630","468","162","74.29"
"Balarchar Pt I","","","","","1","5","283","256","27","90.46"
"Balarchar Pt II","","","","","1","6","407","223","184","54.79"
"Balarchar Pt III","","","","","1","5","373","106","267","28.42"
"Balargudam","","","","","1","4","147","86","61","58.50"
"Balarpet","","","","","1","7","361","261","100","72.30"
"Bamungaon Pt I","","","","","1","5","325","232","93","71.38"
"Bamungaon Pt II","","","","","1","5","207","99","108","47.83"
"Bamuni Tilu","","","","","1","5","248","195","53","78.63"
"Banglapara","","","","","1","7","338","157","181","46.45"
"Bannipara","","","","","1","2","34","32","2","94.12"
"Bardhup","","","","","1","1","22","21","1","95.45"
"Baregarh","","","","","1","7","304","162","142","53.29"
"Barghola Pt I","","","","","1","4","228","175","53","76.75"
"Barghola Pt I","","","","","1","4","183","144","39","78.69"
"Baripara","","","","","1","6","232","183","49","78.88"
"Baripukhuri Pt I","","","","","1","3","197","161","36","81.73"
"Baripukhuri Pt II","","","","","1","4","153","105","48","68.63"
"Barjana Pt I","","","","","1","3","200","83","117","41.50"
"Barjana Pt II","","","","","1","3","255","215","40","84.31"
"Barjana Pt III","","","","","1","4","371","304","67","81.94"
"Barjuli","","","","","1","5","91","87","4","95.60"
