"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"95 Bsf Camp Damchera","","","","","1","1","23","22","1","95.65"
"Abongchara Grant Pt I","","","","","1","1","120","0","120","0.00"
"Abongchara Grant Pt II","","","","","1","3","301","77","224","25.58"
"Ailatal (Ilatal)","","","","","1","1","28","0","28","0.00"
"Ailatal Khasia Punjee","","","","","1","2","30","1","29","3.33"
"Ailatal Mikir Punjee","","","","","1","1","2","1","1","50.00"
"Aina Chara T.E.","","","","","1","3","230","70","160","30.43"
"Akai Punji","1","0","0","1","1","1","20","0","20","0.00"
"Alambag","","","","","1","5","1056","333","723","31.53"
"Algapur","","","","","1","2","280","168","112","60.00"
"Algapur Pt I","","","","","1","2","155","0","155","0.00"
"Algapur Pt II","","","","","1","2","208","72","136","34.62"
"Alipur Cha Bagicha","","","","","1","3","139","2","137","1.44"
"Alipur Pt I","","","","","1","2","4","2","2","50.00"
"Alipur Pt II","","","","","1","3","172","1","171","0.58"
"Alni F.V.","","","","","1","1","70","0","70","0.00"
"Alni Grant","","","","","1","3","242","27","215","11.16"
"Alubaja","","","","","1","1","48","29","19","60.42"
"Amaranagar T.E.","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt I","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt II","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt III","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt IV","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt V","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt VI (CT)","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt VII","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt VIII (CT)","","","","","1","1","2","1","1","50.00"
"Ambicapur Pt XI","","","","","1","1","2","1","1","50.00"
"Ambikapur Pt. X (CT)","","","","","1","1","3169","0","3169","0.00"
"Anandakhal","","","","","1","3","134","19","115","14.18"
"Anandakhal F.V.","","","","","1","1","23","22","1","95.65"
"Anwarpur","","","","","1","1","23","22","1","95.65"
"Aradhanpur","","","","","1","2","134","0","134","0.00"
"Arcuttepur Grant","","","","","1","17","1037","191","846","18.42"
"Ardvallik","","","","","1","3","269","83","186","30.86"
"Arjanpur","","","","","1","1","149","139","10","93.29"
"Arunabond T.E.","","","","","1","6","455","267","188","58.68"
"Badarpur Pt I","","","","","1","6","535","72","463","13.46"
"Badarpur Pt II","","","","","1","1","2","1","1","50.00"
"Badri Par","","","","","1","6","491","0","491","0.00"
"Badripar","","","","","1","1","139","86","53","61.87"
"Badripar Pt I","","","","","1","3","292","99","193","33.90"
"Badripar Pt II","","","","","1","2","205","101","104","49.27"
"Badripar Pt III","","","","","1","3","366","75","291","20.49"
"Badripar Pt IV","","","","","1","8","435","209","226","48.05"
"Bag-O-Bahar Pt I","","","","","1","9","834","376","458","45.08"
"Bag-O-Bahar Pt II","","","","","1","6","334","145","189","43.41"
"Bag-O-Bahar Pt III","","","","","1","6","350","152","198","43.43"
"Bag-O-Bahar Pt IV","","","","","1","5","316","188","128","59.49"
"Bag-O-Bahar Pt V","","","","","1","4","225","96","129","42.67"
"Bag-O-Bahar T.E.","","","","","1","3","226","92","134","40.71"
"Bagewallah F.V.","","","","","1","1","23","22","1","95.65"
"Baghkhal F.V.","","","","","1","1","23","22","1","95.65"
"Bagpur Pt I","","","","","1","1","2","1","1","50.00"
"Bagpur Pt II","","","","","1","1","2","1","1","50.00"
"Bagpur Pt III","","","","","1","1","2","1","1","50.00"
"Bahadurpur","","","","","1","4","296","65","231","21.96"
"Baigajigni (Balgagni)","","","","","1","1","65","29","36","44.62"
"Baikam Khasia Punjee","","","","","1","1","2","1","1","50.00"
"Baikuntapur T.E.","","","","","1","1","2","1","1","50.00"
"Bajantipur Pt I","","","","","1","1","2","1","1","50.00"
"Bajantipur Pt II","","","","","1","1","2","1","1","50.00"
"Bajantipur Pt III","","","","","1","1","2","1","1","50.00"
"Baladhan Grant","","","","","1","13","1428","358","1070","25.07"
"Baleswarpur Gnt(Baleswargrant)","","","","","1","1","2","1","1","50.00"
"Balichara Grant Pt I","","","","","1","2","170","0","170","0.00"
"Balichara Grant Pt II","","","","","1","2","158","48","110","30.38"
"Balighat","","","","","1","2","255","175","80","68.63"
"Balirbond","","","","","1","1","23","22","1","95.65"
"Baluchari F.V.","","","","","1","44","2894","1423","1471","49.17"
"Banadurpur Cha Bagicha","","","","","1","1","23","22","1","95.65"
"Bandar Khal Punjee","1","0","0","1","1","2","43","0","43","0.00"
"Bandhu Cha Bagicha","","","","","1","1","90","43","47","47.78"
"Bangala Ghat Grant","","","","","1","1","2","1","1","50.00"
"Bangalaghat Pt II (Bagaighat)","","","","","1","2","223","83","140","37.22"
"Banglaghat Pt I (Baglaghat)","","","","","1","2","308","48","260","15.58"
"Bangram","","","","","1","5","317","133","184","41.96"
"Bar Jalenga Pt II","","","","","1","3","175","104","71","59.43"
"Barabond","","","","","1","1","93","56","37","60.22"
"Baraitoli Pt I","","","","","1","1","138","78","60","56.52"
"Baraitoli Pt II","","","","","1","1","200","0","200","0.00"
"Baraitoli Pt IV","","","","","1","1","110","0","110","0.00"
"Baraitoli Pt V","","","","","1","1","2","1","1","50.00"
"Baramanda Grant","1","1","0","0","1","5","439","135","304","30.75"
"Bariknagar Pt I","","","","","1","1","2","1","1","50.00"
"Bariknagar Pt II","","","","","1","1","2","1","1","50.00"
"Barjalenga Pt I","","","","","1","3","258","183","75","70.93"
"Barjalenga Pt III","","","","","1","1","23","22","1","95.65"
"Barjalenga Pt IV","","","","","1","1","23","22","1","95.65"
"Barjalenga Pt IX (Pt XI)","","","","","1","1","23","22","1","95.65"
"Barjatrapur","","","","","1","2","120","0","120","0.00"
"Barmannagar F.V.","","","","","1","1","23","22","1","95.65"
"Baroidisha Punji","","","","","1","1","2","1","1","50.00"
"Barsangan Grant","","","","","1","1","2","1","1","50.00"
"Barthal Grant","","","","","1","3","1640","221","1419","13.48"
"Behara Pt I (Bihara Pt I)","","","","","1","1","2","1","1","50.00"
"Behara Pt II","","","","","1","3","6","3","3","50.00"
"Behara Pt III","","","","","1","8","180","6","174","3.33"
"Behara Pt IV","","","","","1","4","8","4","4","50.00"
"Behara Pt V","","","","","1","3","227","1","226","0.44"
