"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Kumguri (Dipu)","","","","","1","3","112","17","95","15.18"
"Abdaguri No. 1","1","1","0","0","1","1","212","180","32","84.91"
"Abdaguri No.2","","","","","1","3","96","56","40","58.33"
"Agrang No. 1","","","","","1","6","184","38","146","20.65"
"Agrang no.2","","","","","1","3","126","60","66","47.62"
"Aie Chara","1","1","0","0","1","1","50","14","36","28.00"
"Aie Nadi Dhubri No.1","","","","","1","3","58","17","41","29.31"
"Aie Nadi Dhubri No.2","1","1","0","0","1","1","23","10","13","43.48"
"Aie Nadi Dhubri No.3","1","1","0","0","1","1","43","13","30","30.23"
"Aie Nadi Dhubri No.4","1","1","0","0","1","1","50","20","30","40.00"
"Aie-poali-1","1","1","0","0","1","1","35","30","5","85.71"
"Aie-Powali -II","","","","","1","2","33","12","21","36.36"
"Amaraguri","","","","","1","6","119","43","76","36.13"
"Amguri","","","","","1","4","124","80","44","64.52"
"Amguri","","","","","1","1","17","0","17","0.00"
"Amguri","","","","","1","1","125","86","39","68.80"
"Amguri","","","","","1","4","198","62","136","31.31"
"Amguri No. 1","","","","","1","4","153","123","30","80.39"
"Amguri-II","","","","","1","3","49","12","37","24.49"
"Aminpara","","","","","1","2","95","35","60","36.84"
"Aminpara F V","","","","","1","2","140","38","102","27.14"
"Amteka F.V.","","","","","1","39","1079","402","677","37.26"
"Amteka F.V.","","","","","1","35","701","88","613","12.55"
"Andhargaon","","","","","1","5","156","37","119","23.72"
"Anthaibari","","","","","1","3","156","31","125","19.87"
"Ashrabari","","","","","1","5","94","16","78","17.02"
"Athiabari","","","","","1","3","184","87","97","47.28"
"Bagargaon","","","","","1","2","40","0","40","0.00"
"Baghmara","","","","","1","6","388","268","120","69.07"
"Bagidara No. 1","","","","","1","4","160","83","77","51.88"
"Bagidwara","","","","","1","2","61","27","34","44.26"
"Baikhungaon","","","","","1","6","251","167","84","66.53"
"Bairajhora","","","","","1","3","189","90","99","47.62"
"Balaguri","","","","","1","2","121","98","23","80.99"
"Balapara","","","","","1","4","97","27","70","27.84"
"Balapara-I","","","","","1","5","229","45","184","19.65"
"Balapara-II","","","","","1","5","210","67","143","31.90"
"Baldi No.2","","","","","1","4","94","19","75","20.21"
"Ballamguri","","","","","1","5","132","53","79","40.15"
"Ballimari","","","","","1","11","317","153","164","48.26"
"Bamungaon","","","","","1","5","119","48","71","40.34"
"Bamunijhara","","","","","1","5","104","37","67","35.58"
"Banduguri","","","","","1","4","163","94","69","57.67"
"Bangaljhora","","","","","1","4","150","103","47","68.67"
"Bardangi FV","","","","","1","3","123","23","100","18.70"
"Barighara (Borchara)","","","","","1","4","138","85","53","61.59"
"Baripara (Banduguri)","","","","","1","5","104","35","69","33.65"
"Baripara No. 1","","","","","1","5","183","130","53","71.04"
"Baripara No. 2","","","","","1","3","69","12","57","17.39"
"Barlawgaon","","","","","1","37","984","477","507","48.48"
"Barlesiagaon","","","","","1","4","146","82","64","56.16"
"Barpathar No.1","","","","","1","7","172","92","80","53.49"
"Barpathar No.2","","","","","1","3","66","37","29","56.06"
"Barpathar No.3","","","","","1","1","20","14","6","70.00"
"Barshijhara","","","","","1","2","56","12","44","21.43"
"Bartalowa","","","","","1","7","411","157","254","38.20"
"Bashbari","","","","","1","4","93","20","73","21.51"
"Bashbari [Ambari] No.1","","","","","1","1","27","27","0","100.00"
"Bashbari [Ambari] No.2","","","","","1","1","30","21","9","70.00"
"Basugaon","","","","","1","5","190","36","154","18.95"
"Basugaon Thuribari","","","","","1","3","56","25","31","44.64"
"Batabari","","","","","1","5","334","222","112","66.47"
"Batabari","","","","","1","3","71","46","25","64.79"
"Batagaon","","","","","1","3","91","42","49","46.15"
"Bedlangkhaity","","","","","1","10","577","283","294","49.05"
"Bengtol Kumguri","","","","","1","3","211","156","55","73.93"
"Bengtol-I","","","","","1","4","263","94","169","35.74"
"Bengtol-II","","","","","1","7","415","166","249","40.00"
"Beshorbari","","","","","1","4","224","44","180","19.64"
"Betbari No.1","","","","","1","5","111","40","71","36.04"
"Betbari No.2","","","","","1","5","108","37","71","34.26"
"Betnapara","","","","","1","5","151","53","98","35.10"
"Bhabanipur","","","","","1","2","78","68","10","87.18"
"Bhangnamari","","","","","1","2","35","16","19","45.71"
"Bhatarmari","","","","","1","2","51","11","40","21.57"
"Bhatipara (Lasatipara)","","","","","1","7","311","91","220","29.26"
"Bherbhery","","","","","1","2","84","21","63","25.00"
"Bherbhery","","","","","1","1","34","34","0","100.00"
"Bhetagaon No. 1","","","","","1","4","319","227","92","71.16"
"Bhetagaon No.2","","","","","1","5","702","484","218","68.95"
"Bhodeyaguri","","","","","1","7","189","120","69","63.49"
"Bhowraguri","","","","","1","7","184","50","134","27.17"
"Bhowraguri","","","","","1","4","105","46","59","43.81"
"Bhumeswar  Hill NC","","","","","1","1","19","13","6","68.42"
"Bhumkipara","","","","","1","9","193","59","134","30.57"
"Bhur F V","","","","","1","3","172","98","74","56.98"
"Bhurbasti FB","","","","","1","6","115","16","99","13.91"
"Bhurpar","1","1","0","0","1","1","96","31","65","32.29"
"Bhutiapara","","","","","1","6","144","107","37","74.31"
"Bhutkura","","","","","1","2","61","25","36","40.98"
"Bijni Gaon","","","","","1","7","552","275","277","49.82"
"Bijoygaon","","","","","1","4","265","183","82","69.06"
"Bikrampur","","","","","1","6","309","108","201","34.95"
"Bilashpur","","","","","1","13","583","449","134","77.02"
"Birinchiguri F. V","","","","","1","2","142","97","45","68.31"
"Bishdoba","","","","","1","10","520","127","393","24.42"
"Bishnupur  no. 3","","","","","1","15","291","93","198","31.96"
"Bishnupur No.1","","","","","1","10","206","35","171","16.99"
"Bishnupur No.2","","","","","1","42","910","258","652","28.35"
"Bishpani","1","1","0","0","1","1","66","23","43","34.85"
"Bispani","","","","","1","7","144","48","96","33.33"
"Bogidara","","","","","1","4","97","39","58","40.21"
"Boldi","","","","","1","2","40","15","25","37.50"
"Borgaon","","","","","1","9","177","53","124","29.94"
"Boro Ladanguri No. 2","","","","","1","1","48","48","0","100.00"
"Boro Ladanguri No.1","","","","","1","3","71","32","39","45.07"
"Boro Nilibari","","","","","1","3","142","99","43","69.72"
"Borpathar","","","","","1","2","52","35","17","67.31"
"Boulajhar","","","","","1","5","135","77","58","57.04"
"Boupara","","","","","1","6","148","60","88","40.54"
"Burijhar - 1","1","1","0","0","1","1","64","63","1","98.44"
"Burijhar-II","","","","","1","2","78","60","18","76.92"
"Burisuta No. 2","","","","","1","1","27","24","3","88.89"
"Burisuta No.1","","","","","1","1","27","25","2","92.59"
"Chamugaon","","","","","1","4","86","37","49","43.02"
"Chandpur","","","","","1","2","73","46","27","63.01"
"Chapaguri Pt I","","","","","1","5","197","104","93","52.79"
"Chapaguri Pt II","","","","","1","2","154","84","70","54.55"
"Charagaon","","","","","1","5","131","74","57","56.49"
"Charagaon No.1","","","","","1","6","250","136","114","54.40"
"Charagaon No.2","","","","","1","5","226","105","121","46.46"
"Charai Khosara","1","1","0","0","1","1","65","64","1","98.46"
"Charaikhosra","","","","","1","2","87","46","41","52.87"
"Charapet No.1","","","","","1","2","79","36","43","45.57"
"Charapet No.2","","","","","1","3","87","66","21","75.86"
"Chatianguri no. 1","","","","","1","5","234","162","72","69.23"
"Chatianguri no.2","","","","","1","6","640","371","269","57.97"
"Chatibor Gaon (CT)","","","","","1","9","935","339","596","36.26"
"Chatrasing","1","1","0","0","1","1","5","5","0","100.00"
"Choto  Amguri","","","","","1","2","46","19","27","41.30"
"Choto Ladanguri No. 1","","","","","1","4","82","28","54","34.15"
"Choto Ladanguri No. 2","","","","","1","3","60","39","21","65.00"
"Choto Moabari","","","","","1","3","83","30","53","36.14"
"Choto Nilibari","","","","","1","3","150","70","80","46.67"
"Choto-Lawgong No. 1","","","","","1","3","89","48","41","53.93"
"Choto-Lawgong No. 2","","","","","1","3","111","50","61","45.05"
"Chourabari","","","","","1","6","120","14","106","11.67"
"Dahalapara","","","","","1","6","147","41","106","27.89"
"Dahalapara No.1","","","","","1","18","475","83","392","17.47"
"Dahalapara No.2","","","","","1","13","293","97","196","33.11"
"Dakhin Amguri","","","","","1","3","66","24","42","36.36"
"Dakhin Dakhingaon","","","","","1","2","89","62","27","69.66"
"Dakhin Gendabil","","","","","1","1","63","43","20","68.25"
"Dakhin Makra No. 1","","","","","1","5","129","33","96","25.58"
"Dakhin Makra No. 2","","","","","1","8","223","45","178","20.18"
"Dakhin Makra No. 3","","","","","1","6","207","67","140","32.37"
"Dakhin Makra No.4","","","","","1","6","164","15","149","9.15"
"Dakhin Nangdarbari","","","","","1","1","66","66","0","100.00"
"Dakhingaon F V","","","","","1","12","376","139","237","36.97"
"Dakshin Kajalgaon","","","","","1","5","172","89","83","51.74"
"Damugaon","","","","","1","5","133","42","91","31.58"
"Dangagaon","","","","","1","3","123","77","46","62.60"
"Dangagaon","","","","","1","3","131","82","49","62.60"
"Dangaigaon","","","","","1","4","147","102","45","69.39"
"Dangshibari","","","","","1","3","107","44","63","41.12"
"Dangsiapara-1","","","","","1","4","203","77","126","37.93"
"Dangsiapara-2","","","","","1","4","170","82","88","48.24"
"Dangtala","","","","","1","4","250","113","137","45.20"
"Daobobil","","","","","1","5","232","72","160","31.03"
"Daranga No.1","","","","","1","5","146","59","87","40.41"
"Daranga No.2","","","","","1","7","446","190","256","42.60"
"Dawaguri","","","","","1","4","263","139","124","52.85"
"Dawkhanagar ---1","","","","","1","2","88","61","27","69.32"
"Dawkhanagar ---2","","","","","1","4","144","61","83","42.36"
"Deborbill","","","","","1","5","182","123","59","67.58"
"Deborgaon","","","","","1","5","196","41","155","20.92"
"Deosri F/Block","","","","","1","4","606","261","345","43.07"
"Deosri FV","","","","","1","2","53","34","19","64.15"
"Deotari","","","","","1","5","133","31","102","23.31"
"Deulguri","","","","","1","3","123","86","37","69.92"
"Deulguri","","","","","1","3","252","173","79","68.65"
"Dewanpara No.1","","","","","1","2","92","30","62","32.61"
"Dewanpara No.2","","","","","1","6","173","55","118","31.79"
"Dhalpani Forest Block","","","","","1","1","40","28","12","70.00"
"Dhopguri","","","","","1","2","109","63","46","57.80"
"Dhupguri","","","","","1","7","446","259","187","58.07"
"Dimajhora","","","","","1","3","136","41","95","30.15"
"Dimajuli","","","","","1","2","102","74","28","72.55"
"Dingaldong","","","","","1","10","346","158","188","45.66"
"Dipu","","","","","1","3","133","24","109","18.05"
"Dogarpara No. 1","","","","","1","3","89","21","68","23.60"
"Doilong No.1 (Doilangjhar-1)","","","","","1","8","206","14","192","6.80"
"Doilong No.2 (Doilangjhar-2)","","","","","1","9","202","38","164","18.81"
"Doilong No.3 (Doilangjhar-3)","","","","","1","5","113","16","97","14.16"
"Doilong No.4 (Doilangjhar-4)","","","","","1","6","147","32","115","21.77"
"Doiumguri","","","","","1","3","100","60","40","60.00"
"Dologaon","","","","","1","2","70","45","25","64.29"
"Dologaon","","","","","1","5","108","49","59","45.37"
"Domgaon","","","","","1","2","137","80","57","58.39"
"Dongagaon No. 1","","","","","1","2","73","27","46","36.99"
"Dongagaon No. 2","","","","","1","3","97","51","46","52.58"
"Dongapeta","","","","","1","3","70","39","31","55.71"
"Dorogaon","","","","","1","4","234","62","172","26.50"
"Doturi","","","","","1","8","581","325","256","55.94"
"Duligaon","","","","","1","6","135","40","95","29.63"
"Durgapur","1","1","0","0","1","2","110","106","4","96.36"
"Durgapur","1","1","0","0","1","2","73","60","13","82.19"
"Duttapur F/Block","","","","","1","15","974","321","653","32.96"
"Duttapur FV","","","","","1","1","44","30","14","68.18"
"Elengmari","1","1","0","0","1","1","210","120","90","57.14"
"Elengmari","1","1","0","0","1","2","47","20","27","42.55"
"Fagunagaon No. 1","","","","","1","5","226","143","83","63.27"
"Fagunagaon No. 2","","","","","1","4","161","94","67","58.39"
"Fuchulupara","","","","","1","3","93","27","66","29.03"
"Fulguri","","","","","1","3","139","61","78","43.88"
"Fulkumari","","","","","1","9","222","58","164","26.13"
"Galapara","","","","","1","1","30","21","9","70.00"
"Garabdara No. 2","1","1","0","0","1","3","84","28","56","33.33"
"Garabdara No.1","","","","","1","2","42","29","13","69.05"
"Gargaon No.1","","","","","1","3","137","95","42","69.34"
"Gargaon No.2","","","","","1","4","115","57","58","49.57"
"Garubhasa No.1","","","","","1","3","187","112","75","59.89"
"Garuubhasa No.2","","","","","1","2","73","33","40","45.21"
"Gelasugaon","","","","","1","1","34","34","0","100.00"
"Gendabil","","","","","1","2","85","67","18","78.82"
"Gendergaon","","","","","1","3","73","51","22","69.86"
"Ghoramara","","","","","1","3","152","46","106","30.26"
"Girjiangaon","","","","","1","4","128","56","72","43.75"
"Goragaon","","","","","1","4","137","74","63","54.01"
"Goragaon Sallbari","","","","","1","2","109","88","21","80.73"
"Goroimari No. 1","","","","","1","6","391","249","142","63.68"
"Goroimari No.2","","","","","1","7","442","217","225","49.10"
"Goroimari No.3","","","","","1","9","564","363","201","64.36"
"Gorshingpara","","","","","1","2","101","58","43","57.43"
"Gossaigaon","","","","","1","5","202","99","103","49.01"
"Gundamara","","","","","1","3","60","30","30","50.00"
"Guwabari","","","","","1","3","116","69","47","59.48"
"Hasraobari","","","","","1","9","375","220","155","58.67"
"Hatidhura F V","","","","","1","6","234","65","169","27.78"
"Hatijar F/Block","","","","","1","10","879","563","316","64.05"
"Hatipota","","","","","1","5","178","128","50","71.91"
"Hatisar F.V","","","","","1","11","339","138","201","40.71"
"Hawargaon","","","","","1","2","76","53","23","69.74"
"Hekaipara","","","","","1","7","142","12","130","8.45"
"Hulmagaon-I","","","","","1","5","226","193","33","85.40"
"Hulmagaon-II","","","","","1","2","117","93","24","79.49"
"Hurhuti","","","","","1","3","77","44","33","57.14"
"Ishilkata","","","","","1","2","90","67","23","74.44"
"Jaoliabari","","","","","1","4","126","71","55","56.35"
"Jharbispani","","","","","1","8","237","83","154","35.02"
"Joypur","","","","","1","2","75","58","17","77.33"
"Juiloga","","","","","1","3","196","160","36","81.63"
"Kachubil No.1","","","","","1","4","125","50","75","40.00"
"Kachubil No.2","","","","","1","7","278","106","172","38.13"
"Kachutola","","","","","1","3","93","26","67","27.96"
"Kahibari","","","","","1","5","172","129","43","75.00"
"Kahibari No.1","","","","","1","1","27","27","0","100.00"
"Kahibari No.2","","","","","1","2","51","27","24","52.94"
"Kahitama N.C","","","","","1","2","194","47","147","24.23"
"Kakragaon","","","","","1","3","201","79","122","39.30"
"Kaliagaon","","","","","1","3","124","88","36","70.97"
"Kaliyagaon","","","","","1","11","214","103","111","48.13"
"Kamardanga","","","","","1","4","158","82","76","51.90"
"Kamargaon","","","","","1","6","144","47","97","32.64"
"Kanamakra FV (Rangijhora FV)","","","","","1","7","245","47","198","19.18"
"Kanibhur","","","","","1","3","187","94","93","50.27"
"Kanthalmari","1","1","0","0","1","2","105","32","73","30.48"
"Kashdoba","","","","","1","5","184","93","91","50.54"
"Kashikotra No 1","","","","","1","2","203","141","62","69.46"
"Kashikotra No.2","","","","","1","1","58","58","0","100.00"
"Kathalguri","","","","","1","1","42","29","13","69.05"
"Kathalpara","","","","","1","5","345","132","213","38.26"
"Katribari","","","","","1","2","76","53","23","69.74"
"Katribari","","","","","1","1","50","35","15","70.00"
"Kawadi No. 2","1","1","0","0","1","2","150","123","27","82.00"
"Kawadi Sonaikhowa No1","1","1","0","0","1","4","257","0","257","0.00"
"Kawatika-1","","","","","1","8","637","336","301","52.75"
"Khagrabari","1","1","0","0","1","1","78","0","78","0.00"
"Khagrabari","1","1","0","0","1","5","122","27","95","22.13"
"Khagrabari F.V","","","","","1","3","198","122","76","61.62"
"Khairabari","","","","","1","3","91","62","29","68.13"
"Khamarguri","","","","","1","4","85","24","61","28.24"
"Khamarpara (Khumarpara)","","","","","1","7","147","44","103","29.93"
"Kharija Bispani","","","","","1","1","111","77","34","69.37"
"Kharija Bispani No. 2","1","1","0","0","1","1","27","7","20","25.93"
"Kharija Bispani No.1","","","","","1","5","103","17","86","16.50"
"Kharija Dalaigaon Pt.2 (Part)","","","","","1","1","49","0","49","0.00"
"Khaturibari","","","","","1","1","41","41","0","100.00"
"Kherdanga","","","","","1","2","48","39","9","81.25"
"Khujrabguri No.1","","","","","1","4","93","18","75","19.35"
"Khujrabguri No.2","","","","","1","3","70","19","51","27.14"
"Khujurapguri","","","","","1","3","70","32","38","45.71"
"Khungkhurajhora","","","","","1","4","165","79","86","47.88"
"Khungring F V","","","","","1","8","275","130","145","47.27"
"Khunthaibari","","","","","1","6","124","24","100","19.35"
"Kinaborgaon","","","","","1","4","242","94","148","38.84"
"Kochpara","","","","","1","3","190","101","89","53.16"
"Koila Moila","","","","","1","5","186","113","73","60.75"
"Koilamoila FV","","","","","1","31","742","140","602","18.87"
"Kolobari","","","","","1","1","76","52","24","68.42"
"Kolobari","","","","","1","2","52","26","26","50.00"
"Koptuli","","","","","1","6","265","167","98","63.02"
"Krishnapur","","","","","1","3","88","42","46","47.73"
"Kukurmari","","","","","1","5","643","132","511","20.53"
"Kumargaon","","","","","1","3","155","87","68","56.13"
"Kumarsali","","","","","1","3","64","33","31","51.56"
"Kumarsali Pather","","","","","1","3","54","31","23","57.41"
"Kumguri","","","","","1","3","103","34","69","33.01"
"Kumguri","","","","","1","3","124","30","94","24.19"
"Ladanguri","","","","","1","3","73","37","36","50.68"
"Lakhijhora No. 3","","","","","1","4","81","17","64","20.99"
"Lakhijhora No.1","","","","","1","4","121","58","63","47.93"
"Lakhijhora No.2","","","","","1","3","77","23","54","29.87"
"Lakhipur","","","","","1","2","85","65","20","76.47"
"Larugaon No. 2","","","","","1","4","83","16","67","19.28"
"Larugaon No.1","","","","","1","4","81","16","65","19.75"
"Lasatipara","","","","","1","6","142","29","113","20.42"
"Lathaijhar","","","","","1","1","22","15","7","68.18"
"Laukuriguri","","","","","1","6","133","25","108","18.80"
"Lauripara","","","","","1","4","91","68","23","74.73"
"Ledopara","","","","","1","2","56","56","0","100.00"
"Madarpur","","","","","1","6","196","61","135","31.12"
"Madhyam Dakhungaon","","","","","1","5","194","73","121","37.63"
"Madhyam Kajalgaon.","","","","","1","1","25","17","8","68.00"
"Madyam Runikhata","","","","","1","5","546","139","407","25.46"
"Maigaon","","","","","1","4","116","92","24","79.31"
"Majrabari No. 1","","","","","1","5","300","171","129","57.00"
"Majrabari No. 2","","","","","1","5","121","18","103","14.88"
"Makhanaguri","","","","","1","7","175","54","121","30.86"
"Makragaon","","","","","1","3","85","45","40","52.94"
"Malipara","","","","","1","4","55","18","37","32.73"
"Malipara No. 1","","","","","1","3","42","9","33","21.43"
"Malipara No. 2","","","","","1","2","46","15","31","32.61"
"Malivita F.V","","","","","1","22","1268","429","839","33.83"
"Malivita F/Block(Including Relief Camp)","","","","","1","10","227","97","130","42.73"
"Manglagaon","","","","","1","5","267","86","181","32.21"
"Manikpur","","","","","1","1","31","31","0","100.00"
"Maopar","1","1","0","0","1","1","120","115","5","95.83"
"Matiapara","","","","","1","5","250","95","155","38.00"
"Memerumbari","","","","","1","3","157","109","48","69.43"
"Modati","1","1","0","0","1","1","40","14","26","35.00"
"Mojabari","","","","","1","3","218","163","55","74.77"
"Molandubi F.V","","","","","1","1","37","26","11","70.27"
"Monakosha No.1","","","","","1","4","157","108","49","68.79"
"Monakucha No.2","","","","","1","9","467","278","189","59.53"
"Moneswari","","","","","1","4","231","128","103","55.41"
"Monkocha [Silbari]","","","","","1","2","38","20","18","52.63"
"Nadhiapara","","","","","1","5","160","96","64","60.00"
"Nalbari","","","","","1","3","88","29","59","32.95"
"Namalpur","","","","","1","3","186","186","0","100.00"
"Nangalbhanga","","","","","1","5","92","26","66","28.26"
"Nangalbhanga","","","","","1","2","121","121","0","100.00"
"Napalpara","","","","","1","3","79","44","35","55.70"
"Narayanpur","","","","","1","1","42","29","13","69.05"
"Nathurbari","","","","","1","3","165","117","48","70.91"
"Nehalgaon","","","","","1","4","146","45","101","30.82"
"Nepalpara","","","","","1","3","172","38","134","22.09"
"Nepalpara","","","","","1","5","156","49","107","31.41"
"Nichinapara","","","","","1","5","267","61","206","22.85"
"Nilibari","","","","","1","6","355","141","214","39.72"
"Nimagaon","","","","","1","4","121","121","0","100.00"
"Niz-Damugaon","","","","","1","2","36","11","25","30.56"
"Nizlaguri F.V","","","","","1","5","414","118","296","28.50"
"No.1  Mazrabari","1","1","0","0","1","4","143","134","9","93.71"
"No.1 Bholatal","","","","","1","4","121","34","87","28.10"
"No.1 Chourang","","","","","1","16","325","104","221","32.00"
"No.1 Dahaladanga","","","","","1","4","67","13","54","19.40"
"No.1 Purba  Bhadra","","","","","1","1","73","50","23","68.49"
"No.2 Bhoiatal","","","","","1","4","169","83","86","49.11"
"No.2 Chourabari","","","","","1","1","36","36","0","100.00"
"No.2 Chourang","","","","","1","2","76","32","44","42.11"
"No.2 Dagarpara","","","","","1","2","54","47","7","87.04"
"No.2 Dahaladanga","","","","","1","3","46","11","35","23.91"
"No.2 Purba Bhadra","","","","","1","2","121","28","93","23.14"
"No.3 Chourang","","","","","1","4","64","33","31","51.56"
"No.4 Chourang","","","","","1","3","88","33","55","37.50"
"Nowagaon","","","","","1","4","65","13","52","20.00"
"Odalguri","","","","","1","3","66","17","49","25.76"
"Odalguri Pt.2","1","1","0","0","1","1","127","76","51","59.84"
"Odalguri Pt.3","","","","","1","3","61","20","41","32.79"
"Ouguri","1","1","0","0","1","3","295","48","247","16.27"
"Oxiguri","","","","","1","10","334","59","275","17.66"
"Oxiguri","","","","","1","3","127","79","48","62.20"
"Pachim Makra","","","","","1","4","107","18","89","16.82"
"Padmapur","","","","","1","4","136","78","58","57.35"
"Pakeriguri","","","","","1","28","853","240","613","28.14"
"Pakhriguri-1","","","","","1","1","32","26","6","81.25"
"Pakhriguri-2","","","","","1","7","314","126","188","40.13"
"Palangsuguri","","","","","1","3","144","83","61","57.64"
"Palashbari","","","","","1","2","69","30","39","43.48"
"Palashguri-1 (Palangsuguri No.1)","","","","","1","7","212","61","151","28.77"
"Palashguri-2 (Palangsuguri No.2)","1","1","0","0","1","1","353","220","133","62.32"
"Panbari","","","","","1","4","108","48","60","44.44"
"Paniagaon","","","","","1","4","112","22","90","19.64"
"Parbatipur","","","","","1","1","30","30","0","100.00"
"Parbatjhora","","","","","1","1","61","61","0","100.00"
"Paschim Golajhar","","","","","1","1","83","83","0","100.00"
"Paschim Gumargaon","","","","","1","3","94","52","42","55.32"
"Paschim Hulmagaon","","","","","1","2","221","106","115","47.96"
"Paschim Joypur","","","","","1","3","200","173","27","86.50"
"Pashim Ankarbari","","","","","1","5","249","107","142","42.97"
"Patabari F.V.","","","","","1","18","727","650","77","89.41"
"Patabari F/Block","","","","","1","1","27","27","0","100.00"
"Patabari-I","1","1","0","0","1","1","64","11","53","17.19"
"Patabari-II","1","1","0","0","1","1","55","30","25","54.55"
"Patalmari","","","","","1","1","26","26","0","100.00"
"Pathargaon","","","","","1","3","100","30","70","30.00"
"Patkiguri","","","","","1","8","205","54","151","26.34"
"Petlagaon","","","","","1","8","442","227","215","51.36"
"Polashguri","","","","","1","3","291","125","166","42.96"
"Pretgaon","","","","","1","3","81","50","31","61.73"
"Pub Gumargaon","","","","","1","2","56","52","4","92.86"
"Pub Makra","","","","","1","28","757","155","602","20.48"
"Pub Patabari","1","1","0","0","1","1","55","0","55","0.00"
"Pub-Amguri","","","","","1","1","32","32","0","100.00"
"Pub-Boldi","","","","","1","3","79","29","50","36.71"
"Pub-Maopar","1","1","0","0","1","1","70","27","43","38.57"
"Pubkhamarpara","","","","","1","7","307","214","93","69.71"
"Pubra Ankhorbari","","","","","1","6","286","230","56","80.42"
"Puradia","","","","","1","4","174","98","76","56.32"
"Purakhola","","","","","1","3","81","32","49","39.51"
"Purba Ashrabari","","","","","1","1","68","68","0","100.00"
"Purba Basbari","","","","","1","4","99","99","0","100.00"
"Purba Golajhar","","","","","1","3","183","101","82","55.19"
"Purba-Domgaon","","","","","1","5","357","196","161","54.90"
"Rajajan","","","","","1","4","135","76","59","56.30"
"Rangijhora","","","","","1","3","184","108","76","58.70"
"Rani Sundari","","","","","1","4","215","145","70","67.44"
"Ranipur F.V.","","","","","1","8","564","337","227","59.75"
"Ranipur F/Block","","","","","1","6","128","60","68","46.88"
"Ravapara","","","","","1","3","192","185","7","96.35"
"Ravapara","","","","","1","4","124","23","101","18.55"
"Rowmari","","","","","1","3","84","11","73","13.10"
"Runikhata","","","","","1","4","472","356","116","75.42"
"Sakati Bhatipara","","","","","1","5","119","27","92","22.69"
"Sakatiuzanpara","","","","","1","4","71","16","55","22.54"
"Salbari","","","","","1","2","222","104","118","46.85"
"Salbari Bhurpar","","","","","1","4","224","68","156","30.36"
"Salbari F V","","","","","1","4","326","73","253","22.39"
"Salbari F/Block","","","","","1","5","158","139","19","87.97"
"Salbari-I","","","","","1","4","234","71","163","30.34"
"Salbari-II","","","","","1","2","127","104","23","81.89"
"Saljhora","","","","","1","4","243","162","81","66.67"
"Sannyashibari No.1","","","","","1","1","49","49","0","100.00"
"Sannyashibari No.2","","","","","1","2","62","28","34","45.16"
"Santipur F/Block","","","","","1","3","305","55","250","18.03"
"Santipur FV","","","","","1","11","415","415","0","100.00"
"Serfanguri","","","","","1","17","529","459","70","86.77"
"Shyamsing-Killa","","","","","1","3","143","63","80","44.06"
"Sialmari","","","","","1","6","406","249","157","61.33"
"Sidli","","","","","1","2","183","126","57","68.85"
"Sikajhora No.1","","","","","1","4","121","31","90","25.62"
"Sikajhora No.2","","","","","1","4","98","19","79","19.39"
"Sikajhora No.3","1","1","0","0","1","1","127","125","2","98.43"
"Sikapara  Pt. 11","","","","","1","2","80","22","58","27.50"
"Sikapara Pt.1","","","","","1","2","43","15","28","34.88"
"Silbari","","","","","1","4","103","29","74","28.16"
"Silbari  Abadipara","","","","","1","5","212","123","89","58.02"
"Silghagri","","","","","1","4","113","91","22","80.53"
"Silikhaguri","","","","","1","9","266","124","142","46.62"
"Silikhaguri No.1","","","","","1","1","56","56","0","100.00"
