"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adhamapara","","","","","1","3","237","180","57","75.95"
"Adhikari","","","","","1","4","201","147","54","73.13"
"Ahaka Chuburi","","","","","1","2","255","0","255","0.00"
"Akalibari","","","","","1","3","302","88","214","29.14"
"Alagjhari","","","","","1","3","222","222","0","100.00"
"Algachar N.C.","","","","","1","3","115","115","0","100.00"
"Alikhapara","","","","","1","12","819","509","310","62.15"
"Alikhash","","","","","1","5","384","108","276","28.13"
"Alisinga Gaon","","","","","1","3","156","48","108","30.77"
"Alisinga Janghal","","","","","1","5","238","138","100","57.98"
"Aparia","","","","","1","5","300","74","226","24.67"
"Atakata Chapori","","","","","1","5","396","101","295","25.51"
"Athiabari Khat","","","","","1","5","372","101","271","27.15"
"Athkuria","","","","","1","7","497","298","199","59.96"
"Bachachuba","","","","","1","4","312","38","274","12.18"
"Badiasisa","","","","","1","3","200","33","167","16.50"
"Badlichar","","","","","1","3","258","49","209","18.99"
"Bagachala","","","","","1","14","836","455","381","54.43"
"Bagaribari NC","1","0","0","1","1","2","359","0","359","0.00"
"Bagdia","","","","","1","5","379","103","276","27.18"
"Bagharbari","","","","","1","5","396","101","295","25.51"
"Bagharbari","","","","","1","7","575","166","409","28.87"
"Baghmarapukhuri","","","","","1","8","623","371","252","59.55"
"Baghpori Chapori","","","","","1","7","591","279","312","47.21"
"Bagichakash","","","","","1","1","57","57","0","100.00"
"Bahabari","","","","","1","5","426","54","372","12.68"
"Bahjani","","","","","1","2","225","0","225","0.00"
"Baigurmari","","","","","1","4","312","38","274","12.18"
"Bainaojha Para","","","","","1","3","106","46","60","43.40"
"Bairagipara","","","","","1","5","416","197","219","47.36"
"Bajana Pathar","","","","","1","4","310","41","269","13.23"
"Balabari","","","","","1","5","396","101","295","25.51"
"Baligaon","","","","","1","6","339","103","236","30.38"
"Balikuchi","","","","","1","3","186","111","75","59.68"
"Balipara","","","","","1","2","192","0","192","0.00"
"Balipota","","","","","1","6","418","150","268","35.89"
"Baman Pathar","","","","","1","3","258","49","209","18.99"
"Bamunpara","","","","","1","2","127","127","0","100.00"
"Bandia Chapori","1","1","0","0","1","4","520","204","316","39.23"
"Bandia Gaon","","","","","1","5","379","103","276","27.18"
