"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"2No.Adi Kalia Gaon","","","","","1","2","80","0","80","0.00"
"3No.Dasgaon","","","","","1","1","33","16","17","48.48"
"4 - No. Kaitong","","","","","1","3","99","19","80","19.19"
"4-No. Ghilaguri","","","","","1","2","75","23","52","30.67"
"Abarali Gaon","","","","","1","1","29","18","11","62.07"
"Abeeda Pathar","","","","","1","1","52","28","24","53.85"
"Abhai Pur Kachari","1","1","0","0","1","3","28","20","8","71.43"
"Abhayapuria","","","","","1","4","247","64","183","25.91"
"Adi Tako","","","","","1","1","60","0","60","0.00"
"Adikalia","","","","","1","1","33","15","18","45.45"
"Adikalia Majgaon","1","1","0","0","1","1","29","20","9","68.97"
"Adikalia No.1","","","","","1","1","40","19","21","47.50"
"Aduttengakulatalia N.C","","","","","1","3","244","95","149","38.93"
"Akajan Bangali","","","","","1","1","35","21","14","60.00"
"Akajan Jon Gaon","","","","","1","2","107","36","71","33.64"
"Akajan Jongaon","","","","","1","5","528","0","528","0.00"
"Akajan Miri","","","","","1","2","222","62","160","27.93"
"Alu Para","1","1","0","0","1","2","70","70","0","100.00"
"Amguri Bali","","","","","1","2","86","17","69","19.77"
"Amguri Dambuk","","","","","1","2","174","34","140","19.54"
"Amguri Jamuguri","1","1","0","0","1","1","53","25","28","47.17"
"Amguri Jamuguri","1","1","0","0","1","1","29","18","11","62.07"
"Amguri Kachari","1","1","0","0","1","1","50","0","50","0.00"
"Amlakhi Pait","","","","","1","1","80","0","80","0.00"
"Anu Dolung","","","","","1","2","87","25","62","28.74"
"Apsara","1","0","0","1","1","1","60","0","60","0.00"
"Arcy Aka","","","","","1","3","119","21","98","17.65"
"Arimatta Garh","","","","","1","1","37","20","17","54.05"
"Arne Pan Bari Hajong","1","1","0","0","1","1","19","0","19","0.00"
"Arun Chapori","","","","","1","1","18","11","7","61.11"
"Ayengia Patri","1","1","0","0","1","1","51","30","21","58.82"
"Badhuwa Chuk","1","1","0","0","1","1","47","47","0","100.00"
"Bag Gaon","1","1","0","0","1","1","16","10","6","62.50"
"Bag Gaon","1","1","0","0","1","3","127","84","43","66.14"
"Bah-Katika Gaon","","","","","1","3","137","76","61","55.47"
"Bah-Katika Pathar","","","","","1","1","67","57","10","85.07"
"Bahir Chilai","","","","","1","2","59","17","42","28.81"
"Bahir Jonai (Part I)","","","","","1","1","40","0","40","0.00"
"Bahir Jonai Pathar","","","","","1","1","20","0","20","0.00"
"Baithok","","","","","1","1","35","16","19","45.71"
"Bakal","","","","","1","1","58","27","31","46.55"
"Balai Mara","","","","","1","3","67","10","57","14.93"
"Bali Gaon","","","","","1","1","22","10","12","45.45"
"Bali Gaon","","","","","1","1","14","8","6","57.14"
"Bali Gaon","","","","","1","1","27","13","14","48.15"
"Bali Jan","1","1","0","0","1","1","250","200","50","80.00"
"Baligaon","1","1","0","0","1","1","40","20","20","50.00"
"Balijan","1","1","0","0","1","3","128","17","111","13.28"
"Balijan","1","1","0","0","1","1","61","50","11","81.97"
"Balijan","1","1","0","0","1","1","74","35","39","47.30"
"Balikata Miri Pathar","","","","","1","1","23","14","9","60.87"
"Balisori","1","1","0","0","1","4","154","0","154","0.00"
"Bam Aktai","","","","","1","2","126","0","126","0.00"
"Bam Gaon","","","","","1","1","64","30","34","46.88"
"Bam Kamchi","","","","","1","1","43","25","18","58.14"
"Bamchenia No. 1/2","","","","","1","2","53","28","25","52.83"
"Bangalmari Dhunaguri","","","","","1","1","48","22","26","45.83"
"Bangalmari Dhunaguri N.C.","","","","","1","1","40","0","40","0.00"
"Bangalmari Gaon","","","","","1","1","35","21","14","60.00"
"Banto Gaon","1","1","0","0","1","1","60","11","49","18.33"
"Barajan Dhipaguri","","","","","1","4","235","128","107","54.47"
"Barati Chuk","","","","","1","1","52","31","21","59.62"
"Barati Gaon","","","","","1","1","61","37","24","60.66"
"Barhoiting Gaon","","","","","1","1","30","0","30","0.00"
"Barobhuyan","","","","","1","3","160","68","92","42.50"
"Barua Gaon","","","","","1","1","56","26","30","46.43"
"Barua Pathar","","","","","1","1","57","27","30","47.37"
"Baruah Bali","","","","","1","2","42","10","32","23.81"
"Baruah Pathar","","","","","1","1","75","64","11","85.33"
"Batgharia","","","","","1","4","179","36","143","20.11"
"Batua Miri","1","1","0","0","1","1","98","0","98","0.00"
"Batua Nepali","1","1","0","0","1","4","90","0","90","0.00"
"Batuamukh","","","","","1","3","191","55","136","28.80"
"Bauli Miri","1","1","0","0","1","1","30","0","30","0.00"
"Bebejia","","","","","1","1","39","0","39","0.00"
"Becha Mara","","","","","1","5","175","9","166","5.14"
"Begenagara Chamua","","","","","1","2","91","49","42","53.85"
"Begenagara Gaon","","","","","1","2","198","107","91","54.04"
"Begenagara Naharani","","","","","1","4","316","170","146","53.80"
"Bej Guri","","","","","1","2","41","9","32","21.95"
"Belong Chekai Chuk","","","","","1","2","71","18","53","25.35"
"Bengalijan","1","1","0","0","1","1","128","97","31","75.78"
"Bera Chapori Kachari","1","1","0","0","1","1","52","0","52","0.00"
"Bera Chapori Maj Gaon","1","1","0","0","1","1","49","0","49","0.00"
"Bera Chapori Sonowal","1","1","0","0","1","1","27","0","27","0.00"
"Bera Mech Gaon","","","","","1","2","81","16","65","19.75"
"Bera Nagaon","","","","","1","2","53","13","40","24.53"
"Berbhanga Gaon","","","","","1","1","66","56","10","84.85"
"Betanihola Simaldani N.C","","","","","1","1","44","38","6","86.36"
"Betbari","","","","","1","2","136","68","68","50.00"
"Bhadia Chuk","1","1","0","0","1","1","40","0","40","0.00"
"Bhagaban Borgora","","","","","1","3","129","20","109","15.50"
"Bhagwan Borgayan","","","","","1","2","115","12","103","10.43"
"Bhairabpur Ashighar","","","","","1","2","71","27","44","38.03"
"Bhalukaguri","","","","","1","2","43","11","32","25.58"
"Bhalukaguri Dambuk","","","","","1","3","127","25","102","19.69"
"Bhangidia Gaon","1","1","0","0","1","1","25","0","25","0.00"
"Bhangidia Pathar","1","1","0","0","1","6","275","0","275","0.00"
"Bharali Chuk","","","","","1","2","147","55","92","37.41"
"Bhebeli","","","","","1","1","68","58","10","85.29"
"Bhebeli Gaon","","","","","1","1","80","68","12","85.00"
"Bhebeli Gaon","","","","","1","2","77","9","68","11.69"
"Bhebeli Na-Gaon","","","","","1","1","35","21","14","60.00"
"Bhebeli Pathar","","","","","1","2","113","44","69","38.94"
"Bheh Para Habi","","","","","1","1","51","24","27","47.06"
"Bhehjan Block","","","","","1","1","22","13","9","59.09"
"Bhehpara","","","","","1","1","67","31","36","46.27"
"Bhehpara Na Pam","","","","","1","1","60","28","32","46.67"
"Bhekeli Kardong Chuk","1","1","0","0","1","1","30","0","30","0.00"
"Bhekeli Tangani","1","1","0","0","1","1","102","0","102","0.00"
"Bhereki Chuk","","","","","1","2","124","30","94","24.19"
"Bhereki Kachamari","1","1","0","0","1","1","80","0","80","0.00"
"Bhomura Guri","","","","","1","2","62","29","33","46.77"
"Bhuma","","","","","1","2","129","50","79","38.76"
"Bhumuraguri No.2","","","","","1","1","26","10","16","38.46"
"Bihdia","","","","","1","1","55","26","29","47.27"
"Bijoypur","1","1","0","0","1","1","110","77","33","70.00"
"Bijoypur Deori","1","1","0","0","1","1","40","26","14","65.00"
"Bijoypur Maduri","","","","","1","3","304","82","222","26.97"
"Bijoypur Namoni","1","1","0","0","1","1","108","38","70","35.19"
"Bijoypur Ujani","1","1","0","0","1","1","45","35","10","77.78"
"Bikrompur","1","1","0","0","1","1","35","0","35","0.00"
"Bilpar Majgaon","1","1","0","0","1","1","50","35","15","70.00"
"Bilpar Namkir","1","1","0","0","1","1","32","0","32","0.00"
"Bishnu Nagar","1","1","0","0","1","2","70","0","70","0.00"
"Bisnupur","","","","","1","1","23","14","9","60.87"
"Boginadi","1","1","0","0","1","1","31","0","31","0.00"
"Bogipung","","","","","1","2","128","61","67","47.66"
"Bogoriguri Madhapur","1","1","0","0","1","1","20","0","20","0.00"
"Bogoriguri Madhyapur","1","1","0","0","1","1","150","0","150","0.00"
"Bokabil","","","","","1","4","182","26","156","14.29"
"Bokajan","1","1","0","0","1","1","50","25","25","50.00"
"Bolai Moshing","1","1","0","0","1","3","65","38","27","58.46"
"Bolaipam","1","1","0","0","1","3","360","330","30","91.67"
"Bolikata Missing","1","1","0","0","1","1","35","33","2","94.29"
"Bor Bauli","1","1","0","0","1","2","80","0","80","0.00"
"Bor Chapori","1","1","0","0","1","1","70","0","70","0.00"
"Bor Gaon","","","","","1","5","419","103","316","24.58"
"Borajan Adi","","","","","1","3","136","26","110","19.12"
"Borati No.3","","","","","1","1","30","18","12","60.00"
"Borati Rangali","1","1","0","0","1","1","23","20","3","86.96"
"Borbam Deori 1/2","","","","","1","4","145","63","82","43.45"
"Borbam Dihingia Gaon","","","","","1","5","182","95","87","52.20"
"Borbam Gaon","","","","","1","3","99","45","54","45.45"
"Borbam Pathar","","","","","1","1","34","29","5","85.29"
"Borbhuyan","","","","","1","1","58","49","9","84.48"
"Borbila Bali Chapari","","","","","1","3","75","26","49","34.67"
"Borbila Bhebeli","","","","","1","2","68","39","29","57.35"
"Borbila Chutiakari","","","","","1","5","141","41","100","29.08"
"Borchelek Gaon","1","1","0","0","1","1","72","55","17","76.39"
"Bordaibam Bagan 19 Fc Grant","1","1","0","0","1","1","55","22","33","40.00"
"Bordaibam Chahbagan 67 Amguri","","","","","1","2","117","56","61","47.86"
"Bordham Block","","","","","1","1","35","21","14","60.00"
"Bordhekera","","","","","1","4","128","14","114","10.94"
"Bordoibam Bagan Nlr No.295","","","","","1","1","58","50","8","86.21"
"Bordoibam Bagan Nlr No.296 Grant","","","","","1","1","76","65","11","85.53"
"Bordoibam Bagan No.1/10 Myadi","1","1","0","0","1","1","32","17","15","53.13"
"Bordoibam Bangali","","","","","1","1","61","52","9","85.25"
"Bordoibam Bhereki","","","","","1","1","60","51","9","85.00"
"Bordoibam No.1 Chahmyadi","1","1","0","0","1","1","35","21","14","60.00"
"Bordoibam181/178/201/202/203/30 Chah Miyadi","","","","","1","1","54","46","8","85.19"
"Bordoibambagan 21Fs Grant","","","","","1","1","62","53","9","85.48"
"Bordoibambagan No.1/2 Myadi","1","1","0","0","1","1","25","15","10","60.00"
"Bordoibambagan No.2 Chah Myadi","1","1","0","0","1","1","46","42","4","91.30"
"Bordondi Kachari","1","1","0","0","1","1","90","30","60","33.33"
"Borguri","","","","","1","1","91","78","13","85.71"
"Bormuria Chapori","","","","","1","2","224","23","201","10.27"
"Bormuria Deori","1","1","0","0","1","1","60","40","20","66.67"
"Bormuthariani No.1","","","","","1","3","146","0","146","0.00"
"Boro Camp","1","1","0","0","1","2","90","40","50","44.44"
"Borong Charaibari","1","1","0","0","1","1","38","0","38","0.00"
"Borong Charaibari Part 4","1","1","0","0","1","1","60","0","60","0.00"
"Borong Charaibari Part 5","1","1","0","0","1","1","55","0","55","0.00"
"Borong Krishna Pur (Mising)","1","1","0","0","1","1","30","0","30","0.00"
"Borong Krishnapur Ahom","1","1","0","0","1","1","20","0","20","0.00"
"Borong Krishnapur Kachari","1","1","0","0","1","1","22","0","22","0.00"
"Borong Pipolguri","1","1","0","0","1","1","40","0","40","0.00"
"Borong Telijan","1","1","0","0","1","1","60","0","60","0.00"
"Borong Tinisti","1","1","0","0","1","1","30","0","30","0.00"
"Borpak Bhereki","","","","","1","1","44","24","20","54.55"
"Borpak Gaon","","","","","1","2","149","80","69","53.69"
"Borpak Jiamoria","","","","","1","1","116","63","53","54.31"
"Borpak Miri","","","","","1","3","207","112","95","54.11"
"Borpathar Block","1","1","0","0","1","1","34","21","13","61.76"
"Borpathar Block","1","1","0","0","1","2","58","12","46","20.69"
"Borpatoria","","","","","1","2","173","52","121","30.06"
"Borphukan","","","","","1","2","136","35","101","25.74"
"Borphukan Block","","","","","1","1","39","0","39","0.00"
"Botua Mukh Miri","","","","","1","3","83","10","73","12.05"
"Brahmapur Kachari","","","","","1","2","119","22","97","18.49"
"Bukabeel","1","1","0","0","1","1","20","0","20","0.00"
"Bukabil Balipur","1","1","0","0","1","1","95","0","95","0.00"
"Bukabil Manikpur","1","1","0","0","1","3","127","6","121","4.72"
"Bukajan Gaon","","","","","1","4","174","16","158","9.20"
"Bukajan Pathar","1","1","0","0","1","1","60","50","10","83.33"
"Bulakata Gohain","1","1","0","0","1","1","95","0","95","0.00"
"Bura Bhakat","","","","","1","2","103","34","69","33.01"
"Bura Bhakat No.1","","","","","1","1","53","25","28","47.17"
"Burhakuri","","","","","1","3","111","65","46","58.56"
"Burhakuri N.C.","","","","","1","4","123","64","59","52.03"
"Buri Suti Deori","","","","","1","2","46","8","38","17.39"
"Burimuri","1","1","0","0","1","1","120","0","120","0.00"
"Burisuti Bangali","1","1","0","0","1","1","40","0","40","0.00"
"Burisuti Kachari","1","0","0","1","1","1","40","0","40","0.00"
"Burisuti Pathar","1","0","0","1","1","1","25","0","25","0.00"
"Burisutinalapara","1","1","0","0","1","1","45","0","45","0.00"
"Butikur","","","","","1","2","111","51","60","45.95"
