"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adabari Pt.I","","","","","1","5","260","108","152","41.54"
"Adabari Pt.II","","","","","1","3","274","237","37","86.50"
"Airkata","","","","","1","3","192","62","130","32.29"
"Airmari","1","1","0","0","1","1","278","0","278","0.00"
"Aironjangla Dhubri Town","1","1","0","0","1","1","300","280","20","93.33"
"Aironjangla Pt. II","1","0","0","1","1","4","578","0","578","0.00"
"Aironjongla Pt.I","","","","","1","5","580","371","209","63.97"
"Aironjongla Pt.III","","","","","1","3","172","153","19","88.95"
"Alengmari","","","","","1","4","343","294","49","85.71"
"Alokjhari","","","","","1","6","268","215","53","80.22"
"Alomganj Pt IX","","","","","1","15","1055","627","428","59.43"
"Alomganj Pt. VII","","","","","1","4","349","280","69","80.23"
"Alomganj Pt. VIII","","","","","1","2","143","133","10","93.01"
"Alomganj Pt.I","","","","","1","5","276","132","144","47.83"
"Alomganj Pt.II","","","","","1","4","436","315","121","72.25"
"Alomganj Pt.IV","","","","","1","2","155","145","10","93.55"
"Alomganj Pt.V","","","","","1","1","53","0","53","0.00"
"Alomganj Pt.VI","","","","","1","3","161","33","128","20.50"
"Aminerchar","","","","","1","3","154","35","119","22.73"
"Aminerchor","","","","","1","3","227","139","88","61.23"
"Anand Nagar (CT)","","","","","1","1","463","0","463","0.00"
"Andhurjhar Pt.II","","","","","1","3","111","61","50","54.95"
"Antarvita Nc","","","","","1","1","68","68","0","100.00"
"Arcarjhar Pt.I","","","","","1","6","271","105","166","38.75"
"Arcarjhar Pt.II","","","","","1","5","585","329","256","56.24"
"Arimari","","","","","1","2","163","130","33","79.75"
"Arranay","","","","","1","5","221","101","120","45.70"
"Asharikandi","","","","","1","6","398","260","138","65.33"
"Ashomkata","","","","","1","1","38","38","0","100.00"
"Assameralga","1","1","0","0","1","4","299","71","228","23.75"
"Assameralga","1","1","0","0","1","1","150","150","0","100.00"
"Atgharitari","1","1","0","0","1","1","302","200","102","66.23"
"Athiabari","","","","","1","3","216","131","85","60.65"
"Ayodoba","","","","","1","1","79","79","0","100.00"
"Bagdokra","","","","","1","1","90","90","0","100.00"
"Baghmara","","","","","1","2","172","138","34","80.23"
"Baghmari","","","","","1","3","141","0","141","0.00"
"Baghmari","","","","","1","6","369","226","143","61.25"
"Bagmara","","","","","1","2","148","77","71","52.03"
"Bagulamari","","","","","1","7","541","431","110","79.67"
"Bagulamari Pt.I","1","1","0","0","1","5","172","77","95","44.77"
"Bagulamari Pt.II","1","1","0","0","1","1","25","22","3","88.00"
"Bahakati","","","","","1","5","334","112","222","33.53"
"Bahalpur Boropara Pt.I","","","","","1","4","173","113","60","65.32"
"Bahalpur Boropara Pt.II","","","","","1","1","125","125","0","100.00"
"Bahalpur Jogipara Pt.I","","","","","1","1","58","0","58","0.00"
"Bahalpur Jogipara Pt.II","","","","","1","4","182","146","36","80.22"
"Bahalpur Totpara","","","","","1","2","241","193","48","80.08"
"Baitkarvita Nc","1","0","0","1","1","1","147","0","147","0.00"
"Bakuabhangi","","","","","1","6","264","92","172","34.85"
"Baladoba","","","","","1","1","83","83","0","100.00"
"Baladuba Pt.I","1","1","0","0","1","1","120","50","70","41.67"
"Baladuba Pt.II","","","","","1","4","262","137","125","52.29"
"Baladuba Pt.III","","","","","1","5","299","164","135","54.85"
"Balajan","","","","","1","8","1078","299","779","27.74"
"Balajan Chapar","","","","","1","6","467","61","406","13.06"
"Balatari","","","","","1","8","450","192","258","42.67"
"Baldiaralga N.C.","1","0","0","1","1","5","425","0","425","0.00"
"Baldiaralga N.C.","1","0","0","1","1","1","65","0","65","0.00"
"Baloker Khal","","","","","1","3","187","117","70","62.57"
"Bamundanga","","","","","1","2","150","0","150","0.00"
"Bamundanga Pt.I","","","","","1","13","1253","670","583","53.47"
"Bamundanga Pt.II","","","","","1","4","571","489","82","85.64"
"Bamundanga Pt.III","","","","","1","5","233","170","63","72.96"
"Bamunervita","","","","","1","1","75","60","15","80.00"
"Bamungaon River Block","","","","","1","3","206","165","41","80.10"
"Bamuni Pt.I","","","","","1","5","730","406","324","55.62"
"Bamuni Pt.II","","","","","1","5","1041","812","229","78.00"
"Bamunkura","","","","","1","2","125","116","9","92.80"
"Bamunpara","","","","","1","1","113","90","23","79.65"
"Bamunpara","","","","","1","2","155","155","0","100.00"
"Bamunpara Pt.IV","","","","","1","7","530","374","156","70.57"
"Bandhabpara","","","","","1","6","407","311","96","76.41"
"Bandi Hana","","","","","1","2","109","0","109","0.00"
"Bangalipara (Bangalipara Pt.II)","","","","","1","4","318","246","72","77.36"
"Bangalipara Pt.I","","","","","1","8","468","112","356","23.93"
"Bangtimari","1","1","0","0","1","2","537","250","287","46.55"
"Baniamari","","","","","1","5","615","345","270","56.10"
"Baniamari Pt. -VII","","","","","1","2","230","145","85","63.04"
"Baniamari Pt. -VIII","","","","","1","3","393","242","151","61.58"
"Baniamari Pt.-I","","","","","1","2","390","390","0","100.00"
"Baniamari Pt.-III","","","","","1","4","599","505","94","84.31"
"Baniamari Pt.-IV","","","","","1","3","121","34","87","28.10"
"Baniamari Pt.-V","","","","","1","2","95","34","61","35.79"
"Baniamari Pt.-VI","","","","","1","2","387","332","55","85.79"
"Baniapara Pt.I","","","","","1","1","73","58","15","79.45"
"Baniapara Pt.II","","","","","1","4","318","274","44","86.16"
"Bannyaguri No.1","1","0","0","1","1","2","37","0","37","0.00"
"Bannyaguri No.2","","","","","1","1","91","91","0","100.00"
"Banshali","","","","","1","2","145","139","6","95.86"
"Baoluri","","","","","1","4","260","161","99","61.92"
"Barabangarchar Pt.I","","","","","1","1","82","0","82","0.00"
"Barabangarchar Pt.II","1","0","0","1","1","1","135","0","135","0.00"
"Barabangarchar Pt.III","","","","","1","1","44","0","44","0.00"
"Barabangarchar Pt.IV","1","0","0","1","1","1","162","0","162","0.00"
