"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1 No. Bahoni Gaon","","","","","1","7","218","158","60","72.48"
"1 No. Dulia","","","","","1","7","225","163","62","72.44"
"1 No. Lengeri Gaon","","","","","1","2","131","17","114","12.98"
"102 No-Nelami Grant","","","","","1","7","243","213","30","87.65"
"107 Grant F.S.","","","","","1","3","118","11","107","9.32"
"123/244 No. NLR. Grant","","","","","1","7","259","122","137","47.10"
"182 No.Banhbari Grant","","","","","1","1","40","40","0","100.00"
"2 No Rangajan Bongali(Rongajan","","","","","1","4","119","119","0","100.00"
"2 No. Dulia","","","","","1","6","149","119","30","79.87"
"2 No. Naohalia","","","","","1","9","169","169","0","100.00"
"219/217 Nlr Grant","","","","","1","5","173","106","67","61.27"
"26 No.F.S. Grant (Chenglijan)","","","","","1","6","274","232","42","84.67"
"29 No-Nelami Grant","","","","","1","8","185","185","0","100.00"
"53 No-F.C. Grant","","","","","1","8","273","273","0","100.00"
"Abhaipuria Gaon","","","","","1","5","180","79","101","43.89"
"Abhoipuria","","","","","1","2","91","9","82","9.89"
"Abhoipuria Bongali","","","","","1","1","4","4","0","100.00"
"Achabam Chah Bagicha 334/347 N","","","","","1","13","561","245","316","43.67"
"Achabam Chah Bagicha Appl","","","","","1","1","18","18","0","100.00"
"Agni Pothar Gaon","","","","","1","6","246","125","121","50.81"
"Ahom Gaon","","","","","1","6","187","8","179","4.28"
"Ahomgaon Kataki Pukhuri","","","","","1","4","129","9","120","6.98"
"Ahomgaon Nagar","","","","","1","1","7","7","0","100.00"
"Ahomgaon No.1","","","","","1","1","5","5","0","100.00"
"Ahomgaon No.2","","","","","1","1","5","5","0","100.00"
"Akhoi Phutia","","","","","1","11","414","37","377","8.94"
"Aliachuk Gaon","","","","","1","5","142","116","26","81.69"
"Alichiga Gaon","","","","","1","9","286","208","78","72.73"
"Alimur Gaon","","","","","1","15","472","188","284","39.83"
"Amguri","","","","","1","16","641","453","188","70.67"
"Amguri Nepali","","","","","1","6","273","273","0","100.00"
"Amulguri Chah Bagan","","","","","1","2","66","20","46","30.30"
"Anandabari T.E.","","","","","1","4","123","123","0","100.00"
"Asamia Gaon","","","","","1","8","355","272","83","76.62"
"Athabari Gaon","","","","","1","7","193","147","46","76.17"
"Athabari Gaon","","","","","1","1","7","7","0","100.00"
"Azizbag T.E.","","","","","1","2","80","27","53","33.75"
"Bacha Gaon","","","","","1","1","70","70","0","100.00"
"Badhari Tipling","","","","","1","9","377","377","0","100.00"
"Bagaritolia","","","","","1","11","483","395","88","81.78"
"Baghmora","","","","","1","3","153","66","87","43.14"
"Baghmora Gaon","","","","","1","6","211","124","87","58.77"
"Baghmora No.2","","","","","1","1","22","22","0","100.00"
"Baghmora Puwali Pather","","","","","1","1","61","61","0","100.00"
"Baghtali Pather Gaon","","","","","1","7","290","31","259","10.69"
"Baghtoli Bahani","","","","","1","1","7","7","0","100.00"
"Baghtoli Sonowal","","","","","1","1","4","4","0","100.00"
"Bagibill Gaon","","","","","1","11","223","121","102","54.26"
"Bahani (Ratanpur)","","","","","1","3","157","62","95","39.49"
"Bahoni Pather","","","","","1","4","122","84","38","68.85"
"Bahoni Pather Block Gaon","","","","","1","4","97","15","82","15.46"
"Bailong Bhati (Bailung)","","","","","1","2","69","40","29","57.97"
"Bajipahumara","","","","","1","1","53","53","0","100.00"
"Bakulbari 26/147 Orr","","","","","1","12","382","134","248","35.08"
"Bakuloni No.3","","","","","1","6","184","146","38","79.35"
"Bali Gaon","","","","","1","12","368","308","60","83.70"
"Balijan 173/174 Nlr Grant","","","","","1","4","134","134","0","100.00"
"Balijan 240 Wl","","","","","1","1","28","28","0","100.00"
"Balijan Bangali","","","","","1","1","67","67","0","100.00"
"Balijan Chah Bagan","","","","","1","7","219","166","53","75.80"
"Balijan Gaon","","","","","1","4","151","151","0","100.00"
"Balijan Maje","","","","","1","6","290","290","0","100.00"
"Balijan No.1","","","","","1","5","210","172","38","81.90"
"Balijan No.2","","","","","1","7","238","200","38","84.03"
"Balijan No.3","","","","","1","6","170","170","0","100.00"
"Balijan Pani Era","","","","","1","4","166","166","0","100.00"
"Balijan T.E.","","","","","1","7","286","286","0","100.00"
"Balijan T.E.","","","","","1","7","275","275","0","100.00"
"Balijan T.E. 5/54 No.","","","","","1","3","89","51","38","57.30"
"Balijangaon","","","","","1","8","315","267","48","84.76"
"Balimora Chah Bagicha","","","","","1","9","303","137","166","45.21"
"Balimora Pather","","","","","1","11","352","251","101","71.31"
"Balipara","","","","","1","10","324","207","117","63.89"
"Bamun Pukhuri","","","","","1","1","39","39","0","100.00"
"Bamunbari 264 Nlr Grant","","","","","1","2","104","17","87","16.35"
"Bamunbari 320 No.Nlr Grant","","","","","1","2","63","7","56","11.11"
"Bamunbari 50/162 Or Grant","","","","","1","2","83","11","72","13.25"
"Bamunbari No.1 Nlr Grant","","","","","1","2","65","8","57","12.31"
"Bamunbari No.2 Darkhastor","","","","","1","1","21","21","0","100.00"
"Bamunbari T.E.No.125 F.S.","","","","","1","1","14","14","0","100.00"
"Bamuni Bill No.1","","","","","1","7","170","170","0","100.00"
"Bamuni Bill No.2 (Bamuni Bill No.3)","","","","","1","5","152","152","0","100.00"
"Bamuni Hiloidhari","","","","","1","6","215","215","0","100.00"
"Bamuni Kuria No.1","","","","","1","4","124","37","87","29.84"
"Bamuni Kuria No.2","","","","","1","3","123","32","91","26.02"
"Banhbari Gaon No.1","","","","","1","8","240","219","21","91.25"
"Banhbari Gaon No.2","","","","","1","12","449","449","0","100.00"
"Bantana Gaon","","","","","1","2","74","74","0","100.00"
"Barahi-Da-Pathar","","","","","1","6","252","90","162","35.71"
"Baratichuk","","","","","1","9","286","195","91","68.18"
"Barbam No.1","","","","","1","9","286","200","86","69.93"
"Barbam No.2","","","","","1","5","203","203","0","100.00"
"Barbari (Amc Area) (CT)","","","","","1","1","626","0","626","0.00"
"Barbari 12/141 Orr","","","","","1","1","72","14","58","19.44"
"Bashbari Gaon","","","","","1","7","321","205","116","63.86"
"Basmatia Grant No.2","","","","","1","4","91","53","38","58.24"
"Basmatia Grant No.7","","","","","1","6","256","119","137","46.48"
"Basmatia Grant No.8","","","","","1","15","420","333","87","79.29"
"Basmatia No.2","","","","","1","3","138","49","89","35.51"
"Basmotia","","","","","1","6","102","102","0","100.00"
"Basmotia T.E.","","","","","1","4","93","93","0","100.00"
"Bayanchuk (Bhoyn Chuk)","","","","","1","3","135","135","0","100.00"
"Bebejia Gaon","","","","","1","17","548","465","83","84.85"
"Behia Chetia Gaon","","","","","1","8","176","176","0","100.00"
"Behiating T.E.","","","","","1","1","20","20","0","100.00"
"Betanibam Habi Gaon","","","","","1","9","243","186","57","76.54"
"Betmela Gaon","","","","","1","8","374","374","0","100.00"
"Betoni No.1","","","","","1","1","64","64","0","100.00"
"Betoni No.2","","","","","1","1","4","4","0","100.00"
"Bez Gaon","","","","","1","1","4","4","0","100.00"
"Bezapather No.1","","","","","1","3","100","22","78","22.00"
"Bezapather No.2","","","","","1","3","45","9","36","20.00"
"Bezarchuk Bongali","","","","","1","1","8","8","0","100.00"
"Bezgaon No.2","","","","","1","1","6","6","0","100.00"
"Bhadai Nagar","","","","","1","6","285","107","178","37.54"
"Bhaga Muria Gaon","","","","","1","1","42","42","0","100.00"
"Bhajoni","","","","","1","6","229","99","130","43.23"
"Bhakalajan Gaon","","","","","1","5","198","198","0","100.00"
"Bhalukaguri","","","","","1","3","136","17","119","12.50"
"Bhalukaguri (Bhalukagari)","1","1","0","0","1","2","70","55","15","78.57"
"Bharali Forest Village","","","","","1","2","71","9","62","12.68"
"Bharalibari No.1","","","","","1","2","129","14","115","10.85"
"Bharalibari No.2","1","1","0","0","1","1","13","0","13","0.00"
"Bharalibari No.3","1","1","0","0","1","1","19","0","19","0.00"
"Bharalua","","","","","1","4","183","183","0","100.00"
"Bhardhora Bongali","","","","","1","9","283","283","0","100.00"
"Bhereki Bam Gaon","1","1","0","0","1","1","50","40","10","80.00"
"Bhimpara","","","","","1","5","143","105","38","73.43"
"Bhogamur Gaon","","","","","1","6","154","131","23","85.06"
"Bhogamur Gaon No.1","","","","","1","5","91","91","0","100.00"
"Bhogamur Gaon No.3","","","","","1","2","67","37","30","55.22"
"Bhogamur Tiniali Gaon","","","","","1","5","184","184","0","100.00"
"Bhorbhuri Nogaon No.2","","","","","1","5","202","202","0","100.00"
"Bhorbhuri Nogaon No.3","","","","","1","5","156","156","0","100.00"
"Bhugali Pather F/V","","","","","1","1","4","4","0","100.00"
"Bhurbhuri Gaon No.1","","","","","1","5","171","171","0","100.00"
"Bijulibari T.E.","","","","","1","4","181","181","0","100.00"
"Bindhakota Gaon","","","","","1","5","225","225","0","100.00"
"Binoigutia Gaon","","","","","1","16","363","284","79","78.24"
"Bocha Gaon","","","","","1","10","367","311","56","84.74"
"Bogdungkinar","","","","","1","4","181","181","0","100.00"
"Bogpara Gaon","","","","","1","18","670","463","207","69.10"
"Boiragimoth Kachari Gaon","","","","","1","11","330","330","0","100.00"
"Bokul Maj Gaon","","","","","1","12","561","444","117","79.14"
"Bokul T.E. 6 No.L,C,R","","","","","1","11","269","269","0","100.00"
"Bokuloni Gaon No.1","","","","","1","6","200","110","90","55.00"
"Bokuloni No.2","","","","","1","4","126","126","0","100.00"
"Bolai Gaon","","","","","1","6","159","88","71","55.35"
"Bolai No-Gaon","","","","","1","12","454","394","60","86.78"
"Bolai T.E. (A) No-45-Grant","","","","","1","4","127","127","0","100.00"
"Bolai T.E. (B) No-45-Grant","","","","","1","3","146","146","0","100.00"
"Bolai T.E. 42/137 Rr Grant","","","","","1","8","264","264","0","100.00"
"Bolaibari Gaon","","","","","1","11","270","145","125","53.70"
"Bolimora (Balimora)","","","","","1","4","161","35","126","21.74"
"Bongal Gaon","","","","","1","10","368","314","54","85.33"
"Bor Temtow Gaon","","","","","1","3","67","67","0","100.00"
"Bora Bogpara T.E.8/185 Orr Grant","","","","","1","9","247","226","21","91.50"
"Boragadhai","","","","","1","9","297","297","0","100.00"
"Boragadhoi Gaon","","","","","1","5","159","159","0","100.00"
"Borahajer Konwar Gaon","","","","","1","17","384","354","30","92.19"
"Borbam Block Gaon","","","","","1","1","4","4","0","100.00"
"Borbam Gaon No.2","","","","","1","3","74","36","38","48.65"
"Borbam No.1","","","","","1","4","170","121","49","71.18"
"Borbaribongali","","","","","1","8","326","326","0","100.00"
"Borbil Block (Borbil Gaon)","","","","","1","7","233","14","219","6.01"
"Borbil Block Gaon","","","","","1","1","6","6","0","100.00"
"Borbil Bokalial","","","","","1","1","57","57","0","100.00"
"Borbil F.V.","","","","","1","14","767","105","662","13.69"
"Borbil Gaon","","","","","1","3","79","5","74","6.33"
"Borbil Gergeri Gaon","","","","","1","1","9","9","0","100.00"
"Borbil Khaliamari Gaon","","","","","1","1","4","4","0","100.00"
"Borbil No.1","","","","","1","12","349","67","282","19.20"
"Borbil No.2","1","1","0","0","1","2","66","30","36","45.45"
"Borbil No.2","1","1","0","0","1","1","37","37","0","100.00"
"Borbill Gaon No.1","","","","","1","6","151","151","0","100.00"
"Borbill Gaon No.2","","","","","1","2","46","27","19","58.70"
"Borborua T.E. 13/76 Orr Grant","","","","","1","1","16","16","0","100.00"
"Bordoibam Bridhi Blook","","","","","1","1","41","41","0","100.00"
"Bordoibam Gaon","","","","","1","14","392","324","68","82.65"
"Bordoloni Gaon","","","","","1","2","58","8","50","13.79"
"Bordubi No.1","","","","","1","4","133","90","43","67.67"
"Borghuguloni","","","","","1","2","106","12","94","11.32"
"Borguri Gaon","","","","","1","6","111","111","0","100.00"
"Borhula F.V.","","","","","1","1","4","4","0","100.00"
"Borhula Kachari","","","","","1","4","102","102","0","100.00"
"Borkeremia Gaon No.1","","","","","1","6","178","178","0","100.00"
"Borkheremia Ghilaguri","","","","","1","6","218","218","0","100.00"
"Borkhermia Gaon No.2","","","","","1","6","246","246","0","100.00"
"Borkula (Naohalia No.2 Borkula","","","","","1","5","93","93","0","100.00"
"Borkurukani","","","","","1","5","149","17","132","11.41"
"Bormeslow Gaon","","","","","1","3","58","12","46","20.69"
"Borpather Kakoti Gaon","","","","","1","7","227","227","0","100.00"
"Borpather Konwar Gaon","","","","","1","2","88","64","24","72.73"
"Borpather No.1","","","","","1","6","156","107","49","68.59"
"Borpather No.1","","","","","1","1","61","61","0","100.00"
"Borpather No.2","","","","","1","5","164","111","53","67.68"
"Borpather No.2","","","","","1","1","26","26","0","100.00"
"Borsaikia Gaon","","","","","1","14","429","364","65","84.85"
"Bortani Darkhasta No.5","","","","","1","1","11","11","0","100.00"
"Bortani Darkhasta No.95","","","","","1","3","95","8","87","8.42"
"Bortani No.1","","","","","1","2","93","13","80","13.98"
"Bortani No.2","","","","","1","2","90","12","78","13.33"
"Bosajan","","","","","1","5","157","68","89","43.31"
"Bukahula","","","","","1","7","181","26","155","14.36"
"Bukukhucha Reserve Block","1","1","0","0","1","2","70","0","70","0.00"
"Burisuti Kaibatra Gaon","","","","","1","4","114","114","0","100.00"
"Chabua Grant (T.E.)","","","","","1","13","427","84","343","19.67"
"Chabua T.E.","","","","","1","6","250","250","0","100.00"
"Chagali Pather","","","","","1","1","8","8","0","100.00"
"Chahari Kata No.1","","","","","1","2","80","80","0","100.00"
"Chahari Kata No.2","","","","","1","2","50","50","0","100.00"
"Chaharikata N.C. Block - 3","","","","","1","1","5","5","0","100.00"
"Chaharikata No.1","","","","","1","1","6","6","0","100.00"
"Chaharikata No.2","","","","","1","1","8","8","0","100.00"
"Chaharikata No.3","","","","","1","1","6","6","0","100.00"
"Chaikya Gaon","","","","","1","6","153","127","26","83.01"
"Chakali Bharia","","","","","1","5","266","266","0","100.00"
"Chakali Bhoria Gaon","","","","","1","5","120","85","35","70.83"
"Chakalia Gaon","","","","","1","7","221","221","0","100.00"
"Chakalia Gaon","","","","","1","1","12","12","0","100.00"
"Chakalia No.1","","","","","1","1","7","7","0","100.00"
"Chakalia No.2","","","","","1","4","142","14","128","9.86"
"Chakalia No.3","","","","","1","1","6","6","0","100.00"
"Chakalia Pather","","","","","1","3","180","71","109","39.44"
"Chakalia Pather Gaon","","","","","1","7","189","100","89","52.91"
"Chakalia Pather No.2","","","","","1","1","67","67","0","100.00"
"Chakoi Pathar Bridhi Blook","","","","","1","2","80","80","0","100.00"
