"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"29th Km Kruminglangdisa","","","","","1","1","69","0","69","0.00"
"Aivaphai","","","","","1","1","20","0","20","0.00"
"Allephai","1","0","0","1","1","1","39","0","39","0.00"
"AMDC","","","","","1","1","38","0","38","0.00"
"Amlangbra","1","1","0","0","1","2","122","0","122","0.00"
"Amrudisa (Amrdisa)","1","1","0","0","1","1","90","40","50","44.44"
"Arda","","","","","1","1","27","18","9","66.67"
"Arda (Kota)","","","","","1","2","57","37","20","64.91"
"Ardaopur","","","","","1","1","23","15","8","65.22"
"Ashalu","","","","","1","2","63","41","22","65.08"
"Ashrang","","","","","1","2","52","34","18","65.38"
"Asiak Robi","1","1","0","0","1","1","25","0","25","0.00"
"Assam Quarry","1","0","0","1","1","6","428","0","428","0.00"
"Badsabari","","","","","1","1","51","33","18","64.71"
"Baga","1","1","0","0","1","2","48","39","9","81.25"
"Baigao (Baigaon)","1","1","0","0","1","1","35","35","0","100.00"
"Baladhan","1","0","0","1","1","7","148","0","148","0.00"
"Baladisa","","","","","1","1","11","0","11","0.00"
"Baojen (Banjare)","","","","","1","5","113","113","0","100.00"
"Baraima","1","1","0","0","1","2","77","40","37","51.95"
"Batohaja","","","","","1","2","50","33","17","66.00"
"Berelangdisa","","","","","1","2","45","29","16","64.44"
"Bethel","","","","","1","1","63","0","63","0.00"
"Bhalukurung","","","","","1","1","115","0","115","0.00"
"Blockpur","","","","","1","1","28","28","0","100.00"
"Boila Hapila","","","","","1","1","22","14","8","63.64"
"Boljung","","","","","1","1","45","29","16","64.44"
"Bolosom (Borosoom)","1","0","0","1","1","3","84","0","84","0.00"
"Bongkai","1","0","0","1","1","2","42","0","42","0.00"
"Bonglangbra","1","0","0","1","1","1","48","0","48","0.00"
"Bongphiri (Ch)","1","1","0","0","1","1","39","28","11","71.79"
"Bongphiri (H)","1","1","0","0","1","1","41","0","41","0.00"
"Boro Arkap","1","0","0","1","1","4","105","0","105","0.00"
"Boro Chenam","1","0","0","1","1","1","58","0","58","0.00"
"Boro Disao (Barodisa)","","","","","1","2","50","32","18","64.00"
"Boro Lakha","","","","","1","4","95","61","34","64.21"
"Boro Lakhindong","","","","","1","3","94","61","33","64.89"
"Boro Lalbong","1","1","0","0","1","3","93","0","93","0.00"
"Boro Langfer","","","","","1","1","57","37","20","64.91"
"Boro Langherang (Boro Lang Kla","1","0","0","1","1","1","6","0","6","0.00"
"Boro Langkham (Boro Langkiam)","1","1","0","0","1","1","32","12","20","37.50"
"Boro Langlai","","","","","1","1","55","36","19","65.45"
"Boro Larpheng","","","","","1","2","49","32","17","65.31"
"Boro Leikek","","","","","1","2","47","31","16","65.96"
"Boro Lobang","1","1","0","0","1","1","97","0","97","0.00"
"Boro Longku","1","1","0","0","1","4","130","0","130","0.00"
"Boro Longrem","","","","","1","2","38","24","14","63.16"
"Boro Mulkoi","","","","","1","3","90","90","0","100.00"
"Boro Narainpur","","","","","1","2","57","57","0","100.00"
"Boro Narayanpur (Deswali)","1","1","0","0","1","1","100","96","4","96.00"
"Boro Ninglo","1","0","0","1","1","7","159","0","159","0.00"
"Boro Robi","","","","","1","3","82","54","28","65.85"
"Boro Rongmailai","","","","","1","1","22","14","8","63.64"
"Boro Tungherang","1","1","0","0","1","2","40","0","40","0.00"
"Boro Wapu","","","","","1","3","61","61","0","100.00"
"Boro Washiling","","","","","1","2","79","79","0","100.00"
"Borodiger","","","","","1","2","85","85","0","100.00"
"Boulmoul Bagan","","","","","1","1","75","0","75","0.00"
"Bulmuol","","","","","1","5","119","119","0","100.00"
"Bungkhang","1","0","0","1","1","3","71","0","71","0.00"
"Buolsol","1","1","0","0","1","2","54","52","2","96.30"
"Chaikambao (Chaikwam)","1","0","0","1","1","2","49","0","49","0.00"
