"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhirampara","","","","","1","1","6","5","1","83.33"
"Abrar Vita","","","","","1","3","443","295","148","66.59"
"Adopara","","","","","1","2","94","60","34","63.83"
"Agia Part-II","","","","","1","3","279","206","73","73.84"
"Agni Part-I","","","","","1","2","107","64","43","59.81"
"Ajagar Pahar  N.C.","","","","","1","2","184","128","56","69.57"
"Allibari","","","","","1","2","71","56","15","78.87"
"Ambari","","","","","1","4","703","539","164","76.67"
"Ambari Pt-I","","","","","1","2","160","80","80","50.00"
"Ambari Pt-II","","","","","1","3","145","103","42","71.03"
"Ambari Pt-III","","","","","1","8","1594","788","806","49.44"
"Ambari Pt-IV","","","","","1","4","420","241","179","57.38"
"Ambuk Pt-I","","","","","1","4","351","151","200","43.02"
"Ambuk Pt-II","","","","","1","2","174","62","112","35.63"
"Ambuk Pt-III","","","","","1","4","176","108","68","61.36"
"Amjonga Pt-I","","","","","1","2","111","86","25","77.48"
"Amjonga Pt-II","","","","","1","3","207","123","84","59.42"
"Aoimari","","","","","1","3","97","49","48","50.52"
"Aolatoli","","","","","1","1","6","5","1","83.33"
"Ara Bhandha","","","","","1","3","150","45","105","30.00"
"Asudubi (CT)","","","","","1","7","1291","965","326","74.75"
"Athiabari","","","","","1","6","212","64","148","30.19"
"Badbadia","","","","","1","1","2","1","1","50.00"
"Badhapur","","","","","1","3","141","75","66","53.19"
"Badiarpara","","","","","1","2","144","121","23","84.03"
"Baguan Pt-I","","","","","1","1","96","88","8","91.67"
"Baguan Pt-II","","","","","1","2","267","220","47","82.40"
"Baguan Pt-III","","","","","1","4","277","164","113","59.21"
"Baguan Pt-IV","","","","","1","1","42","0","42","0.00"
"Bagulamari","","","","","1","2","56","0","56","0.00"
"Bahati Char","","","","","1","1","6","5","1","83.33"
"Bahati Char Pt-II","","","","","1","1","6","5","1","83.33"
"Bahati Pt-1","","","","","1","2","334","256","78","76.65"
"Bahati Pt-II","","","","","1","4","279","179","100","64.16"
"Bahati River Block - Pt-I","","","","","1","1","6","5","1","83.33"
"Baida","","","","","1","2","226","189","37","83.63"
"Baida Pt-I","","","","","1","5","152","41","111","26.97"
"Baida Pt-II","","","","","1","1","6","5","1","83.33"
"Baijuri","","","","","1","2","94","51","43","54.26"
"Baikunthapur","","","","","1","1","12","11","1","91.67"
"Bairang","","","","","1","3","140","78","62","55.71"
"Baje Mandal Sialmari","","","","","1","1","2","1","1","50.00"
"Bakaitari Pt-I","","","","","1","4","331","189","142","57.10"
"Bakaitari Pt-II","","","","","1","5","359","226","133","62.95"
"Bakaitari Pt-III","","","","","1","2","244","144","100","59.02"
"Bakpara Dineralga Pt-I","1","1","0","0","1","1","54","24","30","44.44"
"Bakpara Dineralga Pt-II","","","","","1","1","2","1","1","50.00"
"Bakrapara Pt-I","","","","","1","2","70","59","11","84.29"
"Bakrapara Pt-II","","","","","1","4","167","69","98","41.32"
"Balachari","","","","","1","3","138","107","31","77.54"
"Balachari Amguri","","","","","1","2","86","58","28","67.44"
"Baladmari Char Pt-I","","","","","1","4","463","313","150","67.60"
"Baladmari Char Pt-II","","","","","1","8","1388","1019","369","73.41"
"Baladmari Char Pt-III","","","","","1","4","463","298","165","64.36"
"Baladmari Char Pt-IV","","","","","1","5","447","273","174","61.07"
"Balaikhamar","","","","","1","4","146","102","44","69.86"
"Balapara","","","","","1","2","128","66","62","51.56"
"Balapara Suturpara N.C.","","","","","1","2","61","36","25","59.02"
"Balar Vita","","","","","1","2","128","91","37","71.09"
"Balijana","","","","","1","3","206","155","51","75.24"
"Balikashi Muslimpara","","","","","1","1","2","1","1","50.00"
"Bamirampara","","","","","1","1","12","11","1","91.67"
"Bamun Panikhowa","","","","","1","5","942","694","248","73.67"
"Bamundanga Pt-II","","","","","1","6","392","254","138","64.80"
"Bamundoba","","","","","1","2","112","96","16","85.71"
"Bamundonga Pt-I","","","","","1","4","253","160","93","63.24"
"Bamuner Alga Pt-III","1","0","0","1","1","1","130","0","130","0.00"
"Bamuner Alga Pt-IV","1","0","0","1","1","1","120","0","120","0.00"
"Bamuneralga Pt-II","","","","","1","1","6","5","1","83.33"
"Bamunervita","","","","","1","2","335","263","72","78.51"
"Bamuni Gaon Pt-I","","","","","1","2","89","46","43","51.69"
"Bamuni Gaon Pt-II","","","","","1","2","72","49","23","68.06"
"Bamunpara","","","","","1","1","6","5","1","83.33"
"Banchadoba","","","","","1","1","2","1","1","50.00"
"Bandar Shee Pt-I","","","","","1","1","156","143","13","91.67"
"Bandar Shee Pt-II","","","","","1","2","29","1","28","3.45"
"Bandar Shee Pt-III","","","","","1","1","2","1","1","50.00"
"Bandormatha","","","","","1","3","358","250","108","69.83"
"Bang Kanda","","","","","1","2","68","41","27","60.29"
"Bangaljar","","","","","1","5","512","368","144","71.88"
"Bangaon","","","","","1","4","155","6","149","3.87"
"Baniapara","","","","","1","2","82","62","20","75.61"
"Bannyguri","","","","","1","2","420","341","79","81.19"
"Bapurvita Pt-I","","","","","1","3","221","132","89","59.73"
"Bapurvita Pt-II","","","","","1","3","536","334","202","62.31"
"Bapurvita Pt-III","","","","","1","4","547","331","216","60.51"
"Bar Matia Pt-II","","","","","1","1","2","1","1","50.00"
"Bar Pathar","","","","","1","1","118","108","10","91.53"
"Bar Vita","","","","","1","4","178","82","96","46.07"
"Barbari","","","","","1","3","145","95","50","65.52"
"Bardal  Pt-I","","","","","1","2","171","127","44","74.27"
"Bardal Pt-II","","","","","1","2","54","39","15","72.22"
"Bardamal","","","","","1","4","212","79","133","37.26"
"Bardamal Athiabari","","","","","1","2","337","294","43","87.24"
"Barduk","","","","","1","4","132","67","65","50.76"
"Barigaon","","","","","1","1","24","0","24","0.00"
"Barjora No.1","","","","","1","3","141","68","73","48.23"
"Barmatia Pt-I","","","","","1","1","96","88","8","91.67"
"Barmohara Pt-I","","","","","1","2","131","100","31","76.34"
"Barmohara Pt-II","","","","","1","2","119","99","20","83.19"
"Barotang Vita","","","","","1","1","2","1","1","50.00"
"Baroudmari","","","","","1","3","178","111","67","62.36"
"Barvita","","","","","1","3","208","124","84","59.62"
"Basantapur","1","0","0","1","1","1","270","0","270","0.00"
"Basantapur N.C.","","","","","1","1","6","5","1","83.33"
"Basmura","","","","","1","3","429","291","138","67.83"
"Batabari","1","0","0","1","1","6","1372","1011","361","73.69"
"Batabari","1","0","0","1","1","1","47","0","47","0.00"
"Baurartal","1","0","0","1","1","1","140","0","140","0.00"
"Bausatari","","","","","1","3","382","231","151","60.47"
