"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"129 No. Nahardongia Grant","","","","","1","3","235","52","183","22.13"
"215 No.Negheriting Grant","","","","","1","2","165","58","107","35.15"
"Aao Bosti","1","1","0","0","1","1","62","51","11","82.26"
"Abhayian Bagan","","","","","1","4","362","155","207","42.82"
"Abhaypuria Gaon","","","","","1","4","145","25","120","17.24"
"Abhong Pathar","","","","","1","3","136","47","89","34.56"
"Adarsha Gaon","","","","","1","1","73","35","38","47.95"
"Adarsha Gaon","","","","","1","1","234","0","234","0.00"
"Adarsha Gaon","","","","","1","3","115","37","78","32.17"
"Adarsha No.1","","","","","1","3","198","75","123","37.88"
"Adarsha No.2","","","","","1","2","154","48","106","31.17"
"Affala Gaon","","","","","1","3","304","133","171","43.75"
"Ageratoli","","","","","1","3","106","17","89","16.04"
"Ahom Gaon","","","","","1","5","197","54","143","27.41"
"Ahom Gaon","","","","","1","3","357","207","150","57.98"
"Ahovi (Itovi)","1","1","0","0","1","1","284","246","38","86.62"
"Aitonia Miri","","","","","1","3","154","33","121","21.43"
"Ajharguri No.1","","","","","1","1","27","16","11","59.26"
"Ajharguri No.2","","","","","1","1","51","29","22","56.86"
"Alami Chapori","","","","","1","6","341","82","259","24.05"
"Alengmuria Gaon","","","","","1","7","327","112","215","34.25"
"Alichiga","","","","","1","5","203","0","203","0.00"
"Ambari","","","","","1","1","48","28","20","58.33"
"Amguri","","","","","1","2","140","39","101","27.86"
"Amguri","","","","","1","2","101","28","73","27.72"
"Amguri Dagaon","","","","","1","2","120","29","91","24.17"
"Amguri No.1","","","","","1","1","89","52","37","58.43"
"Amguri No.2","","","","","1","1","41","23","18","56.10"
"Amguri No.3","","","","","1","2","79","17","62","21.52"
"Amlongsung gaon","","","","","1","2","49","29","20","59.18"
"Amolapatty Gaon","","","","","1","4","275","52","223","18.91"
"Amundoi","","","","","1","2","122","0","122","0.00"
"Anaighoria Gaon","","","","","1","3","492","230","262","46.75"
"Analpara","","","","","1","3","191","52","139","27.23"
"Anandapur","","","","","1","1","92","54","38","58.70"
"Anantapur","","","","","1","2","109","42","67","38.53"
"Anjalipara","","","","","1","2","77","16","61","20.78"
"Anka Gaon","","","","","1","5","346","97","249","28.03"
"Arunudoi","","","","","1","3","170","41","129","24.12"
"Athabari","","","","","1","10","483","84","399","17.39"
"Athgaon","","","","","1","2","163","57","106","34.97"
"Athgaon","","","","","1","5","406","75","331","18.47"
"Bacha Gaon","","","","","1","5","353","146","207","41.36"
