"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdullapur  Pt II","","","","","1","4","308","124","184","40.26"
"Abdullapur Pt I","","","","","1","2","84","41","43","48.81"
"Alaicherra Pt I","","","","","1","7","512","128","384","25.00"
"Alaicherra Pt II","","","","","1","4","193","48","145","24.87"
"Alaicherra Pt III","","","","","1","5","278","27","251","9.71"
"Alaicherra Pt IV","","","","","1","5","380","82","298","21.58"
"Alaicherra Pt V","","","","","1","6","440","97","343","22.05"
"Alaicherra Pt VI","1","0","0","1","1","4","74","0","74","0.00"
"Alaicherra Pt VII","","","","","1","7","439","43","396","9.79"
"Alexanderpur Grant","","","","","1","5","540","265","275","49.07"
"Algapur Pt I","","","","","1","7","560","303","257","54.11"
"Algapur Pt II","","","","","1","4","304","96","208","31.58"
"Algapur Pt III","","","","","1","3","241","147","94","61.00"
"Algapur Pt IV","","","","","1","5","421","134","287","31.83"
"Algapur Pt V","","","","","1","7","378","124","254","32.80"
"Apin Grant (Lata Kandi Grant)","","","","","1","6","315","42","273","13.33"
"Apin Pt I","","","","","1","1","35","0","35","0.00"
"Apin Pt II","","","","","1","11","671","218","453","32.49"
"Araynapur","","","","","1","4","361","19","342","5.26"
"Aynakhal","","","","","1","8","1242","518","724","41.71"
"Badarpur Grant","","","","","1","2","565","396","169","70.09"
"Bagcherra F.V.","","","","","1","7","248","20","228","8.06"
"Bagmara","","","","","1","3","101","12","89","11.88"
"Bahadurpur Pt I","","","","","1","5","857","279","578","32.56"
"Bahadurpur Pt II","","","","","1","4","718","340","378","47.35"
"Bakori Hawar Pt I","","","","","1","4","330","0","330","0.00"
"Bakri Howar Pt II","","","","","1","4","235","143","92","60.85"
"Bakri Howar Pt III","","","","","1","2","223","79","144","35.43"
"Bakri Howar Pt IX","","","","","1","3","215","117","98","54.42"
"Bakri Howar Pt V","","","","","1","3","200","61","139","30.50"
"Bakri Howar Pt VI","","","","","1","1","48","48","0","100.00"
"Bakri Howar Pt VII","","","","","1","3","237","74","163","31.22"
"Bakri Howar Pt VIII","","","","","1","3","342","229","113","66.96"
"Bakri Howar Pt X","","","","","1","3","229","172","57","75.11"
"Bakri Howar Pt XI","1","1","0","0","1","1","80","0","80","0.00"
"Bakri Howar Pt XII","","","","","1","3","119","37","82","31.09"
"Balikandi Grant","","","","","1","7","704","311","393","44.18"
"Balikandi Pt I","","","","","1","14","1113","236","877","21.20"
"Balikandi Pt II","","","","","1","6","457","0","457","0.00"
"Bandukmara Grant","","","","","1","10","983","373","610","37.95"
"Bangalpur","","","","","1","6","576","271","305","47.05"
"Bangalpur Grant","","","","","1","2","154","77","77","50.00"
"Bangla Vasha","","","","","1","5","201","13","188","6.47"
"Bansbari Grant","","","","","1","4","247","69","178","27.94"
