"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aakum Village","1","1","0","0","1","1","56","43","13","76.79"
"Aasongdang","1","1","0","0","1","1","53","42","11","79.25"
"Aasonghum","1","1","0","0","1","1","120","120","0","100.00"
"Abhayporia Gaon","","","","","1","3","282","259","23","91.84"
"Abhaypuria","","","","","1","1","54","37","17","68.52"
"Abhoipuria","","","","","1","2","144","99","45","68.75"
"Aboni Chapori","","","","","1","2","71","28","43","39.44"
"Adhalkata Gaon (Adhalkatia)","","","","","1","13","344","2","342","0.58"
"Ajan Bamun Gaon","","","","","1","4","264","204","60","77.27"
"Akahika Village","1","1","0","0","1","1","62","46","16","74.19"
"Akahitu Village","1","1","0","0","1","1","20","0","20","0.00"
"Akatitu Village","1","1","0","0","1","1","45","45","0","100.00"
"Alengi Gaon","","","","","1","1","95","59","36","62.11"
"Alengi Gaon","","","","","1","2","121","20","101","16.53"
"Aliamukhia Gaon","","","","","1","5","322","129","193","40.06"
"Alichiga Pathar","1","1","0","0","1","1","70","0","70","0.00"
"Amtolia Gaon","","","","","1","1","42","0","42","0.00"
"Anai Chuk No.1","","","","","1","1","34","0","34","0.00"
"Anai Chuk No.2","","","","","1","1","61","28","33","45.90"
"Annapurna","","","","","1","6","273","209","64","76.56"
"Apechi Pathar","","","","","1","6","212","95","117","44.81"
"Arandhara Gaon","","","","","1","3","279","145","134","51.97"
"Atapam Gaon","","","","","1","4","366","307","59","83.88"
"Atoi Chuk","","","","","1","1","90","70","20","77.78"
"Auniati Chapori N.C.","1","1","0","0","1","3","104","15","89","14.42"
"Auniati Jungle","","","","","1","1","53","33","20","62.26"
"Auniati Lakharaj","","","","","1","1","178","177","1","99.44"
"Auria Gaon","","","","","1","2","186","101","85","54.30"
"Badulipukhuri Maja Gaon","","","","","1","4","139","84","55","60.43"
"Baghar Gaon","","","","","1","2","279","180","99","64.52"
"Baghmora Chapari","","","","","1","4","244","153","91","62.70"
"Baghmoria","","","","","1","6","355","147","208","41.41"
"Baghmuria Gaon","","","","","1","4","258","84","174","32.56"
"Bahek Gaon","","","","","1","1","125","50","75","40.00"
"Bahfalla Gaon","","","","","1","5","446","284","162","63.68"
"Bailung Gaon","","","","","1","7","218","48","170","22.02"
"Bailung Gaon","","","","","1","6","648","180","468","27.78"
"Baisahabi Grant","","","","","1","12","1297","175","1122","13.49"
"Bajal Bari Gaon","","","","","1","4","220","172","48","78.18"
"Bajor Chiga","1","1","0","0","1","1","56","0","56","0.00"
"Bali Chapari Gaon","","","","","1","4","321","243","78","75.70"
"Bali Gaon","","","","","1","2","153","90","63","58.82"
"Baligania Gaon (Balijonia Gaon)","","","","","1","4","146","50","96","34.25"
"Balijan Gaon","","","","","1","1","160","99","61","61.88"
"Balijan Grant","","","","","1","27","1101","152","949","13.81"
"Balimora Gaon","","","","","1","19","688","285","403","41.42"
"Baliporia Gaon","","","","","1","7","281","180","101","64.06"
"Bam Chuck","","","","","1","1","151","150","1","99.34"
"Bam-Dhekia Khowa","","","","","1","2","180","27","153","15.00"
"Bamun Gaon","","","","","1","5","262","196","66","74.81"
"Bamun Gaon","","","","","1","1","188","124","64","65.96"
"Bandar Chalia Gaon","","","","","1","13","442","72","370","16.29"
"Bandar Chalia T.E.","","","","","1","7","513","258","255","50.29"
"Bangal Gaon","","","","","1","8","270","171","99","63.33"
"Bangali Gaon","","","","","1","9","333","73","260","21.92"
"Bangoli Gaon","","","","","1","1","171","5","166","2.92"
"Barapaik Gaon","","","","","1","1","2","0","2","0.00"
"Barhoi Bari Mahajan Gaon (Behabari Mahajan )","","","","","1","1","68","42","26","61.76"
"Barhoipam","1","0","1","0","1","1","43","0","43","0.00"
"Bebejia Gaon","","","","","1","5","292","287","5","98.29"
"Bedang Chapori N.C.","","","","","1","1","2","0","2","0.00"
"Bengena Kalia","","","","","1","1","33","20","13","60.61"
"Bereghoria Bhakat Gaon","","","","","1","4","531","291","240","54.80"
"Bessa Mara","","","","","1","1","2","0","2","0.00"
"Bhagyalakhi","","","","","1","3","62","6","56","9.68"
"Bhakat Cheuni","","","","","1","5","396","242","154","61.11"
"Bhakat Gaon","","","","","1","1","53","33","20","62.26"
"Bhakat Pamua","","","","","1","11","792","581","211","73.36"
"Bharalowa Sonari","","","","","1","4","502","39","463","7.77"
"Bhatemora Gaon","","","","","1","2","324","126","198","38.89"
"Bheuchuk","","","","","1","1","352","119","233","33.81"
"Bheuchuk Kumarbari","","","","","1","2","82","57","25","69.51"
"Bhogpur Miri","","","","","1","4","211","84","127","39.81"
"Bhogpur Pathar","","","","","1","1","60","47","13","78.33"
