"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1 No. Dhamkhunda","","","","","1","3","123","36","87","29.27"
"2 No. Birkuchi","","","","","1","6","152","37","115","24.34"
"2 No. Bonda","","","","","1","6","253","97","156","38.34"
"2 No. Chandrapur","","","","","1","9","284","34","250","11.97"
"2 No. Gharua","","","","","1","10","439","85","354","19.36"
"2 No. Hojobari","","","","","1","3","95","28","67","29.47"
"2 No. Juboi","","","","","1","4","160","35","125","21.88"
"2 No. Khankar","","","","","1","4","90","23","67","25.56"
"2 No. Kharghuli","","","","","1","4","133","34","99","25.56"
"2 No. Michamari","","","","","1","2","49","13","36","26.53"
"2 No. Niz-Panbari","","","","","1","3","79","13","66","16.46"
"2 No. Panikhati","","","","","1","13","309","49","260","15.86"
"2 No. Thakurbari","","","","","1","3","97","13","84","13.40"
"2 No.Dhamkhunda","","","","","1","2","111","34","77","30.63"
"Agcia","","","","","1","7","237","133","104","56.12"
"Agyathuri","","","","","1","3","226","182","44","80.53"
"Amara Pathar N.C.","","","","","1","2","117","69","48","58.97"
"Amarapathar","","","","","1","4","167","46","121","27.54"
"Ambher Gaon","","","","","1","1","31","24","7","77.42"
"Ambher N.C.","","","","","1","5","167","23","144","13.77"
"Amerigog N.C.","","","","","1","5","375","94","281","25.07"
"Amin Gaon (CT)","","","","","1","4","641","459","182","71.61"
"Amseng","","","","","1","11","609","42","567","6.90"
"Amseng N.C.","","","","","1","5","194","17","177","8.76"
"Aparikola Gaon","","","","","1","2","49","20","29","40.82"
"Aparikola N.C.","","","","","1","1","36","30","6","83.33"
"Azara (CT)","","","","","1","10","1471","981","490","66.69"
"Bagibari Pathar","","","","","1","6","209","29","180","13.88"
"Bajeni Gaon","","","","","1","3","127","79","48","62.20"
"Bamunkhat","","","","","1","9","526","75","451","14.26"
"Bamunkhat N.C","","","","","1","1","68","52","16","76.47"
"Bandargog N.C.","","","","","1","1","82","63","19","76.83"
"Bargog","","","","","1","7","313","86","227","27.48"
"Bargog N.C.","","","","","1","1","92","70","22","76.09"
"Barjhar","","","","","1","5","508","270","238","53.15"
"Barkacharang N.C.","","","","","1","3","137","84","53","61.31"
"Barkhat Gaon","","","","","1","3","348","66","282","18.97"
"Barkhat N.C.","","","","","1","4","666","240","426","36.04"
"Barkuchi","","","","","1","8","353","73","280","20.68"
"Barkuchi N.C.","","","","","1","2","257","29","228","11.28"
"Barni","","","","","1","2","57","19","38","33.33"
"Barua Bari Gaon (CT)","","","","","1","6","469","148","321","31.56"
"Batakuchi","","","","","1","2","144","30","114","20.83"
"Bejeni Grant","","","","","1","6","196","65","131","33.16"
"Bejeni N.C.","","","","","1","3","142","64","78","45.07"
"Bhakuagog","","","","","1","1","182","145","37","79.67"
"Bhakuagog N C","","","","","1","3","126","51","75","40.48"
"Bherakuchi Gaon","","","","","1","3","73","15","58","20.55"
"Bherakuchi Pathar","","","","","1","2","83","49","34","59.04"
"Bhogpur","","","","","1","2","92","48","44","52.17"
"Bhogpur N.C.","","","","","1","2","74","33","41","44.59"
"Bonda","","","","","1","3","170","78","92","45.88"
"Borbila Bill","","","","","1","4","158","61","97","38.61"
"Bozra N.C.","","","","","1","2","50","46","4","92.00"
"Chamata Pathar","","","","","1","4","202","111","91","54.95"
"Chandrapur","","","","","1","5","149","33","116","22.15"
"Chandrapur Baghicha (CT)","","","","","1","1","1111","0","1111","0.00"
"Dakhin Dimoria","","","","","1","5","196","30","166","15.31"
"Deurali","","","","","1","2","42","15","27","35.71"
"Dhamara Pathar","","","","","1","4","113","27","86","23.89"
"Dhangiri","","","","","1","4","214","104","110","48.60"
"Dharapur (CT)","","","","","1","1","1796","0","1796","0.00"
"Dharbam","","","","","1","3","146","90","56","61.64"
"Dhemai Gaon","1","1","0","0","1","1","72","64","8","88.89"
"Dhemai N.C.","","","","","1","1","34","26","8","76.47"
"Dhipuji Pathar","","","","","1","2","94","34","60","36.17"
