"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1 No.Bala Gaon","","","","","1","1","23","22","1","95.65"
"1 No.Bhugedia","1","1","0","0","1","1","125","0","125","0.00"
"2 No. Bala Gaon","","","","","1","1","23","22","1","95.65"
"2 No.Bhugedia","1","0","0","1","1","1","120","0","120","0.00"
"Abhaypur","","","","","1","3","714","501","213","70.17"
"Abhoypur","","","","","1","6","598","439","159","73.41"
"Achal Para Baghamara","","","","","1","2","162","67","95","41.36"
"Agchia","","","","","1","4","216","75","141","34.72"
"Agdola","","","","","1","4","825","659","166","79.88"
"Aggumi","","","","","1","7","351","138","213","39.32"
"Akadi","","","","","1","8","794","295","499","37.15"
"Akchalia F.V.","","","","","1","2","45","10","35","22.22"
"Alagdia","","","","","1","3","53","52","1","98.11"
"Alagjari","","","","","1","9","355","161","194","45.35"
"Alegjar (Alekjari)","","","","","1","3","132","89","43","67.42"
"Alikash","","","","","1","2","254","163","91","64.17"
"Alipub","","","","","1","3","346","227","119","65.61"
"Alta","","","","","1","3","208","143","65","68.75"
"Alta","","","","","1","3","370","235","135","63.51"
"Alukhunda F.V.","","","","","1","1","36","11","25","30.56"
"Ambari","","","","","1","2","567","219","348","38.62"
"Ambari","","","","","1","3","176","46","130","26.14"
"Amranga","","","","","1","7","733","403","330","54.98"
"Amring","","","","","1","1","23","0","23","0.00"
"Amtola","","","","","1","4","1143","849","294","74.28"
"Andheri","","","","","1","1","42","27","15","64.29"
"Andheri F.V.","","","","","1","2","87","17","70","19.54"
"Andherijuli","","","","","1","4","242","117","125","48.35"
"Andhupara","","","","","1","3","205","92","113","44.88"
"Athagaon","","","","","1","5","748","651","97","87.03"
"Athara","","","","","1","4","629","447","182","71.07"
"Athiabai","","","","","1","3","358","239","119","66.76"
"Athkupara","","","","","1","3","121","39","82","32.23"
"Autala","","","","","1","4","238","146","92","61.34"
"Azara","","","","","1","3","185","132","53","71.35"
"Badla Pathar","","","","","1","7","894","633","261","70.81"
"Baduli Para F.V.","","","","","1","3","60","15","45","25.00"
"Bagapani F.V.","","","","","1","3","67","26","41","38.81"
"Bagariguri","","","","","1","10","411","249","162","60.58"
"Baghamara","","","","","1","5","467","300","167","64.24"
"Baghar Gaon","","","","","1","4","201","110","91","54.73"
"Baghber Gohaipara","1","1","0","0","1","1","12","0","12","0.00"
"Baghmara","","","","","1","4","89","51","38","57.30"
"Bahana","","","","","1","9","1010","782","228","77.43"
"Bahjani","","","","","1","5","356","157","199","44.10"
"Bahu Para (Bahupara)","","","","","1","4","404","214","190","52.97"
"Bahuwa","","","","","1","5","301","145","156","48.17"
"Baihata","","","","","1","4","399","300","99","75.19"
"Bairandang F.V.","","","","","1","4","80","20","60","25.00"
"Bajar Suti Modia (Bejor Suti Mondia)","","","","","1","6","205","91","114","44.39"
"Bak Bahar F.V.","","","","","1","2","88","18","70","20.45"
"Bakali Para","","","","","1","1","66","25","41","37.88"
"Bakali Para F.V.","","","","","1","1","74","3","71","4.05"
"Bakara Para","","","","","1","4","109","37","72","33.94"
"Bakara Para","","","","","1","4","109","70","39","64.22"
"Bala Gaon","","","","","1","7","177","74","103","41.81"
"Bala Para","","","","","1","5","184","88","96","47.83"
"Balahpur","","","","","1","2","51","17","34","33.33"
"Balaibill","","","","","1","2","114","50","64","43.86"
"Balajuptali (Balajupteli)","","","","","1","4","107","49","58","45.79"
"Bali Juri F.V.","","","","","1","5","204","144","60","70.59"
"Balikuchi","","","","","1","1","31","30","1","96.77"
"Balikuchi","","","","","1","4","110","103","7","93.64"
"Balisatra","","","","","1","22","863","486","377","56.32"
"Bama Gaon","","","","","1","3","253","160","93","63.24"
"Bamun Sualkuchi (CT)","","","","","1","1","1732","0","1732","0.00"
"Bamundi","","","","","1","5","211","152","59","72.04"
"Bamundi Ganak Para","","","","","1","5","121","83","38","68.60"
"Bamungaon","","","","","1","3","425","325","100","76.47"
"Bamuni Gaon","","","","","1","4","275","114","161","41.45"
"Bamuni Gaon","","","","","1","8","316","125","191","39.56"
"Bamuni Gaon","","","","","1","2","110","65","45","59.09"
"Bamuni Gaon","","","","","1","2","197","121","76","61.42"
"Bangal Gaon","","","","","1","5","190","120","70","63.16"
"Bangal Kata","","","","","1","1","32","6","26","18.75"
"Bangal Tola","","","","","1","5","640","447","193","69.84"
"Bangalpara","","","","","1","7","536","427","109","79.66"
"Bangaon","","","","","1","9","479","329","150","68.68"
"Bangeli Bila N.C.","","","","","1","3","46","12","34","26.09"
"Bangjeng","1","1","0","0","1","1","40","20","20","50.00"
"Bangshor","","","","","1","3","55","35","20","63.64"
"Baniapara","","","","","1","3","39","25","14","64.10"
"Bankakata","","","","","1","3","383","177","206","46.21"
"Bansar","","","","","1","1","91","83","8","91.21"
"Bar Nizara (Barnizara)","","","","","1","2","100","30","70","30.00"
"Bara Khat","","","","","1","3","396","183","213","46.21"
"Barangabari","","","","","1","4","170","87","83","51.18"
"Baranghati","","","","","1","13","596","309","287","51.85"
"Baranti Maniari","","","","","1","7","382","256","126","67.02"
"Barbakara","","","","","1","2","51","21","30","41.18"
"Barbakara","","","","","1","1","51","51","0","100.00"
"Barbakara F.V.","","","","","1","5","118","15","103","12.71"
"Barbhitha","","","","","1","2","392","348","44","88.78"
"Barbhui","","","","","1","1","23","22","1","95.65"
"Barchandra","","","","","1","3","199","122","77","61.31"
"Barchandra Grant","","","","","1","2","58","30","28","51.72"
"Bardadhi","","","","","1","10","600","287","313","47.83"
"Bardaipakhia","","","","","1","3","353","300","53","84.99"
"Bardampur","","","","","1","3","228","125","103","54.82"
"Bardangabatakuchi","","","","","1","5","322","167","155","51.86"
"Bardangeri Kuchi","","","","","1","4","499","348","151","69.74"
"Bardekpar","","","","","1","4","284","233","51","82.04"
"Bardia Gaon","","","","","1","1","23","22","1","95.65"
"Bardia N.C.","","","","","1","1","23","22","1","95.65"
"Barduar Tea Garden No.1","","","","","1","9","609","302","307","49.59"
"Barduar Tea Garden No.2","","","","","1","14","785","477","308","60.76"
"Barduar Tea Garden No.3","","","","","1","5","461","258","203","55.97"
"Baredala","","","","","1","3","268","174","94","64.93"
"Baregaon","","","","","1","3","342","241","101","70.47"
"Baregaon No.1","","","","","1","6","121","58","63","47.93"
"Baregaon No.2","","","","","1","1","45","30","15","66.67"
"Bargaon","","","","","1","4","424","312","112","73.58"
"Bargaon","","","","","1","8","364","191","173","52.47"
"Bargaon","","","","","1","4","532","352","180","66.17"
"Bargaon","","","","","1","5","209","85","124","40.67"
"Barghol","","","","","1","6","124","47","77","37.90"
"Barhampur Hat Bajali","","","","","1","8","299","235","64","78.60"
"Barhanti Rangamati","","","","","1","4","653","435","218","66.62"
"Barhata","","","","","1","6","297","187","110","62.96"
"Barhazara","","","","","1","4","232","142","90","61.21"
"Bari Sarvarikati (Bar Saru Arikati)","","","","","1","8","663","271","392","40.87"
"Barigaon","","","","","1","2","40","40","0","100.00"
"Barijani Pathar Pacharia","","","","","1","6","315","72","243","22.86"
"Barjar F.V.","","","","","1","1","26","17","9","65.38"
"Barkha","","","","","1","2","104","75","29","72.12"
"Barkhal N.C.","","","","","1","3","72","27","45","37.50"
"Barkhal No.1","","","","","1","3","83","30","53","36.14"
"Barkhal No.2","","","","","1","3","90","42","48","46.67"
"Barkharikata","","","","","1","3","157","86","71","54.78"
"Barkukuria","","","","","1","4","246","123","123","50.00"
"Barkuriha","","","","","1","4","362","261","101","72.10"
"Barlah","","","","","1","10","694","505","189","72.77"
"Barlessakona","","","","","1","3","273","166","107","60.81"
"Barmarai","","","","","1","3","325","249","76","76.62"
"Barmola (Bormula)","","","","","1","3","77","41","36","53.25"
"Barmurah","","","","","1","7","240","167","73","69.58"
"Barni","","","","","1","6","1064","824","240","77.44"
"Baro Gaon (Bara Gog)","","","","","1","3","378","283","95","74.87"
"Barpalaha","","","","","1","4","493","336","157","68.15"
"Barpanara","","","","","1","3","319","167","152","52.35"
"Barpara","","","","","1","4","293","92","201","31.40"
