"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"12 Mile Nepali Basti","","","","","1","1","132","0","132","0.00"
"14 Mile Nepali Bosti","","","","","1","1","71","0","71","0.00"
"25 Mile Nepali Basti","","","","","1","1","20","0","20","0.00"
"3 No. Kasmir Tilla","","","","","1","1","18","0","18","0.00"
"50  Gang Quarter","","","","","1","7","139","6","133","4.32"
"7 No. Nepali Bosti","","","","","1","1","24","0","24","0.00"
"Adarsha Gaon","","","","","1","2","57","36","21","63.16"
"Adhivasi Gaon","","","","","1","1","51","0","51","0.00"
"Adivashi Vill","","","","","1","1","15","0","15","0.00"
"Aghuna Timung","1","1","0","0","1","1","21","8","13","38.10"
"Agra Kunchi","","","","","1","1","25","25","0","100.00"
"Ahom Buroi","","","","","1","1","40","40","0","100.00"
"Ahrok Taro","","","","","1","1","101","0","101","0.00"
"Ajar Guri","","","","","1","1","12","0","12","0.00"
"Ajut Terang","","","","","1","1","16","16","0","100.00"
"Ajut Teron","","","","","1","1","26","26","0","100.00"
"Ake - Et Taro","","","","","1","2","86","58","28","67.44"
"Akelal","","","","","1","1","31","31","0","100.00"
"Alipur","","","","","1","1","24","24","0","100.00"
"Alubari","","","","","1","1","136","0","136","0.00"
"Am-Ih","","","","","1","3","54","54","0","100.00"
"Am. Teron","","","","","1","1","27","27","0","100.00"
"Amarjan 1,2","","","","","1","1","82","82","0","100.00"
"Amduba","1","1","0","0","1","1","150","60","90","40.00"
"Amguri","","","","","1","1","65","65","0","100.00"
"Amguri","","","","","1","4","53","31","22","58.49"
"Amguri Gaon","","","","","1","1","30","30","0","100.00"
"Amlakhi Bagan","","","","","1","2","44","22","22","50.00"
"Amlet","1","1","0","0","1","1","70","20","50","28.57"
"Amlokkhi","","","","","1","1","37","37","0","100.00"
"Amlong","","","","","1","4","270","244","26","90.37"
"Ampathar","1","1","0","0","1","1","25","14","11","56.00"
"Ampathar No.2","","","","","1","1","18","18","0","100.00"
"Ampathar-2","","","","","1","1","73","73","0","100.00"
"Ampukhuri","","","","","1","1","45","0","45","0.00"
"Ampukhuri","","","","","1","5","152","108","44","71.05"
"Ampukhuri","","","","","1","2","65","43","22","66.15"
"Ampukhuri Garo gaon","","","","","1","1","25","0","25","0.00"
"Ampukhuri No.2","","","","","1","2","67","39","28","58.21"
"Ampupukhuri","","","","","1","2","35","14","21","40.00"
"Amreng","","","","","1","1","16","16","0","100.00"
"Amreng Engti","","","","","1","1","9","9","0","100.00"
"Amreng Engti","","","","","1","1","14","14","0","100.00"
"Amreng Teron","1","1","0","0","1","1","79","64","15","81.01"
"Amreng Teron","1","1","0","0","1","1","45","0","45","0.00"
"Amri Hanse Basti(Hemari)","","","","","1","2","76","41","35","53.95"
"Amri Khat","1","1","0","0","1","1","50","15","35","30.00"
"Amri Rongpi","","","","","1","1","23","0","23","0.00"
"Amrong Terang","","","","","1","1","20","0","20","0.00"
"Amsalam","","","","","1","1","38","38","0","100.00"
"Amser","1","0","0","1","1","1","43","0","43","0.00"
"Amserli","","","","","1","1","26","26","0","100.00"
"Amsubra","","","","","1","1","35","35","0","100.00"
"Amtereng","1","1","0","0","1","1","140","135","5","96.43"
"Amtereng","1","1","0","0","1","5","218","181","37","83.03"
"Amtukapam","","","","","1","2","33","7","26","21.21"
"Andra Terang","","","","","1","1","27","0","27","0.00"
"Ang Jok Bey","1","1","0","0","1","1","65","40","25","61.54"
"Angjak Engti","","","","","1","1","15","15","0","100.00"
"Angjok Hanse","1","1","0","0","1","1","45","40","5","88.89"
