"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achairghat","","","","","1","3","223","149","74","66.82"
"Achiura","","","","","1","6","571","221","350","38.70"
"Adamtilla T.E.","","","","","1","4","292","165","127","56.51"
"Adarkona Pt I","","","","","1","5","118","15","103","12.71"
"Adarkona Pt II","1","1","0","0","1","1","230","70","160","30.43"
"Adarkona Pt III","","","","","1","5","183","37","146","20.22"
"Adarkona Pt IV","","","","","1","3","188","188","0","100.00"
"Aditya Nagar F.V.","1","1","0","0","1","1","140","100","40","71.43"
"Ahmedpur","","","","","1","4","215","126","89","58.60"
"Akaidum","","","","","1","4","203","39","164","19.21"
"Akshoypur","1","1","0","0","1","1","80","60","20","75.00"
"Alakulipur","","","","","1","2","216","216","0","100.00"
"Alamkhani Pt I","","","","","1","3","270","121","149","44.81"
"Alamkhani Pt II","","","","","1","4","294","23","271","7.82"
"Alamkhani Pt III","","","","","1","3","328","234","94","71.34"
"Alamkhani Pt IV","","","","","1","3","458","304","154","66.38"
"Alampur","","","","","1","2","136","67","69","49.26"
"Alekargool","","","","","1","8","670","126","544","18.81"
"Alongjuri","","","","","1","2","146","95","51","65.07"
"Amarkhal","","","","","1","3","237","237","0","100.00"
"Ambarkhana","","","","","1","3","344","174","170","50.58"
"Amtilla","","","","","1","3","230","230","0","100.00"
"Amtoli","","","","","1","1","91","62","29","68.13"
"Anandapur","","","","","1","3","137","52","85","37.96"
"Andharibond","","","","","1","4","231","34","197","14.72"
"Andurpar","","","","","1","3","190","190","0","100.00"
"Angura","","","","","1","3","228","116","112","50.88"
"Angura Dunguri","","","","","1","4","883","471","412","53.34"
"Anicherra","","","","","1","1","27","27","0","100.00"
"Anipur Grant","","","","","1","7","483","155","328","32.09"
"Ankapai Punjee","","","","","1","3","178","115","63","64.61"
"Arengabad","","","","","1","3","325","218","107","67.08"
"Asalkandi","","","","","1","6","317","182","135","57.41"
"Awalala (P.S.)","","","","","1","2","129","129","0","100.00"
"Awalala (T.S.)","","","","","1","2","115","115","0","100.00"
"Ayalabari T.E.","","","","","1","1","103","73","30","70.87"
"Bacharbond Pt I","","","","","1","1","119","86","33","72.27"
"Bacharbond Pt II","","","","","1","1","120","87","33","72.50"
"Bacharbond Pt III","","","","","1","2","150","56","94","37.33"
"Badarpur Rly. Town (CT)","","","","","1","1","2057","0","2057","0.00"
"Badshahi Forest F.V.","","","","","1","1","71","45","26","63.38"
"Bagan","1","1","0","0","1","1","180","120","60","66.67"
"Bagan Gaon","","","","","1","4","225","88","137","39.11"
"Bagarsangan","1","1","0","0","1","2","570","530","40","92.98"
"Bagbari","","","","","1","2","253","165","88","65.22"
"Bager Sangan","","","","","1","4","176","82","94","46.59"
"Bahadurpur","","","","","1","2","195","102","93","52.31"
"Bahar","","","","","1","1","28","10","18","35.71"
"Baithakhal Basti","","","","","1","2","123","123","0","100.00"
"Baithakhal T.E.","","","","","1","9","474","130","344","27.43"
"Bakalkandi","","","","","1","1","103","73","30","70.87"
"Bakarshal Pt I","","","","","1","3","151","68","83","45.03"
"Bakarshal Pt II","","","","","1","3","391","200","191","51.15"
"Bakarshal Pt III","","","","","1","4","341","199","142","58.36"
"Bakarshal Pt IV","","","","","1","1","63","40","23","63.49"
"Balaigaon","1","1","0","0","1","1","40","0","40","0.00"
"Baleswar","","","","","1","2","382","235","147","61.52"
"Balicherra Grant","","","","","1","1","101","101","0","100.00"
"Balidara","","","","","1","4","201","72","129","35.82"
"Balipipla F.V.","","","","","1","4","309","243","66","78.64"
"Balirbond","","","","","1","3","135","15","120","11.11"
"Balirbond Grant","","","","","1","3","246","84","162","34.15"
"Balirbond Pt I","","","","","1","2","142","67","75","47.18"
"Balirbond Pt II","","","","","1","1","196","132","64","67.35"
"Balirbond Pt III","","","","","1","1","159","102","57","64.15"
"Banamali","","","","","1","4","202","127","75","62.87"
"Banamali Pt I","","","","","1","4","294","162","132","55.10"
"Banamali Pt II","","","","","1","5","282","143","139","50.71"
"Baniargool","","","","","1","3","361","112","249","31.02"
"Bar Purahuria Pt I","","","","","1","1","102","102","0","100.00"
"Bar Purahuria Pt II","","","","","1","3","190","190","0","100.00"
"Bara Bhubirbond","","","","","1","6","332","332","0","100.00"
"Baraigram","","","","","1","3","244","119","125","48.77"
"Baraituk","","","","","1","5","343","160","183","46.65"
"Barantar","","","","","1","5","436","191","245","43.81"
"Barapunjee Pt I","","","","","1","1","100","100","0","100.00"
"Barapunjee Pt II","","","","","1","1","135","135","0","100.00"
"Barbali","","","","","1","3","202","202","0","100.00"
"Barbalia","","","","","1","5","359","359","0","100.00"
"Barbari","","","","","1","6","660","273","387","41.36"
"Barbari","","","","","1","3","305","83","222","27.21"
"Barbari","","","","","1","2","148","85","63","57.43"
"Barbazari Kitte Chandrapur","","","","","1","2","164","73","91","44.51"
"Barbhadri","","","","","1","1","97","97","0","100.00"
"Barcharra","","","","","1","2","83","33","50","39.76"
"Barcharrapunjee","1","1","0","0","1","1","150","0","150","0.00"
"Bargool","","","","","1","6","480","0","480","0.00"
"Bargool","","","","","1","2","172","172","0","100.00"
"Bargool","","","","","1","1","37","16","21","43.24"
"Bargul","","","","","1","4","328","146","182","44.51"
"Barkapan","","","","","1","2","230","79","151","34.35"
"Barkatpur","","","","","1","1","216","216","0","100.00"
"Baroputni","","","","","1","2","192","192","0","100.00"
"Barthal Pt I","","","","","1","1","100","100","0","100.00"
"Barthal Pt II (Sribehula T.E.)","","","","","1","2","146","78","68","53.42"
"Barthal Pt III","","","","","1","17","1104","449","655","40.67"
"Barthal Pt IV","","","","","1","5","175","47","128","26.86"
"Barthal Pt IX","","","","","1","4","144","67","77","46.53"
"Barthal Pt V","","","","","1","4","113","28","85","24.78"
"Barthal Pt VI","","","","","1","4","110","28","82","25.45"
"Barthal Pt VII(Sribehula T.E.)","","","","","1","6","473","107","366","22.62"
"Barthal Pt VIII","1","1","0","0","1","1","40","30","10","75.00"
"Barthal Pt X","","","","","1","6","289","97","192","33.56"
"Barthal Pt XI","","","","","1","3","108","108","0","100.00"
"Barthal Pt XII","","","","","1","2","76","76","0","100.00"
"Baruail","","","","","1","3","302","131","171","43.38"
"Baruatilla","","","","","1","2","181","181","0","100.00"
"Basail","","","","","1","4","462","108","354","23.38"
"Basantapur","","","","","1","5","427","231","196","54.10"
"Basattihal","","","","","1","3","320","320","0","100.00"
"Baskaltilla","","","","","1","2","236","236","0","100.00"
"Basla","","","","","1","6","618","271","347","43.85"
"Bataiya","","","","","1","1","183","108","75","59.02"
"Bataiya Punjee","","","","","1","3","288","201","87","69.79"
"Batarashi (CT)","","","","","1","5","393","67","326","17.05"
"Batiapunjee F.V.","","","","","1","4","282","178","104","63.12"
"Bazaibala","","","","","1","2","317","176","141","55.52"
"Bazarghat F.V.","","","","","1","5","396","204","192","51.52"
"Bazarghat Pt I","","","","","1","1","209","113","96","54.07"
"Bazarghat Pt II","","","","","1","1","100","70","30","70.00"
"Bedrong Pt I","","","","","1","10","953","214","739","22.46"
"Bedrong Pt II","","","","","1","1","91","91","0","100.00"
"Bedrong Pt III","","","","","1","2","61","61","0","100.00"
"Beelbari","","","","","1","3","237","45","192","18.99"
"Behairdala","","","","","1","2","268","268","0","100.00"
"Berajal","","","","","1","1","117","84","33","71.79"
"Beratuk","","","","","1","1","119","119","0","100.00"
"Bethubari","","","","","1","1","98","98","0","100.00"
"Bhagichagi","","","","","1","2","337","203","134","60.24"
"Bhairabnagar","","","","","1","2","206","206","0","100.00"
"Bhairabnagar Pt I","","","","","1","1","47","26","21","55.32"
"Bhairabnagar Pt II","","","","","1","2","134","84","50","62.69"
"Bhairabnagar Pt III","","","","","1","4","146","146","0","100.00"
"Bhairabnagar Pt IV","","","","","1","1","120","87","33","72.50"
"Bharibond","","","","","1","2","323","235","88","72.76"
"Bhatgram","","","","","1","1","113","113","0","100.00"
"Bhitargool","","","","","1","4","269","146","123","54.28"
"Bhubrighat T.E.","","","","","1","3","396","293","103","73.99"
"Bhudaikuri","","","","","1","6","512","431","81","84.18"
"Bhuja","","","","","1","1","108","77","31","71.30"
"Bhurunga","","","","","1","6","475","232","243","48.84"
"Bhurunga Cherragaon","","","","","1","4","215","87","128","40.47"
"Bhutukuchi","1","1","0","0","1","1","75","25","50","33.33"
"Bhutupunjee (Dawka Section)","","","","","1","6","572","527","45","92.13"
"Bhutupunjee (Manipuri Section)","","","","","1","6","528","468","60","88.64"
"Bhutupunjee (Tripura Section)","","","","","1","4","373","194","179","52.01"
"Bidyanagar T.E. Pt I","","","","","1","2","129","22","107","17.05"
"Bidyanagar T.E. Pt II","","","","","1","3","325","161","164","49.54"
"Bidyanagar T.E. Pt III","1","1","0","0","1","1","150","80","70","53.33"
"Bidyanagar T.E. Pt IV","","","","","1","2","172","77","95","44.77"
"Bidyanagar T.E. Pt V","","","","","1","3","294","22","272","7.48"
