"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhayakuti","","","","","1","2","44","34","10","77.27"
"Adabari","","","","","1","4","169","169","0","100.00"
"Adelghuti","","","","","1","2","70","61","9","87.14"
"Aflagaon","","","","","1","10","489","434","55","88.75"
"Ai-Bhandar Pt.-I","","","","","1","1","53","53","0","100.00"
"Ai-Bhandar Pt.-II","","","","","1","1","55","0","55","0.00"
"Alengmari","","","","","1","5","197","98","99","49.75"
"Alinagar F.V.","","","","","1","4","152","77","75","50.66"
"Alinagar No.1","","","","","1","9","379","317","62","83.64"
"Alinagar No.2","","","","","1","4","123","123","0","100.00"
"Alokjhar F.V.","","","","","1","2","58","38","20","65.52"
"Alomganj Pt.III","","","","","1","1","55","0","55","0.00"
"Aluabari","","","","","1","1","29","29","0","100.00"
"Alubari","","","","","1","8","360","165","195","45.83"
"Alupara Pt.-I","","","","","1","3","127","105","22","82.68"
"Alupara Pt.-II","","","","","1","1","43","0","43","0.00"
"Alupara Pt.-III","","","","","1","2","80","60","20","75.00"
"Ambari F.V.","","","","","1","3","102","97","5","95.10"
"Ambartal","","","","","1","5","243","165","78","67.90"
"Amguri","","","","","1","5","198","153","45","77.27"
"Amguri","","","","","1","13","621","320","301","51.53"
"Amguri Forest Block","","","","","1","2","100","0","100","0.00"
"Aminkata","","","","","1","5","210","26","184","12.38"
"Amjhora","1","1","0","0","1","2","120","30","90","25.00"
"Amjhora","1","1","0","0","1","2","53","46","7","86.79"
"Amlaiguri F.V.","","","","","1","5","150","23","127","15.33"
"Amritpur F V","","","","","1","5","161","27","134","16.77"
"Amtoli","","","","","1","5","253","171","82","67.59"
"Anandapur","","","","","1","4","133","57","76","42.86"
"Andurjhar Pt.I","","","","","1","3","100","91","9","91.00"
"Angarkata Pt.-I","","","","","1","4","159","153","6","96.23"
"Angarkata Pt.-II","","","","","1","3","168","110","58","65.48"
"Angarkata Pt.-III","","","","","1","3","163","146","17","89.57"
"Angthipara","","","","","1","5","192","55","137","28.65"
"Anthaibari","","","","","1","15","521","280","241","53.74"
"Anthaibari","","","","","1","1","22","22","0","100.00"
"Anthaibari","","","","","1","3","126","29","97","23.02"
"Anthaibil","","","","","1","4","139","21","118","15.11"
"Asharikandi","","","","","1","3","136","37","99","27.21"
"Asharikandi (Kartimari)","","","","","1","1","42","42","0","100.00"
"Atharokotharjhar Pt.-I","1","1","0","0","1","1","70","60","10","85.71"
"Atharokotharjhar Pt.-III","1","1","0","0","1","1","28","20","8","71.43"
"Athiabari","","","","","1","4","184","105","79","57.07"
"Athiabari","","","","","1","1","32","32","0","100.00"
"Athiabari","","","","","1","5","186","33","153","17.74"
"Athiabari F V Pt I","","","","","1","7","230","37","193","16.09"
"Athiabari F V Pt II","1","1","0","0","1","1","55","50","5","90.91"
"Attorokotharjhar Pt.IV","1","1","0","0","1","1","60","45","15","75.00"
"Auabari","","","","","1","1","38","0","38","0.00"
"Aunajuli","","","","","1","3","128","78","50","60.94"
"Babubil","","","","","1","5","195","51","144","26.15"
"Bagariguri","","","","","1","6","202","73","129","36.14"
"Bagmara","","","","","1","5","184","151","33","82.07"
"Bahadurpara","","","","","1","6","247","59","188","23.89"
"Bairali F.V.","","","","","1","3","127","44","83","34.65"
"Bajugaon No.1","","","","","1","3","119","109","10","91.60"
"Bajugaon No.2","","","","","1","8","285","151","134","52.98"
"Balagaon No.1","","","","","1","11","474","202","272","42.62"
"Balagaon No.2","","","","","1","6","255","199","56","78.04"
"Balagong F V","","","","","1","5","160","136","24","85.00"
"Balajan","","","","","1","1","50","50","0","100.00"
"Balapara Pt.-I","","","","","1","6","228","39","189","17.11"
"Balapara Pt.-II","","","","","1","5","215","53","162","24.65"
"Balapara Saljhar","","","","","1","1","59","59","0","100.00"
"Ballamguri","","","","","1","4","171","135","36","78.95"
"Ballimari","","","","","1","2","104","47","57","45.19"
"Bamnipahar","","","","","1","1","29","22","7","75.86"
"Bamungaon Pt.-I","","","","","1","5","182","82","100","45.05"
"Bamungaon Pt.-II","","","","","1","3","133","101","32","75.94"
