"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"78/81 Merbil","","","","","1","1","166","142","24","85.54"
"8/11 Arnish Bari","","","","","1","3","230","186","44","80.87"
"85(Ka)Kachikata","","","","","1","1","79","79","0","100.00"
"9/6 Koilamari","","","","","1","4","564","196","368","34.75"
"Abhoypur Naharani N.C.","","","","","1","3","166","0","166","0.00"
"Adhakhana Gaon No.1","","","","","1","2","136","58","78","42.65"
"Adhakhana Gaon No.2","","","","","1","2","40","22","18","55.00"
"Adisuti N.C.","1","0","0","1","1","2","227","0","227","0.00"
"Ahmedpur Gaon No.1","","","","","1","2","184","104","80","56.52"
"Ahmedpur Gaon No.2","","","","","1","2","196","118","78","60.20"
"Ahmodpur Block","","","","","1","3","184","84","100","45.65"
"Ahom Gaon","","","","","1","2","92","41","51","44.57"
"Ahomoni Miri","","","","","1","3","294","136","158","46.26"
"Ahuchaul Konwar","","","","","1","7","279","271","8","97.13"
"Ajaraguri","","","","","1","2","252","197","55","78.17"
"Ajaraguri Gossainkhat","","","","","1","1","67","52","15","77.61"
"Akarabosti","","","","","1","2","168","76","92","45.24"
"Aken Dighali","1","1","0","0","1","2","40","0","40","0.00"
"Akhoi Phutia Gaon","","","","","1","3","182","96","86","52.75"
"Alimur","","","","","1","7","498","165","333","33.13"
"Alimur Bakulguri","","","","","1","3","191","130","61","68.06"
"Alimur Dangdhara","","","","","1","4","357","5","352","1.40"
"Amguri","","","","","1","4","131","31","100","23.66"
"Amguri N.C.","","","","","1","2","65","50","15","76.92"
"Ampora","","","","","1","2","57","40","17","70.18"
"Amtola P.G.R","","","","","1","5","307","74","233","24.10"
"Amulguri Gaon","","","","","1","3","133","90","43","67.67"
"Ananda Bagan","","","","","1","4","330","125","205","37.88"
"Angar Khowa","","","","","1","4","144","75","69","52.08"
"Anuboicha","","","","","1","2","38","14","24","36.84"
"Anuwati","","","","","1","3","66","48","18","72.73"
"Aranya Basti","","","","","1","4","130","31","99","23.85"
"Arkep Baligaon","","","","","1","4","295","125","170","42.37"
"Aroiya","","","","","1","2","115","43","72","37.39"
"Asserakata Miri N.C.","1","1","0","0","1","5","250","0","250","0.00"
"Atha Khatia","","","","","1","2","57","22","35","38.60"
"Athani Bari","","","","","1","1","81","81","0","100.00"
"Aturachapari N.C.","1","1","0","0","1","1","8","0","8","0.00"
"Auniabori","","","","","1","3","223","75","148","33.63"
"Aunibari No.1","","","","","1","1","22","0","22","0.00"
"Aunibari No.2","","","","","1","1","48","0","48","0.00"
"Aunibori","","","","","1","2","98","36","62","36.73"
"Ayengia Gaon","","","","","1","1","367","0","367","0.00"
"Bachapukhuri","","","","","1","1","268","268","0","100.00"
"Badhakarh Kuchiamari(No.4Bodha","","","","","1","5","266","114","152","42.86"
"Bagalijan","","","","","1","5","272","134","138","49.26"
"Bagariguri Pathar","","","","","1","1","44","32","12","72.73"
"Baghedhapaliyal","","","","","1","1","70","48","22","68.57"
"Baghora Deuri","","","","","1","4","470","223","247","47.45"
"Bagum","","","","","1","1","136","0","136","0.00"
"Bahadur Mout","","","","","1","5","286","135","151","47.20"
"Bahatia","","","","","1","2","95","43","52","45.26"
"Bahatia","","","","","1","1","40","31","9","77.50"
"Bahbari","1","1","0","0","1","5","535","378","157","70.65"
"Bahgora Pathar","","","","","1","2","38","6","32","15.79"
"Bahguri","","","","","1","1","128","92","36","71.88"
"Bahpara","","","","","1","5","307","109","198","35.50"
"Bahpara","","","","","1","3","280","100","180","35.71"
"Bahpati","","","","","1","2","126","83","43","65.87"
"Bakal","","","","","1","2","102","62","40","60.78"
"Bakulguri Chariali","","","","","1","1","79","54","25","68.35"
"Balidewani N.C.","","","","","1","1","139","0","139","0.00"
"Baligaon","","","","","1","1","40","1","39","2.50"
"Balijan","","","","","1","1","275","0","275","0.00"
"Balijan","","","","","1","2","323","118","205","36.53"
"Balijan","","","","","1","2","35","8","27","22.86"
"Balijan 1/2","","","","","1","7","175","55","120","31.43"
"Balijan Bangali","","","","","1","4","238","137","101","57.56"
"Balijan N.C.","1","1","0","0","1","3","140","0","140","0.00"
"Balijan No.3","","","","","1","3","147","34","113","23.13"
"Balipathar","","","","","1","1","82","82","0","100.00"
"Balipukhuri","","","","","1","2","70","40","30","57.14"
"Balipukhuri","","","","","1","1","78","49","29","62.82"
"Balitika","","","","","1","2","370","127","243","34.32"
"Bamun Gaon","","","","","1","2","86","42","44","48.84"
"Bamun Gaon","","","","","1","2","76","48","28","63.16"
"Bamun Gayan","","","","","1","1","101","41","60","40.59"
"Bandardewa","","","","","1","1","400","400","0","100.00"
"Bandarkata N.C.","1","0","0","1","1","3","165","0","165","0.00"
"Bangal Mara P.G.R","","","","","1","4","914","437","477","47.81"
"Bangali Gaon","","","","","1","3","235","97","138","41.28"
"Bangali No.2","","","","","1","4","114","7","107","6.14"
"Bangalmara Miri","","","","","1","4","358","172","186","48.04"
"Bangalmara Thengal","","","","","1","3","366","220","146","60.11"
"Bangkeleng","1","1","0","0","1","1","80","65","15","81.25"
"Bango Gaon","","","","","1","3","208","122","86","58.65"
"Banormukh N.C.","1","0","0","1","1","2","56","0","56","0.00"
"Banpurai","","","","","1","2","137","72","65","52.55"
"Bantow","","","","","1","4","72","46","26","63.89"
"Bantow","","","","","1","2","74","35","39","47.30"
"Bantow Bangali","","","","","1","2","507","150","357","29.59"
"Bantow Chamuah Pathar","","","","","1","3","349","237","112","67.91"
"Bantow Gaon","","","","","1","3","263","110","153","41.83"
"Bantow Pathar","","","","","1","1","118","79","39","66.95"
"Bar Pukhuri","","","","","1","6","143","37","106","25.87"
