"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adha Khonda","","","","","1","5","453","453","0","100.00"
"Afutoli Bil (Afutoli)","","","","","1","7","428","375","53","87.62"
"Ahom Gaon","1","1","0","0","1","1","228","171","57","75.00"
"Ahom Gaon","1","1","0","0","1","2","480","380","100","79.17"
"Ahumpura","","","","","1","3","108","34","74","31.48"
"Aibheti Satra (Aibheti)","1","1","0","0","1","3","461","425","36","92.19"
"Ajar Bari","","","","","1","8","834","212","622","25.42"
"Akantu","","","","","1","5","213","179","34","84.04"
"Akarabari Gaon","","","","","1","7","474","474","0","100.00"
"Akchak Pathar","","","","","1","1","53","53","0","100.00"
"Akchek Gaon","1","1","0","0","1","4","494","447","47","90.49"
"Akchek Mikir Gaon","","","","","1","1","59","59","0","100.00"
"Akchek Trisghoria","","","","","1","1","40","40","0","100.00"
"Alapia Bebejia","","","","","1","3","276","109","167","39.49"
"Alengi Satra","","","","","1","5","175","134","41","76.57"
"Alikuchi Gaon","","","","","1","4","175","171","4","97.71"
"Alinagar","1","1","0","0","1","1","170","130","40","76.47"
"Alisinga","","","","","1","6","293","166","127","56.66"
"Alitangani","","","","","1","5","582","582","0","100.00"
"Alitangani","","","","","1","3","499","499","0","100.00"
"Am Pukhuri","1","1","0","0","1","2","350","277","73","79.14"
"Ambari","","","","","1","1","52","52","0","100.00"
"Ambari F.V","","","","","1","1","45","45","0","100.00"
"Amdubi","","","","","1","2","73","36","37","49.32"
"Amdubi (Borbil)","","","","","1","2","96","96","0","100.00"
"Amguri","","","","","1","2","239","220","19","92.05"
"Amguri Gaon","","","","","1","1","81","73","8","90.12"
"Amguri Sang","1","1","0","0","1","2","197","197","0","100.00"
"Amlakhi Gaon","1","1","0","0","1","2","390","310","80","79.49"
"Amlipukhuri Gaon","","","","","1","5","285","54","231","18.95"
"Amlipukhuri Reserve","","","","","1","6","235","80","155","34.04"
"Amluckie Gaon","1","1","0","0","1","6","660","607","53","91.97"
"Amluckie T.E. No.1","","","","","1","1","75","75","0","100.00"
"Amluckie T.E. No.2","","","","","1","2","353","57","296","16.15"
"Amluckie T.E. No.3","","","","","1","1","73","55","18","75.34"
"Amluckie T.E. No.4","","","","","1","2","90","90","0","100.00"
"Amoni","","","","","1","6","393","177","216","45.04"
"Amsoi","","","","","1","3","277","76","201","27.44"
"Amtala","1","1","0","0","1","2","266","260","6","97.74"
"Amtola","","","","","1","2","218","164","54","75.23"
"Anjukpani","","","","","1","2","109","35","74","32.11"
"Anjukpani N.C.","","","","","1","3","343","172","171","50.15"
