"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adabari","","","","","1","3","308","250","58","81.17"
"Adattari","","","","","1","1","28","28","0","100.00"
"Ahta","","","","","1","3","162","55","107","33.95"
"Akhara","","","","","1","7","162","94","68","58.02"
"Akna","","","","","1","5","136","94","42","69.12"
"Alengidal","","","","","1","9","417","204","213","48.92"
"Amani","","","","","1","24","1595","1520","75","95.30"
"Amara","","","","","1","4","133","77","56","57.89"
"Amaya-Pur","","","","","1","7","310","153","157","49.35"
"Amrattari","","","","","1","2","264","207","57","78.41"
"Angradi","","","","","1","2","44","22","22","50.00"
"Arangamou","","","","","1","15","400","245","155","61.25"
"Arara","","","","","1","18","508","275","233","54.13"
"Arikuchi","","","","","1","5","246","185","61","75.20"
"Arora (Arra)","","","","","1","9","292","202","90","69.18"
"Athgharia","","","","","1","6","149","76","73","51.01"
"Badaniakhia","","","","","1","3","258","94","164","36.43"
"Baghmara","","","","","1","9","293","187","106","63.82"
"Bagurihati","","","","","1","13","453","419","34","92.49"
"Baitha Bhanga","","","","","1","4","167","69","98","41.32"
"Bajali Udaypur","","","","","1","9","187","91","96","48.66"
"Bakri Kuchi","","","","","1","3","162","67","95","41.36"
"Bakuajari","","","","","1","4","207","182","25","87.92"
"Bala","","","","","1","4","208","60","148","28.85"
"Balakuchi","","","","","1","2","84","16","68","19.05"
"Balarchar","1","0","0","1","1","1","520","0","520","0.00"
"Bali","","","","","1","15","794","729","65","91.81"
"Bali Koria (CT)","","","","","1","9","1047","716","331","68.39"
"Balikoria Kharjara","","","","","1","11","558","327","231","58.60"
"Balikuchi","","","","","1","5","122","89","33","72.95"
"Balikuchi","","","","","1","3","97","50","47","51.55"
"Balilesha","","","","","1","9","295","158","137","53.56"
"Balipara","","","","","1","5","196","141","55","71.94"
"Balitara No.1.","","","","","1","9","303","201","102","66.34"
"Balitara No.2","","","","","1","2","106","94","12","88.68"
"Balitara No.3","","","","","1","5","188","129","59","68.62"
"Balitara No.4","","","","","1","8","275","161","114","58.55"
"Balizar","","","","","1","7","241","241","0","100.00"
"Bamunangradi","","","","","1","2","42","35","7","83.33"
"Bamunbari","","","","","1","4","332","313","19","94.28"
"Bamunbari","","","","","1","2","153","124","29","81.05"
"Bamundittari","","","","","1","2","85","25","60","29.41"
"Banbhag Solmari","","","","","1","4","297","297","0","100.00"
"Bangalmur","","","","","1","3","110","66","44","60.00"
"Bangaon","","","","","1","9","336","237","99","70.54"
"Bangaon (CT)","","","","","1","17","1261","1236","25","98.02"
"Bangnabari","","","","","1","6","239","239","0","100.00"
"Bangnapota","","","","","1","1","106","0","106","0.00"
"Bar Barara","","","","","1","2","50","18","32","36.00"
"Bar Bistupur","","","","","1","4","196","140","56","71.43"
"Bar Khanajan","","","","","1","4","128","47","81","36.72"
"Bar Makhibaha(Barmakueibna)","","","","","1","7","334","283","51","84.73"
"Bar-Agra","","","","","1","3","78","36","42","46.15"
"Bar-Agra","","","","","1","10","288","121","167","42.01"
"Barajal","","","","","1","10","422","362","60","85.78"
