"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1 No. Konwar Gaon","","","","","1","3","207","109","98","52.66"
"1. No. Sologuri","","","","","1","2","151","72","79","47.68"
"1.No.Khumtai T.E","1","1","0","0","1","4","175","125","50","71.43"
"107 No. Grant","1","1","0","0","1","3","674","156","518","23.15"
"159 No. Grant","","","","","1","1","54","51","3","94.44"
"2 No.Khumtai T.E","1","1","0","0","1","2","733","695","38","94.82"
"2 No.Solo Guri","","","","","1","1","81","76","5","93.83"
"288/313 Grant","1","1","0","0","1","3","330","81","249","24.55"
"348 Grant","","","","","1","2","80","0","80","0.00"
"438 No. Grant","1","1","0","0","1","1","95","55","40","57.89"
"Abhoipuria","","","","","1","4","196","0","196","0.00"
"Abhoipuria","","","","","1","3","150","0","150","0.00"
"Abhoypur Grant","","","","","1","4","121","31","90","25.62"
"Abhoypuria","","","","","1","2","65","0","65","0.00"
"Abhoypuria Gaon","","","","","1","6","530","324","206","61.13"
"Aboipuria Nara","","","","","1","2","179","101","78","56.42"
"Adaboria Handique","","","","","1","1","23","22","1","95.65"
"Adpuria","","","","","1","7","1006","49","957","4.87"
"Afala","","","","","1","6","213","30","183","14.08"
"Ahom Pathar","","","","","1","9","265","70","195","26.42"
"Ahu Grant","1","1","0","0","1","3","715","445","270","62.24"
"Aideu Bari Habi","","","","","1","3","58","14","44","24.14"
"Aideubari Bagicha Grant","","","","","1","7","376","70","306","18.62"
"Aideubari Kathoni","1","1","0","0","1","1","60","57","3","95.00"
"Aila Mukh Habi","","","","","1","3","172","110","62","63.95"
"Ajar Guri","1","1","0","0","1","1","107","67","40","62.62"
"Akhoi Phutia","","","","","1","3","274","165","109","60.22"
"Ali Chiga","","","","","1","4","316","187","129","59.18"
"Amguri Gaon","","","","","1","1","31","0","31","0.00"
"Amguri Grant","","","","","1","5","214","7","207","3.27"
"Amkotia Gohain","","","","","1","4","170","75","95","44.12"
"Amulaguri Bagisa","","","","","1","4","396","53","343","13.38"
"Aoraltoli","","","","","1","3","192","95","97","49.48"
"Araltali","","","","","1","4","176","47","129","26.70"
"Arjun Guri","1","1","0","0","1","2","350","350","0","100.00"
"Asalabari Gaon","","","","","1","6","166","41","125","24.70"
"Atal Pothar","","","","","1","6","316","83","233","26.27"
"Athabari Grant","1","1","0","0","1","1","50","26","24","52.00"
"Atkhal Grant No.I","","","","","1","7","220","24","196","10.91"
"Atkhal Grant No.II","","","","","1","4","416","168","248","40.38"
"Bagal Habi","1","1","0","0","1","2","230","150","80","65.22"
"Bagali Pathar","","","","","1","3","143","84","59","58.74"
"Bagh Moria Gaon","","","","","1","2","241","35","206","14.52"
"Baghjan Grant","","","","","1","8","529","8","521","1.51"
"Bahalhabi Gaon","","","","","1","3","261","65","196","24.90"
"Bahbari Gaon","","","","","1","4","286","75","211","26.22"
"Bahbari Pothar","","","","","1","3","104","23","81","22.12"
"Bahboria Habi Gaon","","","","","1","4","205","94","111","45.85"
"Bahboria Pathar","","","","","1","1","65","54","11","83.08"
"Bahuabari","","","","","1","4","185","80","105","43.24"
"Bailung","","","","","1","5","195","3","192","1.54"
"Bailung Chetia","","","","","1","1","23","22","1","95.65"
"Bailung Gaon","","","","","1","3","185","114","71","61.62"
"Bailung Pathar","","","","","1","1","23","22","1","95.65"
"Bairagi Habi","","","","","1","2","64","29","35","45.31"
"Bakupukhuri Habi No.4","","","","","1","6","713","116","597","16.27"
"Balamia Chawdang","","","","","1","4","279","4","275","1.43"
"Bali Gaon","","","","","1","1","23","22","1","95.65"
"Bali Jan Grant","","","","","1","2","297","68","229","22.90"
"Balijan F.V","","","","","1","1","23","22","1","95.65"
"Balikhatia","","","","","1","1","131","126","5","96.18"
"Bamun Bari","","","","","1","1","23","22","1","95.65"
"Bamun Moran","","","","","1","2","449","394","55","87.75"
"Bamun Pukhuri Chah Bagicha","","","","","1","10","1045","316","729","30.24"
"Bandarjan Grant","1","1","0","0","1","3","168","70","98","41.67"
"Bandarmari","","","","","1","5","264","114","150","43.18"
"Banfera Grant","","","","","1","2","127","70","57","55.12"
"Banfera T.G","1","1","0","0","1","2","247","150","97","60.73"
"Bangali Gaon","","","","","1","7","381","19","362","4.99"
"Bangali Gaon","","","","","1","4","393","174","219","44.27"
"Bangmuria Konwar","","","","","1","1","23","22","1","95.65"
"Banmukh Chutia","","","","","1","5","239","76","163","31.80"
"Banmukh Dihingia","","","","","1","5","207","0","207","0.00"
"Baputigarh","","","","","1","6","403","190","213","47.15"
"Barahi Grant","","","","","1","2","407","235","172","57.74"
"Barahi Kachari","","","","","1","6","599","39","560","6.51"
"Barapial","","","","","1","2","164","0","164","0.00"
"Barbam Block","","","","","1","2","43","18","25","41.86"
"Barbam Grant","","","","","1","6","787","8","779","1.02"
"Barbhuyan Gaon","","","","","1","2","167","94","73","56.29"
"Barderoi","","","","","1","3","308","61","247","19.81"
"Baregaon","","","","","1","3","357","51","306","14.29"
"Barhoiting","","","","","1","7","313","105","208","33.55"
"Barpatra Dol Kalugaon","1","1","0","0","1","4","1742","1719","23","98.68"
"Barpothar","","","","","1","9","692","176","516","25.43"
"Barsayak Dibrual","","","","","1","7","339","12","327","3.54"
"Barua Sali Grant","","","","","1","2","114","62","52","54.39"
"Baruah Pukhuri Baghjan Grant","","","","","1","3","111","2","109","1.80"
"Baruah Pukhuri Chah","","","","","1","2","253","144","109","56.92"
"Baruasali Bagicha","1","1","0","0","1","5","381","282","99","74.02"
"Baruati","","","","","1","4","420","328","92","78.10"
"Bauli Pukhuri Habi","","","","","1","1","23","22","1","95.65"
"Belang Bari","1","1","0","0","1","3","380","240","140","63.16"
"Belimukhia","","","","","1","8","250","15","235","6.00"
"Bez Gaon","1","1","0","0","1","2","435","426","9","97.93"
"Bhabachuk Gaon","","","","","1","2","91","37","54","40.66"
"Bhadhara","","","","","1","1","23","22","1","95.65"
"Bhajoni","","","","","1","3","120","43","77","35.83"
"Bhakat Gaon","","","","","1","4","202","116","86","57.43"
"Bhaluka Guri","","","","","1","4","249","132","117","53.01"
"Bhalukaguri Habi Gaon","1","1","0","0","1","3","40","10","30","25.00"
"Bharalura","","","","","1","4","289","2","287","0.69"
"Bharaluwa","","","","","1","4","267","191","76","71.54"
"Bhatgaj","","","","","1","3","199","71","128","35.68"
"Bhatiapara","","","","","1","2","178","113","65","63.48"
"Bhecheli Mari","","","","","1","4","114","18","96","15.79"
"Bhekelai","","","","","1","3","108","39","69","36.11"
"Bhekuri Chapari","","","","","1","3","227","0","227","0.00"
"Bheloguri Dubi Lakwa Chah Bagicha","","","","","1","1","98","0","98","0.00"
"Bheseli Pothar","","","","","1","1","33","28","5","84.85"
"Bhitarual Nora Gaon","1","1","0","0","1","3","359","254","105","70.75"
"Bhogbari Gaon","","","","","1","5","434","87","347","20.05"
"Bhojo Gaon & Bhojo Rly. Stn.","","","","","1","4","358","51","307","14.25"
"Bhokat","","","","","1","1","23","22","1","95.65"
