"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"(28)Athaish Gharia","","","","","1","1","23","22","1","95.65"
"1.No. Hugrajuli Bagan","","","","","1","2","868","28","840","3.23"
"1Jahajduba Gaon","1","1","0","0","1","1","260","0","260","0.00"
"2.No. Chapai Bagan","","","","","1","1","294","0","294","0.00"
"Aamtal Bangali","","","","","1","4","335","264","71","78.81"
"Adabari Gaon","","","","","1","1","23","22","1","95.65"
"Adabari T.E.","","","","","1","1","23","22","1","95.65"
"Adabheti","","","","","1","5","373","0","373","0.00"
"Affara Khat","","","","","1","1","23","22","1","95.65"
"Agripam","","","","","1","1","23","22","1","95.65"
"Ahata Guri Gaon","","","","","1","2","104","69","35","66.35"
"Akabasti Bangali","","","","","1","1","23","22","1","95.65"
"Akabasti Gaon","","","","","1","9","345","110","235","31.88"
"Akabasti Miri","","","","","1","1","23","22","1","95.65"
"Akabil Gaon","","","","","1","1","23","22","1","95.65"
"Akhoi Phuta","","","","","1","1","23","22","1","95.65"
"Alaripur","","","","","1","1","23","22","1","95.65"
"Ali Singa Gaon","","","","","1","1","99","99","0","100.00"
"Ali Singa Urium Guri","","","","","1","1","23","22","1","95.65"
"Ali Tala","","","","","1","1","23","22","1","95.65"
"Aliguri","","","","","1","1","23","22","1","95.65"
"Alisinga Gaon","","","","","1","1","23","22","1","95.65"
"Alu Para","","","","","1","2","55","23","32","41.82"
"Am-Tola","","","","","1","1","23","22","1","95.65"
"Am-Tola Bori","","","","","1","1","23","22","1","95.65"
"Amaguri","","","","","1","1","23","22","1","95.65"
"Amaguri Chapari","","","","","1","1","23","22","1","95.65"
"Ameloga No.2 F.V.","","","","","1","1","23","22","1","95.65"
"Amjarani","","","","","1","1","23","22","1","95.65"
"Amlaiguri","","","","","1","2","48","23","25","47.92"
"Amloga No.1","","","","","1","1","23","22","1","95.65"
"Amloga No.2","","","","","1","1","23","22","1","95.65"
"Amloga Pathar","","","","","1","1","23","22","1","95.65"
"Amloga Piyush Parly","","","","","1","1","180","0","180","0.00"
"Amlokhi Dalani","","","","","1","1","23","22","1","95.65"
"Amola Pam Gaon","","","","","1","1","23","22","1","95.65"
"Amtal Bali Gaon","","","","","1","1","23","22","1","95.65"
"Amtal Bangali Gaon","","","","","1","2","62","28","34","45.16"
"Amtal Bher Gaon","","","","","1","1","23","22","1","95.65"
"Anandapur","","","","","1","1","23","22","1","95.65"
"Anandapur","","","","","1","1","23","22","1","95.65"
"Ara Bari","","","","","1","2","1023","974","49","95.21"
"Ara Gang","","","","","1","1","23","22","1","95.65"
"Ara Gaon","","","","","1","1","23","22","1","95.65"
"Ara Suti","","","","","1","1","23","22","1","95.65"
"Arabari Gaon","","","","","1","1","23","22","1","95.65"
"Araliloga","","","","","1","1","23","22","1","95.65"
"Arasuti Gaon","","","","","1","1","23","22","1","95.65"
"Arasuti Janghal","","","","","1","1","23","22","1","95.65"
"Arasuti Pather","","","","","1","6","250","56","194","22.40"
"Aribhanga Bori","","","","","1","1","23","22","1","95.65"
"Aribhanga Gaon","","","","","1","1","23","22","1","95.65"
"Aribhanga Pathar","","","","","1","1","23","22","1","95.65"
"Arimara Pam","1","1","0","0","1","1","30","0","30","0.00"
"Arimara Pathar","","","","","1","1","23","22","1","95.65"
"Asra Bari","","","","","1","1","23","22","1","95.65"
"Auni Bori","","","","","1","1","23","22","1","95.65"
"Azar Bari","","","","","1","1","23","22","1","95.65"
"Babu Bil","","","","","1","1","23","22","1","95.65"
"Badal Pathar","","","","","1","1","23","22","1","95.65"
"Bagani Bari","","","","","1","1","23","22","1","95.65"
"Bagapani Gaon","","","","","1","1","23","22","1","95.65"
"Bagar Pathar","","","","","1","1","23","22","1","95.65"
"Bagari Bari Gaon","","","","","1","1","23","22","1","95.65"
"Bagari Suti","","","","","1","5","380","72","308","18.95"
"Baghchong Gaon","","","","","1","1","23","22","1","95.65"
"Baghmara Gaon","","","","","1","1","23","22","1","95.65"
"Baghmari T.E. 399/402","","","","","1","6","259","25","234","9.65"
"Bagijuli","","","","","1","1","47","0","47","0.00"
"Bagijuli Pathar","","","","","1","1","23","22","1","95.65"
"Bagori Ati","","","","","1","1","23","22","1","95.65"
"Bahabari Bagisa","","","","","1","2","284","231","53","81.34"
"Bahbari Gaon","","","","","1","6","181","97","84","53.59"
"Bahbari Gaon","","","","","1","2","34","10","24","29.41"
"Bahbari Pathar","","","","","1","8","199","25","174","12.56"
"Bahbera Gaon","","","","","1","3","177","50","127","28.25"
"Bahu Mari","1","1","0","0","1","2","22","0","22","0.00"
"Baitha Bhanga Bangali","","","","","1","5","134","22","112","16.42"
"Baitha Bhanga Gaon","","","","","1","1","23","22","1","95.65"
"Bajar Hola","","","","","1","1","23","22","1","95.65"
"Bakara Patta","","","","","1","7","349","0","349","0.00"
"Bakari Doloni","","","","","1","1","23","22","1","95.65"
"Bakola","","","","","1","1","23","22","1","95.65"
