"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"(Upar)Sisini N.C.","","","","","1","2","60","25","35","41.67"
"1 No. Bishnupur","","","","","1","2","97","38","59","39.18"
"1 No. Bishnupur Pohukhowa","","","","","1","2","126","63","63","50.00"
"1 No. Chapakhowa","","","","","1","2","112","65","47","58.04"
"1 No. Rampur Megela","","","","","1","1","43","0","43","0.00"
"1 No.Bacha Gaon","","","","","1","2","93","40","53","43.01"
"1 No.Boiragi Math","","","","","1","3","76","34","42","44.74"
"1 No.Borgorah Assamiya","","","","","1","2","132","79","53","59.85"
"1 No.Kundil","","","","","1","2","73","26","47","35.62"
"1 No.Santipur","","","","","1","2","74","15","59","20.27"
"112/109 Makum Assam T.C.No.3","","","","","1","2","79","44","35","55.70"
"112/109/Nla Grant 2 Makum Tea Co.","","","","","1","3","191","154","37","80.63"
"112/109/Nla Grant.1 Makum Tea Co.","","","","","1","4","157","154","3","98.09"
"177/174 Nlr.Grant","","","","","1","1","149","148","1","99.33"
"2 No. Bacha Gaon","","","","","1","3","128","80","48","62.50"
"2 No. Bishnupur Pohukhowa","","","","","1","1","37","0","37","0.00"
"2 No. Chillling","","","","","1","1","26","25","1","96.15"
"2 No. Kundil","","","","","1","1","46","0","46","0.00"
"2 No. Muluk Chapori","","","","","1","2","121","53","68","43.80"
"2 No.Bishnupur Bargohain","","","","","1","2","64","25","39","39.06"
"2 No.Boiragimath","","","","","1","2","56","3","53","5.36"
"2 No.Borgorah Assamiya","","","","","1","2","152","94","58","61.84"
"2 No.Chapakhowa","","","","","1","3","70","32","38","45.71"
"2 No.Gohain Gaon","","","","","1","2","67","25","42","37.31"
"2 No.Lakhimpuriya","","","","","1","2","161","108","53","67.08"
"2 No.Rampur Megela","","","","","1","2","119","61","58","51.26"
"2 No.Santipur","","","","","1","2","64","25","39","39.06"
"3 Mile","","","","","1","1","43","0","43","0.00"
"3 No.Borgorah Assamiya","","","","","1","2","70","25","45","35.71"
"3 No.Santipur","","","","","1","2","65","25","40","38.46"
