"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Baksa","5","5","0","0","681","3274","184177","97071","87106","52.71"
"Barpeta","41","30","2","9","827","3036","309768","163591","146177","52.81"
"Bongaigaon","14","12","0","2","538","2475","130225","93343","36882","71.68"
"Cachar","56","22","4","30","1011","2735","225986","82751","143235","36.62"
"Chirang","35","34","1","0","503","2210","87038","40808","46230","46.89"
"Darrang","55","35","3","17","551","2351","182900","72444","110456","39.61"
"Dhemaji","477","433","13","31","1259","2201","113893","37513","76380","32.94"
"Dhubri","146","86","2","58","1066","4236","396321","214357","181964","54.09"
"Dibrugarh","84","81","2","1","1326","6285","238567","153007","85560","64.14"
"Dima Hasao","273","193","6","74","652","1070","34466","17161","17305","49.79"
"Goalpara","62","37","0","25","791","2128","168020","102076","65944","60.75"
"Golaghat","75","74","1","0","1079","2911","210308","75094","135214","35.71"
"Hailakandi","17","14","1","2","323","1636","128115","41615","86500","32.48"
"Jorhat","72","38","8","26","784","3171","197530","86982","110548","44.03"
"Kamrup","37","29","1","7","1052","4312","288028","159737","128291","55.46"
"Kamrup Metropolitan","22","20","2","0","214","869","48970","20136","28834","41.12"
"Karbi Anglong","686","532","34","120","2644","3544","166506","107981","58525","64.85"
"Karimganj","82","80","2","0","924","2853","213563","111822","101741","52.36"
"Kokrajhar","38","35","1","2","1055","4236","165058","91593","73465","55.49"
"Lakhimpur","119","87","17","15","1140","2626","182623","88459","94164","48.44"
"Marigaon","16","14","1","1","603","2613","168360","111573","56787","66.27"
"Nagaon","225","216","9","0","1364","5553","479899","309109","170790","64.41"
"Nalbari","28","24","0","4","464","2507","136542","87511","49031","64.09"
"Sibsagar","145","141","4","0","863","2679","203229","88911","114318","43.75"
"Sonitpur","48","30","10","8","1796","2745","176192","109369","66823","62.07"
"Tinsukia","31","23","0","8","1148","3131","192212","105987","86225","55.14"
"Udalguri","3","3","0","0","799","3719","157656","85278","72378","54.09"
"Total","2,892","2,328","124","440","25,457","81,106","51,86,152","27,55,279","24,30,873",""
