"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ahmadpur","","","","","1","1","231","160","71","69.26"
"Ahmadpur Pahi","","","","","1","2","216","22","194","10.19"
"Ajitnagar","","","","","1","1","6","5","1","83.33"
"Akarthappa","","","","","1","1","67","17","50","25.37"
"Amauna","","","","","1","2","699","356","343","50.93"
"Amgachhi","","","","","1","1","141","1","140","0.71"
"Amgachhi","","","","","1","7","912","382","530","41.89"
"Amgachhi Milik","","","","","1","2","108","13","95","12.04"
"Amgachhi Milik Arazi","","","","","1","2","118","44","74","37.29"
"Amhara","","","","","1","5","1358","601","757","44.26"
"Amrori","","","","","1","1","230","112","118","48.70"
"Anchraand Hanuman nagar","","","","","1","5","1005","457","548","45.47"
"Araria","","","","","1","11","2031","486","1545","23.93"
"Arraha","","","","","1","2","1252","539","713","43.05"
"Arraha Madarganj","","","","","1","1","230","106","124","46.09"
"Artia","","","","","1","1","292","103","189","35.27"
"Asabhag","","","","","1","1","281","104","177","37.01"
"Asura Kalan Khola","","","","","1","1","666","210","456","31.53"
"Asuri","","","","","1","1","123","61","62","49.59"
"Aulabari","","","","","1","1","132","40","92","30.30"
"Aurahi","","","","","1","17","2502","1280","1222","51.16"
"Azmatpur","","","","","1","1","2","1","1","50.00"
"Bagdahara","","","","","1","3","1084","459","625","42.34"
"Bagesari","","","","","1","2","353","246","107","69.69"
"Baghmara","","","","","1","1","382","87","295","22.77"
"Baghua","","","","","1","1","133","83","50","62.41"
"Bagmara","","","","","1","1","366","46","320","12.57"
"Bagnagar","","","","","1","3","682","396","286","58.06"
"Bagulaha","","","","","1","9","1506","360","1146","23.90"
"Baharbari","","","","","1","1","2","0","2","0.00"
"Bahgi","","","","","1","1","4","2","2","50.00"
"Baija Patti","","","","","1","3","788","280","508","35.53"
"Baijnathpur","","","","","1","1","150","40","110","26.67"
"Baijnathpur","","","","","1","1","156","57","99","36.54"
"Baijnathpur","","","","","1","1","420","157","263","37.38"
"Bairgachhi","","","","","1","3","174","111","63","63.79"
"Bairgachhi","","","","","1","2","166","141","25","84.94"
"Bakainia","","","","","1","1","69","18","51","26.09"
"Bakhri Milik","","","","","1","1","22","14","8","63.64"
"Bakhri Milik","","","","","1","2","320","219","101","68.44"
"Balchanda","","","","","1","1","388","139","249","35.82"
"Balua","","","","","1","1","260","188","72","72.31"
"Balua","","","","","1","4","1847","281","1566","15.21"
"Balua","","","","","1","1","238","188","50","78.99"
"Banbhag","","","","","1","1","138","21","117","15.22"
"Bangawan","","","","","1","2","1260","140","1120","11.11"
"Bangawan","","","","","1","1","149","38","111","25.50"
