"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abgila","","","","","1","1","43","40","3","93.02"
"Abgila","","","","","1","2","246","183","63","74.39"
"Agnur","","","","","1","1","1480","294","1186","19.86"
"Ahmadpur Harna","","","","","1","2","374","3","371","0.80"
"Aiyara","","","","","1","6","660","323","337","48.94"
"Akranga","","","","","1","1","203","132","71","65.02"
"Akraunja Chak","","","","","1","1","1","1","0","100.00"
"Alawalpur","","","","","1","1","383","70","313","18.28"
"Amra","","","","","1","3","516","246","270","47.67"
"Angari","","","","","1","1","71","22","49","30.99"
"Angarichak","","","","","1","1","74","16","58","21.62"
"Anuan","","","","","1","2","297","136","161","45.79"
"Baghra","","","","","1","1","125","85","40","68.00"
"Bahadurpur","","","","","1","1","201","95","106","47.26"
"Baid Bigha","","","","","1","1","13","6","7","46.15"
"Bakhtar","","","","","1","1","176","100","76","56.82"
"Bakhtari","","","","","1","1","245","105","140","42.86"
"Ballopur","","","","","1","1","64","0","64","0.00"
"Bambhai","","","","","1","1","768","171","597","22.27"
"Bania Bigha","","","","","1","3","332","134","198","40.36"
"Bansi Surajpur","","","","","1","2","358","211","147","58.94"
"Bara","","","","","1","1","218","212","6","97.25"
"Bara","","","","","1","6","499","138","361","27.66"
"Bara","","","","","1","1","113","105","8","92.92"
"Bara Nathu","","","","","1","1","167","86","81","51.50"
"Barahia","","","","","1","1","64","12","52","18.75"
"Barahiya","","","","","1","2","96","3","93","3.13"
"Baroha","","","","","1","1","2","2","0","100.00"
"Basatpur","","","","","1","1","116","0","116","0.00"
"Bath","","","","","1","1","767","0","767","0.00"
"Bazidpur","","","","","1","1","172","172","0","100.00"
"Bazidpur","","","","","1","1","76","31","45","40.79"
"Bazidpur","","","","","1","1","83","22","61","26.51"
"Bazidpur Karwa","","","","","1","1","114","92","22","80.70"
"Belaura","","","","","1","1","253","165","88","65.22"
"Belawan","","","","","1","1","349","0","349","0.00"
"Belkari","","","","","1","1","140","24","116","17.14"
"Belkharakhas","","","","","1","1","555","271","284","48.83"
"Belkhari Chak","","","","","1","1","34","3","31","8.82"
"Belsar","","","","","1","1","643","129","514","20.06"
"Benipur","","","","","1","3","179","64","115","35.75"
"Bhadasi","","","","","1","1","442","232","210","52.49"
"Bhagwanpur","","","","","1","1","155","0","155","0.00"
"Bhagwatipur","","","","","1","1","4","4","0","100.00"
"Bhagwatipur","","","","","1","1","92","68","24","73.91"
"Bhermpur Khapura","","","","","1","1","33","26","7","78.79"
"Bhikhanpur Dhawai","","","","","1","1","124","0","124","0.00"
"Bhusura","","","","","1","3","176","79","97","44.89"
"Bichlagawan","","","","","1","2","210","87","123","41.43"
"Bishunpur","","","","","1","1","60","55","5","91.67"
"Bithra","","","","","1","2","228","84","144","36.84"
"Chakia","","","","","1","1","123","42","81","34.15"
"Chamardih","","","","","1","4","360","135","225","37.50"
"Chand Bigha","","","","","1","1","33","20","13","60.61"
"Chauhar","","","","","1","1","310","282","28","90.97"
"Chauhar Chak","","","","","1","1","122","83","39","68.03"
"Chauki","","","","","1","1","67","0","67","0.00"
"Chauki","","","","","1","1","54","0","54","0.00"
"Chhatoi","","","","","1","2","312","64","248","20.51"
"Chiraia Tanr","","","","","1","1","92","61","31","66.30"
"Dakra","","","","","1","1","102","62","40","60.78"
"Dangra  Ahar","","","","","1","1","261","136","125","52.11"
"Darheta","","","","","1","1","147","35","112","23.81"
"Dariyapur","","","","","1","1","66","20","46","30.30"
"Darwesh pura","","","","","1","1","13","9","4","69.23"
"Daudpur","","","","","1","1","7","0","7","0.00"
"Daudpur","","","","","1","1","37","14","23","37.84"
"Daulatpur Dhawai","","","","","1","1","42","42","0","100.00"
"Dewa Bigha","","","","","1","1","30","0","30","0.00"
"Dhamaul","","","","","1","3","886","200","686","22.57"
"Dharampur","","","","","1","1","214","86","128","40.19"
"Dharnai","","","","","1","5","323","1","322","0.31"
"Dhondar","","","","","1","2","480","230","250","47.92"
"Doniala","","","","","1","1","202","46","156","22.77"
"Durgapur","","","","","1","1","156","25","131","16.03"
"Durra","","","","","1","1","464","223","241","48.06"
"Fakharpur","","","","","1","1","392","305","87","77.81"
"Fatehabad","","","","","1","1","385","30","355","7.79"
"Fatehpur Saurha","","","","","1","1","271","181","90","66.79"
"Gaddopur","","","","","1","1","363","211","152","58.13"
"Gainari","","","","","1","1","46","30","16","65.22"
"Gangapur","","","","","1","2","297","235","62","79.12"
"Gangapur","","","","","1","1","75","39","36","52.00"
"Gangea","","","","","1","2","113","23","90","20.35"
"Gauhara","","","","","1","4","647","117","530","18.08"
"Ghazipur","","","","","1","1","117","53","64","45.30"
"Ghazipur","","","","","1","1","94","92","2","97.87"
"Gobindpur","","","","","1","1","79","45","34","56.96"
"Goind","","","","","1","1","111","0","111","0.00"
"Gokhulpur","","","","","1","1","80","6","74","7.50"
"Gonpura","","","","","1","1","243","122","121","50.21"
"Gorkatta","","","","","1","1","103","0","103","0.00"
"Goura","","","","","1","1","118","76","42","64.41"
"Haibatpur","","","","","1","1","289","203","86","70.24"
"Hajipur","","","","","1","1","206","105","101","50.97"
"Hajipur","","","","","1","1","1","0","1","0.00"
"Hardia","","","","","1","1","402","7","395","1.74"
"Harna","","","","","1","1","249","160","89","64.26"
"Harpur","","","","","1","1","104","31","73","29.81"
"Hasanpur Pipra","","","","","1","3","339","181","158","53.39"
"Helalpur","","","","","1","1","207","73","134","35.27"
