"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdulpur","","","","","1","1","125","1","124","0.80"
"Achlu","","","","","1","1","35","1","34","2.86"
"Achuki","","","","","1","1","205","0","205","0.00"
"Adhaura","","","","","1","1","87","42","45","48.28"
"Adhyan Khap","","","","","1","1","54","0","54","0.00"
"Adma","","","","","1","1","105","77","28","73.33"
"Adma Rastipur","","","","","1","1","160","18","142","11.25"
"Adri","","","","","1","1","104","28","76","26.92"
"Agini","1","1","0","0","1","1","141","125","16","88.65"
"Ahamadpur","","","","","1","1","116","81","35","69.83"
"Ahirari","","","","","1","1","95","1","94","1.05"
"Ahiyapur","","","","","1","1","296","206","90","69.59"
"Ajania","1","1","0","0","1","1","384","270","114","70.31"
"Ajho","","","","","1","1","57","1","56","1.75"
"Akauna","","","","","1","1","394","11","383","2.79"
"Akauna","","","","","1","1","85","62","23","72.94"
"Akauni","1","1","0","0","1","1","120","50","70","41.67"
"Akoni","","","","","1","1","194","95","99","48.97"
"Akorha","1","1","0","0","1","1","442","287","155","64.93"
"Akorha","1","1","0","0","1","1","148","139","9","93.92"
"Akorhi","1","1","0","0","1","1","27","0","27","0.00"
"Alampur","","","","","1","1","126","85","41","67.46"
"Alarpur","","","","","1","1","44","33","11","75.00"
"Alpa","","","","","1","1","273","45","228","16.48"
"Amarpur","","","","","1","1","53","0","53","0.00"
"Amarpura","","","","","1","1","129","72","57","55.81"
"Amarpura","","","","","1","1","101","1","100","0.99"
"Amarpura","","","","","1","1","151","9","142","5.96"
"Amauna","","","","","1","1","7","0","7","0.00"
"Amauna","","","","","1","1","393","36","357","9.16"
"Amauna","","","","","1","1","206","123","83","59.71"
"Amauna","","","","","1","1","248","74","174","29.84"
"Amba","1","1","0","0","1","1","552","310","242","56.16"
"Amba","1","1","0","0","1","1","47","25","22","53.19"
"Amba","1","1","0","0","1","1","119","93","26","78.15"
"Amdiha","","","","","1","1","56","20","36","35.71"
"Amilauna","","","","","1","4","395","150","245","37.97"
"Amjhar","","","","","1","1","1223","603","620","49.30"
"Anandpura","","","","","1","1","44","29","15","65.91"
"Andari","","","","","1","1","1","1","0","100.00"
"Anehha","","","","","1","1","679","318","361","46.83"
"Angrahi","","","","","1","1","127","69","58","54.33"
"Anjania","","","","","1","1","300","97","203","32.33"
"Anjanian","","","","","1","1","111","18","93","16.22"
"Anjanian","","","","","1","1","181","35","146","19.34"
"Ankorha","","","","","1","1","101","9","92","8.91"
"Ankupa","","","","","1","1","106","11","95","10.38"
"Ankuri","","","","","1","1","145","106","39","73.10"
"Anwari","","","","","1","1","296","124","172","41.89"
"Apki","","","","","1","1","70","10","60","14.29"
"Arai","","","","","1","1","876","154","722","17.58"
"Arai Khap","","","","","1","1","91","91","0","100.00"
"Aranda","","","","","1","1","146","118","28","80.82"
"Aranda","","","","","1","1","372","144","228","38.71"
"Arazi Sohraiya","","","","","1","1","2","2","0","100.00"
"Arjun Bigha","","","","","1","1","6","5","1","83.33"
"Arri","","","","","1","1","126","0","126","0.00"
"Arthua","","","","","1","1","375","163","212","43.47"
"Arti","","","","","1","1","27","27","0","100.00"
"Asapur","","","","","1","1","46","28","18","60.87"
"Asia","","","","","1","1","26","0","26","0.00"
"Asias","","","","","1","1","144","0","144","0.00"
"Askhap","","","","","1","1","83","0","83","0.00"
"At","","","","","1","1","123","92","31","74.80"
"Atrauli","","","","","1","1","293","123","170","41.98"
"Atraulibanwari","","","","","1","1","155","26","129","16.77"
"Atraulidhan","","","","","1","1","60","0","60","0.00"
"Aurawan","","","","","1","1","241","141","100","58.51"
"Az Rakbe Sohraiya","","","","","1","1","23","1","22","4.35"
"Azan","","","","","1","1","204","54","150","26.47"
"Azrakbe Dhanari","","","","","1","1","30","0","30","0.00"
"Babhandih","","","","","1","1","153","110","43","71.90"
"Babhandih","","","","","1","1","81","1","80","1.23"
"Babhandih","","","","","1","1","39","16","23","41.03"
"Babhandih","","","","","1","1","229","41","188","17.90"
"Babhandiha","","","","","1","2","389","244","145","62.72"
"Badarpur","","","","","1","1","88","21","67","23.86"
"Badarpur","","","","","1","1","94","44","50","46.81"
"Baddopur","","","","","1","1","160","48","112","30.00"
"Badli","","","","","1","1","50","1","49","2.00"
"Bagaha","","","","","1","1","54","5","49","9.26"
"Bagahi","","","","","1","1","47","4","43","8.51"
"Bagahi","","","","","1","1","73","5","68","6.85"
"Bagaiya","","","","","1","1","166","59","107","35.54"
"Bagha  Soti","","","","","1","1","91","3","88","3.30"
"Baghakol","","","","","1","1","47","24","23","51.06"
"Baghakol","","","","","1","1","32","1","31","3.13"
"Bagharewa","","","","","1","1","23","9","14","39.13"
"Baghaura","","","","","1","1","329","15","314","4.56"
"Baghi","1","1","0","0","1","1","45","45","0","100.00"
"Baghi","1","1","0","0","1","1","181","40","141","22.10"
"Baghoi","","","","","1","1","584","307","277","52.57"
"Baghoi Kalan","","","","","1","1","169","38","131","22.49"
"Baghoi Khurd","","","","","1","1","122","32","90","26.23"
"Baghtarpa","","","","","1","1","144","91","53","63.19"
"Bagnaha","","","","","1","1","136","60","76","44.12"
"Bahadurpur","","","","","1","1","363","113","250","31.13"
"Bahadurpur","","","","","1","1","93","59","34","63.44"
"Bahera","","","","","1","1","145","83","62","57.24"
"Bahlola","","","","","1","1","70","68","2","97.14"
"Bahuara","","","","","1","1","79","46","33","58.23"
"Bahuara","","","","","1","1","108","33","75","30.56"
"Bahuara","","","","","1","1","47","9","38","19.15"
"Bahuara","","","","","1","1","180","0","180","0.00"
"Bahuti","","","","","1","1","64","29","35","45.31"
"Baidahi","","","","","1","1","35","24","11","68.57"
"Baijal","","","","","1","1","50","5","45","10.00"
"Baijalpur","","","","","1","1","92","26","66","28.26"
"Baijalpur","","","","","1","1","284","114","170","40.14"
"Baijalpur","","","","","1","1","65","22","43","33.85"
"Bairawan","","","","","1","1","408","77","331","18.87"
"Bairawan Loknath","","","","","1","1","103","0","103","0.00"
"Bairia","","","","","1","1","196","16","180","8.16"
"Bairia","","","","","1","1","129","6","123","4.65"
"Bajraun","","","","","1","1","105","0","105","0.00"
"Bakan","","","","","1","1","174","124","50","71.26"
"Bakhari","","","","","1","1","93","73","20","78.49"
"Bakhtiarpur","","","","","1","1","194","46","148","23.71"
"Bakhtiyarpur","","","","","1","1","70","48","22","68.57"
"Bakhtiyarpur","","","","","1","1","48","13","35","27.08"
"Baksanr","","","","","1","1","525","90","435","17.14"
"Baktua","","","","","1","1","75","65","10","86.67"
"Balar","","","","","1","5","415","102","313","24.58"
"Balia","","","","","1","1","272","51","221","18.75"
"Baligawan","","","","","1","1","434","210","224","48.39"
"Balihari","","","","","1","1","48","17","31","35.42"
"Balkarna","","","","","1","1","148","31","117","20.95"
"Balli Bigaha","","","","","1","1","10","7","3","70.00"
"Balmha","","","","","1","1","190","50","140","26.32"
"Baluganj Barandi","","","","","1","1","302","41","261","13.58"
"Banahi","","","","","1","1","15","8","7","53.33"
"Banahi","","","","","1","1","54","18","36","33.33"
"Banahi","","","","","1","1","168","25","143","14.88"
"Banahra","","","","","1","2","24","18","6","75.00"
"Banatra Said","","","","","1","1","775","94","681","12.13"
"Banauli","1","1","0","0","1","1","111","3","108","2.70"
"Banauli","1","1","0","0","1","1","16","2","14","12.50"
"Banchar Bagra","","","","","1","1","173","6","167","3.47"
"Banchar Khurd","","","","","1","1","167","67","100","40.12"
"Bandea","","","","","1","1","125","73","52","58.40"
"Bandhua","","","","","1","1","252","17","235","6.75"
"Bandra","","","","","1","1","22","0","22","0.00"
"Banhara","","","","","1","1","18","5","13","27.78"
"Bania","","","","","1","1","54","1","53","1.85"
"Banian","","","","","1","1","492","206","286","41.87"
"Banka","","","","","1","1","54","34","20","62.96"
"Banokhar","","","","","1","1","127","54","73","42.52"
"Banra","","","","","1","1","7","1","6","14.29"
"Bansikhap","","","","","1","1","28","28","0","100.00"
"Banua","","","","","1","1","371","26","345","7.01"
"Bar Pisani","","","","","1","1","9","9","0","100.00"
"Bara","1","1","0","0","1","1","73","0","73","0.00"
"Bara","1","1","0","0","1","1","103","60","43","58.25"
"Bara","1","1","0","0","1","1","25","20","5","80.00"
"Bara","1","1","0","0","1","1","10","2","8","20.00"
"Bara","1","1","0","0","1","1","60","50","10","83.33"
"Bara","1","1","0","0","1","1","26","17","9","65.38"
"Bara","1","1","0","0","1","1","71","46","25","64.79"
"Bara","1","1","0","0","1","1","64","27","37","42.19"
"Bara Khurd","","","","","1","1","37","0","37","0.00"
"Barahi","","","","","1","1","127","8","119","6.30"
"Barahi","","","","","1","1","4","4","0","100.00"
"Barahi","","","","","1","1","228","0","228","0.00"
"Barahra","","","","","1","1","100","13","87","13.00"
"Barai Khap","","","","","1","1","118","2","116","1.69"
"Baranda Rampur","","","","","1","1","300","38","262","12.67"
"Barauli","","","","","1","1","32","7","25","21.88"
"Barauli","","","","","1","1","239","38","201","15.90"
"Barawan","","","","","1","1","413","90","323","21.79"
"Bardih Kalan","","","","","1","1","128","93","35","72.66"
"Bardih Khurd","1","1","0","0","1","1","160","103","57","64.38"
"Bardiha","","","","","1","1","29","2","27","6.90"
"Bardiha","","","","","1","1","32","12","20","37.50"
"Barem","","","","","1","1","267","145","122","54.31"
"Bargawan","","","","","1","1","187","84","103","44.92"
"Barhar","","","","","1","1","33","8","25","24.24"
"Barheta","","","","","1","1","151","55","96","36.42"
"Barheta","","","","","1","1","154","86","68","55.84"
"Barianwan","","","","","1","1","75","16","59","21.33"
"Barianwan","","","","","1","1","65","54","11","83.08"
"Bariawan","1","1","0","0","1","1","183","28","155","15.30"
"Barimal","","","","","1","1","111","0","111","0.00"
"Bariyawan","","","","","1","1","451","195","256","43.24"
"Barki Parhi","","","","","1","1","91","71","20","78.02"
"Barki Regania","","","","","1","1","111","16","95","14.41"
"Barman","","","","","1","1","279","54","225","19.35"
"Barokhar","","","","","1","1","316","55","261","17.41"
"Barpa","","","","","1","4","241","69","172","28.63"
"Barun","","","","","1","1","873","453","420","51.89"
"Baruna","","","","","1","1","186","72","114","38.71"
"Barwan","","","","","1","1","133","15","118","11.28"
"Barwan","","","","","1","1","430","198","232","46.05"
"Barwan","","","","","1","1","304","150","154","49.34"
"Basant","","","","","1","1","351","240","111","68.38"
"Basar Bigha","","","","","1","1","145","111","34","76.55"
"Basat pur","","","","","1","1","31","1","30","3.23"
"Basatpur","","","","","1","1","155","43","112","27.74"
"Basaura","","","","","1","1","70","24","46","34.29"
"Basaura","","","","","1","1","75","18","57","24.00"
"Basawanpur","","","","","1","1","99","56","43","56.57"
"Basdiha","","","","","1","1","83","2","81","2.41"
"Basdiha","","","","","1","1","223","44","179","19.73"
"Basdiha","","","","","1","1","126","0","126","0.00"
"Basdiha","","","","","1","1","98","25","73","25.51"
"Basdiha","","","","","1","1","50","10","40","20.00"
"Basdiha","","","","","1","1","177","153","24","86.44"
"Basdiha Gopal","","","","","1","1","105","10","95","9.52"
"Basdiha Khurd","1","1","0","0","1","1","78","0","78","0.00"
"Basdihakalan","","","","","1","1","88","47","41","53.41"
"Basri","","","","","1","1","119","0","119","0.00"
"Bataspur","","","","","1","1","12","11","1","91.67"
"Batawan","","","","","1","3","129","7","122","5.43"
"Batura","","","","","1","1","97","11","86","11.34"
"Batura","","","","","1","1","243","49","194","20.16"
"Baturi","","","","","1","1","72","32","40","44.44"
"Baunr","","","","","1","1","414","80","334","19.32"
"Bazidpur","","","","","1","1","53","50","3","94.34"
"Bazidpur","","","","","1","1","154","10","144","6.49"
"Bazidpur","","","","","1","1","53","43","10","81.13"
"Bazidpur","","","","","1","1","28","18","10","64.29"
"Bazidpur Khurd","","","","","1","1","53","36","17","67.92"
"Bedauli","","","","","1","1","15","9","6","60.00"
"Bedaulia","","","","","1","1","9","9","0","100.00"
"Bedauliya","1","1","0","0","1","1","88","1","87","1.14"
"Bel","","","","","1","4","661","199","462","30.11"
"Bela","1","1","0","0","1","1","115","5","110","4.35"
"Bela","1","1","0","0","1","1","57","0","57","0.00"
"Bela","1","1","0","0","1","1","390","60","330","15.38"
"Bela","1","1","0","0","1","1","364","10","354","2.75"
"Bela","1","1","0","0","1","1","207","24","183","11.59"
"Bela","1","1","0","0","1","1","175","96","79","54.86"
"Bela","1","1","0","0","1","1","301","222","79","73.75"
"Belain","","","","","1","1","211","43","168","20.38"
"Belain","","","","","1","1","75","4","71","5.33"
"Belarhi","","","","","1","1","569","157","412","27.59"
"Belarhi","","","","","1","1","44","24","20","54.55"
"Belarhia","","","","","1","2","136","2","134","1.47"
"Belaru","","","","","1","1","72","19","53","26.39"
"Belauti","","","","","1","1","126","33","93","26.19"
"Beli","","","","","1","1","113","38","75","33.63"
"Belsara","","","","","1","1","184","73","111","39.67"
"Belwa","","","","","1","1","108","88","20","81.48"
"Belwa","","","","","1","1","66","40","26","60.61"
"Bengahi","","","","","1","1","102","92","10","90.20"
"Beni","","","","","1","1","221","130","91","58.82"
"Beni Ganjhar","","","","","1","1","310","117","193","37.74"
"Berewa","1","1","0","0","1","1","27","25","2","92.59"
"Berhani","","","","","1","1","417","37","380","8.87"
"Berhna","","","","","1","1","104","22","82","21.15"
"Berhna","","","","","1","1","381","0","381","0.00"
"Beri","","","","","1","1","237","38","199","16.03"
"Beri","","","","","1","1","689","251","438","36.43"
"Berka","","","","","1","1","171","87","84","50.88"
"Betula","","","","","1","1","48","0","48","0.00"
"Bhadokhar","","","","","1","1","63","0","63","0.00"
"Bhadua","","","","","1","1","163","83","80","50.92"
"Bhaduki","","","","","1","1","130","11","119","8.46"
"Bhaduki Kalan","","","","","1","1","208","78","130","37.50"
"Bhadwa","","","","","1","4","493","306","187","62.07"
"Bhagli","","","","","1","1","20","20","0","100.00"
"Bhagwanpur","","","","","1","1","35","0","35","0.00"
"Bhairopur","","","","","1","1","74","49","25","66.22"
"Bhairopur  Arazi","1","1","0","0","1","1","11","0","11","0.00"
"Bhakharua","","","","","1","1","429","381","48","88.81"
"Bhakhra","","","","","1","1","37","29","8","78.38"
"Bhalu Khaira","","","","","1","1","177","114","63","64.41"
"Bhalua","","","","","1","1","40","3","37","7.50"
"Bhalua Chak","","","","","1","1","28","20","8","71.43"
"Bhaluahi","","","","","1","1","108","0","108","0.00"
"Bhaluhar","","","","","1","1","153","56","97","36.60"
"Bhaluhara","","","","","1","1","102","2","100","1.96"
"Bhaluwari","","","","","1","1","115","21","94","18.26"
"Bhaluwari Kalan","","","","","1","1","268","251","17","93.66"
"Bhaluwari Khurd","","","","","1","1","402","94","308","23.38"
"Bhandari","","","","","1","1","61","12","49","19.67"
"Bharath","","","","","1","1","89","74","15","83.15"
"Bharaundha","","","","","1","1","264","78","186","29.55"
"Bharkur","","","","","1","1","80","4","76","5.00"
"Bharthauli","","","","","1","1","149","95","54","63.76"
"Bharthauli","","","","","1","1","97","20","77","20.62"
"Bharthipur","","","","","1","1","123","58","65","47.15"
"Bharub","","","","","1","1","996","573","423","57.53"
"Bharwar","","","","","1","1","174","92","82","52.87"
"Bhasgarh","","","","","1","1","2","1","1","50.00"
"Bhatanri","","","","","1","1","78","0","78","0.00"
"Bhataulia","","","","","1","1","127","26","101","20.47"
"Bhatkur","","","","","1","1","489","7","482","1.43"
"Bhatkur","","","","","1","1","22","0","22","0.00"
"Bhatkur","","","","","1","1","36","21","15","58.33"
"Bhatkurha","","","","","1","1","163","0","163","0.00"
"Bhatwa Bhagli","","","","","1","1","121","21","100","17.36"
"Bhaudiha","","","","","1","1","10","0","10","0.00"
"Bhauli","","","","","1","1","62","26","36","41.94"
"Bhauthahi","","","","","1","1","176","97","79","55.11"
"Bhawanipur","","","","","1","1","294","206","88","70.07"
"Bhed","","","","","1","1","9","5","4","55.56"
