"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abda Chak","","","","","1","1","90","75","15","83.33"
"Ahiro","","","","","1","8","1708","258","1450","15.11"
"Ahmad Alipur","","","","","1","1","89","57","32","64.04"
"Ahmad Alipur","","","","","1","1","249","91","158","36.55"
"Ajitkita","","","","","1","1","22","4","18","18.18"
"Ajitnagar","","","","","1","2","193","80","113","41.45"
"Alalkita","","","","","1","1","51","32","19","62.75"
"Alipur","","","","","1","1","315","85","230","26.98"
"Alkosia","","","","","1","4","101","46","55","45.54"
"Amarbarhait","","","","","1","1","155","8","147","5.16"
"Amba","","","","","1","1","201","81","120","40.30"
"Amdaha","","","","","1","1","115","73","42","63.48"
"Amgarhia","","","","","1","1","2","0","2","0.00"
"Amhara Milik","","","","","1","1","192","60","132","31.25"
"Aminpur","","","","","1","1","36","15","21","41.67"
"Aminpur","","","","","1","1","88","44","44","50.00"
"Anandpur","","","","","1","1","130","80","50","61.54"
"Angaro Jabra","","","","","1","7","1014","457","557","45.07"
"Arsanda","","","","","1","1","92","37","55","40.22"
"Asanbani","","","","","1","1","24","0","24","0.00"
"Asanha","","","","","1","1","443","242","201","54.63"
"Asauta","","","","","1","2","83","17","66","20.48"
"Asauta","","","","","1","1","211","61","150","28.91"
"Asi","","","","","1","1","309","208","101","67.31"
"Asi","","","","","1","1","98","8","90","8.16"
"Asia Chak","","","","","1","1","335","147","188","43.88"
"Athpahara","","","","","1","1","268","102","166","38.06"
"Aulia Chak","","","","","1","1","109","49","60","44.95"
"Auraiya","","","","","1","1","121","8","113","6.61"
"Auria","","","","","1","18","1826","466","1360","25.52"
"Azimganj","","","","","1","1","42","18","24","42.86"
"Azmatullah Chak","","","","","1","1","49","21","28","42.86"
"Babhan Korama","","","","","1","1","113","54","59","47.79"
"Babhan Korama Arazi","","","","","1","1","23","6","17","26.09"
"Babhangawan","","","","","1","1","167","69","98","41.32"
"Babhangawan","","","","","1","4","829","251","578","30.28"
"Babhangawan","","","","","1","18","907","347","560","38.26"
"Babura","","","","","1","2","775","96","679","12.39"
"Baburampur","","","","","1","1","212","21","191","9.91"
"Bachhaur","","","","","1","1","48","11","37","22.92"
"Bachhaur","","","","","1","1","108","45","63","41.67"
"Bachhni","","","","","1","1","230","10","220","4.35"
"Badali Chak","","","","","1","1","34","16","18","47.06"
"Badrar","","","","","1","3","297","83","214","27.95"
"Bagaicha","","","","","1","1","106","3","103","2.83"
"Bagduma","","","","","1","8","1691","477","1214","28.21"
"Bagha","","","","","1","1","135","9","126","6.67"
"Baghajain","","","","","1","1","1","1","0","100.00"
"Baghaunia","","","","","1","2","48","21","27","43.75"
"Baghmari","","","","","1","1","159","81","78","50.94"
