"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbupur","","","","","1","1","180","94","86","52.22"
"Abbupur","","","","","1","1","10","6","4","60.00"
"Abhuar","","","","","1","1","182","21","161","11.54"
"Achhe Chak","","","","","1","1","44","0","44","0.00"
"Adharpur","","","","","1","3","501","266","235","53.09"
"Agapur","","","","","1","1","2","2","0","100.00"
"Agapur","","","","","1","1","13","9","4","69.23"
"Agapur","","","","","1","1","738","431","307","58.40"
"Ahmadpur","","","","","1","1","208","103","105","49.52"
"Ajhaur","","","","","1","2","777","405","372","52.12"
"Ajni","","","","","1","7","1128","405","723","35.90"
"Akaha","","","","","1","1","446","206","240","46.19"
"Akbarpur","","","","","1","1","19","10","9","52.63"
"Akbarpur Barari","","","","","1","7","826","239","587","28.93"
"Alam Chak","","","","","1","1","201","143","58","71.14"
"Alam Chak","","","","","1","1","20","15","5","75.00"
"Alampur Kanhu","","","","","1","4","566","411","155","72.61"
"Alapur","","","","","1","1","592","343","249","57.94"
"Amari","","","","","1","3","1727","553","1174","32.02"
"Amarpur","","","","","1","5","483","232","251","48.03"
"Amjadpur Bitholi","","","","","1","1","840","367","473","43.69"
"Amraur Kiratpur","","","","","1","2","691","364","327","52.68"
"Arazi Auganhingu","","","","","1","1","2","2","0","100.00"
"Arazi Auganhingu","","","","","1","3","281","208","73","74.02"
"Arazi Bhagwatpur","","","","","1","1","57","4","53","7.02"
"Arazi Bishunpur","","","","","1","1","266","71","195","26.69"
"Arazi Kiratpur","","","","","1","1","107","70","37","65.42"
"Arazi Panapur","","","","","1","1","14","4","10","28.57"
"Arazi Panapur","","","","","1","1","132","66","66","50.00"
"Arazi Panapur","","","","","1","1","58","14","44","24.14"
"Arazi Panapur","","","","","1","2","284","169","115","59.51"
"Arazi Rasalpur Mahesh","","","","","1","1","3","3","0","100.00"
"Arazi Tulsipur","","","","","1","1","12","11","1","91.67"
"Arwa","","","","","1","4","1087","589","498","54.19"
"Asurari","","","","","1","1","584","331","253","56.68"
"Aure","","","","","1","1","225","47","178","20.89"
"Babhain","","","","","1","1","301","21","280","6.98"
"Babhanganwan","","","","","1","1","953","484","469","50.79"
"Babhanganwan","","","","","1","1","548","195","353","35.58"
"Bachhwara","","","","","1","5","572","439","133","76.75"
"Bad Bakhadda","","","","","1","1","257","99","158","38.52"
"Badh Mirzapur","","","","","1","1","200","65","135","32.50"
"Badhalpur","","","","","1","1","8","0","8","0.00"
"Bagban","","","","","1","1","390","70","320","17.95"
"Baghras Hari Singh","","","","","1","1","212","128","84","60.38"
"Baghras than Singh","","","","","1","1","325","136","189","41.85"
"Bagwara","","","","","1","1","761","238","523","31.27"
"Bahadurpur","","","","","1","1","107","89","18","83.18"
"Bahadurpur","","","","","1","1","88","73","15","82.95"
"Bahdarpur","","","","","1","1","458","354","104","77.29"
"Bahdarpur","","","","","1","2","877","617","260","70.35"
"Bahor Chak","","","","","1","1","496","130","366","26.21"
"Bahrampur","","","","","1","1","2","0","2","0.00"
"Bahrampur","","","","","1","1","516","241","275","46.71"
"Bahrampur","","","","","1","1","21","14","7","66.67"
"Bahrampur","","","","","1","1","13","7","6","53.85"
"Bahuara","","","","","1","1","113","6","107","5.31"
"Bahuara","","","","","1","1","34","0","34","0.00"
"Bahuara","","","","","1","1","580","42","538","7.24"
"Bairwa","","","","","1","1","93","25","68","26.88"
"Bakhadda","","","","","1","2","401","119","282","29.68"
