"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdullanagar","","","","","1","1","33","29","4","87.88"
"Abhia","","","","","1","1","530","327","203","61.70"
"Afzalpur","","","","","1","1","106","26","80","24.53"
"Afzuganj","","","","","1","5","324","170","154","52.47"
"Agaia","","","","","1","1","126","26","100","20.63"
"Agaia","","","","","1","1","223","37","186","16.59"
"Agarpur","","","","","1","1","1608","646","962","40.17"
"Agra","","","","","1","1","91","9","82","9.89"
"Ahuti","","","","","1","1","180","0","180","0.00"
"Ajalpur Milik","","","","","1","1","2","1","1","50.00"
"Ajmeripur","","","","","1","1","253","0","253","0.00"
"Akbarnagar","","","","","1","4","593","259","334","43.68"
"Akbarpur","","","","","1","1","218","148","70","67.89"
"Akidatpur","","","","","1","1","678","134","544","19.76"
"Alampur","","","","","1","1","298","213","85","71.48"
"Alipur","","","","","1","1","139","15","124","10.79"
"Amarpur","","","","","1","2","172","31","141","18.02"
"Amba","","","","","1","1","78","50","28","64.10"
"Ambai","","","","","1","1","30","21","9","70.00"
"Ambai","","","","","1","1","35","24","11","68.57"
"Ambai","","","","","1","1","102","69","33","67.65"
"Ambai","","","","","1","1","12","11","1","91.67"
"Ambai Nist","","","","","1","1","684","253","431","36.99"
"Amdanda","","","","","1","1","488","110","378","22.54"
"Amdar","","","","","1","1","358","13","345","3.63"
"Amdiha","","","","","1","1","250","3","247","1.20"
"Ammapali","","","","","1","1","97","29","68","29.90"
"Amwa","","","","","1","1","297","132","165","44.44"
"Anandpur","","","","","1","1","7","4","3","57.14"
"Angari","","","","","1","1","79","63","16","79.75"
"Angari Buzurg","","","","","1","1","297","161","136","54.21"
"Ankita","","","","","1","1","127","55","72","43.31"
"Antichak","","","","","1","1","518","140","378","27.03"
"Arar","","","","","1","1","664","98","566","14.76"
"Asiachak","","","","","1","1","293","176","117","60.07"
"Asinchak","","","","","1","1","63","36","27","57.14"
"Asnaha","","","","","1","1","202","62","140","30.69"
"Asrafpur","","","","","1","1","197","104","93","52.79"
"Aurangabad","","","","","1","1","97","59","38","60.82"
"Aurangabad","","","","","1","1","66","20","46","30.30"
"Awa","","","","","1","1","83","34","49","40.96"
"Azampur","","","","","1","1","131","30","101","22.90"
"Azizpur Pithra","","","","","1","1","171","57","114","33.33"
"Azmabad","","","","","1","3","1555","545","1010","35.05"
"Azmabad Milik","","","","","1","1","108","25","83","23.15"
"Babhangawan","","","","","1","1","419","54","365","12.89"
"Babhangawan","","","","","1","1","853","666","187","78.08"
"Babhangawan","","","","","1","1","122","43","79","35.25"
"Babhania","","","","","1","1","109","83","26","76.15"
"Babupur","","","","","1","1","511","148","363","28.96"
"Babupur","","","","","1","1","1","0","1","0.00"
"Babupur","","","","","1","2","763","49","714","6.42"
"Badari","","","","","1","1","45","28","17","62.22"
"Bade Logain","","","","","1","1","148","107","41","72.30"
"Baderampur","","","","","1","1","62","30","32","48.39"
"Badluchak","","","","","1","1","302","100","202","33.11"
"Badluganj","","","","","1","1","203","112","91","55.17"
"Bagai","","","","","1","1","50","32","18","64.00"
"Bagder","","","","","1","1","207","82","125","39.61"
"Bagh Chappar","","","","","1","1","108","56","52","51.85"
"Bagri","","","","","1","1","403","94","309","23.33"
"Bahabalpur","","","","","1","1","12","7","5","58.33"
"Bahabalpur Arazi","","","","","1","1","31","17","14","54.84"
"Bahabalpur Arazi","","","","","1","1","18","9","9","50.00"
"Bahadurpur","","","","","1","1","233","36","197","15.45"
"Bahadurpur","","","","","1","1","121","23","98","19.01"
"Bahadurpur","","","","","1","1","186","100","86","53.76"
"Bahadurpur Katahara","","","","","1","1","12","1","11","8.33"
"Bahatra","","","","","1","1","238","2","236","0.84"
"Baijachak","","","","","1","1","178","27","151","15.17"
"Baijalpur","","","","","1","1","211","45","166","21.33"
"Baijani","","","","","1","1","576","128","448","22.22"
"Baijnathpur","","","","","1","1","72","40","32","55.56"
"Baijnathpur","","","","","1","1","81","41","40","50.62"
"Baijnathpur","","","","","1","1","193","86","107","44.56"
"Baikatpur","","","","","1","1","22","0","22","0.00"
"Baisa","","","","","1","1","253","17","236","6.72"
"Baisi Jahangirpur","","","","","1","1","1104","218","886","19.75"
"Bakarpur Ogairah","","","","","1","2","2136","26","2110","1.22"
"Bakhra","","","","","1","1","135","71","64","52.59"
"Bala Chauki","","","","","1","1","151","28","123","18.54"
"Balia","","","","","1","1","94","61","33","64.89"
"Balipur","","","","","1","1","73","21","52","28.77"
"Bamia","","","","","1","1","146","10","136","6.85"
"Banaspati","","","","","1","1","25","1","24","4.00"
"Banawan","","","","","1","1","137","108","29","78.83"
"Bangaon","","","","","1","1","95","22","73","23.16"
"Bangdiha","","","","","1","1","108","7","101","6.48"
"Baniadih","","","","","1","1","134","44","90","32.84"
"Baniara","","","","","1","1","213","67","146","31.46"
"Baniara Milik","","","","","1","1","8","1","7","12.50"
"Banni","","","","","1","1","15","5","10","33.33"
"Bansipur","","","","","1","1","339","195","144","57.52"
"Bansipur Bela","","","","","1","1","92","40","52","43.48"
"Bansitikar","","","","","1","1","225","80","145","35.56"
"Bara","","","","","1","1","847","507","340","59.86"
"Barahamchari","","","","","1","1","340","285","55","83.82"
"Baraichak","","","","","1","1","17","5","12","29.41"
"Baraini","","","","","1","1","209","56","153","26.79"
"Barari","","","","","1","1","569","272","297","47.80"
"Bardiha","","","","","1","1","28","7","21","25.00"
