"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abatana","","","","","1","1","30","29","1","96.67"
"Abgilla","","","","","1","1","324","234","90","72.22"
"Aer","","","","","1","2","1603","756","847","47.16"
"Agarpura","","","","","1","1","86","5","81","5.81"
"Agarsanda","","","","","1","1","294","133","161","45.24"
"Agiaon","","","","","1","1","778","272","506","34.96"
"Agiaon","","","","","1","1","678","306","372","45.13"
"Ahila","","","","","1","1","363","237","126","65.29"
"Ahiman Chak","","","","","1","1","203","171","32","84.24"
"Ahpura","","","","","1","1","532","244","288","45.86"
"Akauna","","","","","1","1","450","205","245","45.56"
"Akhgaon","","","","","1","1","456","339","117","74.34"
"Akhtiarpur","","","","","1","1","405","68","337","16.79"
"Akraunj","","","","","1","1","113","101","12","89.38"
"Akrua","","","","","1","1","326","254","72","77.91"
"Alipur","","","","","1","1","474","32","442","6.75"
"Amaharua","","","","","1","1","122","69","53","56.56"
"Amai","1","1","0","0","1","1","459","152","307","33.12"
"Amarpur Marwatia","","","","","1","1","233","139","94","59.66"
"Amehta","","","","","1","1","322","104","218","32.30"
"Amiya","","","","","1","1","96","87","9","90.63"
"Amma","","","","","1","1","64","0","64","0.00"
"Amma Narbirpur","","","","","1","1","535","437","98","81.68"
"Amrai","","","","","1","1","158","67","91","42.41"
"Amruhan","","","","","1","1","513","402","111","78.36"
"Amurza","","","","","1","1","167","146","21","87.43"
"Anantpur","","","","","1","1","115","59","56","51.30"
"Andar","","","","","1","1","171","75","96","43.86"
"Andauli","","","","","1","1","23","22","1","95.65"
"Andhari","","","","","1","1","472","444","28","94.07"
"Angra","","","","","1","1","158","97","61","61.39"
"Anharibag","","","","","1","1","167","95","72","56.89"
"Anuwa","","","","","1","1","157","53","104","33.76"
"Anuwan","","","","","1","1","56","0","56","0.00"
"Araila","","","","","1","1","534","260","274","48.69"
"Araila","","","","","1","1","286","146","140","51.05"
"Asni","","","","","1","2","316","200","116","63.29"
"Asodhan","","","","","1","1","388","153","235","39.43"
"Asodhar","","","","","1","1","99","43","56","43.43"
"Athpa","","","","","1","1","70","14","56","20.00"
"Azam Nagar","","","","","1","1","101","68","33","67.33"
"Babhangawan","","","","","1","1","258","50","208","19.38"
"Babhnauli","","","","","1","1","189","75","114","39.68"
"Babhnauli","","","","","1","1","43","19","24","44.19"
"Babhniyawan","","","","","1","1","1234","386","848","31.28"
"Babu bandh","","","","","1","1","258","189","69","73.26"
"Babura","","","","","1","1","657","371","286","56.47"
"Bachri","","","","","1","1","70","63","7","90.00"
"Bachri","","","","","1","1","389","291","98","74.81"
"Baga","","","","","1","1","257","203","54","78.99"
"Bagahi","","","","","1","1","93","77","16","82.80"
"Bagahin","","","","","1","1","403","222","181","55.09"
"Bagar","","","","","1","1","843","444","399","52.67"
"Bagaunti","","","","","1","1","114","93","21","81.58"
"Baghakol","","","","","1","1","118","114","4","96.61"
"Baghaunr","","","","","1","1","147","101","46","68.71"
"Baghi","","","","","1","1","223","84","139","37.67"
"Baghipakar","","","","","1","1","234","207","27","88.46"
"Baghsanda","","","","","1","1","132","38","94","28.79"
"Bagu sara","","","","","1","1","138","90","48","65.22"
"Bagwa","","","","","1","1","277","237","40","85.56"
"Bahadurpur","","","","","1","1","91","64","27","70.33"
"Bahadurpur","","","","","1","1","126","94","32","74.60"
"Bahiyara","","","","","1","1","365","199","166","54.52"
"Bahoranpur Dakhinwar","","","","","1","1","352","171","181","48.58"
"Bahri","","","","","1","1","171","121","50","70.76"
"Bahuara","","","","","1","1","175","128","47","73.14"
"Bahuwara","1","1","0","0","1","1","139","109","30","78.42"
"Bairahi","","","","","1","1","183","75","108","40.98"
"Baisa Dih","","","","","1","1","196","1","195","0.51"
"Bajen","","","","","1","1","143","134","9","93.71"
"Bajrean","","","","","1","1","191","61","130","31.94"
"Bajruha","","","","","1","1","126","126","0","100.00"
"Bakar Nagar","","","","","1","1","12","0","12","0.00"
"Bakharia","","","","","1","1","27","20","7","74.07"
"Bakhorapur","","","","","1","1","241","93","148","38.59"
"Bakhorapur English","","","","","1","1","5","0","5","0.00"
"Bakri","","","","","1","1","365","359","6","98.36"
"Balbandh","","","","","1","1","215","185","30","86.05"
"Baligaon","","","","","1","1","1352","984","368","72.78"
"Balihari","","","","","1","1","78","71","7","91.03"
"Balua","1","1","0","0","1","1","575","416","159","72.35"
"Balua","1","1","0","0","1","1","95","76","19","80.00"
"Balua","1","1","0","0","1","1","317","307","10","96.85"
"Balua","1","1","0","0","1","1","134","4","130","2.99"
"Baluwanhi","","","","","1","1","97","82","15","84.54"
"Bamhawar","","","","","1","1","411","172","239","41.85"
"Bamhnauli","","","","","1","1","452","259","193","57.30"
"Banahin","","","","","1","1","83","37","46","44.58"
"Banauli","","","","","1","1","295","171","124","57.97"
"Bandha","","","","","1","1","195","154","41","78.97"
"Bandhwa","","","","","1","1","264","213","51","80.68"
"Bankat","","","","","1","1","271","84","187","31.00"
"Bankat","","","","","1","1","203","109","94","53.69"
"Bankat","","","","","1","1","158","14","144","8.86"
"Bansi Dehri","","","","","1","1","195","26","169","13.33"
"Bansipur","","","","","1","1","156","121","35","77.56"
"Baon Pali","","","","","1","1","681","123","558","18.06"
"Bara","","","","","1","1","59","38","21","64.41"
"Bara","","","","","1","1","102","0","102","0.00"
"Bara","","","","","1","1","281","87","194","30.96"
"Barad Parwa","","","","","1","1","591","218","373","36.89"
"Barahra","","","","","1","1","350","138","212","39.43"
"Barahra","","","","","1","1","403","154","249","38.21"
"Baranhpur","","","","","1","1","17","17","0","100.00"
"Barao","","","","","1","1","744","303","441","40.73"
"Barap","","","","","1","1","355","215","140","60.56"
"Barar","","","","","1","1","95","80","15","84.21"
"Barar English","","","","","1","1","73","73","0","100.00"
"Barauli","","","","","1","1","325","325","0","100.00"
"Baraura","","","","","1","1","15","13","2","86.67"
"Baraura","","","","","1","1","239","232","7","97.07"
"Bardiha","","","","","1","1","86","62","24","72.09"
"Bardiha","","","","","1","1","166","18","148","10.84"
"Bargahi","","","","","1","1","118","80","38","67.80"
"Bargaon","","","","","1","1","808","749","59","92.70"
"Barhampur Mehdanra","","","","","1","1","60","59","1","98.33"
"Barka Gaon","","","","","1","1","843","634","209","75.21"
"Barnaon","","","","","1","1","663","454","209","68.48"
"Barni","","","","","1","1","305","203","102","66.56"
"Barsaun","","","","","1","1","361","162","199","44.88"
"Bartiar","","","","","1","1","169","49","120","28.99"
"Baruhi","","","","","1","1","987","635","352","64.34"
"Baruna","","","","","1","1","356","224","132","62.92"
"Baruna","","","","","1","1","97","26","71","26.80"
"Basantpur","1","1","0","0","1","1","120","9","111","7.50"
"Basantpur","1","1","0","0","1","1","6","1","5","16.67"
"Basantpur","1","1","0","0","1","1","419","151","268","36.04"
"Basauna","","","","","1","1","310","179","131","57.74"
"Basauri","","","","","1","1","312","162","150","51.92"
"Basauri","","","","","1","1","54","31","23","57.41"
"Basauri","","","","","1","1","101","75","26","74.26"
"Basdeopur","1","1","0","0","1","1","36","26","10","72.22"
"Basdiha","","","","","1","1","120","11","109","9.17"
"Baseya","","","","","1","1","140","136","4","97.14"
"Basmanpur","","","","","1","1","139","21","118","15.11"
"Basmanpur","","","","","1","1","70","34","36","48.57"
"Basra","","","","","1","1","99","38","61","38.38"
"Behra","","","","","1","1","224","137","87","61.16"
"Behra Sabalpur","","","","","1","1","95","78","17","82.11"
"Bela","","","","","1","1","68","1","67","1.47"
"Bela","","","","","1","1","202","101","101","50.00"
"Belauna","","","","","1","1","102","50","52","49.02"
"Belaur","","","","","1","1","1036","563","473","54.34"
"Belauthi","","","","","1","1","563","328","235","58.26"
"Beldehri","","","","","1","1","156","122","34","78.21"
"Belghat","","","","","1","1","184","49","135","26.63"
"Berain","","","","","1","1","78","72","6","92.31"
